boat_id,year,lon,lat,event,value
Dummy1,2017,-149.5,0.5,DPL,11918024.37
Dummy1,2017,-149.5,2.5,OFS,373788.8
Dummy1,2017,-148.5,-6.5,NOA,329378.6
Dummy1,2017,-147.5,-1.5,OFS,251272.92
Dummy1,2017,-145.5,1.5,DPL,11918024.37
Dummy1,2017,-142.5,-3.5,OFS,4720070.23
Dummy1,2017,-137.5,8.5,DEL,109001.94
Dummy1,2017,-136.5,-4.5,OFS,173925.81
Dummy1,2017,-136.5,8.5,DEL,742993.02
Dummy1,2017,-135.5,1.5,DPL,29498114.43
Dummy1,2017,-134.5,6.5,DEL,100318.26
Dummy1,2017,-133.5,5.5,OFS,423907.56
Dummy1,2017,-130.5,4.5,OFS,598768.46
Dummy1,2017,-127.5,11.5,DEL,2047548.58
Dummy1,2017,-123.5,10.5,DEL,22514.94
Dummy1,2017,-121.5,12.5,DEL,1808224.72
Dummy1,2017,-119.5,-1.5,DPL,3582208.19
Dummy1,2017,-119.5,0.5,DPL,4954915.16
Dummy1,2017,-119.5,8.5,DEL,259066.04
Dummy1,2017,-117.5,15.5,DEL,36333.98
Dummy1,2017,-116.5,-12.5,OFS,217884.18
Dummy1,2017,-115.5,16.5,DEL,397975.72
Dummy1,2017,-113.5,16.5,DEL,159549.24
Dummy1,2017,-112.5,1.5,DPL,12850923.3
Dummy1,2017,-112.5,17.5,DEL,179971.84
Dummy1,2017,-111.5,-3.5,OFS,852316.56
Dummy1,2017,-111.5,18.5,DEL,521058.585
Dummy1,2017,-111.5,20.5,DEL,100318.26
Dummy1,2017,-111.5,22.5,DEL,756045.79
Dummy1,2017,-110.5,-3.5,OFS,427814.44
Dummy1,2017,-110.5,-1.5,DPL,5016753.54
Dummy1,2017,-110.5,26.5,DEL,90834.95
Dummy1,2017,-109.5,15.5,DEL,78802.29
Dummy1,2017,-108.5,18.5,DEL,3403609.2249999996
Dummy1,2017,-104.5,4.5,OFS,44929.17
Dummy1,2017,-103.5,-3.5,DEL,319098.48
Dummy1,2017,-103.5,4.5,DEL,454174.75
Dummy1,2017,-101.5,-11.5,OFS,234047.08
Dummy1,2017,-100.5,-5.5,OFS,157048.38
Dummy1,2017,-100.5,-1.5,DPL,12682821.72
Dummy1,2017,-99.5,-14.5,OFS,1538009.85
Dummy1,2017,-99.5,2.5,DPL,12643003.6
Dummy1,2017,-98.5,-1.5,DPL,5245212.79
Dummy1,2017,-98.5,-0.5,DPL,5097692.37
Dummy1,2017,-97.5,-0.5,DPL,5526492.51
Dummy1,2017,-97.5,6.5,DEL,132957.7
Dummy1,2017,-97.5,11.5,DEL,265637.71
Dummy1,2017,-96.5,5.5,DEL,664788.5
Dummy1,2017,-95.5,-0.5,DPL,1804662.76
Dummy1,2017,-95.5,1.5,NOA,1517625.2
Dummy1,2017,-94.5,-4.5,DPL,7302799.74
Dummy1,2017,-93.5,-8.5,OFS,697600.4
Dummy1,2017,-93.5,-1.5,DPL,4037344.98
Dummy1,2017,-92.5,13.5,DEL,2431613.52
Dummy1,2017,-91.5,6.5,OFS,1830136.58
Dummy1,2017,-89.5,0.5,DPL,1727518.87
Dummy1,2017,-88.5,-3.5,DPL,4846807.32
Dummy1,2017,-88.5,0.5,DPL,8618973.69
Dummy1,2017,-88.5,1.5,DPL,3141898.63
Dummy1,2017,-86.5,-9.5,DEL,372610.68
Dummy1,2017,-86.5,-7.5,DEL,654011.64
Dummy1,2017,-85.5,-7.5,DEL,794843.99
Dummy1,2017,-85.5,-5.5,DEL,664788.5
Dummy1,2017,-85.5,-4.5,DPL,998006
Dummy1,2017,-83.5,-11.5,OFS,1513771.54
Dummy1,2017,-82.5,-2.5,NOA,1368356
Dummy1,2017,-81.5,-14.5,DPL,4181064.27
Dummy1,2017,-81.5,-12.5,DPL,1427495.41
Dummy1,2017,-81.5,-3.5,DEL,1390003.8
Dummy1,2017,-81.5,3.5,OFS,111351.98
Dummy1,2017,-79.5,-15.5,NOA,402823.48
Dummy1,2017,-79.5,4.5,OFS,387605.68
Dummy1,2017,-75.5,-15.5,NOA,1844520.16
Dummy1,2017,-74.5,-19.5,NOA,1597486.21
Dummy2,2017,-148.5,-6.5,NOA,131751.44
Dummy2,2017,-147.5,4.5,OFS,1514362.41
Dummy2,2017,-146.5,-10.5,OFS,65875.72
Dummy2,2017,-141.5,-3.5,NOA,1818240.39
Dummy2,2017,-141.5,2.5,DPL,1502961.72
Dummy2,2017,-141.5,12.5,DEL,2251494
Dummy2,2017,-140.5,5.5,DEL,191376.99
Dummy2,2017,-138.5,-5.5,OFS,390129.26
Dummy2,2017,-138.5,9.5,DEL,347500.95
Dummy2,2017,-137.5,7.5,DEL,347500.95
Dummy2,2017,-136.5,5.5,NOA,236406.87
Dummy2,2017,-136.5,7.5,DEL,253680.67
Dummy2,2017,-135.5,-8.5,OFS,151922.52
Dummy2,2017,-132.5,4.5,OFS,427946.64
Dummy2,2017,-131.5,8.5,DEL,674311.11
Dummy2,2017,-130.5,9.5,DEL,202634.46
Dummy2,2017,-129.5,-0.5,DPL,105475.82
Dummy2,2017,-128.5,8.5,DEL,797746.2
Dummy2,2017,-126.5,2.5,DEL,28662.36
Dummy2,2017,-123.5,13.5,DEL,717971.58
Dummy2,2017,-120.5,1.5,DEL,57324.72
Dummy2,2017,-119.5,5.5,DEL,171974.16
Dummy2,2017,-118.5,5.5,DEL,386941.86
Dummy2,2017,-117.5,3.5,DPL,2570620.02
Dummy2,2017,-116.5,-0.5,DPL,62637093.62
Dummy2,2017,-116.5,24.5,DEL,403619.18
Dummy2,2017,-113.5,6.5,DEL,236170.87
Dummy2,2017,-113.5,16.5,DEL,40867.34
Dummy2,2017,-113.5,25.5,DEL,139000.38
Dummy2,2017,-112.5,-0.5,DPL,19528197.75
Dummy2,2017,-111.5,-1.5,DPL,8344833.06
Dummy2,2017,-111.5,23.5,NOA,327840.89
Dummy2,2017,-110.5,-1.5,DPL,25517393.71
Dummy2,2017,-110.5,12.5,DEL,146347.11
Dummy2,2017,-109.5,2.5,OFS,41755.68
Dummy2,2017,-107.5,-6.5,OFS,35236.88
Dummy2,2017,-107.5,-3.5,OFS,195298.14
Dummy2,2017,-107.5,-2.5,DPL,15049336.52
Dummy2,2017,-107.5,5.5,OFS,223241.56
Dummy2,2017,-106.5,-1.5,DPL,5923540.86
Dummy2,2017,-106.5,-0.5,DPL,1502961.72
Dummy2,2017,-106.5,4.5,OFS,4590090.94
Dummy2,2017,-104.5,4.5,OFS,281895.04
Dummy2,2017,-102.5,-0.5,DPL,2977702.64
Dummy2,2017,-101.5,-11.5,OFS,608590.22
Dummy2,2017,-101.5,4.5,OFS,723956.39
Dummy2,2017,-100.5,10.5,DEL,122602.02
Dummy2,2017,-99.5,3.5,OFS,51104.85
