year,port_name,lon,lat
2013,"MANTA, ECUADOR",-80.72,-0.95
2013,"BALBOA, PANAMA",-79.57,8.95
2013,"GOLFITO, COSTA RICA",-83.17,8.63
2013,"PUERTO CALDERA, COSTA RICA",-84.72,9.92
2013,"LA UNION, EL SALVADOR",-87.83,13.33
2013,"PUERTO QUETZAL, GUATEMALA",-90.8,13.92
2013,"PUERTO MADERO, MEXICO",-92.45,14.7
2013,"MANZANILLO, MEXICO",-104.32,19.05
2013,"MAZATLAN, MEXICO",-106.42,23.2
2013,"KIRITIMATI, KIRIBATI",-157.6441868,1.8704598
2013,"POSORJA, ECUADOR",-80.15,-2.42
2014,"PUERTO DE CHIMBOTE, PERU",-78.62,-9.08
2014,"PAITA, PERU",-81.12,-5.08
2014,"MANTA, ECUADOR",-80.72,-0.95
2014,"BALBOA, PANAMA",-79.57,8.95
2014,"PUERTO CALDERA, COSTA RICA",-84.72,9.92
2014,"LA UNION, EL SALVADOR",-87.83,13.33
2014,"PUERTO QUETZAL, GUATEMALA",-90.8,13.92
2014,"PUERTO MADERO, MEXICO",-92.45,14.7
2014,"MANZANILLO, MEXICO",-104.32,19.05
2014,"MAZATLAN, MEXICO",-106.42,23.2
2014,"ENSENADA, MEXICO",-116.63,31.87
2014,"KIRITIMATI, KIRIBATI",-157.6441868,1.8704598
2014,"POSORJA, ECUADOR",-80.15,-2.42
2015,"PUERTO DEL CALLAO, PERU",-77.15,-12.05
2015,"PUERTO DE CHIMBOTE, PERU",-78.62,-9.08
2015,"PAITA, PERU",-81.12,-5.08
2015,"MANTA, ECUADOR",-80.72,-0.95
2015,"BALBOA, PANAMA",-79.57,8.95
2015,"GOLFITO, COSTA RICA",-83.17,8.63
2015,"LA UNION, EL SALVADOR",-87.83,13.33
2015,"PUERTO QUETZAL, GUATEMALA",-90.8,13.92
2015,"PUERTO MADERO, MEXICO",-92.45,14.7
2015,"MANZANILLO, MEXICO",-104.32,19.05
2015,"MAZATLAN, MEXICO",-106.42,23.2
2015,"PAGO PAGO HARBOR, AMERICAN SAMOA",-170.67,-14.28
2015,"KIRITIMATI, KIRIBATI",-157.6441868,1.8704598
2015,"POSORJA, ECUADOR",-80.15,-2.42
2016,"PUERTO DEL CALLAO, PERU",-77.15,-12.05
2016,"PUERTO DE CHIMBOTE, PERU",-78.62,-9.08
2016,"MANTA, ECUADOR",-80.72,-0.95
2016,"BALBOA, PANAMA",-79.57,8.95
2016,"LA UNION, EL SALVADOR",-87.83,13.33
2016,"PUERTO QUETZAL, GUATEMALA",-90.8,13.92
2016,"PUERTO MADERO, MEXICO",-92.45,14.7
2016,"MANZANILLO, MEXICO",-104.32,19.05
2016,"MAZATLAN, MEXICO",-106.42,23.2
2016,"PAGO PAGO HARBOR, AMERICAN SAMOA",-170.67,-14.28
2016,"POSORJA, ECUADOR",-80.15,-2.42
2017,"PUERTO DEL CALLAO, PERU",-77.15,-12.05
2017,"PUERTO DE CHIMBOTE, PERU",-78.62,-9.08
2017,"MANTA, ECUADOR",-80.72,-0.95
2017,"BALBOA, PANAMA",-79.57,8.95
2017,"PUERTO CALDERA, COSTA RICA",-84.72,9.92
2017,"LA UNION, EL SALVADOR",-87.83,13.33
2017,"PUERTO QUETZAL, GUATEMALA",-90.8,13.92
2017,"PUERTO MADERO, MEXICO",-92.45,14.7
2017,"MANZANILLO, MEXICO",-104.32,19.05
2017,"MAZATLAN, MEXICO",-106.42,23.2
2017,"PAGO PAGO HARBOR, AMERICAN SAMOA",-170.67,-14.28
2017,"POSORJA, ECUADOR",-80.15,-2.42
2018,"PUERTO DE CHIMBOTE, PERU",-78.62,-9.08
2018,"PAITA, PERU",-81.12,-5.08
2018,"MANTA, ECUADOR",-80.72,-0.95
2018,"BALBOA, PANAMA",-79.57,8.95
2018,"GOLFITO, COSTA RICA",-83.17,8.63
2018,"PUERTO CALDERA, COSTA RICA",-84.72,9.92
2018,"LA UNION, EL SALVADOR",-87.83,13.33
2018,"PUERTO QUETZAL, GUATEMALA",-90.8,13.92
2018,"PUERTO MADERO, MEXICO",-92.45,14.7
2018,"MANZANILLO, MEXICO",-104.32,19.05
2018,"MAZATLAN, MEXICO",-106.42,23.2
2018,"PAGO PAGO HARBOR, AMERICAN SAMOA",-170.67,-14.28
2018,"POSORJA, ECUADOR",-80.15,-2.42
