Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
1040660.4000000005,40451.14,526802.5634952846,827437.4740655875,32919.21702565043,585652.0,1939110.217472778,3329443.1006606086
569616.6100000005,48216.71000000001,449690.13412942545,751268.761588957,17292.95270801986,477288.0,1780956.3216022037,4027539.5822495646
441190.92999999993,207571.17999999993,390472.34601708944,507565.11476209667,18756.298632722508,757680.0,1705890.3976192928,4307996.007011661
341721.91999999987,77970.01,300403.3908943742,289629.47467460716,11541.5135544553,991256.0,1647696.2485136674,4510991.011686268
293334.5599999998,27308.66,226924.43367346528,161793.28202904027,7996.932151407328,868060.0,1563121.4221871328,4644308.593715309
268937.96999999986,30778.899999999994,188553.4829720993,105826.879876995,7206.358528195801,811955.0,1464510.505159232,4713406.693592304
193782.41000000012,37189.53999999999,200089.84403534085,86308.01572359358,4931.137769396951,838799.0,1455133.1591945728,4756226.959315898
298652.3800000002,175828.24000000002,257070.4688274119,147809.5012375177,12476.669193086605,473188.0,1379053.0680219845,4687196.720553416
253089.81999999998,94542.95999999995,266521.90999576007,153415.86049278668,8561.284049142934,659620.0,1376045.0380177447,4732082.041046202
289387.5800000003,140041.63999999998,273765.83164765075,159515.29556797526,10975.39931249255,454651.0,1333497.1396653953,4727307.186614177
174162.16000000003,90351.59999999998,279782.3839477045,130883.24774320565,6214.225434347335,943418.0,1438620.8336130993,4757337.8843573835
310206.4299999999,109144.7,268079.3199023622,131544.27628679696,10673.385588013265,478779.0,1366963.3435154615,4759928.08064418
158045.43999999977,242873.08999999994,321538.7149756023,172960.5992592929,10108.25373758092,511068.0,1519307.5484910638,4645036.839903473
301718.7599999996,160750.13000000003,310548.21789215266,185102.89196831902,12079.470421018037,472116.0,1508432.6263832173,4647414.151871792
248256.34000000032,171888.23999999985,333784.19986632164,193163.4128695016,10730.98212033041,478648.0,1569017.026249539,4643667.064741293
199971.63000000012,248354.8799999999,305573.58259266906,154737.75741255438,12417.845422583816,967699.0,1675202.1188422078,4522773.902153848
176478.3099999997,93005.43999999999,237642.0386795681,131612.58018499237,6470.843075867321,900291.0,1732192.0975217759,4547845.792338841
272552.00999999995,85647.76000000002,201300.34020632136,123527.38991951928,8845.454264993803,580682.0,1636917.677728097,4573151.15225836
292652.49999999994,81428.76999999999,230889.6481336709,140732.35085589634,9150.508840575978,463667.0,1537994.0158617678,4619190.313114257
222299.09000000017,238036.80999999988,286362.23538231594,181829.1534044567,11897.104333445128,404403.0,1582061.2712440835,4518958.336518712
