Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
398896.7499999999,353802.46,735725.569211113,744989.4692707816,24286.12145963503,388759.0,2770822.495611588,2846636.9398496714
270406.6100000001,360222.31999999995,649626.7639801883,628275.2875158717,20050.50759148111,304995.0,3125296.459591776,3084310.2173655434
322155.46,321885.87,460010.7520398742,440823.66265116126,20375.730201807943,230224.0,3233372.1016316507,3173115.6600167044
308560.01999999996,302181.19999999995,291132.91575600795,282004.75932619383,19218.309872017224,205115.0,3182714.157387659,3117140.389342898
236941.64999999994,350499.04,212846.3930364849,199382.8484016892,18411.18909601794,189060.0,3129960.770424144,2925223.377744587
399071.9500000002,167447.92,192881.44011147466,185277.89279718552,17712.634265188062,191799.0,2874205.430535618,2924661.490541773
244746.05000000005,300514.68,186678.33216870154,167036.98336729506,17042.39480861464,219193.0,2789904.55270432,2757728.363909068
167244.83,336452.2600000001,205092.09987959097,173952.59961060272,15643.972931322089,213548.0,2808930.392583911,2556715.10351967
233666.3100000001,292780.9500000002,214379.78797188794,170327.23011166594,16455.08325749672,245687.0,2763539.710555799,2405768.983631336
393980.11000000004,97903.78,179020.17363402285,182906.1112596647,15341.863000017634,273351.0,2509338.9641898214,2485623.844891001
364564.7699999999,91788.69000000003,160180.13773502165,214630.44615422538,14087.222726544276,232430.0,2264980.681924843,2597366.8010452264
154216.25999999998,340335.8900000002,179893.7202446481,200707.70963685773,15354.201166103687,226254.0,2273089.9521694914,2423606.490682084
31361.38,422391.48999999993,224187.77179702287,169547.0365558382,14003.347487432957,234181.0,2461666.893966514,2127704.2072379226
176930.09999999998,282629.0200000001,231157.52104450064,164694.70793520348,14237.484491748704,258223.0,2496897.675011015,1980027.7451731258
372245.55000000005,94171.26,182683.88037305124,180328.56688149236,14487.379017651736,273556.0,2274883.465384066,2057045.3820546183
328478.01,147180.64000000004,166786.0408520065,195357.1400022323,14680.155318664889,200758.0,2079715.2762360729,2089377.4320568505
228286.07999999993,269487.22000000003,184697.80557688192,207984.3048578716,15394.744312862384,186680.0,2008405.1418129546,1999044.6069147221
129488.82999999999,322949.89000000025,235821.60093394766,161289.9740073129,13991.316026804345,257798.0,2099179.542746902,1812509.2109220354
234527.70999999996,223027.66000000006,275778.67170998076,166157.36227267893,14078.653038768933,204946.0,2113105.0344568826,1733186.3731947145
313534.71000000014,143432.8,235783.2383795862,201043.63452743602,14222.171198010265,304043.0,2013804.2328364688,1773931.8077221506
