Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
174432.55999999997,260870.4049999999,806131.6765721252,789700.1311682475,14127.08229581981,160242.0,3093594.831541843,3082498.4315427304
313616.73000000004,260870.40500000003,686901.0550993338,680349.4649086333,18484.101374642134,299471.0,3445947.856641176,3478315.6764513645
170116.2799999999,260870.40500000012,493280.44435496593,460750.69945197296,13765.050506856265,168265.0,3755447.800996143,3651136.115903337
395694.92000000004,260870.40500000023,277783.8305103843,271426.0390662006,20852.02633711162,241546.0,3600822.2915065265,3631437.414969538
172336.16000000003,260870.40500000003,182147.96263630484,180857.13694733309,13714.356018999413,135446.0,3591766.2741428316,3513968.481916871
128830.15000000001,260870.40499999988,158509.1354709334,158006.20654033404,12286.396529058165,134743.0,3606197.189613765,3375917.518457205
576403.1799999998,260870.405,135072.7091042998,161509.00849905628,26310.285895499408,289924.0,3102344.4487180645,3243441.4669562615
102697.98999999998,260870.4049999997,165270.79306978817,177364.98481581605,11411.999083897252,126646.0,3152623.171787853,3123139.1917720777
90258.24999999997,260870.40499999988,183640.62509802848,170558.75083684007,11058.707803361145,177530.0,3238991.3868858814,3002170.142608918
231741.12,260870.4049999998,176224.18956632924,175360.0941795528,15503.83517909344,256637.0,3165993.2864522105,2887371.5467884704
576169.82,260870.4049999999,144784.69697053064,167291.92956107706,26124.575933169013,323224.0,2678628.593422741,2766022.526349547
154311.87000000002,260870.40499999962,170904.96945975104,176122.14682203153,12947.174508312048,145478.0,2679700.342882492,2651786.113171579
141721.06000000006,260870.40500000017,195324.3335545135,201135.7179695496,12536.084643765738,185308.0,2720389.4964370057,2560951.851141128
360592.89999999997,260870.4050000004,171734.53680530604,190868.65304691056,19464.577173631078,315347.0,2502475.233242312,2468988.504188039
185370.44000000006,260870.4049999998,184959.73167793753,170984.9901912143,13781.220361910484,218258.0,2486750.12492025,2354132.684379253
248801.27,260870.40499999997,197823.03493025166,168114.28524468892,15884.659353292955,217427.0,2414365.5898505016,2236432.4596239417
341837.66999999975,260870.40500000058,198507.9316639764,172335.3318740718,18753.340430299973,292839.0,2241537.251514478,2120197.511498014
412344.76999999996,260870.40499999988,154896.12215384192,197027.02802588107,20784.593193845132,310458.0,1955047.92366832,2026097.159523895
126484.07,260870.40499999974,182734.05996566944,215510.5144400739,11933.615225788126,149491.0,1999764.4036339894,1951727.8739639688
111443.72000000003,260870.40500000032,210062.86493806198,199574.27483739774,11593.000773244425,220506.0,2091497.1685720515,1870431.0088013667
