Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
379001.7888234201,381273.2999999999,1621977.754863193,1631819.7200740103,24755.91700469192,275587.0,6123374.965303597,6298136.184297014
396729.1509471028,381273.3000000001,1444662.173731185,1423210.3879907744,24977.800168126112,323791.0,7119891.86903478,7282576.052287788
372722.75455372845,381273.2999999999,1084584.7689601218,1042477.8725300953,24277.910796607386,129615.0,7763161.427994903,7866310.424817883
369384.4605177822,381273.3000000001,669999.7901910379,636692.6986800354,24126.052479850965,236447.0,8004507.62818594,8053388.773497919
376706.65990683215,381273.3,414796.56148850254,400975.9521971187,24369.670204971917,190439.0,7976789.329674442,7997945.835695037
382622.6694519539,381273.29660137306,302872.5356117453,299615.37931312487,24452.4860482173,227865.0,7830060.335286187,7840768.675008162
386041.07586937683,381273.2999999999,276157.6582983313,277506.91232431174,24496.05327545697,216969.0,7645991.983584518,7655239.417332473
386579.6849190407,381273.29999999993,278223.0866228272,281485.641528004,24484.6259716425,208005.0,7465685.990207345,7475731.118860478
387690.98168936814,381273.2999999999,291572.33363828965,296604.54005928914,24458.881609271673,220168.0,7300430.363845635,7314253.988919767
381672.16695382516,381273.2950431247,287685.3310460124,291971.7243390347,24298.363436962452,255145.0,7149162.914891648,7160373.993258801
383182.6493438461,381273.2998919883,294091.6882406661,297901.4525318345,24286.668770135686,272365.0,6998032.573132314,7007817.625790635
383858.94237779075,381273.29081869475,302367.24160807184,305656.5574763791,24301.729613510877,254647.0,6855311.814740386,6863679.103267014
387083.69137446076,381273.29999999993,309936.614234169,313875.92945988,24359.94317884578,224726.0,6716010.238974555,6726140.262726894
385535.85722411826,381273.29564969783,326129.87646267074,330554.92508733785,24275.816596199613,245179.0,6598454.595437227,6609935.567814232
381558.8395790956,381273.3,320108.4099240292,323087.3262573372,24193.55755700797,310193.0,6484959.225361256,6492518.794071568
384380.54799365666,381273.2999999999,318141.9644967411,320478.31184487464,24216.97747896209,282772.0,6362311.939857997,6368176.085916444
387120.82962813904,381273.2999999999,323690.73868915235,326728.6777127367,24259.308569171564,227493.0,6238685.028547149,6246382.523629179
387444.2715946252,381273.29999999993,346324.0157319499,350604.2782838401,24239.907064895902,214503.0,6135207.174279099,6146311.811913019
381765.09756197996,381273.29999999993,341797.0421647762,344644.5323484419,24137.916852544284,322975.0,6045831.8964438755,6053057.184261462
385110.4671276501,381273.2999999999,335449.6016244976,337951.2215551251,24155.25775743201,288334.0,5945541.188068373,5951850.595816587
