Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
736152.4920203007,751690.6479797008,1528131.354257637,1532736.6415484308,46362.87462964757,480793.0,5674791.029294516,5745936.118822726
657279.3441271882,667323.3658728114,1397051.3245285724,1389747.987844954,40916.462510479665,395526.0,6328415.463823093,6380304.856667681
611101.1352898201,626330.114710181,1189957.0960416773,1180235.7358332502,38021.70579985941,405693.0,6802982.539864772,6828367.972500931
603157.1899860213,599285.1500139793,938920.4135891716,929446.9913734079,36881.69144507797,362118.0,7043803.983453943,7064134.883874338
576357.0679368814,578403.0520631191,818754.2679684685,811352.5344452534,35271.99920536046,405644.0,7168522.941422413,7179826.89831959
493106.87423171365,502519.0557682863,778306.7642941095,777076.0444526741,30120.340117063006,515572.0,7348976.435716526,7348888.572772263
540804.9290373148,541711.3109626858,711662.3158561244,711931.8894829911,32913.60566599148,433988.0,7414301.791572651,7413841.152255252
524466.872514298,523435.73748570145,706926.5655476702,707140.115610818,31755.844258177614,395806.0,7483801.04712032,7484677.957866069
483786.85100798076,484570.16899201873,678750.0059385839,678884.7765024765,29242.750293997662,506112.0,7578947.813058905,7579203.564368545
622873.6212853778,622911.4987146218,652422.1443479096,652483.3992443121,38231.22343851905,374093.0,7468737.537406814,7469030.763612858
598148.9264857455,598524.3435142547,653195.5307128562,653258.8978970835,36659.02844898284,394658.0,7401454.208119671,7401466.841509941
518460.3533980568,518603.586601943,648992.9361809581,649054.1671804736,31359.283754883985,470283.0,7425042.714300628,7425018.878690415
563299.5075157328,563177.2424842675,685464.4517177525,685501.9282350851,34344.587032395524,395675.0,7427669.406018381,7427805.736925501
521647.8494399038,521693.5205600965,739374.8495640898,739404.440209346,31545.451215079553,433263.0,7523876.265582471,7524019.4171348475
454476.9375487797,454562.34245122,740828.7172114109,740851.974609866,27151.791804033946,408929.0,7712253.262793881,7712320.431744714
690271.7032231297,690293.4467768703,737843.4071606047,737867.1304148673,42619.90796547839,341690.0,7599719.569954487,7599790.77215958
618213.0714132446,618225.6885867548,731515.7424094692,731534.841056972,37965.190462499195,365542.0,7579778.632363957,7579856.083216554
537186.2714041062,537201.0185958942,711702.8677886539,711718.1331630226,32545.833941750185,347997.0,7640892.500152611,7640971.2063795775
554563.1583696142,554573.7016303848,711713.5301886689,711722.8906397092,33636.840836962656,339792.0,7678521.8198967725,7678599.366575413
586666.7382328998,586717.6117670997,733305.4199220362,733309.768724051,35942.58220456158,490056.0,7687840.008187461,7687883.423668308
