Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
768546.8393604027,817718.2806395974,1507311.5423997163,1515758.7343687168,49657.44264445206,482078.0,5620731.547436594,5656883.821643012
615493.7432665611,625511.1667334387,1380798.9586736078,1389994.3186793348,38150.4108346774,368120.0,6307911.956110202,6342073.980322346
492380.34408215457,491770.06591784547,1190036.9033680055,1186570.7253846535,29690.268592377764,442578.0,6920889.039478207,6953785.525706998
467678.6771700765,470350.2628299225,985870.5986008578,976808.6910063453,28122.743027236425,389488.0,7347369.318079067,7368538.426713344
628300.9104419246,631133.1295580753,847878.7077005367,845243.5782676892,38643.051512770755,295713.0,7427660.365779604,7442487.534981033
555338.2947600227,561677.2852399771,777949.0357552345,776688.943395744,34027.11174955473,394655.0,7533205.511534838,7540394.458376778
460872.30824108527,463251.6117589148,728795.9206101684,727537.3643107378,27880.990994324053,563787.0,7699149.272145008,7703101.192687518
566918.3790280382,568493.830971962,641313.4509066049,641219.5657470988,34659.323531628004,365127.0,7652091.203051614,7654218.248434616
647889.9885519046,649076.3014480954,625257.1309635772,625359.5923953372,39947.52716395544,361989.0,7496521.0840151915,7497528.680829954
577735.8312390683,577856.5087609307,680804.1863640735,680805.1823584838,35310.77903993131,415499.0,7462005.320379263,7462973.723188438
404874.27825082093,404611.42174917954,737164.102275906,737155.623054914,23758.17801189019,352038.0,7683240.90265517,7684341.8562433515
649349.1117856607,649832.8282143389,690931.292393716,690859.8239279325,39981.04431246949,413969.0,7589296.535048885,7589814.950171285
455071.39048462047,455404.3895153794,682341.4440189569,682348.7301661643,27281.265774103187,302866.0,7711352.599067843,7711573.060337449
586655.5546390617,586699.8953609385,689767.8526660877,689793.8869679902,35880.15109780886,402760.0,7681472.371733928,7681665.7173054395
431241.0336266342,431294.8063733656,661483.6275368532,661494.8120217307,25697.550770512837,385328.0,7818414.659270782,7818570.169327171
539414.3560128139,539316.6539871858,632214.2638379864,632216.2441169807,32807.69064840814,406193.0,7783329.123108768,7783418.293444151
573130.1744158905,573152.8555841091,646659.6626184218,646676.0568214504,34946.41571524577,286864.0,7714689.84572719,7714781.810265601
495114.2964581018,495106.42354189797,662364.6467693278,662380.3004589793,29847.143070968203,450975.0,7769658.352496518,7769743.190724579
606126.1398384959,606166.800161504,687240.7792885874,687254.7497335437,37135.89371196163,405035.0,7709775.731785105,7709844.700458122
559471.7360468002,559467.6839531995,704666.6954262772,704680.7018204199,33993.326913159726,351024.0,7729156.847211382,7729226.222278544
