Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
840402.6439063814,827330.2660936182,1458254.7760261146,1460032.3222297535,52793.9850317809,726302.0,5527633.457691935,5579400.24086283
658227.9676532851,662132.3823467152,1184830.3723309045,1175427.145336658,40721.274909793174,483189.0,5980603.49002284,6019269.166199486
584906.7263035644,577535.3936964355,790245.1751991994,770768.9433936541,35347.10376420118,433886.0,6100847.145222039,6128683.739593139
586021.4099593515,581761.6100406479,552795.0524704928,537049.9474981258,35263.14809908866,278222.0,5941700.357692532,5958284.057091265
813850.3365730759,821566.3034269237,531045.0628872622,529309.0245838705,51480.534876889345,604727.0,5471457.900579795,5477440.891675135
609103.0776786158,610276.3123213842,486329.353367739,485827.2571341276,37381.93645666094,504735.0,5235373.823947535,5239603.928809262
526740.3747790898,526844.0252209102,507883.8802053824,507785.18934974755,31662.887011282004,406276.0,5110501.384152916,5114506.088159009
649891.4808825598,651579.2691174402,512375.86770283076,512685.63932073995,39978.40413028165,427898.0,4871608.351855746,4874113.777479751
480860.3116406062,482841.4183593935,448099.1008593168,448144.99735143,29469.17831621616,898531.0,4806346.942715063,4806708.534831181
541490.8523571162,541693.7076428838,435981.72108493984,436068.1186305486,32610.8475324326,387921.0,4619949.593800003,4620201.123461731
592182.9537212632,592100.2762787365,448785.18924142176,448924.44418278424,35991.35033422138,390558.0,4393746.1030414235,4394218.847644514
477670.2536484742,477672.4863515262,462236.0276653102,462486.78289369674,28828.89610765826,676959.0,4331066.960706733,4331797.240538211
535524.7987602013,535654.6612397986,483837.517812077,484134.9941055009,32164.16968842828,364496.0,4212536.25851881,4213426.904643712
467930.89710300544,468629.5028969942,458412.5034782159,458451.07252499636,28601.3257652003,931826.0,4173589.8619970256,4173699.217168708
532233.5689871801,532280.3710128197,448985.9276993744,449025.13433634886,31888.214387508608,329523.0,4027431.8996964004,4027535.5615050565
421919.5296345243,421840.130365476,451745.5978456722,451841.00954965793,25420.446603373406,884739.0,4027277.617542073,4027524.7910547145
466679.2006505301,466694.8593494694,462942.11772162764,463082.33233462315,27562.053312744458,362405.0,3970152.595263701,3970523.6433893363
473087.0354959992,473178.22450400086,441940.9052739939,442060.4290774675,28844.440959092266,883019.0,3908984.950537695,3909298.702466804
528104.5787812265,528236.2812187738,429129.4117333006,429235.336434033,31992.899403007814,560688.0,3760950.0022709956,3761222.358900837
530356.3438326378,530434.9661673619,406534.5494710849,406655.33163804247,31880.317728182337,405154.0,3592418.42174208,3592733.73053888
