Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
591138.37089304,617733.28910696,1540150.9316403246,1532465.8097922662,39184.21438573763,516841.0,5799310.310005157,5690676.164964602
526683.7177411668,537569.5422588339,1305667.8662061067,1326697.6399580156,34087.22998860816,371269.0,6513194.056211264,6413026.3749226155
510842.61062926886,506990.2393707313,895786.2597935861,927924.193118228,32417.744854086148,303579.0,6820633.3360048495,6757569.428040844
483150.6252164328,471973.254783567,548767.1353689911,573816.6224657879,30273.56998528359,276099.0,6796689.681373841,6771171.310506633
469284.62433177006,464979.7656682295,368838.091699484,379695.33243287425,29543.470564221912,259748.0,6605637.003073324,6595891.202939506
471198.7148121193,469975.76518788026,312357.29415511066,316019.28133177065,29721.904174531737,227493.0,6355731.497228435,6351058.2442712765
452755.4113677462,451359.2986322537,307303.8749772959,307982.55017454876,28490.333564046385,234247.0,6124904.052205731,6122450.294445825
449238.0756707829,448891.1543292169,304440.76927779074,304050.1492522601,28292.46815033352,237894.0,5904657.261483521,5902189.653698086
429132.61570097855,427980.9142990212,328554.7168845413,328042.4126281926,26951.058696722113,258627.0,5726108.868368064,5724308.686326278
434002.3440545257,432965.2859454742,320327.77863809105,319951.2059948448,27296.88169008145,269159.0,5544531.067006154,5543431.4023211235
425234.18110545364,424593.34889454657,307679.09121384553,307404.83582979586,26703.764274595782,259213.0,5365131.2482199995,5364412.74815092
410176.3079607202,410336.7120392798,316209.1459580395,315646.59229125694,25766.307867832078,285934.0,5206904.904178039,5205452.350442177
404862.94384577376,404111.94615422614,307965.6023661439,307522.20660003106,25351.927140249274,268336.0,5050986.606544183,5049864.907042208
392519.7344321061,391741.38556789374,311800.5443744144,311561.82313233597,24540.848190458015,279026.0,4910739.260918598,4910154.710174545
391127.6690594987,390928.1509405013,329851.5005408212,329581.4640715628,24407.8700208834,242323.0,4786842.301459419,4786186.724246108
366056.73893401935,366045.90106598096,310802.3760767286,310377.7922650745,22892.773242711657,341867.0,4687670.967536148,4686609.946511182
379226.52438485966,379004.27561514016,318873.7425262923,318326.2564940103,23631.602416424084,256607.0,4566739.7500624405,4565350.393005193
373212.940036365,372447.26996363513,329462.95210778114,329072.5008923173,23185.092680940408,239016.0,4463890.362170223,4462905.07389751
362525.47064205265,361781.8293579476,318895.42741906614,318706.44702077797,22638.149053248533,346299.0,4372557.059589289,4372097.010918288
346345.59243241634,346807.55756758363,328864.7187462382,328274.7238151872,21506.47453888803,290985.0,4300606.718335527,4299106.724733476
