Species 0 Landings,Species 1 Landings,Species 0 Recruitment,Species 1 Recruitment,Average Cash-Flow,Total Effort,Biomass Species 0,Biomass Species 1
367676.6024120014,380918.870534374,1614709.2705769055,1616689.0677314508,24365.254776773327,287806.0,6179252.856365564,6111864.077922809
367676.602412,369135.2985499379,1393236.3424574598,1408778.937563075,23788.733988315533,266662.0,7154311.808823024,7106376.295485884
367676.6024120015,370586.7385777638,953090.7318699005,971354.6001899082,23724.232503006027,223294.0,7677801.150692925,7651530.855675792
367676.60241199826,371757.4354690223,561883.1407050921,572831.2711231286,23677.376543024853,206589.0,7797969.921398017,7785276.226798922
367676.60241200036,370751.15581804735,348335.0351546893,352948.2716713336,23562.74851771463,223635.0,7705146.256552706,7698774.708470255
367676.60241199855,370962.8118694054,283240.852226441,284536.02987893636,23540.863606364215,197295.0,7539631.498779146,7537185.938349192
367676.602411999,372493.3038736479,267216.84267906577,267557.4174381965,23566.333953413876,185608.0,7363059.281458211,7362005.765787389
367676.6024120007,373823.53939797,282220.27572440734,282251.3885946162,23514.926101644218,212335.0,7196644.537182618,7195789.904382004
367676.6024119995,372545.0426184349,288739.21472611633,288475.3392663964,23488.56000644958,252308.0,7045330.191908735,7044385.653648402
367676.60241199995,372715.88690989726,290510.61065458716,290200.2648315334,23466.163598629413,221892.0,6900095.262563323,6899237.338479935
367676.60241200106,372362.54268697306,299037.12871555384,299011.5573750725,23364.250766564353,282701.0,6758733.991278877,6758619.635855007
367676.6024119993,372524.49257988547,312778.13393587363,312736.9116554771,23400.96392138093,227918.0,6631958.365214749,6631840.537510484
367676.60241200076,373774.48356336146,326058.2443011483,325829.16793910024,23388.11527904086,232807.0,6519441.509515898,6518847.535449586
367676.60241199925,371801.3492822776,317027.1448575635,316999.3624205012,23443.838309421848,285988.0,6409225.994373462,6409162.667870088
367676.60241199995,372374.1239933931,306603.35940033925,306580.04789862066,23376.566436305253,231651.0,6290026.243773801,6289983.905768708
367676.6024120004,373477.213769138,327443.57605406945,327361.58058061555,23342.922045922092,206249.0,6183076.089827871,6182889.056349324
367676.6024119998,373576.8676357578,337607.7658310483,337295.5292258543,23384.319903539472,256904.0,6090415.875658918,6089609.425575179
367676.602412001,373073.0035179257,338612.74941369146,338336.66734240594,23365.644547799628,260077.0,6001008.175072609,6000298.662917585
367676.60241200024,372587.3526518733,328525.29183969554,328358.91617292684,23332.912623044966,286829.0,5904637.606912305,5904218.349090513
367676.6024119999,373313.949658439,320040.1316556956,319920.2745152757,23302.40411421769,231898.0,5798488.668568,5798188.883605788
