Species 0 Catchers,Species 1 Catchers,Biomass Species 0,Biomass Species 1
100.0,0.0,1.9272689707482632E7,2.6961795265348885E7
97.0,3.0,2.1095123622562826E7,3.139268078660489E7
95.0,5.0,2.2713363640641265E7,3.3838908858074985E7
95.0,5.0,2.4117811851187244E7,3.531785705445732E7
99.0,1.0,2.5069625996061657E7,3.7772332455771394E7
95.0,5.0,2.587773151284515E7,3.723754452121825E7
95.0,5.0,2.6291815216136795E7,3.70756391473825E7
99.0,1.0,2.6548653085593082E7,3.838592253763809E7
97.0,3.0,2.6828988232347485E7,3.825347932790342E7
99.0,1.0,2.6963641285819348E7,3.886161744670481E7
97.0,3.0,2.706706433975261E7,3.831907376155431E7
97.0,3.0,2.7157139507883877E7,3.810595107673023E7
97.0,3.0,2.723802495567205E7,3.802198551383497E7
97.0,3.0,2.725391779322088E7,3.7964712317737095E7
95.0,5.0,2.7408972984699655E7,3.7318892047867246E7
94.0,6.0,2.7361860226053525E7,3.676650623811177E7
95.0,5.0,2.7382043494824063E7,3.686698518607349E7
96.0,4.0,2.7342421294926398E7,3.725247904880104E7
91.0,9.0,2.744883258249706E7,3.6071787426707774E7
95.0,5.0,2.7443199767919987E7,3.6532913567159675E7
94.0,6.0,2.749019140087153E7,3.643711818702823E7
95.0,5.0,2.740900332121012E7,3.672110414707482E7
95.0,5.0,2.743181144987546E7,3.680945761898836E7
96.0,4.0,2.7383203589194074E7,3.711847558313399E7
96.0,4.0,2.7447893696037263E7,3.726609610283552E7
95.0,5.0,2.7487748046403937E7,3.7040294958547026E7
96.0,4.0,2.7446892995149095E7,3.7290850311919756E7
92.0,8.0,2.74385972579349E7,3.650738996420492E7
89.0,11.0,2.7541962360007904E7,3.546816724701069E7
93.0,7.0,2.7468972129111446E7,3.581278179126031E7
97.0,3.0,2.7379062008147474E7,3.7012610512526825E7
96.0,4.0,2.7414316055804946E7,3.720079006717334E7
96.0,4.0,2.7343452696576755E7,3.729655822640833E7
97.0,3.0,2.733094854520429E7,3.770743703588459E7
95.0,5.0,2.7377446080036096E7,3.7189274878263526E7
98.0,2.0,2.7371503752392754E7,3.803388261454911E7
95.0,5.0,2.7437853351785716E7,3.735192865321957E7
97.0,3.0,2.7402301890483443E7,3.7720445510118596E7
97.0,3.0,2.7356644756123222E7,3.784186214756071E7
92.0,8.0,2.7473804508498598E7,3.649643510098511E7
96.0,4.0,2.749010425481425E7,3.70036944176735E7
96.0,4.0,2.7455624604791053E7,3.720581516237663E7
97.0,3.0,2.7424260315305576E7,3.766551501384032E7
99.0,1.0,2.7314427945573963E7,3.862603107451673E7
96.0,4.0,2.7323540799207527E7,3.786857893770226E7
