year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,272896.7342622407,2.40893648392097E7,5514282.84521228,5612736.428506048,1.9364203182244545E8,2958402.0939520085,3607460.3359007277,4837.966683524643,NaN,NaN,NaN,NaN,NaN,139.3003196227486,50.43895393618488,46.03333333333333,272896.7342622407,2321.873179529044,124.65055436340417,90.0,4.271532053539731E7,6.727602661899897E7,181941.50342481193,181941.50342481193,181941.50342481205,1.1586169984636994E7,6.42057922140886E8,2.6409799463021928E8,23.5,4.0,-68050.10749135583,225.81050735895838,36.0,3.0,186128.08740134118,129.00438443838672,34.25,16.0,123009.17560505022,156.57405012894716,36.75,4.0,246442.5049049432,110.09013647312521,40.4375,16.0,215357.61351652566,137.83178020755153,40.0,16.0,175604.15177820844,179.5143554392343,67.28571428571429,7.0,642180.4328178262,83.20244346185963,59.0,5.0,454016.461823492,132.12467227698127,60.875,8.0,400742.89390524145,109.16640534451118,60.714285714285715,7.0,412887.8991345101,114.27170679009035,80.5,2.0,633779.8581896336,95.46815126432219,60.0,2.0,468076.83847086434,58.24005327943078
2,0,103130.86341791826,7959897.75211772,1187010.205629795,1300441.1735166896,1.9807402076840678E8,891739.6733156494,943626.9398536282,0.0,19.61056022408964,0.05,0.050355123701174835,0.05,2.916842328898389,249.94528279995106,33.60718967138141,14.5,103130.86341791826,487.3042502350305,110.06075812248977,90.0,9363545.868773444,1.864532357638603E7,35945.34802098847,35945.34802098847,-5293.8019790309445,3551455.473959582,6.58084470852098E8,2.662788958162554E8,1.0,4.0,9826.230838140336,233.95282060125268,1.6666666666666667,3.0,52708.00102526558,132.64273093343886,1.875,16.0,26412.548340955553,277.6201659623429,1.75,4.0,46592.862682042134,212.11825028875606,2.9375,16.0,43791.060176422645,263.66415732302784,1.9375,16.0,30112.300375344323,349.11849177552983,52.142857142857146,7.0,359170.19229654584,184.99814678160627,38.4,5.0,254578.54320657562,128.93684588732017,29.25,8.0,179744.45787188454,289.7184966296684,33.0,7.0,168345.35749961008,204.50446209062756,39.5,2.0,134153.14951755953,121.2883000426259,40.0,2.0,310579.63077819574,67.4454349979994
3,0,79306.3170306403,6490997.213903471,1290899.7844375975,1362829.817326417,1.9808512908956838E8,871243.0452560844,977327.9771794258,0.0,NaN,0.05,0.05,0.05,1.2759051370911147,362.8365659982129,40.39334874035749,12.966666666666667,79306.3170306403,523.7670886666353,118.96874188086068,90.0,1.0193075727503793E7,1.733064426026115E7,-3730.4273900381813,-3730.4273900381813,-10255.127390037796,3101718.393100461,6.518679372599761E8,2.6574042820669416E8,1.0,4.0,-725.5674264261979,233.95282060125268,2.0,3.0,-5864.76519439754,307.7259337914657,2.875,16.0,-11479.711529921431,491.909223713623,2.0,4.0,-6682.452987153731,373.05563864973146,4.5625,16.0,4244.670379367988,476.8774744921253,2.25,16.0,-2707.005272847821,482.9144990296367,40.42857142857143,7.0,343583.3449839279,206.20998844022705,37.2,5.0,299049.3396255636,131.43711558865905,25.125,8.0,181047.89472111,313.7413789802667,28.857142857142858,7.0,191121.45811806788,134.93530369058766,29.5,2.0,142483.1957801322,190.88246818788704,31.5,2.0,186168.8917993141,69.98077730888077
4,0,72021.25415033818,5981922.503908252,1224747.748092376,1283142.380428754,1.9926603179359803E8,666197.1982563772,978815.402229704,0.0,NaN,0.05,0.05,0.05,0.9673951279913904,328.3225134048684,41.99112277643678,11.8,82972.12173416151,579.1502907607255,114.65838676503468,77.0,9560127.695775563,1.6042040569305446E7,-917.9883820264367,-15076.181112725928,-22226.681112725862,2847109.6882477724,6.482775327703882E8,2.654445225569596E8,0.75,1.0,-263.06230527470325,377.2609413898278,0.6666666666666666,2.0,-2985.2478727859757,528.0923388932047,1.6875,11.0,-5069.448004250504,602.352576713744,2.0,4.0,-8504.392763720884,492.03268946418945,5.0,15.0,9337.803102390752,510.9717756904357,1.25,13.0,-1073.6743947382197,467.1325465578959,37.857142857142854,7.0,317184.84316761926,180.52520174556273,32.8,5.0,260499.75405280836,134.81312025934164,29.25,8.0,197391.27363414198,294.36563143454293,27.857142857142858,7.0,168093.08396496924,104.03042043020956,12.0,2.0,1175.8640786579053,310.59470185004534,20.0,2.0,96948.6843738656,71.10116662062367
5,0,67680.55843571789,4378355.144670837,1175535.2046904617,1211541.6178653166,2.0097490426690456E8,520197.789843414,799489.1694637272,0.0,NaN,0.05,0.05,0.05,0.6146824799988333,48.805229607534045,42.70379762517834,8.8,226183.3703685843,1352.8563087656498,85.04652356923017,25.0,7191674.756300216,1.3282925015514668E7,5454.5,374714.0754108443,422709.0754109969,2205123.620970249,6.482201272910379E8,2.6533602117869E8,0.0,0.0,5449.25,NaN,0.0,0.0,5447.833333333333,NaN,0.5625,1.0,8143.316125974841,220.08312762846953,0.25,1.0,6037.545097637107,77.30407896741283,3.25,3.0,30741.816366731626,187.05982330145162,0.6875,1.0,4513.213320424464,366.5696673076831,34.0,5.0,272162.41619251046,70.4040167792128,23.8,3.0,179656.53351593117,79.68992722265591,18.875,3.0,169462.59505622002,90.13842700092073,20.714285714285715,4.0,129811.72841762514,60.93547848999698,3.0,2.0,-32905.02166107917,684.1930942853585,30.0,2.0,166296.82441787986,346.85053588632235
6,0,53764.338078780216,3511152.450527661,1017093.2966181079,1045043.414071142,2.0297921009009135E8,427868.2543481284,620085.2143717668,0.0,NaN,0.05,0.05,0.05,0.1263007280174133,65.26398560328775,46.4106985212041,7.177777777777778,226619.39635451097,1499.0655622348925,113.92249401099264,20.0,6159696.273937528,1.099848670102777E7,4372.0,166023.78409888118,175347.58409885905,1788546.125883981,6.506241401807321E8,2.6536208449121743E8,0.0,0.0,4379.375,NaN,0.0,0.0,4379.166666666667,NaN,0.0,0.0,4377.8125,NaN,0.0,0.0,4374.25,NaN,2.875,2.0,31414.466475178968,352.5906293968709,0.125,1.0,3304.1123392341615,560.0252900308784,27.0,5.0,208125.48224085433,252.38134911765928,23.4,3.0,180750.5191819034,215.39766304827637,16.625,3.0,126259.63964641039,198.9701660153472,16.142857142857142,4.0,72869.77989952196,258.5135139528488,0.5,1.0,-3962.7524156270083,1035.6496763022717,22.5,1.0,146112.56141371443,33.838190578443424
7,0,61911.180616893165,3162084.01207732,1047649.0760718468,1073499.949381007,2.0494632922935432E8,293170.7487308414,560763.3472252106,0.0,NaN,0.05,0.05,0.05,0.28657027548896163,31.526289276367496,41.092205293802394,6.533333333333333,294885.6530844658,1342.3453729308783,75.71337689305916,18.0,4831148.134051511,1.0403154389571967E7,3670.25,229041.16594425985,243587.815944251,1623485.139470362,6.545442046905406E8,2.6556883293361917E8,0.0,0.0,3669.375,NaN,0.0,0.0,3667.5,NaN,0.0,0.0,3666.562499999999,NaN,0.0,0.0,3666.625,NaN,3.0,1.0,37806.577254126285,109.55972845448092,0.125,1.0,3139.420565109689,452.01136681498474,24.571428571428573,5.0,236789.82640722874,120.78368884230744,22.8,3.0,192046.3587794127,131.68654310730417,13.875,3.0,127124.5800853621,130.7458830281437,12.0,4.0,88875.81357021377,212.33903647798567,0.0,0.0,3667.25,NaN,28.5,1.0,276818.18799527595,35.2230710737853
1,1,165186.82619650228,2.143576034567332E7,4748827.981785241,4827569.087132028,1.9443847408199736E8,2622594.471938756,3032320.2216844405,0.0,NaN,NaN,NaN,NaN,NaN,155.02786163096374,58.35541576483908,40.888888888888886,165186.82619650228,2386.08811127342,139.9460787272486,90.0,4.3896857488614775E7,5.876367184629998E7,295360.3322958051,295360.3322958051,295360.33229580533,1.0186392101968428E7,6.448020693571694E8,2.6445849928555724E8,24.25,4.0,-123982.55021971461,241.0626518444427,34.333333333333336,3.0,161119.09391023664,106.19799188443862,33.0,16.0,116360.7140898414,175.86504112617035,35.25,4.0,-113120.3132520912,48.328022521077,36.875,16.0,143449.76654214127,144.33533227065456,39.0625,16.0,187517.3862561195,167.62192920679615,50.714285714285715,7.0,275701.68928406335,147.49370119081877,61.0,5.0,405719.78274208197,102.33341776814164,55.5,8.0,330692.61522992095,123.40338534345055,46.0,7.0,164441.66970469416,171.82711624062011,40.5,2.0,59814.592928773185,199.38145200149006,44.5,2.0,149925.06265172907,269.1456172010207
2,1,102382.33427497273,8432647.249160804,1195357.4398353181,1307138.5875276793,1.980673710139794E8,654230.4263425934,748288.043993732,0.0,NaN,0.05,0.05283605272430482,0.3035759792001075,1.574647540857591,159.3815934491554,33.900904722059735,14.38888888888889,102382.33427497273,487.7963512785261,105.55713783201132,90.0,9373049.82618022,1.858745991092774E7,154802.83228470624,154802.83228470624,200875.5322846938,3574549.27492939,6.576373599930131E8,2.665299544790521E8,1.0,4.0,377.6102029841313,241.308031769855,6.333333333333333,3.0,51175.14931770687,107.368492541095,3.0625,16.0,30300.860634711607,168.08791516716443,2.0,4.0,25522.665890713834,37.278503495537,7.375,16.0,61664.70798207672,145.87429263960337,9.0,16.0,54755.36807359754,180.68313806665822,22.714285714285715,7.0,189570.10043586796,151.67000486413238,38.6,5.0,306121.72421506664,150.63233773077215,37.625,8.0,260802.59027018436,127.10040131134723,33.857142857142854,7.0,192227.79465946692,169.40919294004524,1.5,2.0,33000.726389033414,202.04987765343287,30.0,2.0,127066.24184561972,285.9736093417839
3,1,62329.7939415168,7058382.601888838,1214868.3460037916,1283937.0884709745,1.9815667825542068E8,670297.0243187727,814829.1428856137,0.0,NaN,0.05,0.05,0.05,0.6162427595084143,274.80106303878097,45.16707823206078,13.044444444444444,62329.7939415168,589.1794427159929,146.0823956296043,90.0,1.146612179515735E7,1.7075803249893848E7,172944.66451248847,172944.66451248847,203963.51451248638,3142982.245911423,6.508925510437297E8,2.6620737869673854E8,1.5,4.0,-9792.170637874122,392.67985278899886,1.3333333333333333,3.0,7163.574814159314,101.86991656917151,5.0,16.0,-5833.974926231332,439.0875943488345,2.0,4.0,3521.782546470322,320.3105854635585,6.5625,16.0,9180.8673872531,328.2404345430678,10.3125,16.0,29401.175011130057,271.1704836710526,25.0,7.0,202333.7216967227,176.7250525083098,29.6,5.0,186296.1597579198,182.30670632867836,32.0,8.0,194197.84022497927,111.01564326543718,26.428571428571427,7.0,153649.26879452605,122.31083558181062,2.0,2.0,1308.5945640319696,248.74532037166736,19.0,2.0,54870.779974491124,284.0737173120985
