year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,216926.36998138725,1.9360363322931785E7,5868501.885934004,5961450.781800599,1.9328585979128045E8,2817480.082334707,3943235.2634717827,1107.7895825229166,NaN,NaN,NaN,NaN,NaN,151.0842376707524,58.40659164902262,40.888888888888886,216926.36998138725,2388.1806363155915,148.66596742798924,90.0,4.393534483264786E7,6.345871813097272E7,163334.91718403168,163334.91718403168,163334.9171840318,1.0237405246787166E7,6.467595783091624E8,2.642498758685535E8,24.25,4.0,-71791.76268451018,255.1541436243049,33.666666666666664,3.0,182711.30038597342,129.43955081983128,33.5625,16.0,166564.24057910705,151.5531960713699,34.5,4.0,168878.57494958126,124.07181206200802,38.0,16.0,202621.34962939683,145.10763764919318,43.25,16.0,248748.98919633604,153.75983182039877,48.42857142857143,7.0,330030.92996611015,138.21840291208562,47.6,5.0,283146.50212023343,137.80797263364877,52.75,8.0,343123.1799627999,129.16706623600783,47.42857142857143,7.0,235021.54999351874,155.37978659644884,49.0,2.0,210795.84432445414,190.03570162662953,39.0,2.0,81130.93947966569,163.99657181913707
2,0,205437.05634057315,1.4982785496502386E7,1324679.5547380967,1493445.1637790697,1.978843655065845E8,517346.404493153,491715.95299459365,0.0,182.8487857142857,0.05,0.09907660797715716,0.053484052144031805,9.433074921873416,146.53018662891722,19.143892231365324,22.42222222222222,205437.05634057315,429.2486058099469,53.453433253812,90.0,8248025.779130169,2.6737360849782046E7,36546.29409476451,36546.29409476451,-3389.755905231613,5622132.567877712,6.509446819393636E8,2.6665302139816672E8,1.0,4.0,2103.274449282939,266.82960640551863,1.0,3.0,898.0411358082396,120.2013825017746,1.25,16.0,42397.114750594774,141.8269134725367,1.25,4.0,22562.90349435631,119.14943706983217,1.6875,16.0,39012.27038576262,154.6155467883346,25.125,16.0,286110.03659368574,142.87841503606714,85.57142857142857,7.0,752686.7512616165,79.0174332965162,9.8,5.0,153664.55582567697,179.0480636258379,73.5,8.0,536976.4231424594,154.83046326424102,33.42857142857143,7.0,237113.83109746358,108.00694980970187,42.5,2.0,231473.14048321196,164.1620002436539,1.0,2.0,25990.48302043281,241.34188198542807
3,0,164042.5543225594,1.1701184032866022E7,1311966.8664709665,1452414.3725573407,1.9781749358014268E8,525022.6605332446,497919.4386621212,0.0,0.0,0.05,0.05,0.05,7.868031880414433,151.8163231952958,21.787467169273057,18.455555555555556,164042.5543225594,402.09981075736164,59.001852600551786,90.0,7825208.687649872,2.258903857668022E7,9244.195003664558,9244.195003664558,-4291.804996335415,4540020.8810059,6.397911340227617E8,2.6647506116761097E8,1.0,4.0,1500.9417982404393,266.82960640551863,1.3333333333333333,3.0,8213.023984288497,120.2013825017746,1.0,16.0,8978.896283851025,143.816321870659,1.0,4.0,9527.91476523308,120.8050334978991,1.6875,16.0,20894.490526581852,154.79410820993948,14.3125,16.0,167655.0896141195,173.22586606842918,82.57142857142857,7.0,580326.5429277105,86.21790071332816,6.8,5.0,91783.65563322316,165.83255322759365,66.0,8.0,581366.8613681551,153.89502201163916,21.142857142857142,7.0,256679.203762623,103.96914029347259,43.5,2.0,278037.26278946927,164.31482441182158,1.0,2.0,4825.923254059082,241.34188198542807
4,0,150455.57699866756,1.0178666086912716E7,1342457.7113926618,1476452.1753915206,1.9882275393898275E8,614759.963978739,539539.4857161818,0.0,0.0,0.05,0.05,0.05,7.512928836008714,141.91496117639318,23.437731562073218,16.633333333333333,156947.82476604744,407.9800482374838,65.21024687700103,86.0,7521712.18009954,2.106271410997945E7,6681.325922595162,75010.79893209068,32055.94893203851,4100710.084992125,6.326086086865678E8,2.6623529048240834E8,0.0,0.0,10872.25,NaN,1.0,3.0,6801.089962425923,120.2013825017746,1.0,16.0,6455.249804000856,143.816321870659,1.0,4.0,6986.379652064381,120.8050334978991,1.4375,16.0,20400.183449137698,154.79410820993948,12.9375,16.0,137293.88549531923,172.02839767282254,65.85714285714286,7.0,575407.1195771395,93.07917680125381,6.4,5.0,85134.09263425972,165.87667262689914,60.0,8.0,562077.8590947214,156.74775861922078,26.428571428571427,7.0,187538.31902262033,121.59494967013082,42.0,2.0,277662.54679881537,164.76644948245976,1.0,2.0,2269.270842100901,241.34188198542807
5,0,131606.2794769733,8187272.261323309,1355753.2208620685,1441605.4937919537,2.0030658193040115E8,698752.8305253224,588072.7403130631,0.0,0.0,0.05,0.05,0.05,6.362274693633189,42.04833970076905,26.44662898960153,13.844444444444445,299503.6092875683,867.1710452906185,63.522483110635214,38.0,7006886.982887931,1.885145213581576E7,8909.5,524895.5198505949,360136.86985074094,3492685.431588488,6.296556773736707E8,2.6594670713446862E8,0.0,0.0,8911.625,NaN,0.0,0.0,8911.0,NaN,0.125,2.0,8587.543921914717,125.89825554298751,0.25,1.0,8212.924015121403,110.3747113246508,0.625,4.0,20147.60202466389,129.47078704764556,11.625,9.0,110130.08149534432,161.3696184231983,35.57142857142857,6.0,444249.18300938635,61.88993932589003,5.6,2.0,81047.46897742891,69.2603959594431,55.125,7.0,502333.16079641297,56.169986708150425,35.57142857142857,6.0,197134.9384280629,76.45362359572162,40.0,1.0,298040.4182378751,90.19756025361237,0.0,0.0,8909.0,NaN
6,0,120007.29414303419,6780325.9180434365,1384799.37966258,1448224.2666111076,2.018827581801473E8,706670.9910568871,632163.2799696637,0.0,0.0,0.05,0.05,0.05,5.751817286710565,34.56698466431025,29.108365192356807,12.122222222222222,315114.9840264569,962.340194692766,60.63468846131738,33.0,6524596.725915522,1.7325253198788635E7,7048.25,271508.9345636843,477960.0345637048,3060004.95229326,6.298576362451808E8,2.6568898413278294E8,0.0,0.0,7050.5,NaN,0.0,0.0,7052.5,NaN,0.0,0.0,7050.875,NaN,0.0,0.0,7050.25,NaN,0.375,2.0,15218.508182796817,118.863230480393,8.3125,9.0,93819.46540264944,162.68841239832423,26.571428571428573,6.0,273592.74146585615,55.46565543570185,8.0,2.0,86388.26319030373,67.148721912583,53.375,7.0,503902.8489478382,57.21362867543665,31.571428571428573,6.0,262824.45151108893,74.85924769900038,39.0,1.0,316739.9685665483,92.36418388078192,0.0,0.0,7055.000000000007,NaN
7,0,110030.10723957757,6125385.460115542,1387666.4875779345,1456274.8103370825,2.0342690443660048E8,513721.79959893355,568543.439129855,0.0,0.0,0.05,0.05,0.05,5.383839162366241,32.174063027764255,31.40433138745534,11.0,298235.0516113119,971.5715022993995,58.18901067516455,32.0,6216417.592012388,1.611912724357321E7,6194.5,319738.98010078794,319063.2801008727,2769732.9638465447,6.319672157306054E8,2.6566904365398854E8,0.0,0.0,6197.375,NaN,0.0,0.0,6193.5,NaN,0.0,0.0,6192.8125,NaN,0.0,0.0,6193.25,NaN,0.3125,2.0,11948.98467498332,118.863230480393,5.0625,9.0,69658.44165502695,166.28427517827652,28.428571428571427,6.0,233792.33409144895,54.019071555378154,12.6,2.0,105656.36653939667,64.14643124089218,50.875,7.0,473377.9593262187,55.30938466544819,22.857142857142858,5.0,261217.7734461771,44.6188434322413,37.5,1.0,318502.2851058508,98.71353330011085,0.0,0.0,6190.999999999993,NaN
1,1,216501.2105146411,1.931759092360953E7,5834445.517870765,5927013.424422933,1.9331723102460304E8,2847498.75953372,4011057.3895979775,736.2183568741066,NaN,NaN,NaN,NaN,NaN,148.7674229371252,58.358189160690316,40.9,216501.2105146411,2386.849936672234,146.289036250572,90.0,4.391077619567189E7,6.339588514198959E7,264588.07912804635,264588.07912804635,264588.0791280463,1.0243882481970713E7,6.468072631294025E8,2.642178704725394E8,24.75,4.0,-67836.42958154743,243.07355283619626,32.666666666666664,3.0,136563.34135531122,141.65434379431454,33.625,16.0,145424.69373438414,145.52346726862643,38.75,4.0,238381.01952441206,126.27464900011861,36.5625,16.0,190478.705791506,152.78942599215804,42.75,16.0,252131.64012186675,148.2214027762082,50.714285714285715,7.0,354989.0583650469,129.7421005065688,47.2,5.0,298191.6813326983,143.84921143564625,50.0,8.0,299294.38523556973,129.18547322073377,49.142857142857146,7.0,263368.9450235239,146.41231657379603,49.5,2.0,217086.27145470647,177.05720427532273,44.0,2.0,168343.93646936823,151.11915898194016
2,1,184423.26237939304,1.3213439846014049E7,1291666.7256690327,1451221.7802778778,1.9792853305757532E8,457028.4210506797,540065.9466250563,12.671666666666667,0.05000000000000003,0.05,0.07099641108662766,0.08505671967626527,7.927837386164514,134.7583510146621,20.053553202843457,20.133333333333333,184423.26237939304,403.7448711505816,56.1295567835542,90.0,7757981.956807974,2.4356075570953313E7,441324.1166850096,441324.1166850096,538473.466685019,5032307.899465254,6.527131270045375E8,2.6672490761023203E8,1.0,4.0,3839.739817921887,228.36277918782505,1.0,3.0,51918.048194079274,110.30422150240899,1.125,16.0,51305.24460279097,140.40378071489044,2.0,4.0,91031.55981903989,116.36674981880793,2.125,16.0,63394.348486340765,174.6066567563645,12.0,16.0,112759.20868497723,130.5391269150884,77.28571428571429,7.0,650955.7383361098,75.36983140995137,56.2,5.0,460885.5950494129,70.54594681938082,52.25,8.0,348122.7835980805,88.53307188425316,31.571428571428573,7.0,291689.98310826044,110.79013119399691,45.0,2.0,326181.3892319136,164.85389978879272,1.0,2.0,41610.18501170915,297.9029668140921
3,1,161924.60886549225,1.1584767238590388E7,1296791.3163155147,1418981.3315562818,1.9789731434386653E8,511472.9477584887,526939.6857458197,6.671666666666667,0.0,0.05,0.05,0.05,7.295172287196793,132.551323174193,21.95233283956501,18.288888888888888,161924.60886549225,401.48377615471117,57.840855778083515,90.0,7813271.916846206,2.2386486714740407E7,381135.20008184685,381135.20008184685,445040.5500818128,4497465.577991832,6.415995634226196E8,2.6656304913944808E8,1.0,4.0,1617.5757715629206,228.36277918782505,1.0,3.0,8817.800289447478,110.30422150240899,1.0,16.0,8136.622496806918,138.72068336684723,4.25,4.0,74886.67418167222,117.93331280551955,1.5625,16.0,25284.66937151396,173.2899267321091,14.3125,16.0,104504.02212911365,126.03715225048748,67.71428571428571,7.0,529646.3311919047,81.86197332074873,30.8,5.0,443756.813290659,78.53356817182393,54.625,8.0,486881.3524387349,64.8422571483031,28.0,7.0,228196.08569380405,114.03817147591397,44.5,2.0,304283.69776269037,163.1225051776475,1.0,2.0,3320.086782775732,297.9029668140921
