year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,165479.34505380716,1.791147919548724E7,4894193.291989596,5127625.969829984,1.9418770709572545E8,1883318.1378997336,2006709.3961797091,0.0,NaN,NaN,NaN,NaN,NaN,123.69776828753305,29.394796438626656,69.2,165479.34505380716,2034.1199135529646,110.66086966008018,90.0,3.742148535432046E7,5.231462640916311E7,108220.32518436258,108220.32518436258,108220.32518436256,8556501.843136778,6.471518415944928E8,2.6516193350160313E8,30.0,4.0,-213249.56030196778,234.60290125193788,52.666666666666664,3.0,-57684.92240041273,210.26575182781667,66.8125,16.0,113630.93136085394,103.61723949123216,46.0,4.0,232535.98970425964,121.1655191502731,64.1875,16.0,176789.49272626234,148.9681343234314,60.5,16.0,171302.46449994907,123.76866160748081,84.42857142857143,7.0,286344.27866372245,113.72107588735035,94.4,5.0,277406.29208714503,107.13890218822749,94.375,8.0,277499.0133511864,85.72817457479289,73.42857142857143,7.0,152452.34473744244,94.92534023795598,95.5,2.0,244651.02339000892,101.56007226887098,89.5,2.0,216790.95460414042,86.04933853850207
2,0,139952.05584104842,1.1693656829667494E7,2063714.260070938,2217493.54506644,1.9715917966859522E8,938145.776319954,660457.2060788209,0.0,0.0,0.05,0.05162522221911044,0.05,2.5614085262152266,118.97479965413841,18.85299258467726,40.166666666666664,139952.05584104842,757.26186881787,80.2512554029714,90.0,1.4550837382866101E7,2.7146522408560406E7,102143.99441891952,102143.99441891952,83022.39441893957,4943505.173784919,6.539481770075269E8,2.6619733741780236E8,1.0,4.0,4124.296074493126,225.85292949852604,1.6666666666666667,3.0,11325.673968901834,195.90794364248814,35.9375,16.0,94326.18047484162,98.78821229666345,19.5,4.0,185657.19999624553,118.48887514848687,34.75,16.0,162166.2259553318,138.65349305659942,31.6875,16.0,149678.62373904494,112.6861748863134,52.57142857142857,7.0,158690.7621985864,128.45027371475337,90.6,5.0,262314.1544802557,81.58177104384455,67.75,8.0,167806.93309769133,90.32181306720062,38.0,7.0,145354.5607666562,81.75035276972118,35.0,2.0,50943.96432925637,197.4172592379944,95.5,2.0,209807.05509959284,71.93628594979076
3,0,102144.13493115027,9987495.114299143,2106463.2007397567,2228466.021622415,1.9628311164671066E8,1037548.6265654621,820978.5387997428,0.0,0.0,0.05,0.20211775296944687,0.05,1.4882262869027367,132.13041927451508,23.075672356559323,36.644444444444446,102144.13493115027,845.5951936881405,79.91787926652724,90.0,1.6456139438588873E7,2.564911158239246E7,67640.27254987076,67640.27254987076,32605.872549852174,4484281.219712257,6.441295397772064E8,2.6545131608960626E8,1.75,4.0,-5105.584453857962,220.8336932053237,4.0,3.0,13796.34851299933,178.08101945487124,40.0625,16.0,85619.20563701115,133.38886382682827,32.25,4.0,155028.57842546818,134.34059257537615,32.5625,16.0,122166.61181132511,117.93188790569067,35.0625,16.0,120537.40928232147,136.18377771690024,51.714285714285715,7.0,138545.24829585568,127.41104567730987,71.8,5.0,185164.17999120933,86.4882881546284,39.875,8.0,69456.95645920481,102.89245472382387,37.285714285714285,7.0,93467.88512982255,148.35694527082578,3.5,2.0,-12325.11942572848,203.44773746398573,59.5,2.0,108900.6239647928,71.93628594979076
4,0,51633.343455897564,6411614.105280414,1910333.8228776127,1971697.1924977368,1.966947341393816E8,865873.4164581627,1042506.4708048949,6.671666666666667,0.0,0.05,0.05,0.05,0.14150082625308166,83.92763414732893,30.23351406404178,26.877777777777776,64580.32015758258,1044.7838645845295,79.59802383894377,70.0,1.5678540884306101E7,2.0325541795336887E7,6725.866907152114,259360.0478872251,278272.54788724484,3276008.4631813564,6.404270024339769E8,2.649224963258232E8,0.0,0.0,6317.375,NaN,19.666666666666668,1.0,86019.25572823166,75.66459326770394,30.8125,14.0,53641.92284771151,117.80777611236603,12.75,2.0,63940.32747833297,87.36248590681703,18.0,12.0,38239.07931004459,116.33796229075216,32.3125,13.0,74184.65327287387,131.289900981372,40.857142857142854,7.0,71773.9774462044,112.63645012359437,40.4,5.0,35975.88515456645,78.9110828578007,23.625,7.0,35992.914733693004,84.21434516152307,33.285714285714285,5.0,62921.75899273549,79.79803870714412,6.5,2.0,-2114.7813020505127,117.79531781907582,44.0,2.0,22199.255465909984,71.93628594979077
5,0,35515.252332530414,5796214.888413562,1759133.5901162636,1812392.3557882882,1.9765445351176703E8,702696.1646039815,907186.6853484024,6.671666666666667,0.0,0.05,0.05,0.05,0.05,63.95182828993924,33.11864057852289,23.88888888888889,50992.65349879562,1186.7512873970702,74.97249156751985,60.0,1.5140801305355627E7,1.8337174015283376E7,-3925.2075354834087,186820.64767235087,198836.14767235046,2929695.5447196984,6.392527249499266E8,2.6459440238561904E8,0.0,0.0,4799.75,NaN,11.333333333333334,1.0,-48405.77768803352,75.8,22.625,12.0,24245.787040810963,126.28214572393517,11.75,2.0,28151.68494216379,87.36248590681703,19.125,10.0,17531.36788715663,107.09854027724323,31.6875,11.0,80030.2523981449,100.14168465344946,47.0,7.0,126123.20901433723,73.32396421314081,17.8,5.0,22922.80658606298,66.27629473685802,30.5,6.0,35591.6684013363,101.34129948858737,23.571428571428573,3.0,-5333.263306711917,41.58351663767709,0.5,1.0,4692.046440419392,95.88974971288641,33.0,2.0,3302.3465150806587,71.93628594979077
6,0,27543.74058750294,5962056.121752576,1735677.117481875,1785875.8446095018,1.9871676523892537E8,685012.9829664447,718983.4495525255,6.671666666666667,0.0,0.05,0.05,0.05,0.05,54.07863830249311,35.63002462148994,23.7,43141.32690509749,1407.3859725488526,80.84900102351841,54.0,1.5614057265828509E7,1.8092993918703772E7,117793.5109209487,89074.92765463347,95872.1776546317,2907508.1731154895,6.395316358408976E8,2.6431329090054676E8,0.0,0.0,4148.25,NaN,2.6666666666666665,1.0,-22891.229169753613,75.8,28.9375,11.0,36273.85023986768,127.7701459270724,18.25,2.0,-1084.7310416703695,87.36248590681703,18.0,9.0,-8094.853803600086,86.40251035692096,30.4375,9.0,68346.80385313049,83.37934892619016,36.857142857142854,6.0,103343.74909774125,70.58895751978373,34.6,5.0,-39871.05599778648,83.29279398183351,35.375,5.0,56626.72069729721,95.70671002231617,8.571428571428571,3.0,-1027.9569090445584,41.583516637677086,0.5,1.0,4105.407588725182,95.88974971288641,19.5,2.0,6431.806916532558,71.93628594979076
7,0,17914.083901896407,4809186.201691608,1541230.7844075225,1582153.2321594672,1.999423588700692E8,327542.03635975625,728683.0717463278,6.671666666666667,0.0,0.05,0.05,0.05,0.05,43.64267147608886,38.95026639843453,19.322222222222223,31496.905344056948,1441.1598567420776,78.61686349426073,47.0,1.354332307120038E7,1.5155590622371055E7,-188.5,202692.6529045091,220907.65290450735,2362496.989891108,6.421651393232206E8,2.644398212654942E8,0.0,0.0,3226.75,NaN,3.0,1.0,-20295.6179011154,75.8,23.375,9.0,27881.051341527982,112.99065348467,11.5,2.0,-26105.339802021117,87.36248590681703,9.0,8.0,-12070.501995090322,82.30926576137784,29.0625,7.0,39235.01666245531,65.24946381142396,36.142857142857146,5.0,80818.60300639908,68.36500122859937,16.8,5.0,-52016.35528027067,85.87857682953953,29.75,5.0,54641.024119741705,91.47866398831846,11.857142857142858,2.0,11712.089736434831,38.402837528294036,0.5,1.0,3267.2364187692583,95.88974971288641,21.0,2.0,26321.98467293172,71.93628594979076
1,1,166517.179691059,1.845767389538758E7,4851425.194606477,5056795.457687549,1.9426596317272645E8,1688537.8031965753,1906942.1285184256,179.4970854237825,NaN,NaN,NaN,NaN,NaN,135.04816443059931,29.112070547123665,69.7,166517.179691059,2029.1113171345196,116.98069506561187,90.0,3.732936815248507E7,5.231591432468039E7,-10776.611001746802,-10776.611001746802,-10776.611001746875,8628631.726970812,6.469421577746723E8,2.6538253254741308E8,37.75,4.0,-218032.42576927776,258.83577130140924,71.0,3.0,202984.2675094266,114.59559734173733,62.4375,16.0,215198.16848619631,120.33305637521485,86.25,4.0,237252.2290325046,99.7839284308366,62.6875,16.0,170358.21625104625,111.09361947442538,75.25,16.0,186031.26394579935,127.69313086612631,71.28571428571429,7.0,72002.42262015752,182.81841323650718,67.4,5.0,109520.93048270233,162.3927884208447,65.25,8.0,131156.57541442732,165.3900218817499,92.0,7.0,280607.5506738247,96.09284784799812,73.5,2.0,38466.03775391323,200.66777840467242,104.5,2.0,506626.3166954094,70.67689939418676
2,1,158130.72281842108,1.3220468443798E7,1984401.740539101,2140730.3974987986,1.9723417027501175E8,962273.472749724,668783.048257884,0.0,0.050000000000000044,0.05,0.3293667143008598,0.05,2.512774724954445,129.05783241704722,17.11121520634647,44.0,158130.72281842108,752.8934690792447,70.56034281117819,90.0,1.4466820820628578E7,2.8698585874286063E7,14574.670280886472,14574.670280886472,-2966.779719117647,5418582.521837548,6.523335231891664E8,2.6616037904331365E8,1.25,4.0,3880.3070321478845,263.68817604398026,34.0,3.0,129416.06808310254,102.6862482522683,37.8125,16.0,168057.2455768922,113.44730755985873,78.25,4.0,205752.95935196563,93.11923987042965,32.0625,16.0,113291.11682031181,101.51692911240337,48.375,16.0,170469.78098861832,137.22317926917046,51.0,7.0,170644.6531868198,171.38702077688126,36.0,5.0,105974.25924775927,189.60449769176657,23.25,8.0,150679.71889498184,133.26957988784505,87.42857142857143,7.0,251007.85981732814,90.63295414913684,50.5,2.0,98331.75368288797,133.92374071565382,106.0,2.0,446176.6719527588,64.37571029092817
3,1,109261.49993406236,1.0501822840554185E7,2056879.28252925,2170055.567045065,1.964116826833832E8,1037085.4129534451,907730.452360773,0.0,0.0,0.05,0.12212584643273831,0.05,1.2862018531652235,149.33198065620712,22.086812534534033,38.022222222222226,109261.49993406236,839.7896943686163,74.83635134610702,90.0,1.6343202039251056E7,2.617673703331648E7,5067.905154872038,5067.905154872038,-7145.344845127955,4658524.357612871,6.420906598979783E8,2.654098987440008E8,2.75,4.0,-21416.739760394703,452.98960581663977,61.0,3.0,153033.59470264395,80.67456053901915,32.9375,16.0,101744.5792120356,170.9394597395744,53.0,4.0,83775.18129663111,105.59118669406382,19.625,16.0,41802.65645745695,129.81619021665773,32.1875,16.0,86832.0901778415,142.9300861701817,55.0,7.0,177149.47846034094,175.57586144301473,27.6,5.0,91652.34536505079,135.6216684993673,50.125,8.0,173552.62306833244,124.06345314463334,61.285714285714285,7.0,167271.13759217685,96.93961466591826,49.5,2.0,128037.82385423407,78.79195418892814,104.0,2.0,462614.2794036921,64.37571029092817
