year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,634975.0664568606,2210.8669850356837,2.892508647250131E7,9703580.008012205,9932475.717955435,1.8933056964093646E8,5841462.198916335,3241905.855383958,0.0,NaN,NaN,NaN,NaN,NaN,114.4761468923428,40.327934465588065,54.82222222222222,634975.0664568606,2210.8669850356837,110.26751143067364,90.0,4.067307488978699E7,9.782083087090445E7,706613.2283001519,706613.2283001519,706613.2283001512,1.5310863681838123E7,6.377642010738258E8,2.6093584984859753E8,34.5,4.0,125320.6172508836,220.10583505029555,57.666666666666664,3.0,646283.0466133513,126.68023048824328,60.375,16.0,790339.3246733138,121.76680420233323,65.75,4.0,969495.4869065722,86.92846323220517,63.8125,16.0,937215.0071902326,97.39021221680844,58.0,16.0,738284.7459800717,112.69165550880987,53.142857142857146,7.0,537933.0005277782,102.93677133658609,53.4,5.0,493162.4059781957,76.38823455082088,52.0,8.0,426797.58113887394,77.68750718410338,38.857142857142854,7.0,232628.13588755086,120.98910016460589,31.5,2.0,68374.29781123411,167.20636797280224,27.5,2.0,-17326.02519102581,239.88075909400726
2,0,159370.3113837045,641.7416188243538,9616851.074701535,2331552.8826701716,2421032.969240047,1.9690462740683615E8,1000616.6130031308,1081855.7690179762,0.0,0.0,0.05001282123043059,0.7089386348568395,0.07175318029586476,4.377454189527953,107.98447368198491,38.07300309439146,16.855555555555554,159370.3113837045,641.7416188243538,80.31190772474139,90.0,1.2331119685114048E7,2.66744477096483E7,-75066.94612548809,-75066.94612548809,10514.103874599645,4522195.5453401,6.566853367471975E8,2.6601567174412143E8,1.0,4.0,63536.372448509166,215.34526517092087,19.333333333333332,3.0,142288.1141360706,105.88584529555106,2.0,16.0,142202.09485254347,126.59787883627409,9.0,4.0,155742.6178014985,88.03285362088087,9.375,16.0,123444.05279417752,95.79478543078346,24.75,16.0,73211.71535259875,100.13024089554257,37.857142857142854,7.0,356033.36536965735,73.6554643579633,52.0,5.0,376744.8090555487,65.48469838173837,38.125,8.0,280254.95388803096,65.14236267284522,1.0,7.0,124553.32619017952,127.17084263545927,1.0,2.0,55778.59697837278,167.92262088576825,1.0,2.0,8097.100939226736,218.43717685311586
3,0,150951.22944061644,502.1624966183247,6793016.837200139,2379196.4874562155,2470585.9068228565,1.9577327758596107E8,1237613.6664854812,814023.4270865716,0.0,0.0,0.05000000000000001,1.2141972743444147,0.05,3.720727736733916,113.45291154849967,35.783550827909124,14.033333333333333,150951.22944061644,502.1624966183247,97.04632891514616,90.0,9772621.343838273,2.3358231993494328E7,42875.67972161819,42875.67972161819,62652.129721628444,3616400.061465566,6.503617650629658E8,2.649755783806974E8,1.0,4.0,-2153.808045854974,215.34526517092087,22.666666666666668,3.0,190001.246294184,123.07086362798361,5.3125,16.0,37711.56221495249,122.33425014004962,11.25,4.0,156448.48319688102,92.43852539208423,19.625,16.0,180171.24819325886,95.07213730235999,25.4375,16.0,270264.18829889764,101.32644972184991,15.714285714285714,7.0,243925.2859829604,101.48267192086834,23.4,5.0,283301.21968007274,87.3455543073027,12.5,8.0,177166.9611204061,87.58336533653389,1.2857142857142858,7.0,5194.734477908742,127.17084263545927,1.0,2.0,3077.778467817334,167.92262088576825,1.0,2.0,2119.371664873918,218.43717685311586
4,0,160504.5310521936,461.9642497458285,6102004.316488338,2569510.114112437,2656551.646345285,1.9553831983951294E8,1257758.1911881482,747715.3662149544,0.0,0.0,0.05,1.4276485925480982,0.05,4.056969963034411,108.35643643991767,36.02840769248229,12.822222222222223,164039.4692579253,472.46343724005186,95.95481538885238,88.0,8913152.908394622,2.3358560703092065E7,108639.4037455896,172102.07535860984,178257.9253586108,3439901.6554263653,6.468488191240569E8,2.63944054143075E8,1.0,4.0,-5621.578960534513,215.34526517092087,10.333333333333334,3.0,210526.70005643516,94.1581263752348,6.125,16.0,73232.31978271072,120.72725987883838,27.5,4.0,197937.61378048762,84.44890851821472,22.1875,16.0,303286.8089665272,96.8544268808375,26.4375,16.0,318985.4033282589,95.60962784189478,5.285714285714286,7.0,109104.2020637552,117.178158778631,6.8,5.0,110606.24392418974,99.34571608750008,6.625,8.0,72178.81283910581,89.5437924971929,1.0,7.0,1911.5158078896181,127.17084263545927,1.0,2.0,-507.60271347578964,167.92262088576825,0.0,0.0,4967.25,NaN
5,0,162949.452046932,435.8862964046248,5393722.526443999,2695844.100270714,2778097.699487309,1.9561098217352393E8,1270468.1066496484,680896.2779951686,0.0,0.0,0.05000000000000001,2.24673647608706,0.05,4.033024390877574,83.0009138240519,35.469951786994784,12.28888888888889,197132.49573275514,530.1319821137328,97.16847654798225,74.0,8341679.721818283,2.3007130406043082E7,129398.5688722072,383834.7205013095,370501.0205014955,3232072.685756386,6.460113095058541E8,2.6293655191409755E8,0.0,0.0,4852.875,NaN,15.0,3.0,119857.37955732376,94.88337072158406,4.125,15.0,60584.20189282077,113.885316099662,30.75,4.0,462276.24345610844,96.25311048323823,26.5625,16.0,348720.23189561325,97.71634267675445,22.5,16.0,305602.3141352021,100.7412470546436,5.142857142857143,7.0,58412.074657432655,123.88684445291725,4.8,5.0,53169.7397608032,72.14358799472946,3.375,8.0,33842.48544290675,86.11158271569991,0.0,0.0,4853.857142857143,NaN,0.0,0.0,4852.249999999993,NaN,0.0,0.0,4849.75,NaN
6,0,159732.8957966333,423.06001460347625,5040998.379671946,2647640.4751010058,2765457.6813688716,1.9578677565987733E8,1167176.5949456308,682709.6298026897,0.0,0.0,0.05,1.5259157473381948,0.05,4.3799533744375525,85.87775781544812,36.68150415637077,11.533333333333333,193166.95434725672,514.532450193417,94.60746094022029,74.0,7822680.037712708,2.2198640659408644E7,231338.89011650963,329749.50243240804,311103.9524321625,3085884.569468909,6.471689310996003E8,2.6205814132496437E8,0.0,0.0,5101.0,NaN,15.666666666666666,3.0,149587.37965620286,108.68199340901486,2.8125,15.0,43666.45051759189,130.05436883871567,33.5,4.0,492674.57148708793,89.33397729329319,21.5625,16.0,385235.5988945408,99.58856383374892,19.5,16.0,252719.93330152665,105.60587002922263,9.0,7.0,56769.572359267986,124.47947607985053,12.0,5.0,68618.85670427889,73.60852753640665,4.0,8.0,29195.022915652255,71.5363586701058,0.0,0.0,5099.5,NaN,0.0,0.0,5100.0,NaN,0.0,0.0,5103.25,NaN
7,0,161461.7840292977,384.2365746436174,4525584.757058098,2640560.289697218,2750097.911187996,1.9596228937028325E8,1180854.0850503317,619109.8339329968,0.0,0.0,0.05000000000000001,1.0313764218330808,0.05,4.307486762917259,82.24427466706553,35.50440628123775,10.822222222222223,200624.40364773324,480.29571830452176,92.15519114725699,72.0,6914461.709655903,2.1446022272292774E7,300764.41191568546,615897.1248445003,762351.3248446106,2901893.5378655023,6.500941575111468E8,2.611977685593085E8,0.0,0.0,4810.5,NaN,20.666666666666668,3.0,201564.41397573586,103.70650388854311,2.5625,15.0,48621.54459128065,134.26999915057075,40.25,4.0,603033.9196004891,86.05959938674744,20.5625,16.0,348005.01709601126,98.68623562664207,12.5625,16.0,216033.00301099496,104.51741567081628,10.857142857142858,6.0,95686.04566128575,111.34701165095068,12.0,5.0,137633.833495844,76.28814141196678,5.5,7.0,35254.64000335238,61.685089405692175,0.0,0.0,4811.571428571428,NaN,0.0,0.0,4811.25,NaN,0.0,0.0,4812.25,NaN
8,0,164732.03542213282,368.77820991870993,4401052.472519315,2682359.576850516,2783333.638246094,1.9606747587573332E8,1221417.2246803914,561403.640714348,0.0,0.0,0.05,1.1976538779768315,0.05,4.564087433844971,75.68280785654467,34.39382268671906,10.722222222222221,213526.29257959352,481.0150564157086,91.88448195879607,69.0,6636283.090129266,2.1462166278124005E7,232566.28823688952,4920.34069791995,506.3406979199035,2866035.587288892,6.539961167976944E8,2.6032670375705037E8,0.0,0.0,4405.875,NaN,21.333333333333332,3.0,304891.01629928994,105.27922428715421,1.75,15.0,22044.970706954104,123.34024859119384,41.25,4.0,713166.2344965555,87.8442375745058,24.5,16.0,368739.2468357581,99.4323076835567,10.75,16.0,172614.36759391762,104.18276884215139,4.714285714285714,4.0,108559.89929959072,83.8002501504784,12.4,5.0,143270.29948725476,67.48822762362562,6.125,6.0,62722.69329854677,60.60849865504272,0.0,0.0,4406.785714285715,NaN,0.0,0.0,4411.75,NaN,0.0,0.0,4410.5,NaN
1,1,637045.5044107328,2209.736905710759,2.902450498416907E7,9711347.148746809,9942046.223131731,1.893210667509238E8,5837300.03656852,3249134.42028291,0.0,NaN,NaN,NaN,NaN,NaN,113.81153010334424,40.25021686176245,54.9,637045.5044107328,2209.736905710759,109.27507644265427,90.0,4.065224082458198E7,9.798633622154792E7,748014.0848418339,748014.0848418339,748014.0848418334,1.5346070394314932E7,6.376609808517165E8,2.6093919911383903E8,34.0,4.0,120286.63479258744,223.12260158218393,57.666666666666664,3.0,636375.9443344249,122.04427597340081,60.6875,16.0,797618.1339851859,121.5071450777797,65.0,4.0,950848.5835859152,87.48057529134802,64.0,16.0,944758.6523909925,96.93596190700659,58.3125,16.0,745247.0116092495,110.52021554344532,53.285714285714285,7.0,536712.4886008053,98.93631889763763,53.6,5.0,496480.8514786504,78.62745760812325,52.125,8.0,427041.9855712651,75.39883790271728,38.714285714285715,7.0,234097.38731673118,114.7314018931288,30.0,2.0,47039.396739071264,193.63158608484395,27.5,2.0,-25021.072091227194,245.90690223376902
2,1,159660.31757497572,495.0449738395816,7346839.1238076445,2370048.8386786715,2477940.978164276,1.9686846643690535E8,1199696.7847168606,730911.171547495,0.0,0.0,0.058155686180344286,2.4485646049609247,0.05180368723854549,3.4571544936665317,115.91911880190122,34.75354730543084,14.244444444444444,159660.31757497572,495.0449738395816,93.34154648346222,90.0,9512372.213698013,2.388180079545211E7,50465.12774333416,50465.12774333416,314087.47774373944,3796797.768022622,6.587844714948772E8,2.6580024798667747E8,1.0,4.0,111021.072004936,222.3244164442938,2.0,3.0,-46182.32950373254,145.71563226549918,2.3125,16.0,6752.770745157468,110.26265583716574,34.5,4.0,569584.735727676,101.58256162261702,33.625,16.0,459997.20620155026,100.71943910474741,10.125,16.0,-3134.906178409976,125.7034262857218,11.428571428571429,7.0,6229.928233150301,112.46550218463801,38.4,5.0,83006.9282407329,63.24309384063654,14.25,8.0,280770.5751688033,59.59052123023636,1.0,7.0,223867.1565332834,100.15955800904807,1.0,2.0,45587.979748946025,151.73694062161505,1.0,2.0,2328.205809391433,364.0943009103514
