year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,-532599.9874553888,2605.976642213614,0.0,0.0,0.0,1.9937541493659827E8,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,105.1739452014463,24.77777777777778,-532599.9874553888,2605.976642213614,NaN,90.0,4.793399887098499E7,0.0,-532916.662108806,-532916.662108806,-532916.662108806,0.0,6.66060534460531E8,2.67094267806415E8,15.0,4.0,-558923.4930674369,NaN,18.0,3.0,-557388.3218306749,NaN,19.0625,16.0,-550865.7250174991,NaN,19.5,4.0,-549470.8376068778,NaN,22.0625,16.0,-536978.0196344168,NaN,25.5,16.0,-532242.7796221101,NaN,27.571428571428573,7.0,-522373.44287024083,NaN,28.8,5.0,-521723.6992977755,NaN,30.0,8.0,-516531.26521096705,NaN,34.285714285714285,7.0,-504320.7213107304,NaN,41.0,2.0,-487218.03876277,NaN,36.5,2.0,-502354.17472116934,NaN
2,0,-559634.2349029055,2621.8241939824447,0.0,0.0,0.0,1.9937170916280714E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.76610374649039,24.788888888888888,-559634.2349029055,2621.8241939824447,NaN,90.0,5.0367081141261496E7,0.0,-555857.8267785128,-555857.8267785128,-555857.8267785127,0.0,6.660603463182207E8,2.67094267806415E8,13.5,4.0,-592782.7852548545,NaN,19.333333333333332,3.0,-574350.4531182178,NaN,20.875,16.0,-572391.874803765,NaN,20.0,4.0,-570655.5075932839,NaN,22.1875,16.0,-566396.59494212,NaN,24.625,16.0,-557999.0528596924,NaN,26.285714285714285,7.0,-555306.7702602432,NaN,29.8,5.0,-549057.0915583618,NaN,30.5,8.0,-543753.0852011791,NaN,33.857142857142854,7.0,-533503.7765993216,NaN,35.0,2.0,-531230.8993216055,NaN,36.0,2.0,-531115.241381821,NaN
3,0,-565008.22878418,2613.3390750354883,0.0,0.0,0.0,2.0079932002139497E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.48712427951753,25.011111111111113,-565008.22878418,2613.3390750354883,NaN,90.0,5.085074059057621E7,0.0,-559796.6456063105,-559796.6456063105,-559796.6456063105,0.0,6.658601678468423E8,2.6739811553790927E8,15.0,4.0,-598553.078000104,NaN,22.0,3.0,-580116.8620393211,NaN,19.5625,16.0,-581177.9592934697,NaN,20.5,4.0,-578174.1019209753,NaN,22.25,16.0,-573131.8210943954,NaN,25.5625,16.0,-562757.3660408597,NaN,27.285714285714285,7.0,-556668.112403504,NaN,27.2,5.0,-556396.027570057,NaN,30.375,8.0,-547792.9406908741,NaN,34.285714285714285,7.0,-538145.0101520678,NaN,38.0,2.0,-527552.3093770768,NaN,39.5,2.0,-523643.4009469482,NaN
4,0,0.0,0.0,0.0,0.0,0.0,2.0338402906950074E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,6.673883904302021E8,2.6776800642325535E8,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN
5,0,0.0,0.0,0.0,0.0,0.0,2.064685373666495E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,6.705340590248822E8,2.6819799513764238E8,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN
6,0,0.0,0.0,0.0,0.0,0.0,2.0970447883112147E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,6.750308518371949E8,2.6868355694027394E8,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN
7,0,0.0,0.0,0.0,0.0,0.0,2.129499135982675E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,6.805467840926985E8,2.692211872750964E8,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN
8,0,0.0,0.0,0.0,0.0,0.0,2.1618591532856295E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,6.867448007026278E8,2.69805804015017E8,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN
1,1,-533155.6015257792,2608.5311159177613,0.0,0.0,0.0,1.9937690804947644E8,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,104.76028577982979,24.9,-533155.6015257792,2608.5311159177613,NaN,90.0,4.798400413732013E7,0.0,-531926.5073147824,-531926.5073147824,-531926.5073147821,0.0,6.660604898052994E8,2.67094267806415E8,13.5,4.0,-563832.5187095418,NaN,19.0,3.0,-548862.3491693217,NaN,20.1875,16.0,-546199.375153959,NaN,22.25,4.0,-541923.3366309569,NaN,21.375,16.0,-541195.3164426821,NaN,25.125,16.0,-532592.5502131166,NaN,28.142857142857142,7.0,-526974.0267585528,NaN,27.0,5.0,-527455.374805439,NaN,29.625,8.0,-520668.35338090436,NaN,35.142857142857146,7.0,-503734.2020966914,NaN,38.5,2.0,-497160.4094257761,NaN,41.0,2.0,-491347.8387906803,NaN
2,1,-559623.3345315406,2621.51125000894,0.0,0.0,0.0,1.99374448383771E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.32857700928776,24.88888888888889,-559623.3345315406,2621.51125000894,NaN,90.0,5.036610010783866E7,0.0,-558633.7504002613,-558633.7504002613,-558633.750400261,0.0,6.660600869157811E8,2.67094267806415E8,14.75,4.0,-593277.0280609403,NaN,19.333333333333332,3.0,-573664.3917448911,NaN,19.4375,16.0,-574831.3660412059,NaN,20.75,4.0,-573843.7407817747,NaN,22.1875,16.0,-568101.5868795426,NaN,25.0625,16.0,-557617.7919280635,NaN,27.857142857142858,7.0,-548788.8068831529,NaN,27.8,5.0,-550134.6651158301,NaN,30.375,8.0,-544754.1654617164,NaN,33.857142857142854,7.0,-533691.0944285705,NaN,41.0,2.0,-517996.09711035865,NaN,38.5,2.0,-522876.89348823647,NaN
