year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,-108440.21423126476,1.381969848338676E7,2755624.727423971,2816532.1636338145,1.9651899111852485E8,2387897.969263145,1947771.6501686217,14686.08816446241,NaN,NaN,NaN,NaN,NaN,718.862412708819,92.41096769249987,27.822222222222223,-108440.21423126476,2571.0784789113295,452.08487466404415,90.0,4.729970871954943E7,3.7540089438735604E7,69426.3089313905,69426.3089313905,69426.30893139014,6704626.266537933,6.522780507192239E8,2.6470245065234458E8,15.0,4.0,-246575.26284065572,953.5665538195726,15.666666666666666,3.0,-340105.42817395186,1212.0261654258284,26.875,16.0,-132498.74623811475,837.2160103557018,30.5,4.0,-158078.8794361183,940.7917193545634,22.8125,16.0,-68988.97883848553,705.2224780699385,29.5,16.0,-139630.454777472,721.0070473569282,28.857142857142858,7.0,-126009.31425916897,723.9014558007967,43.4,5.0,74235.10498804753,555.4172856995256,35.0,8.0,-36638.842112879276,445.92585350782673,33.142857142857146,7.0,-3062.606703543075,444.8628790330791,16.0,2.0,-229378.62991430447,895.816145146305,22.5,2.0,-189299.81549466553,475.75054580430117
2,0,64317.45741010778,6964979.286881143,1139442.3787354205,1199319.2395705555,1.981880920657963E8,777171.0012818713,415705.85430427716,61.722031567648486,0.05000000000000008,0.05,0.05,0.05,1.7171218236807122,716.0831778569753,42.01335132648223,12.8,64317.45741010778,537.7708969789726,187.89565149116757,90.0,1.0333291857088542E7,1.6121863023998309E7,158934.87374309322,158934.87374309322,175832.72374309227,2995325.61059316,6.591285164882126E8,2.663963671571688E8,3.0,4.0,-7177.060357723654,954.0983597667379,1.0,3.0,-24417.827007148833,1209.9715383191847,14.875,16.0,63392.4246211353,841.1762678203579,20.25,4.0,89526.67831762762,932.4864087386583,7.375,16.0,81186.72302311573,700.3019822995581,13.875,16.0,54214.81878371674,714.4642842272532,18.714285714285715,7.0,78631.61662980432,721.8321079719015,31.4,5.0,195905.66797466372,550.7369525269918,8.75,8.0,38454.86719719556,443.73744883042474,16.571428571428573,7.0,80040.51847899581,438.05168986228745,1.0,2.0,-17735.647816327488,888.0753692483837,1.0,2.0,-5339.1071678915905,488.61504598974443
3,0,11411.965500383625,5581672.053069912,1086220.7922649467,1127816.7106343836,1.984497120351045E8,814754.9895641946,527745.4017043945,6.671666666666667,0.0,0.05,0.05,0.05,0.4518871088154433,716.4690511715481,62.299348132343226,11.011111111111111,11411.965500383625,685.9850444350237,251.46952599177646,90.0,1.3350038043535441E7,1.4377114938569706E7,20042.388344504347,20042.388344504347,29472.388344504463,2573731.7767562433,6.537934558734461E8,2.6592045660866883E8,1.75,4.0,-49675.927792187766,951.9305218075705,2.3333333333333335,3.0,-55130.34439008455,1211.5102405235368,11.375,16.0,7348.55132624939,838.4684525672106,15.5,4.0,-14431.74661050232,938.4782889834893,8.5,16.0,33995.1103242985,699.6703823701255,10.6875,16.0,-15193.674753490448,714.42640591029,17.571428571428573,7.0,49591.51131504024,721.383684060413,30.0,5.0,149503.15228473165,552.7761180012374,6.75,8.0,-8516.487936748188,446.39311456847975,13.142857142857142,7.0,10293.90606254286,441.1323293336485,1.5,2.0,-23172.40636172761,899.2945808324021,2.0,2.0,-10869.06569333894,486.88901258260165
4,0,19305.208017663103,3325388.1405728473,783200.4636185635,798031.3858928712,2.0014964601755896E8,433586.1577623363,329574.01316594327,0.0,0.0,0.05,0.05,0.05,0.05,61.32376493495418,59.40444953966054,6.477777777777778,57972.452651469604,1282.6960770971145,162.34193645868157,27.0,7424523.97002224,9161992.691611916,2347.1816853013006,10182.505688222402,7646.505688222402,1559707.7112540086,6.527131819659429E8,2.658729503148129E8,0.5,1.0,2068.4693214933504,387.68073062766484,0.0,0.0,2731.8333333333335,NaN,7.25,5.0,4998.377388321565,157.78322059392468,9.0,1.0,-14913.786404472048,109.39521058986082,5.0,7.0,42669.79979101033,291.11242384302426,2.875,3.0,-2527.9742200456785,126.69175198340668,14.142857142857142,2.0,57931.42957918682,184.67601452698102,24.6,2.0,139604.6592016376,125.97723360767917,6.0,4.0,7725.959621278588,221.23607089452958,4.714285714285714,2.0,-16840.033922815703,154.51689862994886,0.0,0.0,2730.0,NaN,0.0,0.0,2740.25,NaN
5,0,13013.60306922323,2035989.681717084,735827.8821716628,745820.5277898558,2.023609555152208E8,252023.70999208826,317465.41465068806,0.0,0.0,0.049999999999999996,0.05,0.05,0.05,45.43020023731007,68.63847107014168,4.455555555555556,46242.64244478656,1196.6968217011658,171.15460949300638,23.0,5852620.064967442,7023844.3411975335,-18337.70631472487,26393.029118493127,25016.52911849309,1068041.2240587494,6.546878245000858E8,2.6605577225980872E8,0.75,1.0,-962.7078324637187,387.68073062766484,0.0,0.0,1611.1666666666667,NaN,4.1875,5.0,-3788.198617220054,157.78322059392468,2.75,1.0,-5741.613986147189,109.39521058986082,4.0,5.0,27136.221109449452,244.23201671484804,1.6875,3.0,-1353.6963246172309,126.69175198340668,12.0,2.0,37230.03988597383,184.67601452698102,21.0,2.0,99265.39617387313,125.97723360767917,3.375,2.0,7887.042892547874,135.57517205853918,1.8571428571428572,2.0,2118.3202301677497,154.51689862994886,0.0,0.0,1607.0,NaN,0.0,0.0,1611.5,NaN
6,0,14607.479013773416,1781089.9575051467,627811.5855392371,636728.4433107538,2.0480486349766442E8,244498.53885955355,222716.79316064122,0.0,0.0,0.05000000000000001,0.05,0.05000000000000001,0.05,39.30007642901138,66.15583567568781,3.8444444444444446,61052.880561980375,1144.4959571893992,167.05500326007638,20.0,4702787.72243741,6017460.833677013,-9718.883282709518,9167.326241351679,8004.076241351708,919589.7270422005,6.583463503963226E8,2.662905889503306E8,0.0,0.0,1339.75,NaN,0.0,0.0,1341.5,NaN,1.9375,5.0,6208.99128013215,157.78322059392468,3.25,1.0,-1170.439216594852,109.39521058986082,3.5625,4.0,17115.399342439174,277.9516188736906,1.875,3.0,2491.069983931753,126.69175198340668,7.142857142857143,2.0,29870.213062719507,184.67601452698102,18.2,2.0,79080.20368952947,125.97723360767918,8.25,2.0,30903.560634986694,135.57517205853918,1.1428571428571428,1.0,5693.28620505145,254.35699322015896,0.0,0.0,1337.75,NaN,0.0,0.0,1337.25,NaN
7,0,15478.103481773858,2084185.3780940368,753987.3069524576,762643.251961051,2.070972175777299E8,184223.57985517028,266257.45239310403,0.0,0.0,0.05,0.05,0.05,0.05,32.947735138085406,71.27966484616337,4.355555555555555,88840.45095426052,1995.8306156925744,193.0481403993255,14.0,5586874.284140465,6979903.597500105,1965.25,42128.89111095696,48746.64111095697,1050682.3602031555,6.627647584262657E8,2.6663180113019726E8,0.0,0.0,1962.125,NaN,0.0,0.0,1964.6666666666667,NaN,4.25,3.0,15486.102892533108,199.27374826035103,0.0,0.0,1961.875,NaN,3.25,4.0,11805.846356233518,277.9516188736906,2.4375,1.0,4836.419935666458,197.275,10.571428571428571,2.0,30529.685366196474,184.67601452698102,16.4,2.0,58563.259250050316,125.97723360767917,4.75,1.0,20963.729443185883,182.72995266239192,5.571428571428571,1.0,25039.782435657722,254.35699322015893,0.0,0.0,1967.5,NaN,0.0,0.0,1969.0,NaN
1,1,-259853.66940016203,9726032.113467488,1782972.568318782,1818874.8078071438,1.9752524599876454E8,1885370.8419597482,1387050.2463636056,2294.699080674016,NaN,NaN,NaN,NaN,NaN,954.7935431532693,135.5324533215261,19.8,-259853.66940016203,2683.542575766217,699.8726364016052,90.0,4.9368705583602905E7,2.5981875337588318E7,-407680.92770341376,-407680.92770341376,-407680.92770341376,4727726.839051215,6.563794558267368E8,2.6523858582965198E8,9.25,4.0,-446584.2011236594,1577.8615164402984,15.666666666666666,3.0,-288991.7711122333,1046.599245945262,17.75,16.0,-309124.968993635,1072.5399765563564,12.75,4.0,-384408.903652615,1313.32586501872,21.4375,16.0,-195560.73994521715,864.6226194827836,19.75,16.0,-277333.8980721778,1049.644746771674,24.857142857142858,7.0,-206179.78920365925,760.4789152820606,27.6,5.0,-182724.41630733473,867.4039823512727,20.0,8.0,-295040.01132848865,781.4133731672127,23.285714285714285,7.0,-129415.05283759304,575.1290865076312,21.0,2.0,-220411.42036781812,850.504774336766,13.5,2.0,-309819.9471036615,899.6808384269561
2,1,-114060.0451266288,6554306.301974492,1054596.4860763892,1089502.8108078553,1.9828435038789254E8,895752.5002538897,728802.1497862446,6.671666666666667,0.0,0.05,0.05,0.05,0.05080740285820124,954.3122379416103,108.7301620655875,12.511111111111111,-114060.0451266288,1360.3351387316836,579.1563802778913,90.0,2.6139052305867318E7,1.5873648244470736E7,-273602.09427617805,-273602.09427617805,-277282.59427617793,2963369.2082299916,6.595289056910533E8,2.6627219744536352E8,4.5,4.0,-225407.27808627684,1577.9198771519068,5.666666666666667,3.0,-150164.7427760294,1045.931762470438,10.5625,16.0,-181772.88123669763,1073.0678070080553,6.5,4.0,-208697.3832193177,1312.6498926044974,17.0625,16.0,-84235.83823200152,863.23988645334,14.5625,16.0,-120793.38134663642,1049.9006943223449,16.0,7.0,-63861.21494615627,759.4149807692953,22.0,5.0,7833.353317531024,865.6961154834913,9.0,8.0,-128567.00483359664,780.1992279747807,10.571428571428571,7.0,-18943.51107343142,574.4418336036791,6.5,2.0,-88007.04350859014,849.1901877258051,4.5,2.0,-72320.56678267167,901.6201832450113
3,1,-183276.66484840124,6022140.534510558,986692.4457471448,1010651.6589836725,1.986318610916465E8,958832.9109681206,795569.388053826,6.671666666666667,0.0,0.05,0.05,0.05,0.05,954.1163662224502,133.8326852366299,12.122222222222222,-183276.66484840124,1622.3495510351472,663.2349168713736,90.0,3.157281685535512E7,1.507791701899901E7,-402460.633961507,-402460.633961507,-404878.38396150654,2804091.595812737,6.537131664251922E8,2.656334821896145E8,5.75,4.0,-325490.8308458268,1576.8502209369963,6.0,3.0,-163436.75732026258,1046.7480756617008,10.5625,16.0,-238700.93391240103,1072.8861200365002,7.5,4.0,-301512.1293218804,1312.6498926044974,14.5,16.0,-212015.38289855293,862.8827565253546,13.4375,16.0,-212969.03174376235,1049.5010591185212,16.428571428571427,7.0,-79475.84694214635,759.954168817559,21.2,5.0,-24975.010845957742,864.630375744017,11.125,8.0,-192047.0450330636,780.2410652813629,10.0,7.0,-35204.73101547692,574.5041404782696,6.5,2.0,-88080.81258153741,849.1901877258051,5.5,2.0,-118717.53074415002,901.6201832450113
