year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,220935.9405872072,2.2691329417717967E7,5553371.597154812,5665733.269621996,1.9364664521271595E8,2561639.891175366,2382367.9121713466,1112.4195371316052,NaN,NaN,NaN,NaN,NaN,270.73402478992256,53.593712429267214,43.87777777777778,220935.9405872072,2351.5730042575137,199.6814168071186,90.0,4.326178852947858E7,6.314602318232722E7,-69944.35081638135,-69944.35081638135,-69944.35081638131,1.0641425949028218E7,6.431543093522811E8,2.6449901433952212E8,24.75,4.0,31412.15926586876,263.01532261917936,24.333333333333332,3.0,-110495.4606534604,627.4360919016073,47.0,16.0,337989.72546869866,119.69568098311171,17.0,4.0,-321710.06647021533,1010.0362267353423,30.9375,16.0,243911.4699834882,211.49747743263677,26.875,16.0,-58721.36781347814,385.1041779029827,93.14285714285714,7.0,840354.8492647704,54.127622799775544,79.2,5.0,687956.6211095464,84.23497972153214,65.125,8.0,412401.4555422006,140.7863937773063,48.714285714285715,7.0,109721.26888182701,274.1026844814056,37.0,2.0,-9833.356555012715,383.78263448719827,24.0,2.0,-181912.7211972085,659.073454050824
2,0,198626.33240787158,1.5579165760925086E7,1173106.0918973864,1279422.3664815684,1.9809758224681875E8,628565.8127372657,675137.4255965512,0.0,0.05000000000000008,0.23065118191055423,0.054775452862518136,0.05000000000000001,5.790237466978059,228.87748764031772,19.8961928894197,24.322222222222223,198626.33240787158,483.91962483266366,70.98872796259178,90.0,9298570.210621482,2.7174940127328593E7,3862.7912050968553,3862.7912050968553,-11180.508794903144,5840953.054278485,6.501457670333726E8,2.6652134549231812E8,3.25,4.0,29310.613893635385,234.490826828073,1.0,3.0,-978.3440976006386,641.8416179245468,9.625,16.0,88162.65815415345,94.88147238540073,1.0,4.0,-13513.93195039418,984.2085290231516,2.5,16.0,7240.057585933755,78.8858629593331,1.0625,16.0,9874.741367996696,399.37143207653816,102.85714285714286,7.0,735892.5696963288,43.24054347267342,66.4,5.0,727181.9281892563,55.45634138057036,96.5,8.0,808831.1149984088,49.954126469017005,18.571428571428573,7.0,114028.77265582784,246.47119023096687,1.0,2.0,40232.785617385845,309.9374227541582,1.0,2.0,-2397.310567241948,651.829815810459
3,0,172727.56558434071,1.3195515389271373E7,1293678.80998088,1388389.766425604,1.980900514779882E8,780451.2823190098,830691.3258268954,0.0,0.0,0.049999999999999996,0.05,0.05,8.07931528727264,233.99986080039812,23.209054040356246,21.522222222222222,172727.56558434071,499.51041862411165,72.98692859427955,90.0,9721057.472640703,2.5266538375231594E7,8532.995181235263,8532.995181235263,-6216.754818764739,5187255.736781766,6.37473461231345E8,2.66063634627893E8,1.25,4.0,10241.111421777414,242.57200499101629,1.0,3.0,3387.1129594756108,641.8416179245468,8.6875,16.0,76587.19183166677,99.65127531400965,1.0,4.0,-8636.60789065357,984.2085290231516,5.4375,16.0,36468.022687980156,70.0437749472509,1.375,16.0,5925.228863980322,415.8927594471485,88.0,7.0,645565.2721925922,54.36953990232395,59.2,5.0,540365.188452159,45.43210590595363,88.375,8.0,769746.9219605437,63.427833508847144,7.142857142857143,7.0,33510.946949500976,256.2602049422009,3.0,2.0,8388.95521426889,308.9553453422649,1.0,2.0,-2449.1534593140386,665.5167123371133
4,0,156654.47681299155,1.1493637234338809E7,1278209.5367400658,1355189.9387423524,1.992171642402788E8,698313.395029061,797342.7243284365,0.0,0.0,0.05,0.05,0.05,7.000571939852927,87.19174053441994,24.141559883121335,18.877777777777776,209085.7289874127,621.4622763851993,79.40554395421321,66.0,8793045.607859282,2.2891948521028556E7,12465.25,167038.6961317401,114714.496131738,4593814.07745411,6.290648951664553E8,2.6572783173927984E8,1.0,4.0,5423.0007590133155,225.2843957551384,0.0,0.0,12463.5,NaN,7.3125,16.0,81514.90493877568,90.59659784479568,0.0,0.0,12463.75,NaN,2.8125,16.0,35035.16709303919,71.93299124256471,0.375,2.0,11057.056064865628,435.8521079246103,81.14285714285714,7.0,684468.3675547099,88.53040075147666,47.6,5.0,400353.79380339774,66.35267854887856,85.0,8.0,614705.783774883,62.08250547867772,5.714285714285714,7.0,28120.018548250362,243.83240648406084,0.5,1.0,7894.709324761068,318.9783366076762,0.0,0.0,12464.0,NaN
5,0,137593.73617890806,9038836.240216581,1379844.4141580206,1443161.0034697477,2.0070221448077443E8,523482.45943686954,699930.8269188708,0.0,0.0,0.05,0.05,0.049999999999999996,6.672414596954356,60.87919861589968,25.400338867682603,15.477777777777778,204555.0975610462,599.7063058081671,65.90907796067137,59.0,7523632.997739483,1.9907069253841087E7,10156.25,260284.35762025835,569646.0576202511,3746072.6263268413,6.25487807005232E8,2.6561726276255167E8,0.0,0.0,10152.125,NaN,0.0,0.0,10151.666666666666,NaN,4.8125,16.0,67507.18502683059,89.2778190147378,0.0,0.0,10148.625,NaN,5.8125,16.0,30025.792477495503,70.77281510549474,0.0,0.0,10151.40625,NaN,63.142857142857146,7.0,495370.7419830658,60.790609120740505,29.8,5.0,408855.8417312893,71.73429040791792,74.625,8.0,601396.8260831395,52.54472214106971,5.0,7.0,26453.443547069437,244.8220337848457,0.0,0.0,10152.25,NaN,0.0,0.0,10150.25,NaN
6,0,132457.3962741036,7758266.683715615,1402648.0519487488,1480540.9194154758,2.0226330437606564E8,601137.1040642345,659640.0059287382,0.0,0.0,0.05,0.05,0.05,6.524208006343284,62.14327951731218,25.72642365730967,13.833333333333334,197883.299401175,542.8711432771278,65.81540992608655,59.0,6580515.036095833,1.850168070076548E7,7941.0,410095.63518531155,573159.035185347,3357828.792061746,6.24983365197925E8,2.6546057371163797E8,0.0,0.0,7938.0,NaN,0.0,0.0,7938.0,NaN,3.125,16.0,53536.245430227544,91.49953189246092,0.0,0.0,7937.0,NaN,5.375,16.0,36885.35068183718,76.2381492351129,0.0,0.0,7937.4375,NaN,44.0,7.0,508082.2376019322,54.693914650055056,29.0,5.0,309558.9224042416,57.425504671262125,79.25,8.0,621880.0325091418,65.3728469437176,3.142857142857143,7.0,21279.798795488896,245.1606510086398,0.0,0.0,7934.999999999996,NaN,0.0,0.0,7934.0,NaN
7,0,130209.89686198656,8373161.03497947,1373641.5971923678,1446842.5245760237,2.0383465462007624E8,553462.7926635967,526263.9108762471,0.0,0.0,0.05,0.05,0.05,6.13505041558791,63.087628533706486,27.543862007883387,14.344444444444445,197779.7709927378,613.0883767616801,76.16985135621299,58.0,7109978.093021029,1.8828868810599893E7,7742.75,249634.23115618475,179379.981156181,3487881.884200138,6.251522930170436E8,2.6539383659888992E8,0.0,0.0,7740.500000000002,NaN,0.0,0.0,7737.666666666667,NaN,3.625,15.0,42963.61535961008,96.0195660447835,0.0,0.0,7740.875,NaN,3.5625,16.0,42788.37559181815,65.92744645386023,0.0,0.0,7739.0625,NaN,60.57142857142857,7.0,461460.0233740496,100.12201030291521,32.6,5.0,317415.9871175711,48.97197923616128,71.75,8.0,648306.0126589005,59.737807026304445,2.142857142857143,7.0,14740.380268361852,251.30535851263127,0.0,0.0,7739.0,NaN,0.0,0.0,7743.25,NaN
1,1,409549.5933907991,3.460839962153438E7,5130958.544068672,5270056.135326479,1.9403824037140298E8,3233698.3191275056,2198827.73407813,0.0,NaN,NaN,NaN,NaN,NaN,220.5515871552975,36.57134428178477,59.111111111111114,409549.5933907991,2161.7727953232775,132.2625139767464,90.0,3.976989955864091E7,7.662936296381284E7,547129.07061126,547129.07061126,547129.0706112597,1.4505291624966608E7,6.311569806567717E8,2.6378465152707675E8,18.5,4.0,-275297.47396658664,708.658620496631,9.333333333333334,3.0,-417406.52283569024,1593.825767059184,44.5,16.0,272117.5382109941,169.88659719792693,46.0,4.0,290270.6088961111,160.42189532068934,59.9375,16.0,490377.33108259045,95.51893262019499,75.625,16.0,591970.6579114404,82.4241545898344,86.14285714285714,7.0,744594.2747328354,74.90200209931393,24.2,5.0,74820.07925684778,497.88477193939923,95.375,8.0,857311.3502371467,60.14838725148147,72.57142857142857,7.0,521990.2942640381,136.22932537015336,56.5,2.0,266373.2623642158,209.45510250329863,22.5,2.0,-125543.85360372969,579.5640370004635
2,1,222893.24888142737,1.6543200801665558E7,1210158.61378013,1342939.4880924558,1.980364157495225E8,718888.8679127869,681043.5183112815,0.0,0.0,0.534413820132655,0.05606701306766145,0.05278753327024295,4.425247018821893,185.71045968869294,17.5143425714062,25.77777777777778,222893.24888142737,451.480830729582,62.09690383905871,90.0,8675278.958657656,2.8735671357988995E7,156147.2542295207,156147.2542295207,-1488.045770846319,6211787.594525885,6.489932476157061E8,2.664208617726431E8,1.0,4.0,-9404.159207294098,649.0299863660499,1.0,3.0,-30941.037078382757,1589.3979610308613,3.75,16.0,179330.91369980527,67.91289043104575,2.75,4.0,182769.72549023066,91.64192842778104,4.5,16.0,194150.6029716802,79.79858923958878,36.25,16.0,171199.49660008674,74.31097925901368,91.28571428571429,7.0,660076.7814363794,45.498974606122935,1.0,5.0,47353.08944314873,455.3601762974164,105.0,8.0,462990.6245942317,53.61772091061192,14.285714285714286,7.0,271444.0131866791,127.17650027153054,2.0,2.0,143050.07099585712,187.9921770726429,1.0,2.0,-1289.5576180066564,570.1225798896234
3,1,204068.59168570957,1.677198818240556E7,1370656.5811401482,1451788.8551272058,1.979556346810378E8,991712.363093402,696893.8733638116,0.0,0.0,0.06793868870141614,0.07055765150968847,0.05,9.104230598422538,182.0787208432829,22.740690771685838,26.77777777777778,204068.59168570957,608.9451639973652,65.37110012733838,90.0,1.1850761203200705E7,3.0216934454915732E7,72726.95702855563,72726.95702855563,383966.4570286194,6400518.915569237,6.328425570076729E8,2.6574119816871276E8,1.0,4.0,-10214.868042114482,652.6425185543768,1.0,3.0,-31996.022785626817,1589.3979610308613,11.0,16.0,71253.4911241938,70.73594804411135,4.5,4.0,51995.44838409328,110.83773281582796,24.125,16.0,60991.34319289658,77.07556115550092,37.0,16.0,247445.2962519912,42.143723602366244,53.42857142857143,7.0,648547.7762793555,58.518555342131485,1.0,5.0,1694.7842561979937,457.1709751187753,89.125,8.0,859734.8249297666,59.217105455807555,19.285714285714285,7.0,109095.14382966378,123.67603949702264,1.0,2.0,17000.38010588719,171.9370786795252,1.0,2.0,-1928.4060482558707,573.4291110084664
