year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,211903.5591603837,2.229285029172709E7,4897078.958056662,4991348.726818613,1.9426998344338417E8,2934949.859580235,3671010.8356574015,6282.195752438306,NaN,NaN,NaN,NaN,NaN,156.23538697506953,52.52585125880165,44.53333333333333,211903.5591603837,2339.1512427253,144.25160211718875,90.0,4.303312333176019E7,6.2104443656194724E7,283008.49293418974,283008.49293418974,283008.49293418974,1.0825108778689338E7,6.437997753185431E8,2.6412323572578037E8,25.0,4.0,-112786.29624999691,286.06806204376204,36.0,3.0,138122.2323357993,133.852220695655,35.25,16.0,128363.52925729366,184.51167680676667,41.75,4.0,155653.2646582615,112.65903120830937,37.4375,16.0,139692.37573939268,162.705561720927,42.25,16.0,195410.25728242856,154.49572434779745,66.0,7.0,486570.7064462825,114.855032758726,56.6,5.0,397394.4405632869,133.00346168113975,58.375,8.0,373940.8520111845,111.28276843910703,49.142857142857146,7.0,180594.10337406877,171.86726151049342,50.5,2.0,202177.38757863396,161.60743430438546,68.5,2.0,508509.8472613004,75.88100112064433
2,0,122970.6859541662,7706137.756488871,1302765.6550123729,1435708.818178648,1.9793875129269478E8,843909.2227304624,1059240.998938832,225.87780784175146,73.20385342038212,0.05001843942124675,0.45786370788424796,0.057468626520863174,5.503285970063356,125.6635108955429,27.746080364856184,15.011111111111111,122970.6859541662,416.49949525467446,69.15513072141277,90.0,8003030.09953722,1.9070391835411735E7,-5951.1364233283675,-5951.1364233283675,-2593.9364233335523,3564861.7040876187,6.582985746166687E8,2.6630002339509457E8,1.0,4.0,1733.0816753395384,245.73449616022538,1.0,3.0,23676.188843864828,136.50828721586706,1.6875,16.0,22288.960192417217,162.37876859093552,1.5,4.0,-23220.237041797805,99.52663407076298,1.3125,16.0,10411.79724213313,128.873273435754,2.375,16.0,32228.892925636348,117.92675238759705,68.28571428571429,7.0,419577.1923518261,74.78499099284927,42.2,5.0,450137.4114851354,165.0331523358869,34.375,8.0,345518.6458189491,69.09867393412102,16.142857142857142,7.0,135520.0245422651,100.12889752007716,3.5,2.0,-3773.245478875626,151.01268669120242,84.0,2.0,575218.5668840259,33.95407063671445
3,0,104174.06338506583,6762963.130835594,1306411.6779739233,1396745.2573972975,1.9791246291582134E8,962767.0644847563,1178166.7981058613,0.0,0.05000000000000008,0.05,0.10990297359461534,0.05002188898273578,4.0355402902672655,124.00042435959325,32.16502869104331,14.133333333333333,104174.06338506583,454.5990721667455,66.80362830247078,90.0,8846991.257432817,1.8222656962088782E7,3916.2490277464676,3916.2490277464676,-3678.800972253531,3293186.3633571453,6.517617022035164E8,2.656636550840076E8,1.0,4.0,-3800.6494701872352,245.73449616022538,1.3333333333333333,3.0,1297.90574736704,136.50828721586706,1.4375,16.0,6795.215005040747,162.97432830744026,1.25,4.0,2672.1782854533158,122.24759308493789,1.25,16.0,3790.424447017921,140.10899131457398,3.6875,16.0,20961.62514145947,123.43969222403882,50.142857142857146,7.0,431849.79308013764,70.1538907260023,36.6,5.0,278495.44365821034,85.58111543645562,28.75,8.0,281749.9577486837,72.302644149806,30.142857142857142,7.0,132992.78638087786,84.68129883114223,10.0,2.0,2329.1309451860725,147.9303599846687,81.0,2.0,633248.2201292333,34.0915034741068
4,0,79552.23713660521,5173077.679226576,1316079.969146887,1399548.303922245,1.98959410012081E8,905720.9758681057,1159598.4406559004,0.0,0.0,0.05,0.050128419626021374,0.049999999999999996,3.0835320619403745,98.62059097991694,39.53003057401841,11.822222222222223,89779.75116828442,532.4044624146277,67.19560639154804,79.0,9016794.230521161,1.617649557281562E7,3979.2908834526606,1848.569813525126,-4213.930186474876,2758194.646025961,6.489881738128908E8,2.651159629049068E8,0.0,0.0,6101.125,NaN,1.0,3.0,866.4558348429224,136.50828721586706,1.5,14.0,12145.842220454431,162.15456781934708,1.0,4.0,2029.2773838013873,122.24759308493789,0.875,14.0,3200.444386329107,128.86561567923673,4.0,16.0,23712.025230604497,126.3470481279387,33.57142857142857,7.0,282373.69580108416,74.22139213696116,30.8,5.0,184310.07986001304,72.29643937873514,32.0,8.0,196394.6028546705,68.4793483889865,23.142857142857142,5.0,153183.74372085088,57.73348379489769,5.5,1.0,13202.74984847405,98.15713427821592,68.5,2.0,465816.2886843018,32.90566648048917
5,0,75502.97896985523,4477051.041316271,1358603.291879062,1407849.237228706,2.0044014454388276E8,615052.9674547378,973016.9620843495,0.0,0.0,0.05,0.05,0.05,2.810162108363809,36.1982750191034,41.485945157829676,10.0,167192.92582787105,957.3679651806849,67.15578821858456,39.0,7939234.893327393,1.4734503000614738E7,5387.5,145295.85394961038,171695.55394962296,2383110.3759556157,6.487997685865761E8,2.6489861334042832E8,0.0,0.0,5385.75,NaN,0.0,0.0,5386.666666666667,NaN,2.625,4.0,19155.619806173047,109.10723071252684,0.5,2.0,3677.3788628302664,129.28667358499368,0.1875,3.0,5295.1170969763025,125.68623537568395,4.5,3.0,34680.49545116523,123.33375372724483,18.714285714285715,7.0,133496.75545545996,74.87874422414492,27.8,5.0,218063.7638776403,72.21604728511593,34.75,8.0,288101.0604096544,68.83417353202489,20.285714285714285,4.0,138217.07572951293,58.97876040365303,0.5,1.0,6478.379653234413,75.8,45.0,2.0,243337.49694995047,34.08131926250971
6,0,63014.031456563476,3298715.449675581,1305277.5277716964,1348629.7024490118,2.0208899607251787E8,452020.90679204813,815938.7542257652,0.0,0.0,0.05,0.05,0.05,2.0057464066378627,29.76080415187188,45.974719865272846,8.033333333333333,159978.00973796216,977.6388959585961,66.35623930178224,34.0,6829178.926150078,1.250044175723904E7,4146.0,266952.80505597615,241394.55505580973,1884237.2239193222,6.513789614686269E8,2.648892440793915E8,0.0,0.0,4146.625,NaN,0.0,0.0,4143.5,NaN,3.1875,3.0,33976.943971229106,105.21852298104427,0.0,0.0,4142.5,NaN,0.125,2.0,4168.271129431354,139.9643831134683,4.875,3.0,46977.41915456758,122.86031781762226,21.571428571428573,7.0,122957.27118764378,70.20751892160763,24.0,5.0,179730.6944389387,71.98644017233751,19.0,7.0,162820.3873375978,70.2751126404618,13.571428571428571,4.0,99035.46193158336,56.88217857447336,0.5,1.0,5537.351530756627,75.8,36.5,2.0,248736.63860774273,33.83387447573286
7,0,63542.30275119319,3006395.916540133,1317919.9525310532,1358406.4010005216,2.0371669396749896E8,370076.1842012534,743766.3734492308,0.0,0.0,0.05,0.05,0.05,1.9517725175380674,27.020764096106145,46.391367985937414,7.466666666666667,178073.4918583028,1005.6451382758047,67.76935045062206,31.0,6233380.65457404,1.1952187902180307E7,3365.0,169440.42110134475,202972.52110131457,1744620.6117251352,6.554119761676211E8,2.6500411802177188E8,0.0,0.0,3363.375,NaN,0.0,0.0,3362.1666666666665,NaN,3.25,3.0,41361.69576425114,105.44321171426874,0.0,0.0,3366.0,NaN,0.0625,1.0,3724.3210906604563,149.43205889299657,3.0,3.0,29609.33857055081,137.20701611629502,21.285714285714285,6.0,158509.76214744872,64.52691076442868,17.8,5.0,150435.84127632118,74.31984234485928,22.625,6.0,205248.96649278,68.59804536951243,15.142857142857142,4.0,105434.34080476096,61.11261783584801,6.0,1.0,15017.815773337672,66.95666666666666,17.0,2.0,107431.13513199962,36.364969863431675
1,1,201201.71924751205,2.150850805182631E7,4980094.21856328,5072642.9092220925,1.9418975499158776E8,2988794.421453793,3508128.9066424156,1506.3344385556877,NaN,NaN,NaN,NaN,NaN,151.2263595515692,53.8714881048165,43.63333333333333,201201.71924751205,2350.59259764016,139.36027240273538,90.0,4.324370716051234E7,6.135186189278843E7,174356.7631227483,174356.7631227483,174356.7631227481,1.0560331933121003E7,6.445958044599975E8,2.6406607368597335E8,24.75,4.0,-115913.18921694651,276.5898063523212,40.333333333333336,3.0,243310.79607932092,117.90444769331907,35.5,16.0,112692.73415856624,175.55450685874192,34.5,4.0,77225.68977818431,216.2488110422642,36.1875,16.0,101260.19532800702,155.30649533898242,44.0625,16.0,233295.80114908898,135.35943806543352,51.57142857142857,7.0,281872.0280577842,145.4329370732807,64.4,5.0,503004.6676342903,95.67710729566895,57.0,8.0,348847.1852259968,115.55653958871616,55.142857142857146,7.0,334502.4853183356,129.90340663623746,58.5,2.0,290354.3991810239,119.6919118935605,37.5,2.0,87930.71982413204,128.10070991529145
2,1,121896.78226259237,8728255.081368297,1294436.1567539126,1403380.3111246314,1.9796703680666155E8,754733.1110361309,978747.4219037566,0.0,0.05000000000000003,0.05,0.14652054385339833,0.05044223017099746,5.271743368804996,130.90923000332367,29.191253548451716,16.055555555555557,121896.78226259237,468.68179308347476,73.3029899336896,90.0,9005724.656046351,1.9976435059679847E7,86763.41597073137,86763.41597073137,4574.56597073508,3811108.048938067,6.573401256564653E8,2.6640364733482608E8,1.0,4.0,8248.2726832457,258.79338072509836,1.3333333333333333,3.0,13325.306366529258,90.68137474676858,2.0,16.0,28972.64174492226,143.97057126941735,1.25,4.0,35122.466266450494,189.84595099556665,1.5625,16.0,12237.177780960272,140.26519856464915,4.125,16.0,78423.69254923194,113.69666738264752,46.714285714285715,7.0,246783.383468184,119.71624202443809,68.0,5.0,566957.965645878,53.14520273501497,40.0,8.0,313789.36397686705,81.9463238601249,42.714285714285715,7.0,229794.72429470604,147.31840552199392,10.0,2.0,57021.33097233675,194.95448884100705,1.5,2.0,23960.58960193896,83.93106932281323
3,1,87607.35488622032,6004223.9913946465,1328673.3806846791,1418113.2375167783,1.979190728522077E8,712548.002910595,1070063.9208626556,0.0,0.0,0.05,0.05,0.05,3.5207260421713746,134.60548121708192,36.163467649486705,12.688888888888888,87607.35488622032,458.87422284126467,81.42882985359272,90.0,8930229.408512924,1.68148913482725E7,9671.562506977032,9671.562506977032,1940.562506977019,2940665.3738905615,6.516067133532422E8,2.660304333146729E8,1.0,4.0,-3837.8935772344466,258.79338072509836,5.666666666666667,3.0,28933.17647413992,100.74941076841439,2.1875,16.0,14135.18179138307,156.04320245209155,1.0,4.0,1855.887936390016,184.14077562615793,1.125,16.0,3270.22964239437,167.36899177191742,8.125,16.0,28993.377692022434,117.00969168218948,39.857142857142854,7.0,337545.31951114343,120.76506813181149,29.0,5.0,193332.40290637856,71.06157347383623,41.5,8.0,297278.575697844,82.68249556353062,24.714285714285715,7.0,190150.2829740424,86.13955587630106,1.0,2.0,4161.69111205871,176.83994480274688,1.5,2.0,8163.293576462347,87.48909389411037
