year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,645650.4071926507,4.009467812153515E7,7302594.374411628,7486792.813169845,1.9181346052657872E8,3607936.5237013064,2622282.0467978157,2937.4692622623866,NaN,NaN,NaN,NaN,NaN,92.150562084106,28.855173323413755,70.11111111111111,645650.4071926507,2023.068263008231,82.84706368843283,90.0,3.721832583392069E7,9.532686248125926E7,678697.2253317281,678697.2253317281,678697.2253317288,1.7224361108763598E7,6.257198007104274E8,2.633876199441229E8,29.5,4.0,155962.05994979577,248.71632672822818,57.0,3.0,503347.5278689745,100.62257695404391,50.0625,16.0,492814.7764687395,118.17241827589781,62.25,4.0,580612.5598497139,70.86259933473616,57.8125,16.0,560963.0870450437,99.80817877764063,73.6875,16.0,661785.2501991133,83.38756279682158,89.14285714285714,7.0,846401.405864236,59.41568010786764,92.2,5.0,824986.5988491056,61.286969739099185,101.625,8.0,981794.9248030586,52.36350601291122,84.14285714285714,7.0,710054.648253868,70.59442333959058,93.5,2.0,752028.1949432675,82.15713343207591,96.5,2.0,912322.3018719982,45.874353527322256
2,0,215517.74900880828,1.6276852302447682E7,1237198.7654559729,1376134.5660262397,1.9800020765674126E8,713639.5646313954,752993.5658205918,304.4086982343152,60.64335944596074,0.3831175632755247,0.09366101404249426,0.2712948924895701,6.202782985902538,97.1020610297823,18.79580866002776,25.511111111111113,215517.74900880828,479.50196314915263,64.54162627178094,90.0,9213653.850973902,2.8610251261768263E7,128298.69429138614,128298.69429138614,47092.94429276809,6135969.194056016,6.494860986454587E8,2.664250574993429E8,1.0,4.0,136684.62580803913,239.21454025888494,2.0,3.0,75710.43609458202,65.30479572928301,1.6875,16.0,140134.2520813612,135.76602377069486,2.0,4.0,31397.125663958926,55.37817233507877,2.1875,16.0,120057.19446920344,98.26229247506672,5.9375,16.0,115520.77910067544,96.7996934044802,57.285714285714285,7.0,88753.25028649466,64.29309948196433,86.8,5.0,645255.1626043287,63.53754245942076,101.75,8.0,765839.1644722742,55.2811890247884,37.857142857142854,7.0,332414.9591437461,84.65604905918761,12.0,2.0,-85723.91666390985,86.38677436827835,91.5,2.0,178012.36235873098,48.14864384640275
3,0,189733.6303651526,1.663629975218155E7,1254443.8526325452,1364525.1626851624,1.98010353306988E8,953544.0774365086,680916.5235805424,547.3883333333333,23.950441176470587,0.1836892710866139,0.2194089347885272,0.05,6.340067474182918,110.27990432969614,23.733517777969027,26.711111111111112,189733.6303651526,633.9486304248616,80.9963608034199,90.0,1.2337349055503717E7,2.941337578836006E7,66668.82584818048,66668.82584818048,66997.32584791048,6313057.643145255,6.334083170213988E8,2.6578309141512918E8,1.0,4.0,7145.655963790159,239.21454025888494,6.333333333333333,3.0,16397.76997344031,150.9365457116159,3.4375,16.0,19787.86022850707,133.5780584151172,20.5,4.0,57698.70957823677,81.07108517720313,18.375,16.0,59863.49718164815,91.70201656222311,18.5625,16.0,66187.98919474626,117.3305418829281,56.57142857142857,7.0,467266.21883165365,78.00272478924057,74.4,5.0,578150.8674230961,83.37812447591577,84.625,8.0,693472.9680272769,66.38842621483718,10.285714285714286,7.0,202657.67755417785,129.72323976102624,31.5,2.0,143900.97591072798,88.31280619134955,36.5,2.0,509109.55362045625,65.38199234815754
4,0,154664.56582055695,1.2979318929366155E7,1339656.5434635305,1446211.026948703,1.9903753911405283E8,669554.1053346357,736227.0192388967,550.075,0.05000000000000008,0.05,0.05000000000000001,0.05,7.243729082352205,129.1939907422925,26.776929888709734,21.255555555555556,154664.56582055695,569.1585208566858,97.19242075860849,90.0,1.098127085163292E7,2.4901081775483645E7,56369.51616590953,56369.51616590953,38762.566165911405,5070604.709339036,6.23773332542189E8,2.6547264432450414E8,1.0,4.0,7203.244168944111,239.21454025888494,10.0,3.0,76908.19932121217,137.55216521892348,4.0,16.0,28667.88198273025,141.42104730659787,6.5,4.0,71118.48639800449,103.8460919063038,9.0625,16.0,70625.23747702423,133.7319962169128,25.4375,16.0,134315.44610251833,114.30204007832907,71.14285714285714,7.0,362805.8125832287,88.87800395059635,63.6,5.0,418058.06929012743,99.46116942420925,47.125,8.0,520072.00012306764,108.98592714637519,1.0,7.0,36985.66490538011,167.61199606531747,5.5,2.0,109881.20316322986,88.46817169119629,13.0,2.0,184446.62922021432,134.85959853676445
5,0,137910.01143727923,1.0470315276069691E7,1374033.542115506,1446954.7861564562,2.0051607328028914E8,626473.9504581896,720807.6399473117,299.3913914741089,41.805,0.05,0.05,0.05,6.579671007139438,104.32527318157454,27.839983410780032,17.72222222222222,174112.30184793044,634.3539077170593,98.80815793282154,70.0,9442013.457191579,2.1853914486546885E7,46109.96751214942,331189.4781934265,282274.72819343104,4246766.744528612,6.190677036411457E8,2.6524548892074567E8,0.0,0.0,11132.799999999996,NaN,13.0,3.0,110162.14861353533,104.3700296019082,2.75,8.0,37035.62533592487,131.46640756964274,4.75,4.0,52018.316555716534,109.71531622383674,5.125,11.0,57962.33816434299,153.83260304659427,22.5625,13.0,170573.6627532198,101.32134461066849,62.42857142857143,7.0,430315.5802154342,95.01769949422415,55.4,5.0,381275.89864212845,102.84053238228444,21.25,8.0,244230.06135203515,219.97293626458983,1.0,7.0,8842.6152520532,167.61199606531747,47.5,2.0,163327.69307976327,89.31783834556893,32.0,2.0,159340.6793884975,142.60308049809947
6,0,125856.97651282305,8725904.132730838,1435561.12221017,1514119.5321875792,2.0203905340330148E8,469580.9831490782,673634.0928086971,550.075,0.050000000000000024,0.05,0.05,0.05,6.128132076296104,105.03890402793101,29.629409290177772,15.233333333333333,168486.44372960716,615.4836384368746,101.2049669430601,66.0,8345810.833684074,1.967293871983762E7,17377.777465050807,130043.18322981661,209606.58322980307,3642736.1699385745,6.180317253264712E8,2.6522295594236767E8,0.0,0.0,8618.674999999988,NaN,17.666666666666668,3.0,139339.48349970893,125.64805961465082,2.75,8.0,34505.47170805627,134.67575479766074,3.5,4.0,50085.34845517119,104.43369322699324,4.0,11.0,52976.69038391044,143.3912704801561,27.0625,13.0,174657.33542973595,103.45960109345057,60.285714285714285,7.0,442222.98077519605,87.20437575481994,62.4,5.0,406951.2233099411,98.5634024305648,1.0,8.0,88547.76743512944,306.888710121438,0.42857142857142855,3.0,7748.837128832587,167.61199606531747,8.0,2.0,181701.66071832745,84.47126734338164,1.0,2.0,111858.53934571159,214.50086829661086
7,0,120251.7394882169,7925891.360375955,1419791.447523869,1488916.2176425087,2.0357368274472463E8,417024.00767948874,517549.2315169073,546.045,5.222888888888889,0.05,0.05,0.049999999999999996,5.953253706653656,83.52734214818227,29.94192801666081,13.811111111111112,188900.77667749146,664.6038665126677,99.29769289977725,56.0,7441584.658317415,1.826424121225764E7,14915.529078539752,135288.51112687006,208786.51112690108,3310081.8377662473,6.19157406581359E8,2.6529504185037646E8,0.0,0.0,6910.924999999988,NaN,9.0,3.0,102732.66111060111,154.93556894106385,2.5625,7.0,32929.23548631712,136.0809178141918,3.0,3.0,51015.30892746517,102.22584720665448,5.0,9.0,49250.66116752885,99.4801809160792,22.0625,13.0,195097.37476893506,100.74047742073296,60.857142857142854,7.0,461297.1998939662,90.43883574387824,51.4,5.0,475963.927817233,101.65380585462393,0.875,7.0,1261.7523307015072,306.888710121438,0.0,0.0,6943.557142857263,NaN,19.5,1.0,83685.62118504051,84.39956685272062,0.5,1.0,5673.546386868926,214.50086829661086
1,1,645508.8720834746,4.0075724935312584E7,7261051.7830381505,7447124.392469648,1.9185184343584225E8,3636332.9619040187,2706976.4037170857,3144.046209795621,NaN,NaN,NaN,NaN,NaN,92.38404608804404,28.808210741837623,70.16666666666667,645508.8720834746,2021.3761203856066,83.33273740550614,90.0,3.718710092549833E7,9.528289941301104E7,637325.286604269,637325.286604269,637325.286604269,1.7241466867042866E7,6.257443266407675E8,2.6335752952754351E8,29.75,4.0,133919.18185754638,246.2158270060937,58.333333333333336,3.0,519732.96759092173,97.0416802153736,50.5625,16.0,490638.43003348116,117.9761240403777,60.5,4.0,625319.2810028822,75.16656232351522,58.25,16.0,549443.2735209174,98.5582798217332,73.3125,16.0,657939.9866999129,86.3554460879871,88.57142857142857,7.0,847686.9299471928,60.58412181059122,91.6,5.0,824436.2375557638,60.70866484112304,102.0,8.0,988629.2236129493,53.359052190063736,84.42857142857143,7.0,716107.0359318823,69.33152876960891,92.5,2.0,744944.2503548157,82.74576117124661,97.5,2.0,931818.7253418393,43.17756631391039
2,1,210515.51066979783,1.60962838864671E7,1207384.252032493,1335876.242852909,1.9803957942884496E8,638404.1933846076,761191.4079566263,285.0653649009819,210.38531083985174,0.3355802945939254,0.17543907862028274,0.13837716809040865,6.248267273803708,98.76559978388046,18.984641109886212,25.31111111111111,210515.51066979783,480.5223605368977,65.40159901652945,90.0,9233311.884026766,2.817970784431424E7,5254.002546000702,5254.002546000702,534.4525468511279,6073209.348939763,6.495583008158948E8,2.6652764323916724E8,1.0,4.0,48900.90174592606,242.48851226340963,2.0,3.0,132825.84489748042,103.77057818790071,1.875,16.0,140316.28540996724,120.970602796509,2.0,4.0,67748.1501562094,74.64498152454779,1.8125,16.0,96678.68083262723,107.0925907749893,2.4375,16.0,125894.98745528825,95.28156343059653,86.57142857142857,7.0,444518.3228715354,63.25955797730939,78.2,5.0,426431.97622393386,63.63171285378021,99.375,8.0,592059.077377996,57.4489238844524,33.285714285714285,7.0,300640.66505191143,83.47609208768392,16.0,2.0,-137668.6553847987,98.31384205945537,52.5,2.0,232837.42698826414,67.007484440904
3,1,187690.86171628188,1.6604298799855758E7,1244958.902184778,1360925.735981484,1.9805168741303647E8,1020070.4772880935,662041.0682111775,545.3733333333333,35.70904286073404,0.15812196482395785,0.1430086979226222,0.05,5.984104988305972,109.16710331789767,24.191796737330225,26.555555555555557,187690.86171628188,642.4266022468804,82.43968552407108,90.0,1.2502301668817023E7,2.939447922328234E7,26524.33207586722,26524.33207586722,44609.78207585226,6309577.240372993,6.335444129979717E8,2.65817174135957E8,1.0,4.0,7288.575385714117,242.48851226340963,4.333333333333333,3.0,12230.58860178385,134.8741692617558,4.375,16.0,25523.168175935396,123.87574004495886,37.0,4.0,95117.47309718576,75.69725634075354,21.125,16.0,63383.63331298081,106.11155757733593,10.1875,16.0,46772.89566291618,115.32356550582428,77.0,7.0,634540.1845532969,83.38984541917819,40.6,5.0,435359.9945254436,81.95515579540762,84.625,8.0,638914.8259276275,71.8101023778273,14.714285714285714,7.0,190135.5071696457,108.33260250440681,9.0,2.0,75156.85187708453,92.1804378415027,57.0,2.0,531912.1572180477,56.012648605604525
4,1,159468.4062634489,1.3032518798429621E7,1321446.4040716358,1426286.019736108,1.990975026357642E8,764726.6198336722,726808.3797353221,550.075,0.05000000000000008,0.05,0.05580232161147149,0.05,6.802338765965934,118.33871549060046,25.92161878174861,21.322222222222223,159468.4062634489,552.7065160241732,93.22024438923803,90.0,1.0664003911493314E7,2.501616047520417E7,92876.7108545921,92876.7108545921,61112.360854591214,5109561.6275305515,6.238397066656147E8,2.654060480652657E8,1.0,4.0,7343.093825994809,242.48851226340963,9.333333333333334,3.0,55449.80619074536,143.1338470293757,2.75,16.0,26340.84261419878,127.50717714682492,16.75,4.0,186020.5412286215,105.20701912718552,8.6875,16.0,77376.42522379404,116.68027488278904,18.6875,16.0,90482.87299814251,109.26523743483877,64.28571428571429,7.0,458658.6342138523,91.02173146963533,34.6,5.0,257646.51497380016,90.08510036380775,61.0,8.0,529040.9976675229,83.23590994005924,3.5714285714285716,7.0,59729.2192430724,156.91330624163712,11.5,2.0,87245.60812526249,89.98067350353234,89.5,2.0,490691.8024416765,71.6191518734035
5,1,140125.9616695295,1.0177382724756386E7,1362267.4228185005,1447153.9309460793,2.0057285654655463E8,665043.5944524615,725882.9161948333,550.7466666666667,0.05000000000000008,0.05,0.05,0.05,6.488336725615008,102.71860944690094,26.865361246948975,17.31111111111111,172193.05069802297,581.3365669825903,92.2729664771857,72.0,8900138.996084005,2.151147554634143E7,74605.26920216094,230706.8752848475,203666.82528482072,4166794.7585938075,6.194373639433753E8,2.651373252573358E8,0.0,0.0,11855.674999999988,NaN,9.0,1.0,82537.6442085915,89.43895558352602,1.9375,11.0,20856.3030078586,137.38225408423298,14.75,4.0,154182.8882273255,98.69481099510688,8.75,13.0,81201.7679735611,107.59618089132915,19.25,12.0,126914.40246097249,107.47432781561041,67.14285714285714,7.0,436652.3665827697,86.54583628908503,37.8,5.0,270935.03340333473,94.05071081120198,16.125,8.0,254865.5754236527,249.0013514814949,1.0,7.0,17212.973990106522,167.61199606531747,9.5,2.0,86591.0194152784,91.41005999712036,89.5,2.0,646085.2981988585,68.31012898646901
6,1,129683.85024494781,8980566.26968549,1375227.4229307103,1447352.6880084348,2.0216441721972123E8,582379.7076315116,611177.1001187708,550.075,0.05000000000000008,0.05,0.05,0.05000000000000001,6.151774653186725,98.6524443126827,28.21608940075958,15.522222222222222,171325.11077679557,588.3265207889721,97.18675220263513,67.0,8098427.275501495,1.9769973797547236E7,206273.82327774353,390781.89969902625,519398.4996990838,3719123.520757252,6.181334395532947E8,2.6499370747084638E8,0.0,0.0,8376.674999999988,NaN,6.333333333333333,1.0,81165.74068974103,119.00706743301726,1.375,10.0,17286.039971193488,139.271980041472,15.0,4.0,120696.32032545365,91.89194125231656,8.0625,13.0,79744.67875545929,111.96071090723147,17.75,10.0,134201.2403849844,105.29864039596794,67.28571428571429,7.0,476152.5002482045,92.70878233260841,35.8,5.0,312359.2860290703,94.12995109998442,10.625,8.0,100633.46048891568,277.79501656901425,0.7142857142857143,5.0,6792.392863540378,167.61199606531747,6.5,2.0,70505.03489245707,89.54913031847349,65.0,2.0,661778.7686321328,65.91005209346127
7,1,124681.73002750079,8046728.847568493,1385471.6587794297,1457595.3533339556,2.037319948031621E8,446246.5893073927,532298.770767663,290.3052017310531,0.4480898876404495,0.05,0.05,0.05,5.875304277761878,86.55251513082574,28.305970375719074,13.933333333333334,186297.64275381475,601.6218110364698,97.7915147502349,59.0,7097293.587682937,1.831864929015805E7,262243.55299891054,123838.04057375412,110014.34057375987,3353298.708328577,6.191591157591237E8,2.6503169379335907E8,0.0,0.0,7398.424999999988,NaN,6.333333333333333,1.0,75307.19464726544,102.6949793288243,0.6875,8.0,12198.210412473141,145.92622519194086,6.75,4.0,113560.25153417222,99.8018147507195,5.5625,12.0,71572.91469521672,98.30534362782423,16.125,10.0,143825.04326622887,104.28351503888003,66.57142857142857,7.0,504825.8014138664,95.56428708974714,35.2,5.0,318221.2075420732,97.07066196298692,11.0,8.0,76095.57352539635,277.5215340423948,0.14285714285714285,1.0,7125.29672810299,167.61199606531747,46.0,1.0,198062.11868999037,81.26158471107063,13.5,2.0,345204.0840632913,137.28293771284237
