year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,-311486.2189128403,9209765.575533222,1189353.8673475618,1207618.3900207065,1.981075964733739E8,1146438.2716510952,1496146.8212444554,0.0,NaN,NaN,NaN,NaN,NaN,697.305847814917,146.29884044959718,18.366666666666667,-311486.2189128403,2687.0220362576015,519.1583937018581,90.0,4.943299572693588E7,2.1399236024780255E7,-488659.68396083603,-488659.68396083603,-488659.68396083615,4154812.2303486234,6.571197503544655E8,2.6588649293197718E8,16.0,4.0,-298166.5904750826,908.3760590968435,9.0,3.0,-529996.5557519959,1412.729557249976,16.5625,16.0,-341467.51084129355,984.2521906053001,31.5,4.0,-2804.629229809667,251.8603930684763,15.1875,16.0,-372937.47531688533,847.7037661266304,19.5,16.0,-289103.4042855201,578.6722147938319,20.857142857142858,7.0,-273356.77563334256,552.2322956781773,22.6,5.0,-234363.3613828516,317.27903389386165,17.75,8.0,-327922.5132761864,679.7894851902018,19.0,7.0,-341051.22751911444,447.5741390743488,19.5,2.0,-265708.4643437854,395.9392794902548,21.5,2.0,-278140.5225511844,246.55321264000366
2,0,-281077.39281581953,6188827.762158518,865423.1773897096,880829.2538292657,1.984560766193071E8,827118.0756231734,1024733.7436092085,0.0,0.0,0.05,0.05,0.05,0.05,694.0191928274654,152.78136273767055,13.666666666666666,-281077.39281581953,2088.0119574148307,548.3795679597508,90.0,4.012134696523147E7,1.482438161180771E7,-397618.9022074115,-397618.9022074115,-400481.6522074116,2836673.8433816424,6.600479469105781E8,2.6622238406035537E8,14.0,4.0,-281821.66109463654,905.7018454967606,7.666666666666667,3.0,-500154.68408131186,1411.7782833570238,13.1875,16.0,-326335.39284446836,979.2521995331955,17.75,4.0,20936.19935765116,250.858047275826,12.0625,16.0,-335366.33963310806,844.2020912638104,13.125,16.0,-243824.22930746173,577.1473402196834,15.714285714285714,7.0,-248023.82228623005,549.3575205103692,17.6,5.0,-214413.99115056894,312.3023821455628,12.0,8.0,-299409.6198581105,678.053742178819,18.0,7.0,-324108.4366880324,440.11004915775413,11.0,2.0,-188763.10768944927,394.26241878395115,12.0,2.0,-207372.56142740237,244.893581820158
3,0,-353925.90480610024,5063207.672588826,661875.6290765196,670181.250878721,1.9913071357095858E8,644693.3307808033,899530.9842459998,0.0,0.0,0.05,0.05,0.05,0.05,693.337308030544,176.67931654604484,12.733333333333333,-353925.90480610024,2249.7166306863046,582.0729882176234,90.0,4.378190036217367E7,1.192856892962465E7,-518189.31455199944,-518189.31455199944,-519614.5645519997,2303462.1054741703,6.552457723554386E8,2.6582044166233927E8,9.75,4.0,-328400.82537856343,906.1950184064744,8.333333333333334,3.0,-559543.6269852853,1413.1353879996777,11.75,16.0,-374535.91542873555,977.7868470474072,17.0,4.0,-101612.26486792286,250.858047275826,12.1875,16.0,-415109.4967692862,843.8417827751085,12.375,16.0,-341917.40261149115,576.4749470578417,13.571428571428571,7.0,-323884.34227229404,548.5285978290597,17.0,5.0,-296635.7862505972,311.1484591277311,12.375,8.0,-318633.2866700695,677.2176983571158,14.571428571428571,7.0,-414647.5161911044,438.79799963254214,13.5,2.0,-289959.91413336014,394.26241878395115,12.5,2.0,-283877.54576548154,244.89358182015798
4,0,-7988.292029766331,1669986.3619675585,361448.7122582016,366912.1698671353,2.012600673938001E8,349202.2126312351,179508.734954623,0.0,0.0,0.05,0.05,0.05,0.05,40.77720658941787,97.16531170783306,2.8777777777777778,-55179.59161992641,1797.5582665949114,277.0586253371539,14.0,5395001.588160467,4676055.305481497,705.0,-165706.54370184807,-166384.79370184807,817878.6995933263,6.557295679473445E8,2.6577601659468338E8,6.75,1.0,1797.7183913701056,380.1982494699311,0.0,0.0,706.8333333333334,NaN,3.8125,3.0,-137.4281202783286,264.5686341173866,1.75,1.0,-22448.25976957696,129.54290418621932,2.125,1.0,1747.6155709892264,191.93128874678044,2.4375,3.0,-28064.21877637822,139.4027282175756,1.8571428571428572,1.0,-13724.000876543238,97.12993990011525,5.4,1.0,-8520.82197608556,375.38694916046296,3.625,1.0,7249.1696134933445,504.43315734099,3.142857142857143,2.0,-19620.765263883073,389.70600861911134,0.0,0.0,707.25,NaN,0.0,0.0,704.75,NaN
5,0,-962.5877544086431,591973.3795677532,169112.8070881385,171401.46402010732,2.0410349104621E8,128902.70516689884,64157.70749404272,0.0,0.0,0.05,0.05,0.05,0.05,17.753178354300324,96.7130776012986,1.0555555555555556,-18272.39964946298,1531.2903953538944,299.69239853418986,6.0,1953651.8241312383,1867018.9262344625,329.5,-38423.87103973889,-38729.37103973891,304860.93391943193,6.589945292614552E8,2.6601524590439504E8,0.0,0.0,-749.0,NaN,0.0,0.0,322.8333333333333,NaN,1.875,1.0,2630.1030527051043,231.10327583139102,0.0,0.0,325.25,NaN,0.6875,1.0,736.6725558583566,191.93128874678044,0.0,0.0,325.46875,NaN,1.2857142857142858,1.0,-9786.498457197848,97.12993990011525,1.2,1.0,-1018.5505758185697,375.38694916046296,3.5,1.0,5353.224115052282,504.43315734099,1.5714285714285714,1.0,-16501.622639247675,197.80144090728965,0.0,0.0,324.25,NaN,0.0,0.0,326.5,NaN
6,0,1315.8577261305763,626960.6586178739,224814.7743788288,227207.2361877836,2.0704297106412688E8,173608.03749404653,49872.255903248064,0.0,0.0,0.05,0.05,0.05,0.049999999999999996,14.476163011995828,96.10073497177497,1.1888888888888889,21443.048837937968,2570.6946604949803,326.08937748677863,4.0,2112578.125562576,2231005.320914329,381.0,13701.56597589975,21216.065975899866,343394.0236060029,6.636150459349294E8,2.662631953373389E8,0.0,0.0,377.75,NaN,0.0,0.0,380.0,NaN,1.625,1.0,492.2729908018955,231.10327583139102,0.0,0.0,380.375,NaN,1.75,1.0,1278.0813154870484,191.93128874678044,0.0,0.0,380.0625,NaN,0.0,0.0,379.5,NaN,5.0,1.0,2836.066180801345,375.38694916046296,3.5,1.0,7355.336943390255,504.43315734099,0.0,0.0,379.07142857142856,NaN,0.0,0.0,379.75,NaN,0.0,0.0,377.75,NaN
7,0,-79.48090338711044,364290.00143013825,120116.49740967527,121550.1300493638,2.1010981213569713E8,84678.08067434188,23956.771458972977,0.0,0.0,0.05000000000000001,0.05,0.05000000000000001,0.05,10.305196910212905,101.53876949277735,0.6666666666666666,-7201.7604349466465,2030.7753898555468,338.43292767686637,3.0,1218090.2912106952,1210937.0099058547,217.5,-80476.86656114564,-77440.36656114616,189437.47388759773,6.69530979267004E8,2.666549266666247E8,0.0,0.0,218.25,NaN,0.0,0.0,218.33333333333334,NaN,0.5625,1.0,893.2727814888785,231.10327583139102,0.0,0.0,217.5,NaN,1.5,1.0,-4824.897910071602,191.93128874678044,0.0,0.0,219.0625,NaN,0.0,0.0,218.78571428571428,NaN,0.0,0.0,-692.7,NaN,3.375,1.0,6172.652594060455,504.43315734099,0.0,0.0,218.57142857142858,NaN,0.0,0.0,218.25,NaN,0.0,0.0,217.0,NaN
1,1,-346051.1780653982,7880930.5949029485,1075230.0832090667,1091644.5086739294,1.9823573890130192E8,967413.2204005123,1227598.4638509122,0.0,NaN,NaN,NaN,NaN,NaN,740.7155414455059,154.05549017430306,17.511111111111113,-346051.1780653982,2697.6828057189073,546.7297998374087,90.0,4.962902574030926E7,1.8484419714423418E7,-439840.9771309087,-439840.9771309087,-439840.97713090875,3551582.4450522377,6.584078063999445E8,2.660751410337106E8,11.75,4.0,-469878.3073323425,1177.989362005464,21.666666666666668,3.0,-143553.2988892231,730.4895809251162,16.5625,16.0,-367368.3250381887,878.7615032629703,12.5,4.0,-423142.86404781265,1122.6459172552807,20.1875,16.0,-275117.13317403325,739.3896994877725,18.25,16.0,-347458.4108273112,720.4598913162976,19.714285714285715,7.0,-290730.62084181706,566.9771385342967,15.4,5.0,-420777.05263556895,759.4450183195202,15.25,8.0,-419081.5930674989,629.2237554379919,17.285714285714285,7.0,-381210.3512755305,481.3867017702064,16.0,2.0,-400667.2810931927,322.26563739687566,22.0,2.0,-170650.08216968237,519.2590365888733
2,1,-328954.4571922745,5538018.7533554835,799916.5354547956,813823.3261970514,1.9853021811208603E8,688754.0580091709,791588.9570617425,0.0,0.0,0.05,0.05,0.05,0.05,739.9495320070148,160.05562569653657,13.88888888888889,-328954.4571922745,2222.9948013407857,576.0447113716664,90.0,4.271499865184261E7,1.3109097504537899E7,-394398.6890333356,-394398.6890333356,-397447.4390333356,2491747.0845533176,6.606750840742451E8,2.6636824866546303E8,7.25,4.0,-467693.7026418793,1180.043882428733,18.333333333333332,3.0,-67423.52555258239,730.4277144960521,12.4375,16.0,-356303.1472136686,879.0396044099399,8.75,4.0,-386902.45181826263,1126.0669022280276,16.1875,16.0,-258234.1464113365,738.8240943563571,16.1875,16.0,-346340.13316518674,717.3932985201758,15.285714285714286,7.0,-257073.85338560975,567.558341634308,15.4,5.0,-448628.41532419424,758.894546347372,14.125,8.0,-417961.9992829947,625.3923180300588,10.714285714285714,7.0,-347235.053637476,480.53597590497935,11.5,2.0,-330131.69664277934,321.30040549246735,9.5,2.0,-66971.65541561697,519.3736660976468
3,1,-385222.87674965925,4683282.167344528,623258.3836540713,630495.1339833277,1.9925251372827226E8,578942.6873512906,742710.5135857697,0.0,0.0,0.049999999999999996,0.05,0.05,0.05,739.8151223823206,180.08223473849807,13.011111111111111,-385222.87674965925,2343.0699653197917,608.5587293039829,90.0,4.55984868890385E7,1.092842798156917E7,-429128.87899867725,-429128.87899867725,-430905.12899867696,2107068.04898174,6.562142884510001E8,2.6603874791484848E8,7.25,4.0,-476149.10688590654,1180.043882428733,17.333333333333332,3.0,-122980.71409021819,730.4277144960521,10.875,16.0,-401072.483491866,879.2121900676184,9.0,4.0,-431808.51222381357,1126.0669022280276,14.6875,16.0,-341697.4158033516,738.9430223136322,14.375,16.0,-426722.1784272006,716.8198444429762,15.142857142857142,7.0,-304031.82606402267,567.2451644648052,15.0,5.0,-472030.5908504667,759.042363938262,13.5,8.0,-473011.0137690761,624.6377871611297,11.142857142857142,7.0,-378837.1191542979,480.5222016702595,11.5,2.0,-372265.85331225826,321.30040549246735,12.5,2.0,-144278.8288217028,519.3736660976468
