year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,161193.00124166333,2.199403570528083E7,4289900.909600005,4390066.999555172,1.9489373693047452E8,4316851.180712508,2490651.258449885,0.0,NaN,NaN,NaN,NaN,NaN,316.3147384137142,63.87338147656544,37.955555555555556,161193.00124166333,2424.349679154973,226.70421257065408,90.0,4.46004819969933E7,5.9107852108743E7,150025.56378081223,150025.56378081223,150025.56378081205,1.06127752414749E7,6.445568851446357E8,2.6255071240914816E8,24.0,4.0,-85391.00585026239,472.2089728467088,10.333333333333334,3.0,-451650.40886021656,1160.8805384218442,33.4375,16.0,74040.44074567931,479.36627277117844,60.75,4.0,705269.3558685691,98.94481865591713,41.875,16.0,277153.8312295729,245.1086018688119,41.8125,16.0,235077.43921068727,206.87551420021202,48.857142857142854,7.0,327679.77764149354,100.05230064723256,48.0,5.0,305431.0938359645,86.1436335226329,30.0,8.0,36120.92119604548,465.44812233776804,33.42857142857143,7.0,8316.741620551136,195.53635082444572,23.0,2.0,-130806.67283156762,677.2205440560247,35.0,2.0,47987.715681363195,110.79932989294801
2,0,112399.51865164725,9096224.362013716,1330029.7196233883,1410828.5366982697,1.9792588044362876E8,984502.502190144,882216.282999079,0.0,NaN,0.05373232218634712,1.7327590080762814,0.15222250820409675,1.6901233460325429,211.13684852650138,39.012481350000414,14.311111111111112,112399.51865164725,558.311955320006,89.70286018431534,90.0,1.072803167169621E7,2.0843988350343462E7,52740.52860717177,52740.52860717177,10175.428607167836,3997106.4108764874,6.571221250891204E8,2.660214756596192E8,1.0,4.0,3139.0101540167743,341.7747410735739,1.0,3.0,-13197.650347944602,1016.9493633729948,2.875,16.0,-22166.477404151115,298.42890293227583,12.0,4.0,349865.4392231407,74.84082318433022,8.3125,16.0,106534.53983422321,101.48930909014376,26.75,16.0,155828.07033922564,81.18919365720068,42.857142857142854,7.0,344857.4241398421,59.062690410050536,58.4,5.0,406052.718290465,59.432968279239425,1.0,8.0,22173.39744379887,420.81222481035013,3.142857142857143,7.0,31892.632687646797,124.95649396226233,1.0,2.0,-4757.447407922424,694.1085749752399,1.0,2.0,32503.716947699173,123.63672446246593
3,0,107573.05326795508,7470991.94814852,1442068.228862619,1505548.684753384,1.977728906712608E8,1294756.3561935655,758413.7950531177,0.0,NaN,0.05,0.7077158522092093,0.05,2.3778047760425816,218.5282103014456,38.62969779555191,13.21111111111111,107573.05326795508,510.3412297656802,108.46888208727304,90.0,9931811.559287021,1.961338635340471E7,19122.350103660898,19122.350103660898,11224.700103660882,3532011.854111193,6.501059685715832E8,2.6492374838882482E8,1.0,4.0,-6560.615750801988,345.42222716605505,1.0,3.0,-19775.277304740175,1021.9705767537793,9.4375,16.0,-39306.12681908598,307.2800927425152,53.25,4.0,233881.99952962005,86.58751166664055,14.9375,16.0,155947.72078255928,105.25643580793944,17.375,16.0,232881.70217422541,85.09549064561637,12.142857142857142,7.0,221482.02178915965,86.97583443946276,37.0,5.0,327800.0901813834,81.16352663236276,1.0,8.0,-2648.958126480624,427.38782529833566,2.7142857142857144,7.0,11418.970368963946,120.31917984295694,1.0,2.0,-11123.900291293452,694.1085749752399,1.0,2.0,6687.211146187627,123.63672446246593
4,0,120932.86102308921,6034620.599942016,1511294.0113166312,1565582.1382194094,1.9866845568644798E8,1270896.9198141936,577629.7959529683,0.0,NaN,0.05,0.5780710442027888,0.05,1.7126280216809224,85.18835927059268,33.73288173135131,10.688888888888888,168266.73796949247,515.0957496120628,79.24430593035854,63.0,6956801.316093675,1.7840758808172014E7,14489.992572310759,95249.36378470581,98681.36378471198,3024082.8670782917,6.466626254724166E8,2.6388856167047045E8,0.25,1.0,888.5424982116187,333.0768728461945,0.0,0.0,4687.166666666667,NaN,9.3125,9.0,102239.44406792549,102.93105222450524,43.25,4.0,576304.7276322533,73.53605885958636,18.25,13.0,220288.29764936506,82.80798023911922,16.3125,14.0,155457.20434237356,84.50454801131487,7.571428571428571,7.0,75631.68504122761,87.14858030634706,4.6,5.0,70737.14133066165,85.94859542552267,0.625,5.0,-2395.8385805671114,419.45061530692357,0.42857142857142855,3.0,5112.614430437746,156.49159201656792,0.0,0.0,4682.5,NaN,1.0,2.0,2134.840145556711,123.63672446246593
5,0,114885.45935114415,4845255.714676388,1504263.5917290845,1551702.6255856275,2.000408646555969E8,1256630.5054998866,451447.6055554787,0.0,NaN,0.05,0.24380018110473822,0.05,2.1748833188739263,49.97412961667453,32.961769478302344,9.155555555555555,192388.88003024476,512.462227360776,81.44066825920514,53.0,5775318.741891066,1.6115010083494177E7,11418.317168620706,284068.73493443336,290042.0349344016,2597849.4113928615,6.46357052113741E8,2.6288788115956196E8,0.0,0.0,3866.125,NaN,0.0,0.0,3868.6666666666665,NaN,15.375,9.0,106299.19031346991,93.76894105854637,36.25,4.0,543870.0619449834,71.4678650730712,15.9375,13.0,238075.63287299915,86.1791921232801,9.0,13.0,140459.72579290025,70.83852610204586,3.142857142857143,7.0,36677.88834939839,87.5174051975998,2.0,5.0,10872.884615370072,93.7673043033869,0.0,0.0,3867.375,NaN,0.2857142857142857,2.0,3181.995518641696,122.59552042606751,0.0,0.0,3867.5,NaN,0.0,0.0,3865.0999999999985,NaN
6,0,116174.32432187862,4417564.1422237605,1526895.532593273,1592706.3488891143,2.0150330803479603E8,1260220.7466664908,433230.68244770565,0.0,NaN,0.05,0.2887242708288872,0.05,1.720738866191023,52.19961155208451,32.655034627319125,8.644444444444444,194847.97526356747,479.35126301989214,82.23821578813003,53.0,5219642.296496943,1.5675331485466702E7,10170.397907130013,304276.5468686407,269655.0468686393,2464241.032494747,6.480927314986699E8,2.6193105157692847E8,0.0,0.0,3481.75,NaN,0.0,0.0,3477.8333333333335,NaN,17.1875,9.0,183895.4305369903,92.72003986718849,34.25,4.0,499520.42075450154,71.74989729670483,13.5,13.0,229690.8914840422,87.92905861111544,7.0,13.0,95352.15245947996,82.73321616216857,4.428571428571429,7.0,28437.899551367762,88.37883543962975,1.0,5.0,5975.9172609133875,93.56374419387191,0.0,0.0,3480.625,NaN,0.2857142857142857,2.0,2789.1472998184868,135.70247529831514,0.0,0.0,3482.5,NaN,0.0,0.0,3476.25,NaN
7,0,113493.99978143402,3968986.65613163,1536694.716441424,1598443.8246202983,2.0296204716456679E8,1188156.7784213517,406453.50600265834,0.0,NaN,0.05,0.2095613514795953,0.05,1.5608625138734615,49.325608859726394,32.94125301460375,8.088888888888889,197911.29373194237,470.2202391104222,87.33789916728068,51.0,4794942.8741868,1.500940285451372E7,10849.194640629867,433621.69912985316,547735.399129868,2291557.466692969,6.515008143814735E8,2.610816595833716E8,0.0,0.0,3100.3749999999995,NaN,0.0,0.0,3103.5,NaN,17.9375,9.0,198803.2415873767,97.06536182740943,25.75,4.0,486784.47714300686,79.23014198179195,13.3125,13.0,208058.40015530266,89.78620106892302,5.1875,13.0,83076.2442015611,74.13135263446584,5.0,7.0,44566.62211898196,92.44740220514727,1.4,5.0,7139.408363262471,94.14719188428738,0.0,0.0,3102.5000000000005,NaN,0.0,0.0,3102.4285714285716,NaN,0.0,0.0,3101.75,NaN,0.0,0.0,3100.0,NaN
1,1,19955.544362989283,1.8753744057600968E7,3328313.1876051817,3404720.7079096353,1.9588821608925194E8,3143777.375839821,2008276.469568696,0.0,NaN,NaN,NaN,NaN,NaN,365.8709071872932,77.7748533200962,32.1,19955.544362989283,2496.5727915750876,285.9791844051669,90.0,4.592925021652092E7,4.772524920918997E7,183576.8570922393,183576.8570922393,183576.85709223928,8726748.063855046,6.477286366629336E8,2.6378232275694224E8,21.25,4.0,-186125.97709810018,465.47310353291505,38.0,3.0,239777.61233059925,334.65348455303615,36.8125,16.0,88850.46189152976,339.2248589368116,17.25,4.0,-256368.25616325627,736.7558063098868,33.5625,16.0,55398.88812538521,309.81145229156266,33.5,16.0,25863.199938186186,355.7940066437863,39.57142857142857,7.0,248223.31468594287,287.6689899263841,28.6,5.0,-25379.658681890338,528.8181760698043,31.0,8.0,-44576.3000977742,280.5092831677499,28.428571428571427,7.0,-69042.25235092679,362.6319686787691,22.5,2.0,-205015.29130433852,328.31813498804706,23.5,2.0,-117942.93505187272,470.65617098415885
2,1,118176.64739529985,8069626.076566142,1328392.7521701832,1413386.541202465,1.9793525587520263E8,1223979.578267096,576991.2841590744,0.0,NaN,0.05,1.9671461374688382,0.05,2.6875223786519564,248.64115586893834,35.53592282196104,12.88888888888889,118176.64739529985,458.01856081638675,100.73097821621137,90.0,8800879.394327963,1.9436777659905773E7,126600.78213194113,126600.78213194113,345976.3821320825,3632235.540285764,6.58150247682485E8,2.6573953569636968E8,1.0,4.0,7350.024793512171,318.8353311324316,1.0,3.0,95523.87029243815,261.5946260095399,24.9375,16.0,252391.02024481882,164.04366427748667,1.0,4.0,-7619.914478582934,657.4652812243651,12.9375,16.0,135865.13457101706,126.80795411714641,23.75,16.0,186516.58438493192,277.59843436620554,1.0,7.0,90583.70300986206,298.05718637892886,2.8,5.0,-73912.44217717697,489.42864002981634,16.375,8.0,85203.78753697994,131.5632738687538,1.0,7.0,28702.025400193652,226.77569078457694,1.0,2.0,2663.925219342258,336.9982498872977,1.0,2.0,823.1737543203344,372.5204127784892
3,1,111988.53313227597,7939998.688218229,1400799.746712401,1472316.6249411367,1.9782013242190227E8,1240785.026617514,685230.3811843161,0.0,NaN,0.05,0.987516328750457,0.05,1.6681293558931747,230.33908332248026,37.94905257902848,13.177777777777777,111988.53313227597,500.08418176364194,105.81483332650816,90.0,9732159.82545573,1.9811127807360787E7,263593.2845475534,263593.2845475534,103089.68454766631,3642282.993452248,6.506217527582157E8,2.6466267701751092E8,1.0,4.0,-6726.973844623975,313.5458259824502,2.0,3.0,-3399.230505152091,258.1820927058891,26.25,16.0,248843.02955440697,98.94023513427852,1.0,4.0,-10785.959265385456,657.5668481823284,15.125,16.0,148430.80069668216,116.26434303986439,20.375,16.0,221221.0631469592,281.72106745003094,1.8571428571428572,7.0,-5361.548387513213,307.24958940894305,2.8,5.0,-122708.03491134677,486.1906116452668,18.25,8.0,112537.6316632735,65.85242122839027,1.0,7.0,3403.424460234424,227.5569756137472,1.0,2.0,-1840.8729882395273,330.63125230788853,1.0,2.0,-3036.576895232014,379.0146532157979
