year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,66030.61120605176,2.1775831934597135E7,3138497.313398646,3199096.5443521505,1.960599227077383E8,3305233.3694869555,2180000.461118853,0.0,NaN,NaN,NaN,NaN,NaN,149.24741667854806,68.75199467186991,35.644444444444446,66030.61120605176,2450.6266545262074,142.43148270723216,90.0,4.508417399718411E7,5.102692900572878E7,116019.64095985566,116019.64095985566,116019.6409598556,9718704.425960694,6.448659033016642E8,2.6361700021225592E8,27.5,4.0,-107814.70022207033,235.979225156751,45.666666666666664,3.0,273874.55146188155,119.42277179432814,39.25,16.0,171127.473869793,167.37325121210122,44.0,4.0,294751.61118669185,99.00014522323869,37.1875,16.0,123508.84771716275,141.17739725091937,37.75,16.0,129234.36721490255,165.81472218480408,39.285714285714285,7.0,123162.51944994011,117.21328075258363,34.0,5.0,23176.12975136721,162.63413551007207,34.25,8.0,5839.208171397631,112.3984097795362,24.571428571428573,7.0,-234815.7759203262,163.62617199338655,16.5,2.0,-440244.7652330322,146.9747624643337,17.0,2.0,-454539.64944922726,86.02606193203916
2,0,82822.95473595621,6389022.621862313,1126194.3857308608,1186027.0358299573,1.9816218543581417E8,1128808.6850825553,603535.9359653856,0.0,0.0,0.05,3.76397330225366,0.05,0.4625049648692511,168.53967281408333,42.54031486245693,10.733333333333333,82822.95473595621,456.5993795237044,112.54685206393583,90.0,8773633.921214553,1.622769984745019E7,11110.182993652557,11110.182993652557,1472.982993652522,2987633.1074666246,6.598234745460154E8,2.6587203815403154E8,1.0,4.0,4693.700024644465,246.4708851512304,1.3333333333333333,3.0,-12261.223376384936,145.83847105000484,5.1875,16.0,93850.92572987865,173.90117899375917,19.25,4.0,194557.51375828258,107.52368218542298,16.5625,16.0,177314.83661067602,143.8568196308549,17.8125,16.0,74765.99884438087,163.99503501431187,8.571428571428571,7.0,60243.792442556485,136.4124037099984,16.0,5.0,52641.01804657767,201.98181800889606,11.75,8.0,64085.55165146542,160.31267085701688,1.2857142857142858,7.0,1908.1088806131197,232.05406439099315,1.5,2.0,-26659.42736880164,329.61285403555075,1.0,2.0,651.3021526707162,38.06344543469996
3,0,75306.91084382708,5407660.293844814,1205672.8489196093,1238102.5851332627,1.9829276261810702E8,1189110.2885327197,523891.28152077465,0.0,0.0,0.05,3.139339345910454,0.05,0.425477786591987,199.62516440521196,44.19670936869982,9.977777777777778,75306.91084382708,440.98494458991604,124.24874777762454,90.0,8581975.156191075,1.5359597132135361E7,5398.664961342129,5398.664961342129,308.66496134215595,2684932.3097468996,6.546899071111515E8,2.6485696370313072E8,1.25,4.0,-3114.9707122771747,246.4708851512304,5.0,3.0,10257.18353987879,193.63929956039019,7.1875,16.0,59376.684846560915,179.99424894106232,33.5,4.0,256856.25723985367,93.55878797432962,14.375,16.0,178829.78681899243,148.88053732338122,15.75,16.0,111162.33701578798,172.57878236909033,6.714285714285714,7.0,15431.729028171956,237.04845672895004,7.6,5.0,19094.206070314143,240.2099022929263,5.875,8.0,11587.572838726039,254.24268613814723,1.5714285714285714,7.0,-10154.142582377075,291.49892111338914,1.0,2.0,-20800.656009077153,495.5107854067706,1.0,2.0,-20764.53292537792,38.06344543469996
4,0,83530.57743541515,4156683.60319681,1293207.9301170788,1330362.1890050618,1.9944914115625513E8,1263895.0782103932,408466.1862323281,0.0,0.0,0.05,3.6619071760306996,0.05,0.4310862545114747,116.46390990581484,41.96367215503589,8.21111111111111,134138.39034886117,563.8391585922095,131.8120304987983,55.0,6648107.467938988,1.4165859437126826E7,12863.689201906847,418491.2288087425,785984.1288090316,2292894.5707838438,6.528141687978094E8,2.6383127990370765E8,0.5,2.0,550.5875369547475,213.59041485751465,5.0,3.0,32736.041467955423,219.43508158446264,8.6875,13.0,81138.96578268296,191.447156475507,36.5,3.0,444915.3614873748,87.86850214686216,14.6875,9.0,173487.65253296628,166.2590460275303,9.625,10.0,83772.69813763493,156.39829911136778,4.285714285714286,6.0,22587.785358394416,278.4826071099348,1.2,2.0,3290.5942009060586,134.11309016001147,1.25,5.0,1627.782431144953,254.752388222354,0.2857142857142857,2.0,2832.1082101687684,185.3245534899446,0.0,0.0,3968.75,NaN,0.0,0.0,3969.5,NaN
5,0,82328.79238774518,3560615.9754951606,1311041.679641631,1353224.0260860233,2.0104049488339642E8,1266253.8540874047,359250.7822036717,0.0,0.0,0.05,2.834723887774054,0.05,1.1818714530303769,70.05791099980635,42.986482312632795,7.333333333333333,205417.8718542018,810.6022378953612,124.4141025558624,35.0,6032707.863898636,1.344229917879528E7,1339.079950634914,136198.0753312423,253756.1753312085,2093134.9375226018,6.533856231938342E8,2.6284262680238685E8,0.0,0.0,3647.875,NaN,3.3333333333333335,1.0,30610.987586276984,268.26206588367074,4.0,7.0,54208.21565284428,196.62740298763046,41.0,3.0,494571.57670459757,91.95489235434123,16.375,5.0,192005.31440451628,96.25665645474646,8.1875,10.0,74344.91412419657,175.5915990281695,3.5714285714285716,5.0,17894.753851537967,295.3277846564635,0.4,2.0,829.6447803985735,242.8513834006091,0.25,2.0,3270.029694021643,92.57623174175038,0.0,0.0,3683.3142857142875,NaN,0.0,0.0,3646.25,NaN,0.0,0.0,3649.0,NaN
6,0,77301.92828522103,3116808.799685381,1291497.6877372304,1329345.3828105668,2.0277431422611433E8,1169909.5066854348,324928.5566758012,0.0,0.0,0.05,1.862474328577995,0.05,1.9366658234617014,62.271774885840834,46.040313842362714,6.611111111111111,225298.90152232975,913.1328912068604,126.58891507833326,30.0,5628158.053847999,1.2585331599520167E7,1041.8122248536674,347289.9974716316,360294.9474718232,1901082.1516516998,6.55932540582796E8,2.619893039083986E8,0.0,0.0,3303.875,NaN,5.666666666666667,1.0,32819.87875798335,282.14393579797553,2.6875,6.0,29535.1610938911,188.59202785533603,32.25,3.0,464894.0835839133,92.59106400350589,16.375,5.0,199547.83576665004,99.484708360634,8.125,9.0,73867.91235589545,186.05890748195822,1.7142857142857142,4.0,9831.317709823323,331.4140513933497,0.2,1.0,1351.7023466220824,360.68292477604206,0.125,1.0,3349.036486928875,54.69760529493041,0.0,0.0,3305.0,NaN,0.0,0.0,3302.25,NaN,0.0,0.0,3299.0,NaN
7,0,75070.23341008078,2746363.8595025474,1291106.3971058943,1322652.1459386577,2.045074973122048E8,1038564.0375699794,281739.2051826729,0.0,0.0,0.05,0.30177013473345976,0.05,3.2528266102535928,53.875722362056514,46.85274937531915,6.033333333333333,252450.9041118181,978.5016504153191,125.22058353600264,26.0,5086826.585483269,1.1843147592390686E7,737.5465122936876,659824.9820134819,624682.2820136051,1725225.2552629595,6.599944406105087E8,2.61305107914134E8,0.0,0.0,3008.375,NaN,4.666666666666667,1.0,56071.05725027617,284.6622077610234,2.125,6.0,21724.364457400636,189.87013147655588,39.5,3.0,403099.64301377774,96.01997917132739,13.6875,5.0,194662.41849265853,95.50387071933822,6.5,7.0,83903.45703868152,189.51039625538516,2.0,4.0,12401.917611639989,333.1949877665894,0.0,0.0,3008.9000000000005,NaN,0.0,0.0,3009.3125,NaN,0.0,0.0,3007.9285714285716,NaN,0.0,0.0,3010.25,NaN,0.0,0.0,3011.75,NaN
1,1,41067.16080251981,2.153914361901029E7,2919065.154897941,2971423.551974884,1.962887942517647E8,2969822.496803967,2134624.10615939,0.0,NaN,NaN,NaN,NaN,NaN,145.1978374159279,71.55684838243874,34.44444444444444,41067.16080251981,2464.7358887284454,137.98239266514028,90.0,4.53437125770902E7,4.903975704931698E7,-172754.60046536033,-172754.60046536033,-172754.60046536033,9445109.50572929,6.45122493589199E8,2.6396962756391528E8,25.25,4.0,-115667.52643705303,297.8021541017704,39.666666666666664,3.0,139789.32807280333,110.43845023155068,36.9375,16.0,112893.79889725366,160.6066895513133,40.25,4.0,206140.2625724866,102.5559203860667,37.375,16.0,123527.92538152132,143.92826910383198,34.8125,16.0,58415.273915403624,158.00424411916498,32.57142857142857,7.0,-55213.96310144787,104.41763382665032,35.0,5.0,30552.754455430677,99.1270908020861,39.25,8.0,107190.5898544652,92.3850497909807,25.142857142857142,7.0,-153027.46239219888,179.31337802824993,21.5,2.0,-238772.91982521437,82.83865667267123,18.5,2.0,-438829.55032356887,173.96011286531345
2,1,87622.36048199127,7472667.093949388,1211874.2449676387,1274103.9758923256,1.9807053829999137E8,1116378.5533884617,714516.2652892714,0.0,0.0,0.05,2.0491448119660403,0.05,2.3816892964935383,172.54896523895712,44.30280074164574,12.055555555555555,87622.36048199127,534.0948756076182,112.10995258580179,90.0,1.026272289211621E7,1.8148735335495617E7,8519.142311043444,8519.142311043444,-4136.357688956581,3396728.9551782054,6.587743268539441E8,2.658765083699845E8,1.0,4.0,4419.970757763684,300.6353252581426,1.3333333333333333,3.0,28551.058847838995,125.71031366374969,9.25,16.0,136604.05899070165,164.00697590848654,17.75,4.0,179380.84796638068,106.17312353870146,17.8125,16.0,145984.95541711658,149.17091486555375,13.1875,16.0,65538.72375679687,171.3788543279545,14.857142857142858,7.0,51577.8623580677,160.04724454672572,11.4,5.0,67657.22884030547,167.3286871439289,22.875,8.0,102474.22937760082,135.9157047925912,1.7142857142857142,7.0,8546.92680220446,213.92530205454773,1.0,2.0,8851.683140967143,61.57496050629403,2.0,2.0,-50772.3441604471,553.6036962068604
3,1,77885.3784306568,5686880.134538124,1264568.6054529757,1315741.2080969259,1.981188592304915E8,1249100.7964545973,569471.1614883944,0.0,0.0,0.05,3.5007973660132836,0.05,0.5664014944544042,219.05333045919198,46.0014635219392,10.233333333333333,77885.3784306568,470.74831004117783,136.44360254410003,90.0,9161312.58337212,1.6170996642131757E7,3242.9905295916906,3242.9905295916906,-2765.509470408281,2832057.963310649,6.534211761570598E8,2.6479896368317237E8,1.25,4.0,-6039.971177192155,300.6353252581426,2.6666666666666665,3.0,8240.388686884084,173.12779189731376,9.375,16.0,106141.73513892674,167.7624130474417,28.5,4.0,231972.5840112339,103.8289891433639,17.0,16.0,158657.5831548296,147.63867407488917,11.625,16.0,70424.05754622417,182.08868748744555,3.2857142857142856,7.0,14843.243114181649,230.4690404554731,10.2,5.0,59898.98532664785,242.17419900130977,11.5,8.0,46587.57085567272,295.0054772335805,2.2857142857142856,7.0,-3897.04966410469,348.34016920836814,1.0,2.0,3979.2713600481948,61.57496050629403,1.0,2.0,-19559.481213325897,935.9967563691104
4,1,78661.27673689356,4016900.642405998,1247134.32214438,1280055.1393055466,1.9932330948656854E8,1255001.700759947,410435.3769150267,0.0,0.0,0.05,3.523849220146671,0.05,0.2570337100498163,114.7626296281301,43.58732664053651,7.933333333333334,141179.4164555188,635.1296167621034,140.5261323588262,49.0,6671748.869496066,1.3751263775818082E7,3944.5,4272.6972760153,360.6972760152985,2227988.3750207243,6.517564732984462E8,2.6378523541894186E8,0.5,1.0,4375.784387710424,197.66336793902911,1.6666666666666667,2.0,10271.750178348118,189.0322516232949,10.1875,10.0,111409.08677163656,165.50448054754997,41.5,3.0,384887.6219586241,94.1947666270235,13.8125,10.0,158381.9686353719,149.97991097149173,4.0625,9.0,47787.59299835453,148.2640518847007,1.8571428571428572,3.0,10939.128407533104,176.3540297809914,9.8,3.0,62506.70366962892,146.24321155110962,3.0,6.0,1674.0935383933938,459.963007484171,0.8571428571428571,2.0,-1128.7156562561702,626.7671722054838,0.0,0.0,3947.5,NaN,0.0,0.0,3946.75,NaN
5,1,81279.91646698026,3571250.4042059123,1292549.8804976463,1329864.2665146,2.0094045405074266E8,1217056.5535800897,383323.29255656764,0.0,0.0,0.049999999999999996,2.326214012148011,0.05000000000000001,1.6743237980887777,77.45578318687369,43.1316010412543,7.277777777777778,197725.3133896728,784.7555189450435,127.15428889943729,36.0,6007243.152251219,1.3322435634279557E7,3565.5,535707.4193219467,588664.1193219188,2081327.1623920575,6.523932343835685E8,2.628455606022573E8,0.0,0.0,3726.9999999999727,NaN,0.6666666666666666,2.0,1558.6765886578166,189.1010342073693,11.0,8.0,123096.91018700597,163.82526576144195,33.75,3.0,469000.7324712687,88.26207898711677,13.875,7.0,154610.816119568,126.50118398088162,4.375,6.0,39932.08275606714,149.27419254268713,0.2857142857142857,2.0,2999.239082727864,193.46815238775795,8.6,3.0,62116.746001453976,145.7677934132894,0.625,5.0,-4658.3907764311225,482.4073854426659,0.0,0.0,4112.400000000206,NaN,0.0,0.0,3569.75,NaN,0.0,0.0,3565.5,NaN
