year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,317851.0595750189,2.690122632538389E7,4885528.667211328,4999550.619700551,1.9426555012873504E8,4958669.6920904685,2529440.2698187227,0.0,NaN,NaN,NaN,NaN,NaN,137.93749649707328,39.91491850293815,55.266666666666666,317851.0595750189,2205.964495929048,128.713440435788,90.0,4.058292962298708E7,6.918952498473878E7,227531.79107009195,227531.79107009195,227531.79107009192,1.2601532887630824E7,6.397568594894805E8,2.6187531918662903E8,26.0,4.0,-65469.427661092835,370.7278484355256,67.33333333333333,3.0,264503.9702993506,110.58048491219019,61.9375,16.0,432143.7926189893,131.59597215096105,61.5,4.0,726706.6631041719,106.62053135631432,64.9375,16.0,554101.0714517637,110.24204610086727,56.125,16.0,310101.8527725573,130.29169456022927,45.714285714285715,7.0,143042.01099891213,161.6643054657386,57.8,5.0,325245.38049931143,79.04362699640515,57.0,8.0,246721.28606503858,99.00053750568426,40.857142857142854,7.0,899.0932554095863,193.65506719107208,36.0,2.0,-53773.71147004722,128.62683137017544,35.5,2.0,-36725.22913432849,143.72629973710892
2,0,127223.28397782122,9802977.613299718,1336396.286470533,1385417.5615232172,1.9794928913650125E8,1134727.483367587,854934.9922165471,0.0,0.0,0.05,1.413321607361329,0.05,5.645895564997964,101.33732608328832,28.38853108192615,19.133333333333333,127223.28397782122,543.167228034187,74.37351808936165,90.0,1.0437023188871473E7,2.1887118746874955E7,139362.95605628536,139362.95605628536,9383.856056276054,4231686.298797267,6.564814755622923E8,2.658589121773671E8,1.0,4.0,2255.9777460122223,340.6502262038805,89.66666666666667,3.0,211479.08963710372,71.98706224685337,21.0625,16.0,207209.64294400474,98.57952274568014,3.25,4.0,90116.98915016305,75.69874781791724,2.0,16.0,135545.45928220087,83.12525076589743,22.75,16.0,72071.5596175931,83.26147603605634,2.857142857142857,7.0,144709.71798041213,56.033888623264524,59.6,5.0,198673.14846250467,56.74617421845771,46.75,8.0,164654.957737591,72.34833554541561,1.0,7.0,52010.95910880738,187.13917892082418,1.0,2.0,46020.07163483933,97.16027377780686,1.0,2.0,14624.772449825332,120.24634804310321
3,0,115863.79844146183,8789102.438704535,1420931.4941341858,1473730.6044440698,1.9781697013025752E8,1297895.0007544055,823220.9252256717,0.0,0.0,0.05,2.1375587263303597,0.05,3.9026294896748515,103.78802436821934,28.074222062450026,19.8,115863.79844146183,555.8695968365105,77.378777691778,90.0,1.0817843648452679E7,2.124558550818398E7,15172.973391535867,15172.973391535867,4798.223391535745,3968216.829807172,6.482267492045134E8,2.647478487209532E8,1.25,4.0,-10216.034908877999,312.880889958937,102.66666666666667,3.0,259825.2400684595,71.4757117221382,24.375,16.0,196259.87040226918,103.18056357873692,8.25,4.0,63655.304902478616,77.45974123842147,7.0,16.0,45405.770505122215,83.8948494994435,22.875,16.0,147476.72556047462,90.05902491881736,8.0,7.0,21415.323926786386,65.89600490574905,37.0,5.0,293747.58271187963,58.13930102563154,39.25,8.0,193284.05893880758,72.84647628185402,1.2857142857142858,7.0,2571.906416919201,193.00630561050386,1.0,2.0,6237.402621491499,100.09063899395863,1.0,2.0,6417.696673573179,122.5078791236248
4,0,115733.81310918476,6565853.924523687,1538004.6505868838,1589421.138342483,1.9867320444899902E8,1353420.8143504558,638755.6909142132,0.0,0.0,0.05000000000000001,1.3966602509041068,0.05,4.725811789867868,75.96778996762497,27.710189207647726,15.78888888888889,132657.63563880292,504.8228059495823,80.97055605558239,78.0,8441447.231749982,1.885749041157789E7,3323.1159065198153,273954.57874072494,139990.0287408618,3248252.039667245,6.443772288750752E8,2.6362049414696857E8,0.0,0.0,5730.25,NaN,64.66666666666667,3.0,225125.01181952507,69.79713728077735,15.0,16.0,184961.4222090145,101.7267371018589,22.25,4.0,166892.88045360183,79.6333837509535,22.5,16.0,117738.06735131663,84.11156587554129,20.625,16.0,137155.3462777488,84.14362360955904,6.714285714285714,7.0,41528.325892030276,78.54914105894385,13.0,5.0,147245.3836571407,59.93495178926082,11.625,8.0,116834.02995213078,68.61236791562915,0.42857142857142855,3.0,3999.1014282007736,197.01587838826978,0.0,0.0,5725.299999999999,NaN,0.0,0.0,5728.25,NaN
5,0,115088.53416489772,5243112.5214245245,1580677.1264779493,1632684.274498771,1.9995628807762426E8,1266248.8856253684,547936.4794223302,0.0,0.0,0.05,0.6401161429004433,0.05,5.605283208214976,71.0125906457907,28.565883852461106,12.422222222222222,141024.1448608328,437.488467767829,82.24973374397591,73.0,6790906.768038596,1.7148874842878915E7,12338.130827451547,54437.94296450657,30601.64296450215,2782769.5140530923,6.4382936578401E8,2.6261015229950416E8,0.0,0.0,3578.25,NaN,57.0,3.0,221061.00891883703,74.44617314575727,11.625,16.0,119911.0750789373,101.76385526824939,30.5,4.0,315092.68774317845,77.82957679479351,20.6875,16.0,210271.166352148,83.8539762262579,10.875,15.0,114420.49362581785,87.14038956720793,4.142857142857143,6.0,30002.269196261717,113.0114732347411,10.0,5.0,91594.6814994243,72.66134857443028,6.875,8.0,74892.09304127074,67.2637002254854,0.0,0.0,3575.285714285714,NaN,0.0,0.0,3578.75,NaN,0.0,0.0,3573.5,NaN
6,0,113335.8451470997,4496469.315399196,1583258.5842891207,1640519.1326068647,2.0136216516370273E8,1219994.763722648,467312.79504543927,0.0,0.0,0.05,0.3805691965860739,0.05,5.666217347326157,72.98151479615171,28.876377267326735,10.944444444444445,142868.03610195738,400.6088958917864,80.64112295347273,71.0,5843728.167727555,1.604395423096648E7,27931.51391474747,361524.2323520755,436360.732352098,2508717.8572916766,6.456582297021828E8,2.616718804982555E8,0.0,0.0,2978.125,NaN,49.333333333333336,3.0,263710.4241629772,71.86651583017239,11.5,16.0,125684.28597318305,105.09106733927385,35.75,4.0,402930.27595045004,78.64828192365164,17.8125,16.0,215896.7664309224,83.01150320827125,8.875,14.0,80753.02703709187,96.8724238241973,2.4285714285714284,5.0,24676.797870433766,137.6537044598487,5.8,5.0,74817.81789351357,70.50368509185613,4.625,8.0,56065.65516605989,78.93770580131536,0.0,0.0,2979.0,NaN,0.0,0.0,2978.0,NaN,0.0,0.0,2977.5,NaN
7,0,113521.21166883167,4065796.1696939934,1594479.2344763805,1653274.4088729154,2.0275944145860508E8,1164245.5650596654,417368.6959246191,0.0,0.0,0.05,0.22884736937129818,0.05,5.5237847053167775,68.51948107979612,28.816311030154797,9.988888888888889,145105.1721456407,370.0837659444166,80.5308185127751,70.0,5179826.150653713,1.5396735200849058E7,27530.903745602234,201942.39288194285,88065.89288203041,2340406.7083429582,6.491381182932192E8,2.6082723245545664E8,0.0,0.0,2978.625,NaN,53.0,3.0,278291.4862363475,71.49250808636407,10.25,16.0,126834.08588321207,102.43751815407322,39.25,4.0,544690.7805693274,76.88281510333434,17.125,16.0,214160.66600105294,81.25934596093965,4.5,14.0,60975.74690492546,93.91975075592241,2.2857142857142856,4.0,18731.302148752613,121.50865126269899,3.0,5.0,47375.74812965831,57.733203487106685,5.25,8.0,44885.204111486404,77.00219419997156,0.0,0.0,2976.785714285714,NaN,0.0,0.0,2976.0,NaN,0.0,0.0,2980.0,NaN
1,1,305051.49229609984,2.707621215380862E7,4680109.51133183,4785784.137933383,1.9447694860978338E8,4646044.745933894,2533632.7723733014,0.0,NaN,NaN,NaN,NaN,NaN,134.2108390723234,39.44264750294302,55.74444444444445,305051.49229609984,2198.7084724696124,126.761060351075,90.0,4.0449381217440344E7,6.790401552408932E7,292409.45383002976,292409.45383002976,292409.4538300298,1.2492191246134104E7,6.396024445937533E8,2.6220446882674322E8,30.0,4.0,-148982.6495487591,304.171179741036,67.33333333333333,3.0,172376.86158761304,159.17734266333545,60.375,16.0,452953.7353530836,129.26853839681397,57.75,4.0,629755.969605288,115.75522806089032,64.0625,16.0,524520.472290206,116.63097151719553,63.9375,16.0,308112.31732966023,114.87705020086712,50.714285714285715,7.0,294110.7173805105,96.15066659054416,53.0,5.0,242040.27068804056,98.70996273254801,53.875,8.0,190954.18659078985,96.44333676264833,38.142857142857146,7.0,9218.046036316264,206.6388513014754,34.5,2.0,-81424.52815629453,222.59466645126557,31.5,2.0,-126630.54583944385,159.7502147813875
2,1,117773.30583612733,8632137.365278732,1314156.0302994247,1363151.7544934605,1.9797896138054958E8,1141733.267807658,681232.1894933793,0.0,0.0,0.05,1.3843244384338245,0.06237460485038715,5.388700726407578,98.07492570337003,25.637542867282676,19.22222222222222,117773.30583612733,492.8105462266559,76.8214454124754,90.0,9469386.67910255,2.0068984204354495E7,41503.39924337159,41503.39924337159,227712.49924335137,3798844.066776499,6.576152665612904E8,2.6586011191547585E8,7.0,4.0,-53926.37944169146,235.06766588577295,47.0,3.0,205282.36455322336,68.11233452126096,29.9375,16.0,287993.672703535,100.10517154365047,6.5,4.0,389661.88291664724,75.84668511901364,2.3125,16.0,143229.0690190816,89.02673222833606,41.125,16.0,45484.8872523252,73.29484665906773,6.285714285714286,7.0,-25123.004683412622,64.98067239744827,33.2,5.0,46109.904011603925,61.72814838227579,17.5,8.0,49511.34208790756,76.46077093944707,1.0,7.0,72820.1189639953,175.33534784019434,1.0,2.0,12657.635614908486,182.6453161083013,1.0,2.0,13825.513068860673,106.04560775822426
3,1,117081.78260127973,8524939.0235666,1420963.2097341728,1474802.0065693967,1.9785170420672178E8,1228544.4688903103,788263.9709480007,0.0,0.0,0.05,1.0805727672362317,0.05,4.823563113934951,97.36587092558199,27.265274445436702,19.255555555555556,117081.78260127973,525.0080068215756,76.10777763209936,90.0,1.0217182334734365E7,2.075454276884996E7,212034.59355107386,212034.59355107386,250259.29355102632,3851794.0836563297,6.495603720523711E8,2.6482112047590974E8,1.0,4.0,-4420.999478484682,240.30088757303622,64.66666666666667,3.0,173754.08747269344,74.13494232698609,23.5625,16.0,173900.00104094538,101.56164197560454,18.0,4.0,120017.23859293998,82.47990506894247,9.4375,16.0,48686.75422351665,87.52273899136033,29.125,16.0,232766.0630731656,74.88344594998955,9.428571428571429,7.0,51485.05651790579,59.61320300084323,38.6,5.0,217416.36177784242,58.6196086326766,24.375,8.0,99054.6823709428,63.71119440068288,1.5714285714285714,7.0,1589.8511845426099,174.14885460990928,1.0,2.0,2541.0694496463875,187.86152058342304,1.0,2.0,5971.180582022636,105.53505613563769
