year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,216575.53314159988,2.641091407373783E7,3977730.262780891,4054557.167170697,1.9518623066660637E8,4266294.01676895,2604743.6048656786,0.0,NaN,NaN,NaN,NaN,NaN,128.55429126000578,56.60453985813981,41.888888888888886,216575.53314159988,2371.101280724301,119.20865536390654,90.0,4.362123035423393E7,6.3113028336977914E7,441117.5545997485,441117.5545997485,441117.5545997487,1.193304115784343E7,6.403308184173541E8,2.6260616159471726E8,31.5,4.0,-14552.296083561012,214.28819174853538,54.666666666666664,3.0,442631.98344907584,91.20711982837959,48.25,16.0,370001.98945559346,132.05444536074535,49.75,4.0,403412.19836472644,70.38317628333886,50.75,16.0,472913.0218604851,134.8146717768902,45.9375,16.0,312296.3777610667,112.16045694820235,40.57142857142857,7.0,147705.83217116987,118.56613925828704,38.8,5.0,118699.69546040946,103.45340225450973,30.625,8.0,-50938.78048643813,131.98870506273764,23.428571428571427,7.0,-208433.04271847842,146.42415429555246,20.5,2.0,-327424.1037826245,188.1121734831363,17.0,2.0,-490484.67698817846,144.38657139843974
2,0,110270.77498732621,7665261.756379675,1233138.824016802,1289948.926621119,1.9805313414782697E8,1126910.4727548505,594395.5213098011,0.0,0.0,0.05013808115880158,2.3557543247240056,0.05,3.296410335430073,110.9412186353279,35.19683181456693,12.5,110270.77498732621,439.9603976820866,75.62302540893653,90.0,8453912.957413979,1.837828270627497E7,91576.6250424328,91576.6250424328,409249.52504243766,3466362.429507923,6.584486566054366E8,2.658765205208119E8,1.0,4.0,11937.876862280278,210.01354139106195,25.333333333333332,3.0,212863.58322534803,83.97004129727678,16.3125,16.0,173119.65290834627,121.48451958677306,2.25,4.0,67771.58281650324,55.17575116706838,11.1875,16.0,193622.8333048662,120.1410466780035,25.375,16.0,127487.12637850194,88.87545622932886,10.428571428571429,7.0,72230.06993358913,100.69005690721573,18.8,5.0,70793.46106875988,93.18529914508233,1.5,8.0,21271.199953911306,95.05060764028453,1.0,7.0,9258.997286755884,109.6029302721184,1.0,2.0,-8381.405016250515,208.37457862372423,1.0,2.0,-9265.103242126643,134.4472993994987
3,0,88011.29009811586,6951845.430636744,1248635.5893922457,1290427.672499559,1.981080572980681E8,1323942.9770560544,583587.1678497407,0.0,0.0,0.05,4.037235581980189,0.05,0.5325941072099287,112.75819750281138,42.23371892385777,12.0,88011.29009811586,506.80462708629324,85.86740030867705,90.0,9863011.574417515,1.7784027683248505E7,250602.68252513523,250602.68252513523,65987.18252527797,3252408.05873344,6.518822558771211E8,2.6473774040464172E8,1.5,4.0,-7427.155953924055,210.01354139106195,16.666666666666668,3.0,202002.4180985929,83.9700412972768,11.9375,16.0,140478.3010599249,119.00804882636749,23.25,4.0,72004.54112571542,53.98390034976329,19.125,16.0,130717.07517634664,123.75452006741374,20.6875,16.0,138076.8389408331,90.72053865157467,6.857142857142857,7.0,47615.954152057835,132.3637242416078,5.8,5.0,56547.519065379005,93.18529914508233,1.125,8.0,6604.268041760475,95.05060764028453,1.2857142857142858,7.0,-2152.3133346655864,112.66183128638123,2.0,2.0,-37216.96345949346,169.90178246427575,2.0,2.0,-35519.71372496415,111.64717660001828
4,0,93173.50813923418,5647603.614528791,1317931.2763567332,1361552.1171446722,1.9918904948379543E8,1379362.2997217036,491018.256702744,0.0,0.0,0.05,4.318633749942589,0.05,0.19609340183790697,74.38078748320149,40.98212352570084,10.2,127106.1651158627,578.7936830245134,89.45168602769313,65.0,8065300.119397871,1.6450915851928879E7,34919.39264801581,200592.1417539118,345996.8417539018,2844234.260044966,6.487028115212635E8,2.6357747267825267E8,0.25,1.0,2736.034419924981,202.2697506425516,16.333333333333332,3.0,121888.06169889442,83.9700412972768,9.375,15.0,96265.5648365955,115.01390364816483,20.0,4.0,243832.97919976155,58.35402001321529,28.1875,14.0,256753.3520427813,98.04879058092696,7.625,15.0,67497.76676620268,82.24946830292114,2.0,5.0,10623.439216494718,192.79083505526583,9.4,4.0,27928.36197962131,85.9252017084797,0.375,3.0,4763.2344725208,99.84501245879925,0.14285714285714285,1.0,4786.470633234224,67.85125201497758,0.0,0.0,4947.75,NaN,0.0,0.0,4948.0,NaN
5,0,76087.33420050508,4585110.710091036,1293425.7322890647,1340308.8959163334,2.0074020262098432E8,1304860.8992099464,435449.4195986451,0.0,0.0,0.05,3.019389583177817,0.05,0.3490278991415683,54.94973985281621,47.126857493604646,8.833333333333334,117886.2732990431,657.295643989749,89.72081945733738,57.0,7966553.6158328,1.4814413693878246E7,7571.571383989591,884.5181479929597,-3007.981852006984,2457095.462843244,6.485002692930368E8,2.6251718319891515E8,0.0,0.0,3888.25,NaN,4.666666666666667,3.0,52747.005869037435,83.9700412972768,6.625,13.0,54076.730018808244,106.28844147716335,20.5,4.0,182207.78347668488,58.75130361898364,24.375,14.0,260759.83477146947,97.63771941375941,8.9375,13.0,43685.47332159813,70.91498255823328,6.428571428571429,4.0,13524.912542820051,71.96843695306472,2.4,3.0,8327.40763781016,66.85995964808308,0.375,3.0,3723.9238441000416,99.84501245879925,0.0,0.0,3888.5,NaN,0.0,0.0,3887.0,NaN,0.0,0.0,3893.0,NaN
6,0,69913.37153089006,3944618.819181387,1316693.019200034,1365061.0100969754,2.023692043355285E8,1257956.6676634345,348598.2738396093,0.0,0.0,0.05,2.0619802586338065,0.05,0.6459957465258569,51.48154389867942,51.90776015208173,7.944444444444445,114394.10995889083,687.2971946062673,95.46587722120891,54.0,7625168.518088257,1.3917371955868192E7,3286.739619442029,136333.3560241604,68973.05602426431,2213931.7502572173,6.504909289010142E8,2.615460010432869E8,0.0,0.0,3192.0,NaN,3.3333333333333335,3.0,26490.68832624432,83.97004129727678,11.875,13.0,66438.62472077919,106.28844147716335,18.75,4.0,162649.32859064316,58.75130361898365,20.125,13.0,210609.63712812588,96.73329701559777,6.4375,13.0,58719.76046382374,70.53622162762946,1.5714285714285714,4.0,14950.136234435826,71.96843695306472,0.6,3.0,2378.8369633659836,66.85995964808308,0.125,1.0,3176.007872157239,101.71650419179771,0.0,0.0,3193.3571428571427,NaN,0.0,0.0,3194.0,NaN,0.0,0.0,3191.5,NaN
7,0,68257.8741789975,3870656.1550816963,1397046.207731715,1439144.1089928919,2.0390226357227463E8,1030554.4607617634,317153.6190978128,0.0,0.0,0.05,0.16407576864245188,0.05,2.7805825704168425,46.04322961830225,56.19734327434862,7.566666666666666,128045.13140659095,814.2636334006683,96.11964052438111,47.0,7652090.488916643,1.379529916502754E7,3880.3656507077394,266172.0870418879,498833.68704233837,2128929.532727498,6.537077350614495E8,2.6084139391950148E8,0.0,0.0,2908.75,NaN,17.333333333333332,3.0,91363.83030649561,83.9700412972768,11.4375,12.0,97008.37940449605,105.51650844061898,22.0,4.0,170587.7075347653,58.75130361898365,13.875,13.0,150186.31377019788,96.73329701559777,8.25,11.0,70710.12250968358,73.22602112309153,0.2857142857142857,2.0,2903.3408759379445,78.74912674549162,0.4,2.0,2612.2835939242386,85.12993947212462,0.0,0.0,2908.375,NaN,0.0,0.0,2908.6428571428573,NaN,0.0,0.0,2910.75,NaN,0.0,0.0,2910.25,NaN
1,1,120791.9883633553,2.3652171348151017E7,3400373.7964449283,3462458.295288649,1.957811211355509E8,3597460.6670255284,2418810.791722644,0.0,NaN,NaN,NaN,NaN,NaN,139.89303387545394,64.61648112402497,37.53333333333333,120791.9883633553,2425.2719248550707,129.90854662233218,90.0,4.461765495048566E7,5.548893390318764E7,286413.0032917432,286413.0032917432,286413.003291743,1.0579534278274806E7,6.430430086444125E8,2.6330819535293725E8,28.0,4.0,-49145.70217083473,265.0329732926965,25.0,3.0,-157062.9604540966,141.07217594250065,46.8125,16.0,321022.3069922796,129.79214244479616,51.0,4.0,422086.72443139844,123.51123045041508,46.1875,16.0,357582.64776755497,142.37831304737995,41.625,16.0,209296.9180685748,109.57552709338609,35.714285714285715,7.0,73866.60031852104,121.05976618810926,29.6,5.0,-58549.79552831848,176.73991671920083,24.875,8.0,-153229.7209562355,144.79756505319043,21.0,7.0,-302372.172547937,157.84880650863093,27.0,2.0,-163071.5295628027,140.10933410345962,17.5,2.0,-455728.70510477235,115.19260175814173
2,1,106561.93226344952,7743108.059381672,1221217.3894829974,1293541.9974845585,1.9804719596458882E8,1183180.5568033191,636457.5330047221,0.0,0.0,0.05,3.44922518820149,0.05,1.8830992533848916,119.78254767399429,37.5749178218763,12.355555555555556,106561.93226344952,464.2589846436271,75.66922209576782,90.0,8920813.757526342,1.8511387661236614E7,179227.35884938805,179227.35884938805,215718.40884936493,3483336.7954021087,6.584997062718209E8,2.6581674696175775E8,1.0,4.0,8090.331681471049,257.40132217411104,1.0,3.0,8186.422241947422,134.35222679820137,12.25,16.0,126362.28149632251,119.72061693429984,27.5,4.0,303366.7442168136,106.5843022606289,12.625,16.0,139446.95188740807,118.47767520319398,27.4375,16.0,180518.19154825291,87.18019836733157,14.0,7.0,84802.14887348686,115.30980773833404,7.4,5.0,89345.43993036149,148.1904427507743,1.125,8.0,11296.690192333734,112.23806066418393,1.2857142857142858,7.0,2062.083011204035,112.84419577841068,1.0,2.0,24996.755725692823,151.32179919000532,1.5,2.0,-8098.1606774799,88.39797119207476
3,1,87440.97268512785,6053191.513406703,1182637.2380647657,1233140.8286246445,1.981679180860799E8,1423639.266837345,476549.03904361976,0.0,0.0,0.05,4.550727411653192,0.05,0.15638823557282963,120.25893776040098,40.650903068699996,10.71111111111111,87440.97268512785,435.41633953585335,89.60514147872533,90.0,8473710.857181735,1.6343398398843141E7,59165.53216412067,59165.53216412067,6553.0321641582705,2943204.7406506753,6.527950022679923E8,2.6457452394253114E8,1.0,4.0,-6496.036259929437,257.40132217411104,1.0,3.0,2185.8500782908573,134.35222679820137,14.9375,16.0,126475.01962248146,116.75157923380866,20.0,4.0,209702.94966673286,126.30827332392869,25.75,16.0,211234.47491459045,122.1563010288183,9.4375,16.0,76192.87016560895,87.10492828866151,4.285714285714286,7.0,35877.72474474185,115.30980773833404,5.2,5.0,24288.89903574724,148.1904427507743,1.0,8.0,3155.6971046336507,112.23806066418393,1.0,7.0,3001.701934215152,107.40727944089633,1.0,2.0,2015.4845063845642,151.32179919000532,1.0,2.0,2493.73738762649,84.34224576337192
