year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,535154.1726453559,3.396631315404186E7,6367943.498877808,6513126.8507170435,1.9272167506332597E8,6472546.946103656,3307816.3522957345,0.0,NaN,NaN,NaN,NaN,NaN,111.67447248243079,40.37338451845575,54.8,535154.1726453559,2212.461471611375,107.31347968333156,90.0,4.0702541757775754E7,8.886641729585779E7,615046.4168684953,615046.4168684953,615046.4168684953,1.6083477684705395E7,6.328485790584751E8,2.602838986979448E8,34.75,4.0,74090.26281807806,212.0726941534994,58.333333333333336,3.0,555835.5249435516,113.8337435059871,60.5,16.0,674729.5042190044,120.87115609460747,65.5,4.0,831307.9145797564,86.48439933143698,62.75,16.0,785821.3131799127,96.10684707314338,57.875,16.0,616630.9216905358,109.39309637898032,54.142857142857146,7.0,464982.2077778173,90.22389201340094,54.4,5.0,435189.9719066944,71.93596950797573,52.125,8.0,372088.84244506544,74.84981129295785,39.142857142857146,7.0,181562.531042156,120.24515106570941,30.5,2.0,23239.02152465792,174.83976366136648,27.5,2.0,-42541.692827165425,255.7970797266592
2,0,119097.35557672696,8080434.648004107,1351109.7013487827,1416861.004148038,1.9792532598145586E8,1148387.1667717248,755027.2798414615,0.0,0.0,0.05937408301065054,1.453626786728194,0.051468729348862444,4.266706567772975,114.44802508061237,34.90299799019431,13.466666666666667,119097.35557672696,470.0270396012834,90.91342044840943,90.0,9031527.741449706,1.9750289743356176E7,-57051.03100093827,-57051.03100093827,7514.268999790269,3689596.7968739625,6.58064967482538E8,2.6585614318347573E8,1.0,4.0,62148.83280015076,208.70948036677905,2.0,3.0,-68748.29251528629,123.71314680488778,3.3125,16.0,-39711.686054069985,123.55570650566627,29.5,4.0,340745.56319918425,93.92023718032816,18.25,16.0,235332.25311646683,99.83759537848337,19.8125,16.0,-7205.505399011858,108.00070731250162,43.285714285714285,7.0,313192.10432244214,72.6759832768025,8.0,5.0,251486.84475738957,54.24950653669968,8.5,8.0,243884.6060081104,75.6033731626805,1.0,7.0,122151.27329472672,134.23507478728536,1.0,2.0,17382.905171666203,221.35408524125958,1.0,2.0,4053.891662220063,324.59985229476257
3,0,117103.14780465887,7430599.109669374,1443857.0088026053,1493447.1760007038,1.977864326862231E8,1229215.6048672213,779261.4761207022,0.0,0.0,0.05,0.7226762287733917,0.05,4.997870581665351,113.74407357093901,36.042572322586324,12.766666666666667,117103.14780465887,460.1435066516854,93.26548769249807,90.0,8954781.677878035,1.949406498029813E7,26289.652702946914,26289.652702946914,22477.90270294798,3501757.061019895,6.510488234443284E8,2.6482580169260713E8,1.5,4.0,-5823.580160974176,208.70948036677905,5.333333333333333,3.0,33115.767955038966,154.84767449362144,5.3125,16.0,44757.75379919153,116.55394918996774,39.0,4.0,324000.16529334313,94.524131572041,16.125,16.0,213169.62493518143,95.94250951034822,14.3125,16.0,158366.2711927045,104.18118824388512,44.142857142857146,7.0,280716.950331807,80.76109445154275,2.2,5.0,27063.93508731036,64.89310514357493,7.75,8.0,49669.713080293994,71.41252669742904,1.8571428571428572,7.0,1674.630788118566,134.23507478728536,1.0,2.0,516.9883780954115,221.35408524125958,1.0,2.0,-1960.5827415533968,324.59985229476257
4,0,117249.64751676447,6277645.611997049,1519693.1091179983,1577077.5576547722,1.9866931397557372E8,1270018.837772068,678158.0251388163,0.0,0.0,0.05,0.7821129453743831,0.05,5.015748433039761,108.11406148291061,35.91954620121577,11.255555555555556,119788.69064214548,413.48295797535883,95.69518005776202,88.0,7800521.854374205,1.8352990130883697E7,41111.69567812164,23209.434586393472,18550.934586395535,3142633.5948615647,6.473223874320726E8,2.637784553143359E8,1.0,4.0,-3567.483189577084,208.70948036677905,3.3333333333333335,3.0,41706.469268909015,204.5746783842197,9.75,16.0,73943.9717329892,114.75148610801662,32.5,4.0,461041.41313869646,88.53795061536037,17.1875,16.0,207283.30609381577,96.02768244423541,12.875,16.0,119906.42143113952,100.93312264326474,22.571428571428573,7.0,248532.27403636024,88.70663893038126,1.4,5.0,10817.050439180131,65.0999535357081,7.25,8.0,44786.08049661943,76.41939763346798,1.0,7.0,2633.4928729164653,134.23507478728536,1.0,2.0,-1141.9018776535777,221.35408524125958,0.0,0.0,5531.75,NaN
5,0,115621.30096482333,5119892.280126322,1571471.8517391544,1629592.2903776194,1.9996487118362316E8,1235209.2659848244,549538.163805364,0.0,0.0,0.05,0.22777156085864456,0.05,5.252751410995773,84.0032785037806,34.92697635515627,9.733333333333333,137951.68782445465,407.9470838282252,96.34687754214572,75.0,6505840.880646242,1.6911757967481695E7,27588.603446929425,231018.83308397478,407239.7330838248,2735125.2448713216,6.467136856960413E8,2.6280155381677097E8,0.0,0.0,3969.75,NaN,4.0,3.0,50143.17829215418,197.11274707625282,11.25,16.0,120392.49152006392,118.45917869627729,32.75,4.0,344761.87321468635,93.43264238625432,18.6875,16.0,237755.59648317072,99.26716777613979,8.4375,16.0,109345.8230461364,96.95277437271724,12.571428571428571,7.0,140408.41758912252,85.69390260046075,1.2,5.0,7861.345131496293,69.34526712174574,3.125,8.0,39353.91669095181,76.72208340404691,0.0,0.0,3970.1428571428573,NaN,0.0,0.0,3967.5,NaN,0.0,0.0,3967.75,NaN
6,0,114530.2819596983,4636972.576093856,1579626.5197799387,1642544.2781410213,2.0136692999701175E8,1219829.1051590235,486096.93229470606,0.0,0.0,0.05,0.29934641703290904,0.05,5.243599561765687,84.65730290995822,34.8358581361506,9.2,138531.90373476822,389.78500725314456,101.65081284512344,74.0,5926086.189938402,1.623381156631331E7,36223.44517962582,298556.27840269427,373264.07840267825,2560866.441661553,6.482205431222125E8,2.6187156694510603E8,0.0,0.0,3521.875,NaN,1.3333333333333333,3.0,22376.099841126514,206.8205028292372,14.375,16.0,122614.9583752642,126.78976580346863,34.75,4.0,426927.2986097522,101.65469960386636,18.6875,16.0,258306.3170485201,98.71824063313501,4.375,16.0,83881.65064518846,93.59524441967072,8.571428571428571,7.0,101230.91053310837,89.42424776998959,1.8,5.0,16411.65757873573,68.26195568860547,2.125,7.0,31565.925460182174,74.16363263710271,0.0,0.0,3523.785714285714,NaN,0.0,0.0,3521.75,NaN,0.0,0.0,3520.75,NaN
7,0,112769.53799865238,4074049.2372034914,1593389.6062555544,1663700.7580090275,2.027488467981756E8,1135070.9430928368,443669.22257533,0.0,0.0,0.05,0.48585287968056295,0.05,4.910542048895814,78.48601997880844,34.83890591320011,8.377777777777778,150391.08089371215,392.06768744108774,102.57332706339912,67.0,5252342.443784487,1.5401600863663165E7,43897.65005694388,62857.5746008202,36650.874600820185,2344399.2380550266,6.515217411194359E8,2.610677578715498E8,0.0,0.0,3175.4999999999964,NaN,1.6666666666666667,3.0,18478.580924912996,199.99164683048184,14.4375,16.0,165492.7503775927,129.34911723217346,29.0,4.0,436314.1288140209,97.77499627190767,15.875,16.0,252573.53678215292,98.70230584809761,4.75,15.0,52537.023021488894,95.70505681642881,5.571428571428571,6.0,71176.96162186198,88.79977712803505,1.8,5.0,17469.23856412859,64.46685242865506,3.0,2.0,23210.659346807734,66.5676630357145,0.0,0.0,3178.1428571428573,NaN,0.0,0.0,3173.5,NaN,0.0,0.0,3173.5,NaN
1,1,530940.2152810202,3.382725648113332E7,6345131.694928395,6490075.81750362,1.9274283399555185E8,6481129.245725723,3266025.8907260615,0.0,NaN,NaN,NaN,NaN,NaN,113.78408427222219,40.57212925876912,54.58888888888889,530940.2152810202,2214.787456092585,108.78473859199781,90.0,4.074536874364836E7,8.852998811894017E7,620692.8025396619,620692.8025396619,620692.8025396618,1.6021131319698993E7,6.329861510209208E8,2.6027488478037128E8,34.5,4.0,69687.95521791425,216.24689675212525,58.666666666666664,3.0,550352.0967575511,113.03726336806442,60.0625,16.0,665973.7521658468,121.460441342053,65.0,4.0,822071.4043956788,86.06536604874492,62.6875,16.0,784048.8149923028,95.75839529750633,57.75,16.0,616152.215147365,112.39415210676813,53.57142857142857,7.0,457774.3489844023,92.28555977517307,54.0,5.0,432024.1549555822,75.32504176597318,52.5,8.0,376942.1960156651,74.71774459346408,39.285714285714285,7.0,181949.21773991158,122.16685506724467,29.5,2.0,2370.275452489953,206.19065116623005,26.0,2.0,-75367.365600927,265.2417757220604
2,1,114522.96177421015,7613811.305407125,1302756.1031273406,1359395.93297672,1.9798614556192467E8,1127858.1801348042,706074.1710072225,0.0,0.0,0.06407402560341671,1.357826931497994,0.049999999999999996,4.4142307472229,114.75807613147606,34.94744948767305,12.666666666666666,114522.96177421015,442.6676935105252,92.40751011018706,90.0,8505887.412177265,1.8812953971858844E7,-52114.286629780196,-52114.286629780196,251394.51337044922,3495089.6948171835,6.585207661049849E8,2.6588581449320817E8,1.0,4.0,44783.99528548708,215.45261847428625,2.0,3.0,-68004.61981123862,96.05908154780411,2.125,16.0,-29216.371748165504,122.63715014021544,36.0,4.0,425083.89559844404,95.95981522470942,23.625,16.0,300153.2651711658,106.75409294932838,8.875,16.0,-36063.869129548766,102.51638522270885,48.285714285714285,7.0,129853.24140535582,70.1846868482803,4.0,5.0,226386.66007836317,61.132496206897926,7.875,8.0,226687.4959376279,75.52214822268797,1.0,7.0,142375.66959653987,123.15327998359706,1.0,2.0,5260.185705953877,314.8479321076256,1.0,2.0,6042.225281832016,295.48826027151097
3,1,113821.11980004325,7261661.507139457,1400013.2437368538,1452590.558406321,1.9789133435907578E8,1219493.584520382,773738.1683252587,0.0,0.0,0.05,0.9052987833752724,0.05,4.801740346244987,116.56124632639671,35.93641246798899,12.588888888888889,113821.11980004325,452.3995036247947,91.52171949401689,90.0,8804223.26825842,1.9048124050262403E7,244906.35407252377,244906.35407252377,179545.80407253938,3429609.70490761,6.516483259205581E8,2.64868010734871E8,1.25,4.0,-4113.376987238455,215.45261847428625,5.666666666666667,3.0,28424.321786508972,95.14685782241277,4.5625,16.0,30563.863183495087,127.7780234284001,41.75,4.0,396429.82707972964,88.93217048253103,16.5625,16.0,250888.5907204557,96.16663090388374,9.75,16.0,90462.57284886113,117.39060366800469,50.57142857142857,7.0,306863.3112903768,78.77806659889863,2.6,5.0,21095.328040248576,65.5209936803163,8.125,8.0,47547.65531176454,70.54644160490699,2.0,7.0,1358.2683705771758,123.15327998359706,1.0,2.0,-1777.875214831821,314.8479321076256,1.0,2.0,-565.8008314815088,295.48826027151097
