year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,388210.66030844266,3.6444414871783264E7,1.3766593091446063E7,1.406721132348862E7,2.126758768651924E8,5712999.499323985,4139573.7223962485,0.0,NaN,NaN,NaN,NaN,NaN,721.0749961234765,101.54305001538046,76.27777777777777,388210.66030844266,7745.478203950965,464.4846410805947,90.0,9.319433028116208E7,1.2813328970892194E8,723639.2680538903,723639.2680538903,723639.2680538921,1.92247961587512E7,6.655054722761489E8,2.6603126307807058E8,40.25,4.0,-19006.8161302519,965.9174921981826,46.0,3.0,-158727.18793022353,1220.0789033054577,72.0,16.0,322899.1388696753,837.8021308945126,77.0,4.0,53892.51103118592,948.6947214757722,66.0625,16.0,508546.74701338395,710.3046703915494,79.25,16.0,244951.0211489693,721.1793799268964,80.14285714285714,7.0,424799.1359589105,712.0861015363745,103.4,5.0,781531.9408131453,549.9647584933626,104.25,8.0,756432.5236984616,441.7269582237413,93.42857142857143,7.0,653335.5362850708,454.49148473217025,47.5,2.0,310119.4057263786,925.40852603098,60.0,2.0,-36526.855689864315,484.4927864474158
2,0,22855.59626973426,7288437.249173157,2397101.1645943103,2422387.952057337,2.2417253791459695E8,1115628.4504232313,674721.1103707745,0.0,NaN,NaN,NaN,NaN,NaN,719.2715436322476,112.65477727837003,15.277777777777779,22855.59626973426,1721.1146528639865,605.7849255921719,90.0,2.1556871831184987E7,2.3613875495461065E7,90710.18596022288,90710.18596022288,90710.18596022256,3683744.8298977935,6.949755581702126E8,2.7094572342305917E8,9.5,4.0,-64536.33757670621,976.0935105693637,14.0,3.0,-91918.8478062075,1212.4454985270393,16.0,16.0,6191.378233386833,836.1860916170053,15.75,4.0,-71992.8673881385,949.9371690601939,12.9375,16.0,18287.20297485603,709.0825919858222,16.0625,16.0,10245.411818581439,719.733541263193,16.571428571428573,7.0,39922.52143767826,704.8419260527826,19.2,5.0,86117.99564270205,545.2919967532611,18.125,8.0,94901.94512766064,439.6099269773358,15.714285714285714,7.0,103022.69178690405,449.45357379825754,9.5,2.0,35481.56197827823,930.7532198240815,13.0,2.0,30953.99168073386,484.01488837808483
3,0,33626.87433014736,7752458.817270205,2246487.646909302,2300255.430210646,2.1158763538288215E8,1156384.9725459085,795118.2398297929,0.0,NaN,NaN,NaN,NaN,NaN,717.9241024715956,114.2115772187896,15.633333333333333,33626.87433014736,1785.5076571870773,584.7253784205583,90.0,2.0679389227891773E7,2.3705807917605042E7,108037.60744907099,108037.60744907099,108037.6074490708,3833471.6932617566,6.862190960209944E8,2.6997851156402934E8,9.75,4.0,-50952.146698435594,971.7251035694321,13.333333333333334,3.0,-73672.6142341654,1213.023499958846,16.0,16.0,19883.307759630825,836.431229042892,15.5,4.0,-37647.38490329229,949.048030442286,13.0625,16.0,27032.762092740322,711.1604771116815,17.25,16.0,18805.79840769755,715.704766558277,18.142857142857142,7.0,55484.45959287174,700.7878976770173,18.6,5.0,94869.422368228,545.6108184831148,18.5,8.0,97289.97931483858,438.28749732322325,16.857142857142858,7.0,106073.49898024053,450.19502169233175,9.5,2.0,52751.54285247397,917.5944607590932,10.0,2.0,30604.512292494124,475.9195975047967
4,0,75091.89492632209,5498333.926122104,1343588.3264364998,1376560.522485411,2.0415919678251895E8,564994.7773042856,576060.9973707022,0.0,NaN,NaN,NaN,NaN,NaN,188.9936425727393,68.47015866147113,10.244444444444444,137923.88864018343,1288.356862977069,312.9636996936423,49.0,8450878.374023283,1.520914891739228E7,94927.07080464426,91914.70870779455,91914.70870779338,2565349.96802327,6.786394107845626E8,2.696441908161212E8,5.25,2.0,31955.327444509894,475.57640777173697,7.333333333333333,1.0,32275.451299021526,610.874327849339,11.3125,8.0,97865.83093210733,256.3705786627286,6.0,1.0,61229.022487360286,118.47253901221161,7.5625,9.0,59794.35307525758,339.7642050474063,8.125,6.0,60252.08836537436,246.53476775233628,11.857142857142858,4.0,75495.54432368588,448.02955202915143,14.2,3.0,117679.74669524972,194.5899131831496,15.625,6.0,109755.67426066371,292.18585128244985,16.142857142857142,6.0,95745.84132845185,368.7108751568979,10.0,2.0,29665.127454547735,914.7430908536221,5.5,1.0,38823.17487249838,570.1225798896234
5,0,76494.5880172483,8925312.84286449,1408726.400654823,1477331.7094248193,2.004911730291411E8,628375.4980053154,504213.7171721091,540.6716666666666,0.05000000000000001,0.05,0.05,0.05,3.0541380674535823,187.86232595226267,45.460959621937256,14.744444444444444,133837.81880719075,1231.1570085369538,187.13505387709986,49.0,1.2879818896472406E7,1.9764331818024717E7,84026.34741541589,154479.6911853091,122168.09118520643,3690861.4675781564,6.677355212645172E8,2.6927014465913785E8,0.75,2.0,-2793.840232045419,475.3685148675172,3.6666666666666665,1.0,-1093.1647072316653,632.5850567349181,18.875,8.0,91010.33390439556,253.0770850758534,14.25,1.0,102148.73283617529,130.2857570125062,8.4375,9.0,80285.10125072244,330.80790369614374,14.9375,6.0,59452.28404874279,242.61540958563194,17.285714285714285,4.0,69903.33359584534,447.70973658170146,39.2,3.0,241636.83765966175,198.2706609130042,21.5,6.0,113691.2012482395,289.90608313403135,12.0,6.0,36397.263202293034,368.98167736082615,3.0,2.0,-31434.99249921055,913.6605744553424,0.5,1.0,-269.3264385111397,570.1225798896234
6,0,54223.63608998278,6157452.786089299,1200491.7177422908,1235359.2083714334,1.9977962898016268E8,543083.4025431008,376818.191150722,6.671666666666667,0.0,0.05,0.05,0.05,1.0813246905844223,187.4603619561291,48.02496102861081,10.78888888888889,94369.32138976429,951.6783093628795,165.79070859430473,49.0,1.0083462083852064E7,1.4963589331949199E7,22396.54907050752,123126.6581328495,157097.45813284215,2657272.364249692,6.60962807014702E8,2.690176437574525E8,0.5,2.0,-3626.8589352491254,468.4243183167537,0.3333333333333333,1.0,497.98323113952455,626.7753749350719,12.0625,8.0,34198.4234363828,252.98872415914542,3.0,1.0,13794.541206391994,129.49469330712932,8.0625,9.0,69656.08448197684,329.1760281981812,10.25,6.0,24786.127706032734,240.8238744391981,15.428571428571429,4.0,70477.8543192499,458.26210389141556,33.4,3.0,253988.06256262911,194.92668342909545,14.875,6.0,98795.65954379781,288.5585724958076,10.428571428571429,6.0,38530.07554492304,364.9987652792218,1.0,2.0,-20048.756249073835,914.9729477011625,0.5,1.0,-1775.5931922048912,577.7581895784775
7,0,40580.73544405688,4255557.304922659,1083699.1590810781,1112161.63762748,2.0077846491866073E8,398095.93811614776,351673.0980123894,6.671666666666667,0.0,0.05,0.05,0.05,0.3239008864404181,143.09810133126967,53.23710192964108,7.9,78851.17477193453,860.2631698176093,190.74711701122882,44.0,8114550.466947828,1.1766816656913184E7,2234.36440591095,-557.8770353650907,93.37296463173334,1954384.4439424633,6.577630167368866E8,2.6894738080392116E8,0.75,2.0,-4304.220481696451,475.8020321733377,1.0,1.0,-5835.058973223048,640.766049722144,4.1875,7.0,9397.556111047263,192.51338583678904,1.75,1.0,9751.787423950736,130.24010928308667,7.625,9.0,50095.42427362716,328.87025117637415,4.875,6.0,10829.300138712912,238.36392764852135,15.571428571428571,2.0,89307.85954964792,177.35744117806328,30.4,3.0,223442.30495673878,193.18894219262026,13.5,6.0,94884.4631953888,289.8638010371773,8.571428571428571,6.0,2327.95882463175,360.72001327215,0.0,0.0,3977.5,NaN,1.0,1.0,-1434.174112594279,580.8247743363936
8,0,47612.15687411671,3787766.1709357616,1100776.207979599,1126194.327040118,2.025311522117039E8,351830.6797833898,344301.76267402235,0.0,0.0,0.05,0.05,0.05,0.5181786568394502,52.541308406875196,50.52849875354988,7.133333333333334,161935.16474682014,1297.571847991161,155.62854752971774,25.0,6897786.805144232,1.1182880923813706E7,15418.066381560639,725437.8180150618,810387.8180150192,1790917.3030883474,6.567381000118341E8,2.689543841931625E8,0.0,0.0,3644.25,NaN,0.0,0.0,3640.5,NaN,5.3125,7.0,22966.525668504037,195.72813751959717,0.75,1.0,7216.744394655339,136.73092418491453,4.25,3.0,32070.65527025638,234.61235904523264,9.1875,4.0,63259.11692203912,171.6163975031107,9.714285714285714,2.0,76283.50089463491,178.31571200863578,25.4,2.0,182069.21996665513,102.01187153175584,15.75,4.0,103598.38456052594,242.03732885165633,2.5714285714285716,2.0,7186.813248451733,151.39136008056164,0.0,0.0,3636.0,NaN,0.0,0.0,3645.25,NaN
9,0,36792.07370165988,2657302.511610955,959718.0455803017,977278.9912574625,2.0471941971095896E8,235972.03262439673,264436.5431103099,0.0,0.0,0.05,0.05,0.05,0.1687895809981578,48.10297381099656,56.030901924517025,5.277777777777778,135972.90144127744,1157.1599310498082,163.6424927189961,23.0,5468012.650930728,8779299.284080116,13333.199777775677,23913.399555551354,21392.899555551237,1319249.8666704327,6.584613545118649E8,2.69119030784277E8,0.0,0.0,2754.25,NaN,0.0,0.0,2749.5,NaN,4.375,7.0,32552.552386220326,201.55825158751023,0.5,1.0,6255.97098498093,134.27427679418412,2.75,3.0,15763.06813550691,231.75937855400693,7.4375,4.0,44735.168190101176,173.11374087515034,8.142857142857142,2.0,66904.58917519257,174.50223410058612,21.6,2.0,152341.03649458213,102.01187153175584,8.625,2.0,61998.745028992416,277.4825977641981,0.8571428571428571,2.0,5877.908984144718,144.179549563616,0.0,0.0,2751.5,NaN,0.0,0.0,2754.5,NaN
10,0,37114.572909621296,2338856.712850244,1076885.9203137055,1095762.533149204,2.068256373495102E8,238552.3767025769,538501.9861508178,0.0,0.0,0.05,0.05,0.05,0.5298756748727397,43.983367979316505,62.246765243875046,5.411111111111111,143111.45735754166,1377.9170306257795,166.199201917711,22.0,6061132.582135237,9401444.144000249,13484.095845279517,61683.236139030894,62593.88613904058,1342138.7387884376,6.617699871908579E8,2.693183229151138E8,0.0,0.0,2820.5,NaN,0.0,0.0,2821.6666666666665,NaN,9.25,6.0,77924.09192835422,171.08466305185823,0.75,1.0,7618.272168343654,139.84803261040176,1.6875,3.0,12455.605760573279,239.5103816173414,6.0625,4.0,27000.12731413533,170.68189763494857,7.0,2.0,54640.8820077721,174.95551878789695,19.0,2.0,116584.39026203398,102.01187153175584,7.875,2.0,46549.51434041653,277.4224737152066,0.7142857142857143,2.0,8989.147579375722,141.05432187769844,0.0,0.0,2822.75,NaN,0.0,0.0,2820.25,NaN
11,0,36507.23370119541,2154384.3411992183,1034541.0805096603,1055706.8174149606,2.0894031263272613E8,264144.684758811,498287.81068600726,0.0,0.0,0.05,0.05,0.05,0.37683218176072086,43.65391077032027,61.65770049437208,5.1,140772.47877761757,1286.403842132581,169.69389273395197,22.0,5658664.206212636,8944315.239320645,11474.89724532701,2907.2198578561656,2177.2198578567622,1265507.5919807416,6.662181937385736E8,2.695271431245436E8,0.0,0.0,2775.625,NaN,0.0,0.0,2771.0,NaN,6.875,6.0,47206.75941182586,171.14400450506722,0.25,1.0,6526.101377927931,139.84803261040176,1.375,3.0,8759.262324792988,241.95427377246622,6.1875,4.0,44892.67042203728,166.63510669731565,10.857142857142858,2.0,116043.74361103035,165.8580023325335,17.4,2.0,86178.49581704848,102.01187153175584,7.375,2.0,40154.90843534906,277.4825977641982,0.7142857142857143,2.0,7264.157316018528,139.51585916219142,0.0,0.0,2776.75,NaN,0.0,0.0,2775.75,NaN
