year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,941412.9548190256,4.864558354763403E7,1.9539740973719697E7,1.995334505161046E7,2.0685103705439508E8,5612355.335993823,6107472.819218484,0.0,NaN,NaN,NaN,NaN,NaN,291.04825946064744,72.00987466381997,103.53333333333333,941412.9548190256,7455.422356860828,257.2391721697417,90.0,8.970432435652693E7,1.744314902902392E8,1256215.8793648137,1256215.8793648137,1256215.8793648148,2.558146279554969E7,6.530122207028353E8,2.661406992891963E8,61.75,4.0,278197.27768707555,400.69497252736903,93.66666666666667,3.0,1015060.5001022784,293.5828756204705,88.0,16.0,680691.0171662971,327.649093927385,97.0,4.0,898735.8891833366,290.08145237248186,91.8125,16.0,806942.625903232,312.20291305620634,97.875,16.0,855247.8490728588,307.3711654726327,130.0,7.0,1309916.2955043938,218.27938955858798,152.0,5.0,1815165.3811443546,177.9606371683016,101.375,8.0,890741.0477410976,361.7759919554566,129.28571428571428,7.0,1271801.593280142,187.73515987569496,160.5,2.0,1531103.0598786287,170.09343290112037,126.0,2.0,1076080.6313730257,214.30921618524496
2,0,193511.99964349097,7971837.757511181,3168143.9320043935,3240241.1977979853,2.2336624502639478E8,737266.8204982782,962564.464399544,0.0,NaN,NaN,NaN,NaN,NaN,212.60033702753717,51.420079089399735,16.58888888888889,193511.99964349097,853.0019786719312,206.03798216398118,90.0,1.0684060085975977E7,2.8100140053890165E7,221116.88829354546,221116.88829354546,221116.888293545,4130997.8713886924,6.941712458485879E8,2.7131781307806134E8,13.25,4.0,112418.34029964538,288.4828953708615,9.333333333333334,3.0,164346.7340019799,146.7223179654661,13.3125,16.0,164197.43895503276,240.4912213935151,12.25,4.0,155360.88669093009,208.47986311686884,13.6875,16.0,158509.99390123814,260.3176346688849,17.5625,16.0,200952.03220613947,209.73686128742676,17.714285714285715,7.0,242482.0070959017,166.20005245035256,21.4,5.0,271425.1269869646,100.56108574011243,20.375,8.0,220460.9179598047,211.77915108678528,21.857142857142858,7.0,240644.4269404297,182.21511301615323,26.5,2.0,233918.57217843318,175.82690093382772,25.0,2.0,251418.12786146672,174.84113475287774
3,0,200155.0702178196,8166434.824114899,3161416.5476288153,3243747.9374107444,2.098766756893904E8,826511.5458813349,1184025.3215335864,0.0,NaN,NaN,NaN,NaN,NaN,201.6766759467198,54.433332228005675,17.11111111111111,200155.0702178196,931.4147959014304,196.63819763560457,90.0,1.0787533641488193E7,2.8801489961091958E7,194380.67132656113,194380.67132656113,194380.67132656142,4287438.104838183,6.849718870249273E8,2.707077915867336E8,13.0,4.0,109391.8303208838,293.3772461183793,15.0,3.0,146845.9758937726,293.7891368222721,11.8125,16.0,166153.56608517788,182.97952431123502,12.5,4.0,176294.77844874866,202.62048479334402,14.6875,16.0,167844.4293810889,264.2647835299118,18.25,16.0,209834.77781744124,193.84746931217322,20.857142857142858,7.0,273978.3686739681,166.563798345425,21.0,5.0,246495.3999699711,134.5538553165903,19.375,8.0,230285.49061348336,189.96669212136493,26.0,7.0,258453.15948633026,175.5213560402706,25.0,2.0,252436.28521137347,126.90125643861172,19.5,2.0,211346.69600101528,93.58632975349454
4,0,194198.3954226348,9130763.661401542,3089918.4637807505,3162043.0914936024,2.0075187667400777E8,1057297.1729113231,1443798.398657426,0.0,NaN,NaN,NaN,NaN,NaN,187.26932273104168,56.75250637032377,18.933333333333334,194198.3954226348,1074.5141206114633,182.26196311492313,90.0,1.294566463933577E7,3.04235202273729E7,263266.3633392373,263266.3633392373,263266.3633392376,4725820.970497676,6.737884610468508E8,2.6987403090633744E8,14.0,4.0,67388.86527178648,329.46087566258876,15.666666666666666,3.0,179133.47420657973,162.9100832962276,14.1875,16.0,152144.13026800758,195.5897411459505,13.75,4.0,164415.69816043117,125.95458821322637,16.4375,16.0,172856.22425073653,237.4219468653077,20.5,16.0,209798.38250960445,175.10683996030502,21.428571428571427,7.0,236118.0763554976,187.98677573373038,23.2,5.0,274399.6732098651,88.46993404795799,23.375,8.0,230573.34718077324,190.56773950081157,25.857142857142858,7.0,244846.92395746714,148.46301804847616,25.0,2.0,216157.92890629487,158.44765395197294,22.0,2.0,220400.5578680467,87.50752111556032
5,0,81230.52996745793,8045763.399094581,1467577.3737657215,1576348.1581021354,1.970496069875587E8,862531.3290469804,937608.6566277158,543.3583333333333,0.05000000000000001,0.05,0.05115019752793947,0.0511107222337335,5.036794347490335,195.70740638068233,44.11292909502073,15.044444444444444,81230.52996745793,663.6545110517563,130.8038606786856,90.0,1.2752234441640267E7,2.006298213871137E7,23052.515269085765,23052.515269085765,46239.41526909928,3655301.8392901593,6.640359644903511E8,2.692536249071347E8,1.0,4.0,16752.449632469918,434.03872529496965,1.3333333333333333,3.0,39272.17686028383,340.44270327261825,2.9375,16.0,46597.8248470296,177.94427274590015,3.75,4.0,60866.1596872505,137.7539054822318,6.375,16.0,58230.501368943835,194.3109779887832,10.6875,16.0,52167.83574567306,200.2141044645474,31.0,7.0,131504.28275063867,170.68483509591155,45.4,5.0,199839.21725683863,105.77548375876547,20.375,8.0,82092.16565154848,211.14394784841446,29.428571428571427,7.0,111049.39831323632,188.6016503084064,30.0,2.0,222161.17407616507,119.60352326542667,69.0,2.0,286193.3053645504,86.70840610241801
6,0,59975.000614117176,7467486.0860136915,1357312.5717634463,1432540.644589734,1.961628758653656E8,809103.6678475473,879861.3198496959,544.0300000000001,70.69749999999999,0.05,0.05000872278823351,0.05,2.3180576928628818,202.24034595120412,48.432199201188965,14.011111111111111,59975.000614117176,678.5889243633254,135.76069633961862,90.0,1.3206055580564301E7,1.8603805635834407E7,88575.30918796686,88575.30918796686,58970.45918796648,3383786.0469116876,6.561844038317919E8,2.687168131205175E8,1.0,4.0,-10142.294811149106,434.03872529496965,5.333333333333333,3.0,-11395.338746150335,309.7213925699767,5.875,16.0,15300.271293926264,179.6807056356165,1.0,4.0,3498.0374676866923,121.56354278247198,11.75,16.0,28345.240032236277,197.11992901092228,10.3125,16.0,33832.09335137418,249.996676118039,25.428571428571427,7.0,138259.10758455453,207.2587807373916,47.6,5.0,256005.8137825863,96.75062460278647,14.75,8.0,63251.32092697255,200.7777822619651,22.0,7.0,116437.337414565,146.9240137329277,5.0,2.0,51344.425062086666,95.36509220120345,46.0,2.0,273633.91229776887,130.65789327556868
7,0,54855.49496076099,5316029.908251754,1271829.5378920578,1348219.122895929,1.9689520798794734E8,672427.3471049496,936646.0005681295,544.7016666666667,33.8573125,0.05,0.05,0.05,1.6040559193974557,190.820245418051,48.71066406888661,11.133333333333333,55403.21063447741,548.4054538991504,130.72415125269043,89.0,1.0463421259345256E7,1.5400415805814339E7,37008.25749226869,24226.71191450907,14734.911914494762,2641844.5781846624,6.522496122399148E8,2.6834596706465608E8,0.75,3.0,-7026.828009187517,436.2145316224674,3.3333333333333335,3.0,7914.8029603351215,99.4908525763779,4.125,16.0,13447.37535129884,188.39878742771177,1.0,4.0,1023.9533755151206,121.56354278247198,4.8125,16.0,11284.95563894781,232.42716701447853,6.5,16.0,21141.497576384885,241.1738180116265,24.0,7.0,148866.77955478427,164.13240471845856,39.8,5.0,218807.03847752284,119.69381065611996,17.625,8.0,78187.13546133909,179.45724059783916,20.285714285714285,7.0,112332.68290123533,144.29460111959568,8.5,2.0,55724.45197723014,101.86069538237557,35.5,2.0,271951.48091557215,45.80899747132698
8,0,59978.4909919046,4745214.539942666,1230529.9156073083,1287870.755082829,1.9842996400589406E8,569885.6173432536,768751.938987137,413.2166053665792,291.4067129142787,0.05,0.05,0.05,1.7762155870000895,101.45895749052004,46.49668158507776,9.722222222222221,96183.46091243374,753.4184516100563,122.61417167948336,54.0,8651001.169237187,1.4049065358508505E7,39222.70111630764,-7973.611557026859,-13208.161557026726,2353827.636685823,6.506740736593134E8,2.681100700679717E8,0.0,0.0,5247.425000000021,NaN,1.6666666666666667,1.0,999.3541993788289,199.16397804154857,3.125,5.0,24670.58825745478,158.34810476026502,0.25,1.0,4560.048077716492,77.30407896741283,2.4375,7.0,8263.745645635423,206.24951416719765,4.4375,14.0,15548.427809736459,221.15846322906887,21.0,6.0,152787.48054958181,105.17421688454665,28.8,5.0,168496.85535594993,165.34657616094321,19.875,5.0,125506.24067458053,160.15036432133266,14.0,6.0,93518.69009335455,153.35892919476638,48.5,2.0,267868.3643082741,125.21856578744094,32.0,2.0,236848.96083184402,47.005899248514964
9,0,70333.10974952407,4275529.57528794,1318682.772959335,1375972.0933708253,2.001352990332008E8,545954.1412879854,706889.5476546148,493.58234378914136,122.5675,0.05,0.05,0.05,2.74834531180882,84.94329579059598,44.87951410190309,8.955555555555556,148925.85798676015,882.2655699057046,134.22794778882692,41.0,7431773.813690647,1.376175369114839E7,147241.22126166872,24670.49049035483,21740.590490360875,2203981.5814392758,6.512107451509016E8,2.6792679647047734E8,0.0,0.0,4577.300000000021,NaN,1.0,1.0,1840.5581407441448,179.25315617383214,2.375,4.0,20358.124589916595,301.0444751121434,0.0,0.0,4580.175000000047,NaN,2.5,6.0,21295.896024207384,205.93904142866506,4.9375,10.0,35196.92934848121,251.18750944435988,18.428571428571427,5.0,129152.95147989923,108.44405050892333,23.0,5.0,206365.32439174707,155.24299181206288,15.625,3.0,164133.44926744257,121.69019276646061,11.857142857142858,3.0,101376.58135998056,125.501152521323,65.5,2.0,361220.4758938872,153.21233361517488,31.5,2.0,188585.6029340208,73.76115340850649
10,0,69911.56673636996,4024990.5847298633,1286118.6592121609,1331534.4107786187,2.019174336675079E8,458646.8050447189,652991.4477225335,390.19161082053836,0.05000000000000008,0.05,0.05,0.05,2.5878110861684016,85.51656229562221,45.25161622959634,8.311111111111112,177866.3001845087,995.5355570511194,126.9872545555679,34.0,6767883.799591063,1.3059924805864468E7,182631.83694597264,862.3587893496733,-3502.4412106502346,2064667.9013967882,6.53399417773265E8,2.6786722303845602E8,0.0,0.0,4369.925000000021,NaN,0.0,0.0,4371.133333333302,NaN,1.625,3.0,11276.118097465165,621.4368900894144,0.0,0.0,4363.550000000047,NaN,4.1875,4.0,37770.836920147674,191.781889636445,2.75,7.0,24860.664141998343,355.0701179853214,16.285714285714285,5.0,149484.99563965984,113.31601488943318,23.2,5.0,198861.08163638096,146.23391733049678,15.25,3.0,149389.1461767204,131.7583335182917,11.285714285714286,3.0,83733.01518785485,137.22799900063606,59.0,2.0,388717.79013796407,167.25645536111193,31.0,2.0,231045.7830276593,70.16999125803429
