year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,1026863.8690568849,5.232241440927715E7,1.977135705143732E7,2.018751435297155E7,2.0663127013029712E8,5163328.834916936,6591027.800838023,0.0,NaN,NaN,NaN,NaN,NaN,136.64216514942072,61.67615408875316,118.05555555555556,1026863.8690568849,7281.212635477803,106.11667810281415,90.0,8.76083322158995E7,1.800260804310191E8,345671.2528152695,345671.2528152695,345671.25281526975,2.676818009188553E7,6.492358696521634E8,2.6660589828567964E8,34.25,4.0,-628200.8800446364,913.7952948186448,111.66666666666667,3.0,1405627.5729624603,97.04025184216623,93.8125,16.0,664971.2054995142,121.04214872139714,107.25,4.0,1149314.5211830856,95.31212424244984,88.375,16.0,352370.0380205584,111.19848913178633,97.6875,16.0,527595.8589566025,97.41755023407462,163.42857142857142,7.0,1996672.4301634114,97.80921993669395,181.8,5.0,2251682.908921238,89.1765008864696,173.625,8.0,2129210.3797092284,81.54583226122125,162.71428571428572,7.0,1886206.304801033,80.246096486498,108.5,2.0,509959.0348958832,76.20220659130514,224.0,2.0,2452625.247614382,99.33631580689298
2,0,219947.62103053564,7954333.631521436,3267382.3712405623,3356265.5249926317,2.2325116706116706E8,806666.7350093705,923437.8821993226,0.0,NaN,NaN,NaN,NaN,NaN,131.07376870184726,41.698840277830946,16.866666666666667,219947.62103053564,703.3204393527486,115.33414261906229,90.0,8809261.775649441,2.8604547668397658E7,216108.81471421683,216108.81471421683,216108.81471421683,4162450.9079015725,6.942169671070194E8,2.712437097382256E8,11.75,4.0,-225341.63752554727,913.7952948186448,11.333333333333334,3.0,186554.81365241963,96.54386050291028,15.125,16.0,215117.16182822274,112.29883394264077,16.75,4.0,240249.29429496135,82.06746928285119,14.5625,16.0,215611.2585626889,103.02147310843631,14.125,16.0,216943.28143558957,88.51364670845116,20.857142857142858,7.0,287852.61004538,94.4210374039702,20.8,5.0,297931.8591518452,82.3843268115178,20.75,8.0,288321.8369035983,84.58122459557565,23.571428571428573,7.0,299933.99260980956,81.26760190088297,17.5,2.0,168824.03116562142,76.31684353707858,26.5,2.0,282427.661791845,95.59384603438103
3,0,217880.92698895684,8642270.832608936,3246767.3313995437,3325522.0725154565,2.0968573096675402E8,870227.2442012604,1184241.3973001086,0.0,NaN,NaN,NaN,NaN,NaN,131.82126340842603,48.31953002134257,18.322222222222223,217880.92698895684,885.3211667243767,111.92518977418459,90.0,1.0253662287210446E7,2.986294571621657E7,200885.0236402425,200885.0236402425,200885.0236402427,4473238.079652355,6.845585135632026E8,2.705843375958214E8,11.25,4.0,-193137.83728945785,913.7952948186447,14.666666666666666,3.0,218841.17619143325,83.70565427341961,14.75,16.0,204062.04417306578,113.90283532200104,14.25,4.0,210662.8864193124,96.97210510107938,15.9375,16.0,181805.6867263997,104.27738969653282,16.5625,16.0,207916.28740878063,88.74488192882528,20.428571428571427,7.0,283917.16358428914,95.50180762780967,26.0,5.0,338959.9668678928,87.77690437912091,26.125,8.0,336911.2152160013,80.55290602313354,26.428571428571427,7.0,320908.3681719625,79.16874543243196,14.5,2.0,118927.37208280963,73.50172092071335,25.5,2.0,260196.19422680256,102.96017487882523
4,0,173244.8715462127,1.085101603773158E7,3048367.586156758,3112897.2832348524,2.006185636189546E8,1166847.9553083847,1655599.4926185391,0.0,NaN,NaN,NaN,NaN,NaN,94.88656426999884,61.36932261586795,23.3,179218.83263401312,1479.2122933962655,96.7245265122387,87.0,1.722736679399424E7,3.2819405233153388E7,77314.58245735278,-24668.050482392428,-24668.05048239231,5342399.524458872,6.716421442050618E8,2.6962782113843614E8,4.75,1.0,-8099.149411423205,380.1982494699311,15.0,3.0,198052.79668560383,86.589275708725,19.375,16.0,163126.52071831946,112.93604012868848,19.0,4.0,196779.42105625675,88.75040580571772,25.5625,16.0,84840.26859345406,103.0756991107168,28.1875,16.0,86934.3949335718,88.95168134291143,26.142857142857142,7.0,316078.3681730987,95.23257404631234,26.4,5.0,329004.56248677394,85.64123842664259,27.625,8.0,322883.0146845633,77.30283111695198,23.714285714285715,7.0,255727.39929031327,86.02649533219905,16.0,2.0,69127.12847293628,69.5158682824163,26.5,2.0,257879.22774866852,105.46714594030497
5,0,100798.39139092683,8673156.241185145,1527178.7175473273,1637439.8942661341,1.968662153251421E8,754893.5725585831,1099577.4691530198,0.0,0.0,0.05,0.05,0.05,5.174485806938398,97.77299333427561,39.434840374656545,16.011111111111113,104004.05431245304,653.167873331955,87.23140555955284,87.0,1.2132374468302736E7,2.1204229693485785E7,16495.97668277577,-411.01544381154235,-8163.515443811581,3886059.4032932743,6.612703092895286E8,2.6910910252829486E8,0.25,1.0,3407.951984744679,380.1982494699311,9.333333333333334,3.0,49953.499733368786,99.62950680545039,5.5625,16.0,42522.232960369685,114.4993850591322,3.25,4.0,38628.976421648345,97.82293898638335,1.625,16.0,10522.939549727642,103.09077480840168,1.5,16.0,9273.32130602085,104.14000440496866,35.857142857142854,7.0,270767.6081228917,95.84434799139332,48.4,5.0,294935.2859581647,83.06327205320534,44.375,8.0,272767.8348679716,77.14801506766025,32.57142857142857,7.0,192866.61388661672,76.84504542604866,12.5,2.0,-23221.273340082204,71.02334558305809,79.5,2.0,450467.4975894268,99.0676599987155
6,0,76265.25330618802,7535297.872108363,1314018.3161716014,1404048.498410974,1.960114935589072E8,728612.4508750818,1041002.304378693,0.0,0.0,0.05,0.05,0.05,2.2568213993131137,98.88774542264993,42.50504575068142,14.2,78603.11836272324,624.3844651651822,87.89601457329853,87.0,1.1746180138669677E7,1.861005293622669E7,3509.5404751488823,2792.1285049570724,-5638.871495042983,3420328.8498430876,6.534031685208179E8,2.6864284246813273E8,0.25,1.0,4178.643781381645,380.1982494699311,7.0,3.0,16235.768054156331,95.9181776313139,3.0625,16.0,3838.5639851460655,117.8940069734888,1.25,4.0,8060.57330174261,91.19995088952598,1.0,16.0,5097.708152128995,105.1247668683216,1.0,16.0,5150.636549348019,104.58719905375551,39.42857142857143,7.0,221515.17673207846,94.56779737464605,42.2,5.0,251796.70989661786,85.08894323285631,36.875,8.0,211458.65145857784,79.34101546933795,33.285714285714285,7.0,144141.88728770314,79.46813636192742,1.5,2.0,12043.033905749617,75.82249999999999,76.0,2.0,503239.9044871519,97.6897798562309
7,0,56167.82824300746,5496186.178551126,1201455.2553838496,1283610.79928356,1.9680861700495255E8,600131.945339776,905180.3469586486,0.0,0.0,0.05,0.05,0.05,0.738429529445575,88.72882341174757,46.72388774041959,11.155555555555555,61027.000510617945,572.0827230656253,87.73635954079347,82.0,1.0056713946779868E7,1.5111818488650763E7,1390.7442741660634,6871.211553390953,510.96155339123584,2643984.3096779673,6.493736344102066E8,2.683368428071536E8,0.0,0.0,6362.0,NaN,16.666666666666668,3.0,79621.71265907795,89.18616116080477,2.25,16.0,4146.007733036255,118.00373092574262,1.0,4.0,2533.4060672380147,97.28915189946068,0.8125,13.0,3974.9876212481613,99.1797327585383,0.9375,15.0,3654.253497757927,101.59754173113943,31.428571428571427,7.0,161954.68420704827,90.74852604791549,39.6,5.0,233035.51917381407,81.72797752636549,17.625,8.0,76546.28630880627,89.4554278780243,25.142857142857142,7.0,90035.96493999122,76.04518917209683,1.0,2.0,4813.565647371463,68.22,74.5,2.0,520572.1181641342,99.62017607047267
8,0,48960.667514051944,4257846.198853274,1194980.0310637744,1242100.8822832326,1.9838749496058375E8,492132.46793111344,740827.0371686846,0.0,0.0,0.05,0.05,0.05,0.4256640425052416,39.46318207970888,51.11908834904306,8.877777777777778,101690.85064060184,996.198819289888,89.09125143995385,41.0,8684968.149493242,1.3091428225756358E7,4871.0,237284.90465840604,246597.10465759004,2145963.3669613423,6.484295008955144E8,2.6817256033919483E8,0.0,0.0,4871.0,NaN,15.333333333333334,2.0,112776.57009077312,90.63291241093322,3.75,2.0,19855.195427805564,114.14987965096432,0.0,0.0,4870.625,NaN,0.75,3.0,11951.608134545902,102.33861291939581,0.8125,5.0,9833.819084060808,82.9070586196913,15.571428571428571,7.0,66205.00785213862,92.5611825986409,27.2,5.0,150967.56558725127,77.22902746477905,16.375,8.0,63449.3353825527,84.51336132296063,22.428571428571427,7.0,98892.28966958888,73.15442907918532,0.0,0.0,4870.5,NaN,67.5,2.0,467529.6550004943,99.1541807704981
9,0,63495.72994329862,4200758.493732534,1250337.0341051403,1290174.4121370038,2.001760373888587E8,414565.6938710001,656789.1097052506,0.0,0.0,0.05,0.05,0.05,1.4483912837564128,33.615584814072406,46.119838895535004,8.577777777777778,156323.89128276787,1017.2718750672292,87.03094849076061,35.0,7315006.316719089,1.3029622011616806E7,4421.75,360620.00904988917,461081.5090498629,2092483.4571408154,6.491716331239794E8,2.6811872657776865E8,0.0,0.0,4423.125,NaN,14.333333333333334,1.0,111734.47681185992,82.74808912173654,2.375,2.0,26195.344726212687,112.0008989901291,0.0,0.0,4421.125,NaN,0.125,1.0,5824.276450073092,93.32884352344524,0.25,2.0,6428.531943112001,87.5508430816415,3.7142857142857144,7.0,23575.201599875065,95.41117220773178,48.8,5.0,335700.08268535475,85.84580089201775,18.875,8.0,136280.94916490064,76.91057777050601,17.285714285714285,7.0,93527.48747841993,76.4362846818673,0.0,0.0,4424.75,NaN,71.5,2.0,565774.2421284439,101.38819581323163
10,0,65521.1889259978,3635450.9421701324,1241780.9333812913,1281681.5227552268,2.0201003797080845E8,401348.50157789304,602758.2053929648,0.0,0.0,0.05,0.05,0.05,1.9345946531086302,32.53835342129404,45.704748007192585,7.644444444444445,177237.9063543688,982.6520821546405,90.92580048899056,32.0,6287317.971942449,1.2184224975280887E7,3884.0,361236.1545374985,349555.0045370796,1888711.5371624317,6.518486514711913E8,2.6811424802915755E8,0.0,0.0,3887.125,NaN,14.0,1.0,138148.75268393182,87.0552014402104,3.875,2.0,29574.73459848143,116.73408908430528,0.0,0.0,3885.25,NaN,0.0625,1.0,4549.062712342704,77.30407896741283,0.4375,2.0,7099.297286634261,105.38126671216963,1.2857142857142858,7.0,5867.283553755709,99.60545053919532,43.6,5.0,374499.26918134873,86.56461923655624,13.125,6.0,113953.09448745608,86.36665757338766,15.0,6.0,114902.15543152459,78.33398602664768,0.0,0.0,3881.5,NaN,69.5,2.0,577265.778512659,100.79835217926514
