year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,2105476.5130246035,9.144128666269794E7,2.7797841021984283E7,2.8508667672435693E7,1.984750284488183E8,7420260.831559223,5615711.646455171,0.0,NaN,NaN,NaN,NaN,NaN,185.51986027274114,40.09274035122235,166.75555555555556,2105476.5130246035,6685.687191012723,124.28783015368745,90.0,8.044268542048137E7,2.699355715926959E8,2288441.0202390905,2288441.0202390905,2288441.020239091,4.244567380888897E7,6.091184920349026E8,2.641639440778235E8,96.0,4.0,1297892.6400810955,240.3859087056459,66.66666666666667,3.0,608177.615162418,471.0664065169936,117.9375,16.0,1608640.5116190428,153.6940470446421,37.5,4.0,-182210.20833189695,1087.4940698968219,135.625,16.0,1941703.6217407421,143.30533378634863,182.5625,16.0,2308125.5616348586,99.18395964087847,268.2857142857143,7.0,3365804.8270468935,54.36139419354779,236.8,5.0,3267309.265971359,67.75746105796559,278.375,8.0,3486612.4379873816,65.56819853371687,213.57142857142858,7.0,2387443.0001466735,102.93743180086902,194.5,2.0,2030619.4431946194,157.79583535756564,61.5,2.0,453344.4846579648,676.5592484001661
2,0,249968.95729958318,1.1617843832206514E7,2829623.4690270904,2921217.3837037547,2.2368408276158452E8,610719.5063935812,588956.8403432145,0.0,NaN,NaN,NaN,NaN,NaN,156.94042541708652,30.391224126587304,20.144444444444446,249968.95729958318,612.2143260166976,112.38519646488933,90.0,7668130.692672845,3.0165336849635318E7,309641.15918446286,309641.15918446286,309641.1591844633,5042218.293873496,6.902577802374156E8,2.7144942754124546E8,5.75,4.0,118690.77510131989,239.48746346166104,11.0,3.0,143624.61938707446,373.88389882368875,17.1875,16.0,240233.66506328667,89.55154742603324,9.0,4.0,-44555.46475076805,1089.4443962631076,16.25,16.0,220392.40194244927,149.3146655222413,24.6875,16.0,291792.69430319057,57.62421460144526,24.714285714285715,7.0,299491.7882163495,42.83833257973914,27.0,5.0,352296.83144818246,59.15555651252345,26.375,8.0,344642.21825615084,52.282919999653956,27.857142857142858,7.0,346850.050453482,64.01013534786888,24.0,2.0,266216.8199896235,69.28864953656365,14.5,2.0,77821.23124902425,671.4272971229491
3,0,246797.55328879724,1.147308700642138E7,2681189.368409479,2771175.272562445,2.1066036291279262E8,661492.2977320648,590321.1699756985,0.0,NaN,NaN,NaN,NaN,NaN,141.91301352102826,31.137563776090843,19.77777777777778,246797.55328879724,615.8318169049078,105.34598980091222,90.0,7132488.368446786,2.9344268164438486E7,317964.6267821358,317964.6267821358,317964.6267821326,4964745.863650722,6.777437565199889E8,2.7101101162124145E8,6.25,4.0,124904.7887775256,235.32457416935023,10.0,3.0,134783.08222333094,354.130577915743,7.8125,16.0,175901.940801805,108.21931722801803,12.5,4.0,-56757.62854785254,1101.3646504786832,23.75,16.0,313025.1814717092,79.25985978773838,25.25,16.0,290903.4800238438,42.97590155916784,24.714285714285715,7.0,297081.20089605945,41.846360065218775,25.4,5.0,296314.68496658886,58.76912118036754,25.25,8.0,315428.46745846176,45.97377891521923,26.142857142857142,7.0,319930.7298249112,45.774132628735785,25.0,2.0,263557.7281944135,77.63363433943711,15.5,2.0,103176.06785453955,622.7473862971224
4,0,213211.33408864264,9468612.901541622,2331229.2899885057,2405435.1531385756,2.022745720874162E8,638819.4108142691,509797.0572813387,0.0,NaN,NaN,NaN,NaN,NaN,102.71224850250772,28.793180166847367,16.72222222222222,223128.1403253237,503.88065291982895,90.4911020594415,86.0,5800907.023945404,2.4989927091923233E7,262009.94759333204,261539.15514777065,261539.1551477688,4176542.632914058,6.663639818854548E8,2.7062616713482594E8,7.75,4.0,109284.95911697153,229.14676641513486,10.666666666666666,3.0,127783.3137596468,307.07405883578326,7.375,16.0,167935.78934963798,120.5626352468222,0.0,0.0,0.0,NaN,10.4375,16.0,195811.01889415688,95.22167621184553,24.875,16.0,267487.8089637469,69.86421578724226,25.142857142857142,7.0,294945.0525352449,47.737217960413716,25.4,5.0,287133.7781213104,57.11962895865057,24.75,8.0,281070.3590670031,49.007163416859186,25.142857142857142,7.0,267071.57430475665,62.734504970830805,23.0,2.0,229118.57391476817,82.38419865314819,18.0,2.0,96095.55802910915,610.0953885850561
5,0,197691.79004434112,1.4509870371231453E7,1580941.0899256058,1710458.2646080414,1.9843502773997137E8,668786.3920355627,503272.12871276215,0.0,0.0,0.05,0.05,0.05,14.204426304737853,99.33795527653055,22.86532179279927,22.344444444444445,206251.4488836128,534.676303782783,61.86275882063458,86.0,9817226.168315873,2.7609487272306275E7,306457.1992722857,274242.8412702023,281007.0412702461,5571693.074626627,6.503283494975215E8,2.7022973692319244E8,1.0,4.0,40194.345837750065,225.19360923848797,1.6666666666666667,3.0,46563.547474002546,283.47233110129105,3.0,16.0,74214.41981825298,122.0654908616661,0.0,0.0,13659.125,NaN,11.0,16.0,118373.26251766103,94.37404435599397,31.25,16.0,277251.8268180527,60.310986702113965,39.0,7.0,358978.5502228361,57.79499881135217,30.8,5.0,283021.0079868611,67.07530124681736,62.625,8.0,412170.0778185555,50.05910406584434,22.857142857142858,7.0,251081.16048445474,41.78099849100631,94.0,2.0,446949.0374001204,73.66825200000352,1.0,2.0,21471.359760098974,590.4991850180913
6,0,207661.08732778148,1.659725990763077E7,1485399.8443740453,1593223.0860286,1.9741291205569345E8,948158.0437195897,685986.6622064277,0.0,0.0,0.05,0.05,0.05,10.61513682838623,104.29035720072453,23.80481954605837,25.4,216648.3646453527,632.765319561505,69.75063538087386,86.0,1.1767027487529749E7,3.045652534703063E7,181380.73554869764,202268.33816644363,131669.238166371,6353675.566611158,6.338911613361615E8,2.6956108637131774E8,1.0,4.0,4856.86498284823,235.51975518834018,1.0,3.0,5918.4792213895125,283.47233110129105,2.75,16.0,60069.0843404163,122.78117120758357,0.0,0.0,14434.625,NaN,19.6875,16.0,122712.73502855355,82.71361650630463,22.0,16.0,207172.66643422528,72.80050472578776,37.857142857142854,7.0,378068.08385593817,54.56786610527878,66.0,5.0,401073.01470695564,43.61972905767723,73.0,8.0,609576.7424120152,65.7978575511214,28.714285714285715,7.0,222721.540091506,92.18821135633709,93.0,2.0,636307.2017814224,90.35897466560706,1.0,2.0,-2408.0474861010443,594.2097288566379
7,0,183604.80797039342,1.3848471088543564E7,1484031.3403399482,1564320.7873202802,1.9797559514968497E8,1068869.8554881297,674541.6037025725,0.0,0.0,0.05,0.08972240207456861,0.05,9.2320155758418,106.84762166785131,25.096619395480094,22.066666666666666,191469.8629922722,579.5568153421333,75.60912897650014,86.0,1.0685036810267637E7,2.7209469527603216E7,94921.40392151219,176704.3794727705,113114.12947279174,5495871.94019464,6.225508780320351E8,2.6877887106431043E8,1.0,4.0,5359.472704984248,221.50780706284394,1.0,3.0,6823.13428478948,282.24827559479263,3.125,16.0,52460.38023783569,116.80050188368782,0.0,0.0,14506.125,NaN,22.625,16.0,140305.5013880786,81.13988562425558,14.3125,16.0,163912.5587508358,85.16926227392621,42.142857142857146,7.0,344754.21518667,44.371130303935615,42.6,5.0,460835.571765206,70.92370890134342,64.125,8.0,407540.49000974663,63.88561208464202,18.428571428571427,7.0,196780.26906344574,104.72996653289117,93.0,2.0,684458.2292054042,90.98870353924798,1.0,2.0,-3256.8747162601794,631.1834862204071
8,0,160847.1843821562,1.1197188247838926E7,1446501.2937214081,1535555.3122072006,1.9930229926791322E8,1024232.5603210006,735257.9045534817,0.0,0.0,0.05,0.07124564190974464,0.05,7.4240958931470935,67.67272509852825,26.115390697231565,18.622222222222224,188242.56703150077,575.9130895863171,69.0851411075053,76.0,9306906.887422414,2.3783153481817044E7,68360.44587288075,169378.279333896,124073.92933391749,4643138.935660121,6.161894080151598E8,2.6805685477228042E8,0.0,0.0,12127.5,NaN,0.0,0.0,12132.000000000038,NaN,2.8125,15.0,46543.63255957543,108.32153647585764,0.0,0.0,12128.625,NaN,17.625,16.0,123320.20365231996,73.9920095534133,10.9375,16.0,115847.59204663435,64.70535135403468,46.0,7.0,330736.07409686234,47.20194001392856,23.4,5.0,290807.6691992978,75.90172048028384,54.625,8.0,459420.34005591995,62.46392955913274,15.571428571428571,7.0,133449.39570034083,124.43682863865023,94.5,2.0,684244.4436166566,82.9365088839887,0.0,0.0,12127.5,NaN
9,0,140937.84050218176,8723954.413359175,1453582.3233212023,1527969.0119444812,2.009004293885084E8,581654.2894227941,634425.1265101024,0.0,0.0,0.05,0.05224486131819443,0.05,6.3086100353641905,63.0754428524438,26.269680440615858,14.8,169723.15736751838,472.8542479310854,67.49198528378413,74.0,7189027.150455792,1.9873432795651406E7,56965.87332111038,165901.77429794264,234683.27429795152,3670215.1533205537,6.143218690503246E8,2.6782441983059582E8,0.0,0.0,7806.125,NaN,0.0,0.0,7805.666666666667,NaN,2.9375,14.0,34484.30229953918,98.4411479637289,0.0,0.0,7806.25,NaN,7.4375,15.0,85658.37647657248,77.43022250391631,10.9375,16.0,97650.97063704181,49.566727637249336,35.57142857142857,7.0,354878.6239328109,53.37524819045302,15.2,5.0,183154.2095027704,83.47161789159142,51.375,8.0,448913.42219490244,61.24416157905135,10.285714285714286,7.0,110184.51633952325,129.04622506290596,91.5,2.0,667854.1738032466,79.91555530456118,0.0,0.0,7806.0,NaN
10,0,139980.00945581504,8183377.4543702835,1518611.6755647406,1596797.7064030033,2.0246341365942582E8,358636.8749710373,497269.99568661506,0.0,0.0,0.05,0.05,0.05,7.096151065719769,60.11037938489536,25.653102293886786,13.744444444444444,171245.86782223772,434.69708955531445,64.25377563734082,73.0,6344911.8646273445,1.894311271565116E7,60260.58013498038,247213.56937128864,183416.2693711925,3401748.1034518797,6.145218395813382E8,2.6786182237809068E8,0.0,0.0,5720.25,NaN,0.0,0.0,5720.0,NaN,3.5,13.0,40161.95517950208,91.78657291599072,0.0,0.0,5721.375,NaN,4.75,15.0,60532.7030222209,83.60472463579802,14.6875,16.0,117752.7905882542,61.22053824667597,39.0,7.0,413140.15100502194,46.467046898063856,24.6,5.0,226942.33699124027,52.73744174668154,30.125,8.0,386439.19410749257,53.929035111023325,7.714285714285714,7.0,81899.6526796706,112.67869043516721,89.5,2.0,668582.153387364,86.98478214735269,0.0,0.0,5723.5,NaN
