year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,1969360.1101567787,8.628249126820083E7,2.6690071122640427E7,2.7367182609017286E7,1.9958740615478307E8,7028991.093760364,6254692.241862208,0.0,NaN,NaN,NaN,NaN,NaN,165.51015502077905,41.90696849843961,161.16666666666666,1969360.1101567787,6754.006422998516,117.71808728896302,90.0,8.12649313254414E7,2.5850734123955163E8,2205712.7724437425,2205712.7724437425,2205712.7724437467,4.049553897035537E7,6.145580346722866E8,2.6459117062235013E8,52.75,4.0,482968.79983296257,407.4263910212111,71.0,3.0,461407.7720601721,581.8128051061944,122.625,16.0,1436541.715550061,147.89947560559338,175.5,4.0,3347434.3329149485,111.27921284825544,133.875,16.0,1808222.2980290975,111.87847736069095,180.0625,16.0,1965549.2131530512,94.38707061213705,202.42857142857142,7.0,2445740.9787521265,96.13034127055148,223.6,5.0,2777944.7405034974,78.45385176049913,268.875,8.0,3367935.542538685,65.3590616538461,211.71428571428572,7.0,2515577.471633227,74.84989208122235,40.5,2.0,256151.00037285633,1061.529860185126,72.5,2.0,548411.6214762153,586.9748189764948
2,0,233661.2224684136,1.0092104803523095E7,2703112.749702959,2782833.328802269,2.2382226957624385E8,755903.8439623229,601216.8017066936,0.0,NaN,NaN,NaN,NaN,NaN,149.21044709070273,30.02661067270728,18.288888888888888,233661.2224684136,549.1533463030687,102.69817669041622,90.0,6878180.9576997915,2.7907690979857035E7,272251.41924278275,272251.41924278275,272251.4192427809,4558950.377291801,6.918867802314789E8,2.712929157554008E8,10.0,4.0,80673.53587290969,404.80025552408233,8.333333333333334,3.0,96559.56029670207,556.2355332599087,9.6875,16.0,160735.13096575273,170.6895899262624,5.0,4.0,161145.73188172,116.52792469524073,21.8125,16.0,271152.95507535886,74.70849000223983,24.5,16.0,285023.34005001944,40.59502843186429,23.714285714285715,7.0,323570.19591820025,48.46060699918008,14.6,5.0,246135.47505126605,76.44655613065703,25.25,8.0,318154.2586743271,45.265752923072064,25.857142857142858,7.0,292842.77534805,82.29019036355143,7.0,2.0,14913.512832416789,1112.1744122398072,14.5,2.0,90671.09180548345,607.5339868418832
3,0,245675.97366064021,1.0793210226825781E7,2792406.4122026972,2874917.0997704496,2.106908978054687E8,778273.1569072242,793837.0077341706,0.0,NaN,NaN,NaN,NaN,NaN,143.88610644304717,32.93708285972687,19.511111111111113,245675.97366064021,642.6390833520044,100.92319888531377,90.0,7442967.513926877,2.9553805143384494E7,322072.7709002914,322072.7709002914,322072.7709002921,4879803.535405027,6.800839379695334E8,2.707311275532004E8,8.0,4.0,90807.82984488981,389.4090387293478,10.666666666666666,3.0,99469.46371596768,545.5147795637339,14.125,16.0,202931.02068562945,141.37525187946792,6.0,4.0,171283.1372743284,114.18672291430123,21.3125,16.0,263257.4803474899,78.54324933513053,26.1875,16.0,318680.262940645,52.04087727470188,23.714285714285715,7.0,284298.0392527833,40.354244184496224,17.2,5.0,270394.4582858883,76.76266541382502,25.5,8.0,317625.6134671841,43.511456097499064,26.142857142857142,7.0,296952.7891158715,71.39828443431354,7.0,2.0,13765.107258830074,1120.0450562161277,14.5,2.0,108450.96699372702,596.6046750833004
4,0,244172.6066997697,1.2408246143780403E7,2614395.4252734724,2687813.927133333,2.0201783235565907E8,955344.8116260767,975478.025479685,0.0,NaN,NaN,NaN,NaN,NaN,138.51493401490185,35.47904451654503,21.711111111111112,244172.6066997697,770.2894776147666,103.03037261702875,90.0,9280389.178368313,3.1255923781347603E7,280298.3300048739,280298.3300048739,280298.33000487357,5455435.485794659,6.656949644546348E8,2.700041165714032E8,8.0,4.0,93942.40787129733,389.7808553475681,16.0,3.0,91674.94184860832,513.438928135014,18.25,16.0,226264.2153632477,107.73565899272455,6.0,4.0,168881.3556744384,113.62504163941486,23.375,16.0,242194.31668438856,73.80009083343383,26.3125,16.0,300723.36758190056,74.75988683768638,27.857142857142858,7.0,299030.9881430228,49.724508804181255,27.4,5.0,342346.88576072064,62.2575513185457,24.875,8.0,293747.7529462548,45.63958265691823,26.285714285714285,7.0,298988.0298690297,50.45844466695686,9.5,2.0,-37724.98368953966,1141.9261364864203,14.5,2.0,84952.35904949263,575.0680686238971
5,0,201313.53967043853,1.665345281779068E7,1564569.848114322,1671732.0629490367,1.9820209494901672E8,868294.0656341327,768171.0167539831,0.0,0.0,0.05,0.05004327165241933,0.05,11.027461645543363,132.72214205815152,25.767690520762,25.833333333333332,201313.53967043853,665.6653384530183,56.640049883393054,90.0,1.2790872483501675E7,3.090909105384112E7,205571.65098714782,205571.65098714782,198415.10098713462,6393462.566981949,6.47683601360459E8,2.6938225027732575E8,1.0,4.0,12480.874986788695,390.3752237991963,1.0,3.0,35241.04313874167,510.8199435349588,5.6875,16.0,114487.98576055067,90.27192753680204,2.25,4.0,82293.5693328256,115.00268559547388,25.125,16.0,187540.06697668874,74.85549161738349,22.625,16.0,200417.22965980275,73.2542717247608,59.857142857142854,7.0,358886.81153969176,43.77464590099225,64.8,5.0,442149.3844962191,41.71457662017948,64.375,8.0,391462.86724629725,44.51223089588777,27.428571428571427,7.0,244465.95885209492,43.03997961894145,1.0,2.0,-17712.505142170383,1135.689279386127,1.0,2.0,31889.451191236265,566.5812976535748
6,0,147690.3906873308,1.1749945236450966E7,1406625.6895570357,1493326.9343137024,1.9724776188938665E8,991571.3865055669,865484.208927706,0.0,0.0,0.05,0.05000000000000001,0.049999999999999996,7.409517495260835,111.0356733816861,29.07802380907967,19.655555555555555,150710.13820295196,584.5343649802493,63.6445046320947,88.0,1.1122856018265784E7,2.4414991180124518E7,110734.16685900651,78999.70294364309,13516.602943643578,4831399.2510832725,6.362128393661342E8,2.686383979210473E8,1.0,4.0,-2688.0472723027633,394.9273422835609,1.0,3.0,1101.4782309035847,505.1151914997337,4.75,16.0,49597.17081061809,86.64959856025388,2.5,4.0,53999.57370712224,117.79636785460814,18.9375,16.0,111261.36597872248,77.75933559393043,7.3125,16.0,75294.64605674191,75.91849430500844,19.142857142857142,7.0,210712.03496170757,61.58820176692476,35.6,5.0,311776.0780425853,56.893271923006374,94.75,8.0,633760.2958779034,61.18592983618673,26.285714285714285,7.0,167802.85200675158,35.73008431576074,0.0,0.0,14821.5,NaN,1.0,2.0,-1538.135062452522,563.2747665347317
7,0,152245.7583050817,1.1367186505174097E7,1406630.3801288994,1488225.1674179067,1.9785074928732595E8,812028.8410284909,824156.2273404913,0.0,0.0,0.05,0.054301747666403624,0.05,7.516154830441607,115.22378037755209,27.27272336204835,18.788888888888888,155440.54826656083,524.0701727866336,68.84642735641538,88.0,9886793.970906911,2.3588912218363628E7,121063.9074787877,76341.72260325367,57610.72260324874,4639087.326478783,6.272915978793124E8,2.6810427857198203E8,1.0,4.0,-5565.157722143573,391.64180622112207,1.0,3.0,-2187.4290442486913,510.8199435349588,6.1875,16.0,44800.6651059967,86.3925985229739,2.75,4.0,53232.73089744116,119.28702753281334,9.625,16.0,80757.60840242695,81.61265176857547,8.9375,16.0,60095.606744950564,86.55835588647912,16.714285714285715,7.0,131375.59051837208,61.68553076353312,56.0,5.0,370828.94881072675,55.72369931971406,88.5,8.0,767577.2992254185,65.51582316177989,24.285714285714285,7.0,231306.1675925858,50.440020139565135,0.0,0.0,11675.000000000015,NaN,1.0,2.0,-4668.643399382301,566.6617156480588
8,0,130412.23384249888,8582263.130148781,1405684.978740385,1478404.4656862398,1.9921087868714333E8,779154.935722689,787070.1149721558,0.0,0.0,0.05,0.05,0.05,6.4396675937872025,62.34866171977333,28.80410090677488,15.033333333333333,165171.67208321285,556.7421218123774,69.44956741306368,70.0,8286832.143110887,2.0023933188936062E7,61488.09998715529,32731.31218488631,12388.512184882382,3719718.2926258724,6.234120948920455E8,2.6763258868500876E8,0.0,0.0,8755.375,NaN,0.0,0.0,8753.333333333334,NaN,3.875,10.0,39424.962765967124,71.48429274749307,3.5,3.0,76259.687138604,114.21792404902287,8.375,14.0,72497.91730214842,89.87390389599229,5.1875,16.0,44153.07733579018,94.66258361777142,10.714285714285714,7.0,48060.523875006744,61.65796810158955,45.4,5.0,420232.3118236686,56.13425503812143,76.5,8.0,584554.3161291619,64.79341770297994,20.857142857142858,7.0,246361.10336161524,78.63178131482744,0.0,0.0,8753.75,NaN,0.0,0.0,8755.25,NaN
9,0,125093.59533498618,7478633.105775685,1500762.7322397372,1580135.932514356,2.0073287977887404E8,565303.0927921226,545653.91256059,0.0,0.0,0.05,0.05,0.05,5.74580381788347,62.826726820408105,29.23987554451004,13.2,163367.5364727759,510.83782568938125,69.60254604000562,68.0,7136758.758937757,1.839518233908669E7,14832.401397981914,25712.412241562502,18342.91224156126,3251779.9661794235,6.224609585782806E8,2.6741283874502462E8,0.0,0.0,6729.0,NaN,0.0,0.0,6732.166666666667,NaN,3.5625,10.0,36628.39236357155,72.4216209274316,4.0,3.0,95655.88703679724,108.76130274858218,8.75,14.0,81713.17526801003,89.16286729752835,2.6875,14.0,21348.452745454008,103.41276124386671,11.857142857142858,7.0,112342.53258341046,59.750531282013085,20.8,5.0,312816.5086398865,82.74098144068671,71.75,8.0,586912.9982485418,51.69598481079387,24.428571428571427,7.0,217274.84981390834,94.6171417247514,0.0,0.0,6734.749999999985,NaN,0.0,0.0,6734.75,NaN
10,0,113611.16845714647,5641538.6082818145,1477659.1341174357,1565773.1022567805,2.0231173273186085E8,363263.86546547455,663217.575776672,0.0,0.0,0.05,0.05,0.05,5.232350039654537,58.08288619489368,29.46287082648526,10.666666666666666,155213.59478681817,435.1439383603977,69.69905147114913,65.0,5655401.883404535,1.5880407044547642E7,12059.476744944928,37515.85726559302,22306.157265589838,2630605.6138032316,6.248358024146284E8,2.6743848881114048E8,0.0,0.0,5447.625,NaN,0.0,0.0,5441.833333333333,NaN,2.0625,10.0,28117.851803172103,74.84056938286997,3.75,3.0,94535.67102066684,103.04739672509795,6.25,12.0,75667.01232784204,90.26210905512401,2.3125,13.0,22603.574113513634,94.18512811622412,14.428571428571429,7.0,83942.9847151411,61.30044729941653,37.6,5.0,189019.77324809693,73.11373420676013,43.75,8.0,598074.0337279246,65.79413589520064,19.428571428571427,7.0,206780.49086831437,77.33357286753072,0.0,0.0,5444.25,NaN,0.0,0.0,5443.75,NaN
