year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,1335850.4898898432,5.760544639894903E7,2.341520041772094E7,2.3882052575111102E7,2.0298507817290124E8,6160423.605662117,7087344.481996544,0.0,NaN,NaN,NaN,NaN,NaN,122.52607444555011,57.252387646667046,125.7,1335850.4898898432,7196.625127186048,110.17441602963898,90.0,8.659056805543618E7,2.0681711214552206E8,1475349.156272376,1475349.156272376,1475349.156272376,3.0134517476011574E7,6.439514603567605E8,2.6555674505298945E8,80.0,4.0,910555.4444694817,271.2746116450012,119.0,3.0,1804954.8381642115,82.3009386600617,97.75,16.0,1102087.3610497848,146.7764512949034,93.0,4.0,853917.5064206807,129.70113195766487,87.375,16.0,364696.44988585147,120.89993200547069,121.625,16.0,1377082.6174960446,129.85403530275224,183.28571428571428,7.0,2294144.7103475966,73.38360398634713,167.8,5.0,1902680.1781814185,101.78591238909391,155.25,8.0,1742531.1805206852,90.58459847781138,167.28571428571428,7.0,1856756.403603576,100.67919875141855,187.5,2.0,2112444.520457715,146.59271545269374,223.0,2.0,2758538.8717397526,35.41140611046595
2,0,214987.49726617176,8631218.519435465,2886637.248358274,2969208.838637138,2.2363438133338672E8,842137.8244533422,725147.0002395081,0.0,NaN,NaN,NaN,NaN,NaN,121.1195720318829,37.75190341948729,16.866666666666667,214987.49726617176,636.7487710086856,114.06162115589463,90.0,7975441.33255483,2.7324316086510286E7,183746.65394247876,183746.65394247876,183746.65394247923,4209083.131388785,6.935341593611346E8,2.712040490017287E8,11.25,4.0,117713.26752256847,267.6838147874882,12.333333333333334,3.0,204342.79293615534,82.31023124921599,12.625,16.0,177758.61240828835,147.384519185601,13.75,4.0,183801.3357889544,133.651866293913,18.8125,16.0,203764.97824317747,116.76267872383866,14.1875,16.0,208790.0305040328,124.55539744332737,21.571428571428573,7.0,285758.3799982054,71.996163115766,20.6,5.0,257897.85229523852,106.01277523895867,20.5,8.0,254162.56810073747,90.90535007589602,23.857142857142858,7.0,282546.1003197703,99.74937083495736,17.5,2.0,200077.3700452377,150.42440903852435,15.5,2.0,191847.05740726227,34.43615330893111
3,0,117415.60638391986,3520718.4213431682,3414226.9562652716,3476489.0259554014,2.099243700445553E8,706088.5462861108,1072120.1309794944,0.0,NaN,NaN,NaN,NaN,NaN,287.1594577070416,95.03443222653102,12.1,117415.60638391986,1149.9166299410253,295.60367266340944,90.0,1.331819497901281E7,2.38855995535656E7,102545.25335959508,102545.25335959508,102545.25335959624,2783140.4893264277,6.891389204554878E8,2.7071971983668774E8,13.0,4.0,65675.6805580398,262.46873683561597,10.333333333333334,3.0,116345.66116860688,155.16965610745868,10.4375,16.0,158522.76608883112,99.92535912360434,9.5,4.0,167263.94123262545,107.15313857663743,11.5,16.0,153701.97484367053,164.92599308506115,12.1875,16.0,117982.88340034863,282.58987750249383,11.571428571428571,7.0,119978.24434776146,400.4994935396466,14.2,5.0,117179.68668176366,375.6646397427056,14.875,8.0,70125.04731679228,489.31802302173656,13.0,7.0,1512.4549924744558,675.3313738179748,12.0,2.0,-19437.471034643706,873.2293934021492,18.0,2.0,222414.17465159064,35.576403544369064
4,0,-12156.444894717039,4416991.189478007,2539236.374556574,2565414.2315293783,2.0140107761118138E8,986862.5478007208,1831373.9145549384,0.0,NaN,NaN,NaN,NaN,NaN,365.55670417837433,128.08762501574643,15.188888888888888,-13849.11443701941,2216.4023214750046,396.49039135360795,79.0,2.343929039015877E7,2.234521034963422E7,-64655.453987780376,-2169.1664480019826,-2169.166448000935,3099162.54313708,6.826007306301076E8,2.699641406798538E8,18.0,4.0,-75593.58028937504,211.0765620521559,16.666666666666668,3.0,144205.55089962078,85.81512993045051,17.375,14.0,97354.78818907312,138.0047788218254,11.5,3.0,90019.34509349219,203.28015489063355,9.125,8.0,22268.711205567626,285.0564109122123,18.6875,16.0,-40860.62993859613,412.38642330140743,16.857142857142858,7.0,-84450.03354195427,545.1681018440614,15.4,5.0,-65114.32635597834,586.6266490737526,16.125,8.0,-110399.36023148237,697.7972264813675,13.857142857142858,7.0,-146283.580289514,841.4006431383272,13.5,2.0,-175782.8415488021,1044.9580507469182,14.0,2.0,165430.91490652715,33.200968082889915
5,0,-19697.337998028248,4196570.044989004,1194686.867082544,1236747.7313115422,1.9803481825005272E8,722830.7741869765,955791.2813296721,0.0,NaN,0.05,0.05,0.05,0.05,444.3904520206987,83.83485679857387,9.622222222222222,-22850.138225601804,918.9998226274047,378.0471306473755,79.0,1.5500406071099816E7,1.372764565127727E7,-15614.780728543643,-23179.872396982275,-26107.372396982013,2267107.8286423176,6.762987056276171E8,2.6948813936755675E8,1.0,4.0,-29284.58097755545,216.46559071146075,19.333333333333332,3.0,-202043.56388265747,670.3732289350129,16.1875,14.0,-109732.73615404962,477.0703318284538,19.25,3.0,-79090.40155392728,480.02403514342245,8.1875,8.0,-14885.763482524533,370.1173338901879,4.625,16.0,-3567.0422962112825,418.2373096501189,3.857142857142857,7.0,739.3428351521891,481.3961378719068,11.6,5.0,64260.9271316099,501.71725995365597,1.125,8.0,-19604.759114261447,669.3380138644586,1.0,7.0,-29337.451608290896,845.2847514364157,1.0,2.0,-31487.04543022439,1065.6582972987344,80.0,2.0,708266.5812021948,32.49651261014854
6,0,-83897.6554614927,2876711.7675297735,435078.96746397205,446490.53811323724,1.981595260306372E8,863764.0354681766,361070.0414951609,0.0,NaN,0.05,0.05,0.05,0.05,482.7149888767557,125.09209317169636,6.2444444444444445,-137982.67257335168,1278.2137520453336,656.1446594069812,55.0,1.52016893153678E7,7650900.323833447,-127503.1967896602,-92809.58760505263,-93898.58760505267,1453808.8192916764,6.724035196672134E8,2.6889337460107714E8,1.75,1.0,-67067.45244384307,1082.3479404889624,8.666666666666666,3.0,-230972.81257151827,1135.6879483246357,6.4375,14.0,-142794.46655637072,982.6022195168258,6.75,3.0,-129479.81119589438,914.9527424144525,3.75,8.0,-68378.42013491035,812.278149394346,8.625,14.0,-142023.5468772131,722.5523918601184,4.571428571428571,5.0,-47481.469116229295,599.3769604438692,8.8,3.0,-88519.07506836616,580.3261949969689,1.875,2.0,-19325.567042326205,516.7182839617199,0.0,0.0,1090.857142857143,NaN,0.0,0.0,1093.25,NaN,55.0,2.0,249604.56666455697,34.194638318052256
7,0,-24912.87585344053,639013.1596296313,360255.5024368292,364765.79482190416,1.999382668303293E8,144919.06473331538,240235.07722024308,0.0,NaN,NaN,0.05,NaN,0.05,71.28889101660945,124.77507327673702,2.2444444444444445,-106794.63460998323,1200.2173715190893,318.1730529368538,21.0,5403343.813124443,3161184.986314799,7.5,-155789.704255154,-155796.70425515354,438554.5974895026,6.722190430988905E8,2.6908239752169836E8,0.0,0.0,7.5,NaN,3.3333333333333335,1.0,-29042.730016049154,187.33562072384265,3.625,6.0,-35663.32383384904,238.73826635390654,6.25,3.0,-77920.13247043843,298.14111104884904,3.125,5.0,-33992.107741245076,353.53575936328855,1.3125,2.0,-18556.309757151685,457.87669461562183,2.142857142857143,1.0,-39812.27476892241,565.1672650662608,1.8,1.0,-42614.94517103748,596.8301067420668,0.0,0.0,7.6875,NaN,0.0,0.0,7.571428571428571,NaN,0.0,0.0,8.0,NaN,7.0,2.0,29818.95183691522,28.191040822503684
8,0,1508.8373072679335,336134.47055209306,97221.71657679007,99342.29314476407,2.0278509241907766E8,102758.05770548311,61853.147283739556,0.0,NaN,0.05,0.05,0.05,0.05,13.455602030852956,63.879253786921325,0.8333333333333334,30334.964413528505,1197.7360085047749,119.32602122685918,4.0,1018730.8451029459,1154526.202757057,168.5,81679.54872156796,89040.04872156633,191172.48281000482,6.738550681863011E8,2.693578177901961E8,0.0,0.0,168.375,NaN,0.0,0.0,168.16666666666666,NaN,0.0,0.0,167.1875,NaN,0.0,0.0,167.125,NaN,0.0,0.0,168.8125,NaN,0.0,0.0,168.09375,NaN,1.0,1.0,-16583.39661405385,542.8800721802673,1.0,1.0,-17411.527330467943,603.2214495732333,0.0,0.0,168.6875,NaN,0.0,0.0,169.57142857142858,NaN,0.0,0.0,169.0,NaN,31.5,2.0,163075.13530241535,32.45133051163271
9,0,5494.391927846149,283490.1674096375,88230.64136850771,89961.61881698074,2.0596000098653758E8,117125.50921382172,47730.52442052105,0.0,NaN,0.05,0.05,0.05,0.05,0.7215795084614821,41.95918836444387,0.7111111111111111,234000.3867530767,1342.6940276622038,31.23858469073987,2.0,551719.2916750354,1046214.5651811896,299.5,234000.3867530767,247247.6367530771,171662.44240864782,6.769540367246401E8,2.696608753692089E8,0.0,0.0,303.75,NaN,0.0,0.0,299.6666666666667,NaN,0.0,0.0,302.21875,NaN,0.0,0.0,303.0,NaN,0.0,0.0,301.4375,NaN,0.0,0.0,300.625,NaN,0.0,0.0,300.0,NaN,0.0,0.0,299.3,NaN,0.0,0.0,299.375,NaN,0.0,0.0,300.85714285714283,NaN,0.0,0.0,301.25,NaN,32.0,2.0,234000.3867530767,32.47107788076669
10,0,7223.897979642906,466264.40546905063,134390.0251896634,137356.24865665854,2.091453435639245E8,144531.7764975424,63126.60960555703,0.0,NaN,0.05,0.05,0.05,0.05,0.8010644863610477,46.26313504797141,1.1,303457.6590839308,2290.0251848745847,36.032162175377785,2.0,915772.1979853808,1565923.016153247,488.5,303457.6590839308,325075.40908393316,258401.59622789556,6.810389401201737E8,2.6997639698451996E8,0.0,0.0,491.625,NaN,0.0,0.0,491.8333333333333,NaN,0.0,0.0,491.0,NaN,0.0,0.0,490.375,NaN,0.0,0.0,491.0,NaN,0.0,0.0,492.375,NaN,0.0,0.0,491.14285714285717,NaN,0.0,0.0,489.8,NaN,0.0,0.0,490.0625,NaN,0.0,0.0,493.2142857142857,NaN,0.0,0.0,491.0,NaN,49.5,2.0,303457.6590839308,36.047901886247146
