year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,1378238.828454211,7.412989913450189E7,1.749747011253729E7,1.797906156303165E7,2.0880119240561393E8,5256160.48099818,4288784.131590433,0.0,NaN,NaN,NaN,NaN,NaN,88.59523349131032,22.960112638164404,248.03333333333333,1378238.828454211,5694.8732713527115,79.97976951860657,90.0,6.852130387030232E7,1.9256279843118137E8,1553944.9059970758,1553944.9059970758,1553944.905997078,3.2471033802206732E7,6.270819004664912E8,2.6649611138591528E8,94.0,4.0,449711.8618411874,258.5951565633951,312.0,3.0,1327712.1014336275,76.34198504456344,196.375,16.0,892471.0985875176,113.99092312345142,279.0,4.0,1241339.389245395,64.6900930353196,250.375,16.0,930816.4596749935,96.92772856003516,250.6875,16.0,1403861.8676111945,72.26894017999433,317.42857142857144,7.0,2137518.1709135086,55.51202061342832,291.0,5.0,2080001.0421106345,62.51477915594629,314.625,8.0,2293674.2501086704,56.01840810944256,221.28571428571428,7.0,1472018.1195589006,61.224802505321456,240.0,2.0,1057943.7561730435,134.5068132070037,256.5,2.0,2763860.840588494,36.75502098657877
2,0,242214.8969650141,1.3063702646596402E7,2730706.2807913427,2836883.30149515,2.237661562512333E8,822758.6051285197,638499.1718324823,0.0,NaN,NaN,NaN,NaN,NaN,76.95990161221097,16.709578775120082,48.22222222222222,242214.8969650141,805.7730209335684,71.73194847506005,90.0,1.0092482394573422E7,3.1891823121424735E7,257842.92105290922,257842.92105290922,257842.92105291146,5559496.029510423,6.888600700055493E8,2.7121779421708673E8,17.75,4.0,101796.21237189518,240.48354585838757,62.666666666666664,3.0,277475.46903440676,56.428625627760006,45.9375,16.0,178132.70990954724,96.07310132960765,49.0,4.0,191283.46260909337,46.905729152814885,51.25,16.0,210064.89715383592,83.68868934108238,63.8125,16.0,274197.74233617587,72.94593130305051,48.142857142857146,7.0,315049.9434462701,44.72241224731084,36.6,5.0,316172.23953832325,63.867218469301505,41.0,8.0,316304.12305084907,53.173043328891765,48.857142857142854,7.0,305371.32674160774,44.72485463923482,45.0,2.0,212782.455038113,74.33433051690989,14.5,2.0,158231.02297068527,22.352324186883962
3,0,252230.86538180092,1.3010404904452372E7,2771851.9290511315,2861137.663986983,2.1064161855665526E8,921199.8077658715,812340.688301611,0.0,NaN,NaN,NaN,NaN,NaN,76.42429748411432,19.337685112031423,43.55555555555556,252230.86538180092,842.2636182129243,71.50744581787922,90.0,9754995.02570763,3.2455772910069697E7,291297.21981432324,291297.21981432324,291297.21981432283,5637591.567822158,6.749037609610145E8,2.7050268319786763E8,18.5,4.0,149330.03503532457,236.77215190644745,59.333333333333336,3.0,275123.3420974272,58.931034458795466,53.0625,16.0,219987.0518867646,86.45999729942093,48.0,4.0,230973.93440765765,56.606356899151244,46.5625,16.0,229277.55667152378,82.20625128279998,39.125,16.0,273706.60214507184,79.5054586082372,39.42857142857143,7.0,317431.9304668336,49.844927600178046,42.2,5.0,290542.3484878321,64.39073987040533,45.25,8.0,306055.7360212366,47.530761245164655,39.142857142857146,7.0,298896.50247473345,43.22170485616376,49.0,2.0,143586.41676576057,76.70770839077841,17.5,2.0,142011.5571562834,25.025343317442307
4,0,224665.38253744633,1.393156269781899E7,2410047.990290695,2473636.9251448377,2.0216498515460137E8,939602.91904532,1017208.6117759714,0.0,NaN,NaN,NaN,NaN,NaN,71.0329474562751,18.243974169290208,54.41111111111111,224665.38253744633,992.6749056334907,67.75433193692484,90.0,1.1959627458546368E7,3.217951188691644E7,253973.45646361622,253973.45646361622,253973.45646361331,5885857.261506326,6.592842868923413E8,2.69785097669539E8,21.0,4.0,133809.03632564482,235.9649873812679,84.0,3.0,240776.68138598223,61.55134453688681,65.75,16.0,158909.28996431225,81.7270896728758,47.75,4.0,203850.85024106246,54.046926670796864,73.1875,16.0,176255.72967395035,78.38811176502543,49.25,16.0,252654.8088489811,61.641190407709814,49.285714285714285,7.0,277212.67716655217,41.990301517898324,42.8,5.0,293180.28484149463,58.10762964277342,41.5,8.0,307472.00236712344,48.64957353440789,51.142857142857146,7.0,286854.5548319707,44.60397529181838,36.0,2.0,213628.47128386213,72.87625232544545,19.0,2.0,220196.28622382577,34.2570664540124
5,0,165309.42062958592,1.5295430968007604E7,1529721.501720067,1627599.8594281913,1.9837385107049122E8,855318.6281204738,772764.0140051707,0.0,0.0,0.05,0.05,0.05,10.831927758476672,71.23538192977645,15.362036982395072,47.98888888888889,165309.42062958592,737.207085855159,53.95457698157199,90.0,1.4165532098200355E7,2.9043379954863295E7,156059.0566928049,156059.0566928049,109742.55669283927,5942048.538923049,6.42947554351579E8,2.6917145065902954E8,1.75,4.0,67676.17709382801,240.79678411488726,54.333333333333336,3.0,166841.43276810003,55.520498432098854,6.5,16.0,105078.61154388796,90.7176602637764,49.0,4.0,130841.67941779876,49.55569032983287,39.75,16.0,125053.7396099712,76.48865073595128,62.8125,16.0,164498.42397628876,55.6916491891386,94.28571428571429,7.0,242484.09559739774,44.50165820191505,64.4,5.0,247785.24603247456,55.54503220785815,91.0,8.0,283149.560836572,48.43230127920417,30.714285714285715,7.0,187080.2108738829,46.433053257799706,91.5,2.0,135033.46746658953,74.74712440980359,50.0,2.0,244009.96657123254,32.81240863615429
6,0,134748.60724834804,1.3675200826644758E7,1408355.2907644808,1472737.639192862,1.974126751654278E8,845316.523821137,827177.7384047649,0.0,0.0,0.05,0.05,0.05,7.949227020725172,74.21438551762078,16.38347815674512,45.077777777777776,134748.60724834804,738.5307875768328,56.435307052979454,90.0,1.4372667430274151E7,2.650004208262549E7,110003.96782517433,110003.96782517433,90724.06782517432,5386946.75945167,6.299736779854716E8,2.6859025509604454E8,1.0,4.0,6203.71418575666,240.69263219904687,52.666666666666664,3.0,132067.1140393454,60.23120940576021,13.75,16.0,588.2721332589499,89.75230228231474,72.25,4.0,98976.45188099606,50.300195086063866,17.6875,16.0,50588.08523187922,86.43688149552042,47.6875,16.0,125538.17505874968,62.691337046524815,86.85714285714286,7.0,308649.0304611013,44.33302067278244,74.0,5.0,289661.41947903077,53.331556451100425,89.25,8.0,383955.7248250237,49.60528839556058,33.0,7.0,108393.81936594665,48.35531396390754,117.5,2.0,158882.31101872132,72.64991473095634,91.0,2.0,363001.3301809749,27.461582349829193
7,0,91898.26838977193,1.072224868127724E7,1351639.5790710882,1415702.8945396584,1.9804514265333652E8,775918.7043777128,749155.1394332197,0.0,0.0,0.05,0.05,0.05,5.403713775679777,72.17824187353267,18.43356599627982,39.53333333333333,92797.19500089294,736.9284024130742,55.408409297899254,89.0,1.4060387029205235E7,2.2331231184284538E7,52926.14155433723,64454.41017970396,3035.8101796257397,4371598.619363092,6.220989915781463E8,2.6810548749888688E8,1.25,4.0,-6474.283359616238,238.94809541486913,71.33333333333333,3.0,82361.52020104339,65.1008942098497,7.8125,15.0,-6135.1476869256585,84.54271263273907,43.75,4.0,81282.6532692666,56.3114132233961,27.1875,16.0,24161.60874072858,81.89965859734984,40.3125,16.0,67211.16096926511,63.53969806821982,69.85714285714286,7.0,194597.0675748288,45.213137018250784,71.0,5.0,255290.26349779265,56.504687051430814,62.375,8.0,240319.68588738143,47.0288813308435,32.142857142857146,7.0,73608.24861299014,49.0390280205852,105.0,2.0,123438.1453479901,74.28991462049416,90.5,2.0,518700.9269349626,28.715592439193976
8,0,95149.15686242725,9073820.303182943,1383643.6974001855,1438980.8153048623,1.993879075376438E8,725202.9225089916,682214.3749506772,0.0,0.0,0.05,0.05,0.05,4.766846700124846,43.924534720292215,21.088156629526164,28.966666666666665,125518.00935785513,832.9821868662835,55.874049029077554,66.0,1.1690020589136612E7,2.0253444706754122E7,31751.491796678863,100066.84027148038,53717.090271442205,3811029.923232877,6.179256187868488E8,2.676987357635719E8,0.0,0.0,9144.75000000003,NaN,66.33333333333333,3.0,120887.46577599924,63.276194425839584,0.1875,2.0,10216.922047527783,95.26593008768825,38.25,4.0,83342.78610730107,57.82507773279623,26.9375,11.0,37127.58708790329,75.39079008315709,30.6875,15.0,86347.30374811546,65.36675872584976,41.42857142857143,7.0,175398.59258577196,45.41672524611025,58.0,5.0,233526.6619538009,52.326933407781056,29.5,8.0,133674.45219062647,47.51179090886339,21.571428571428573,7.0,62778.74440290313,52.60955963705471,104.0,2.0,368685.0922140683,72.29405921557074,77.5,2.0,525051.0495408135,29.623095858318123
9,0,87995.32611516531,7351476.186158055,1428598.3332121763,1493563.8564803957,2.0093713855571827E8,624774.2009188378,636227.2243255681,0.0,0.0,0.05,0.05,0.05,4.795599520600723,39.697512550096626,19.954016670702877,27.633333333333333,128304.90917274792,827.0939910006343,57.423676439758204,60.0,1.0195683925048074E7,1.8115263275413696E7,64604.2275463799,76483.80138272699,69218.601382738,3229561.730784377,6.173185996006718E8,2.6742285005717608E8,0.0,0.0,5863.25,NaN,77.33333333333333,2.0,156813.19435169036,57.59724803806451,0.0625,1.0,5674.5339759109775,130.45485818857034,38.25,3.0,41256.680749547435,62.88598451667492,20.125,9.0,42464.78884242156,73.3856282870382,30.0,14.0,85021.21673849318,63.35974663872741,26.0,7.0,114777.18391019225,49.379830959443375,49.2,5.0,222387.97404375867,56.81828682380325,44.375,8.0,138830.80439113727,49.90965838573843,24.857142857142858,7.0,88382.62153449163,49.455896503010536,101.0,2.0,281362.49137404654,76.75249716113116,70.0,2.0,461330.74259681674,31.118963202040444
10,0,90453.55746982708,6254883.381762162,1446436.2250738689,1510246.5432492308,2.025091857838085E8,580218.4860476059,608192.6863839458,0.0,0.0,0.05,0.05,0.05,4.683656287943693,35.54863241346069,21.523728508337534,22.177777777777777,139295.7383756378,795.5807796785504,57.671324695745966,54.0,8590031.63157166,1.6730851803855216E7,76533.93535633408,149112.53853604454,231089.63853607973,2860510.5807008296,6.192772092052655E8,2.6722433754795548E8,0.0,0.0,5493.75,NaN,46.0,2.0,117142.91180153207,64.70162902204257,0.0,0.0,5495.71875,NaN,18.25,3.0,85894.47160821315,56.264278026402984,16.6875,9.0,40385.90468216155,77.85098343890432,14.5625,11.0,63400.4028412537,68.6123672191896,41.142857142857146,7.0,101217.34760015637,49.822380615255476,49.6,5.0,256558.34530707047,56.50428891863711,28.125,7.0,179031.02201666863,48.11853153584584,24.0,6.0,114952.2560007666,46.69113094033139,119.0,2.0,269866.4792627429,69.75293217256703,59.0,2.0,453683.0218358482,29.012727544463065
