year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,2594656.834350135,1.0594739697520094E8,3.1621492009600304E7,3.24151596492368E7,1.9459965986030334E8,8251178.383218193,7113068.553271701,0.0,NaN,NaN,NaN,NaN,NaN,94.30303805801925,33.23089237521068,192.12222222222223,2594656.834350135,6384.392889552976,85.91645235102054,90.0,7.681753242652138E7,3.103366475180336E8,2606685.588516979,2606685.588516979,2606685.5885169795,4.908951056013556E7,5.94679102079661E8,2.6329025449971715E8,89.5,4.0,1313446.0238590282,238.66976782476544,173.0,3.0,2394166.9021371547,95.04173167445434,140.5625,16.0,2136283.657401316,116.30320686881956,168.25,4.0,2338458.0378067535,74.80507887669731,152.0,16.0,2218203.8259245204,104.48251588908853,195.25,16.0,2566882.8743870817,88.77927559988107,241.42857142857142,7.0,3223361.6463780077,62.51756718781793,249.2,5.0,3137230.4999166876,68.67332992018285,274.375,8.0,3587443.289265794,56.15798484072049,238.14285714285714,7.0,2911796.061697664,73.815042115244,283.5,2.0,3076010.067137139,82.00461213596768,285.5,2.0,3751624.7552585597,42.120425973922394
2,0,264364.7815253397,9989305.1625401,3103186.405403805,3213163.57778591,2.2340537450484014E8,738810.8618576166,526552.9670553575,0.0,NaN,NaN,NaN,NaN,NaN,89.69489933455276,25.131117844725217,18.41111111111111,264364.7815253397,462.69180298566323,79.01387175283473,90.0,5795333.466208537,2.9588163803489093E7,243083.5905470862,243083.5905470862,243083.59054708475,4624287.991591898,6.920233090478082E8,2.713093037292417E8,8.75,4.0,139259.33795555145,240.35859151718765,11.0,3.0,198859.88216589842,106.16568479698272,11.875,16.0,204780.86641303808,116.29782184632005,19.25,4.0,284424.44244771893,58.92466888726352,13.0,16.0,221916.00330128917,97.02244690761253,20.0625,16.0,284702.7063687722,82.81223980674662,25.428571428571427,7.0,347015.5474219037,60.50477446604267,24.8,5.0,309014.2159907388,53.40483559930102,25.625,8.0,329553.72087156895,52.8871895602529,27.285714285714285,7.0,338887.15959186986,66.81582003667803,24.0,2.0,251884.60975701502,78.0567952115023,23.5,2.0,316266.6681517579,40.655630354775425
3,0,272254.1767780725,1.0754331826940445E7,3041014.285239951,3140080.268973957,2.1003483082827258E8,846253.1434613139,600591.99646899,0.0,NaN,NaN,NaN,NaN,NaN,90.16205160084426,26.57845068829827,19.544444444444444,272254.1767780725,519.4610528968517,80.50625906628225,90.0,6016334.020943493,3.0519209930970047E7,355129.48754372145,355129.48754372145,355129.48754372203,4906561.964151389,6.802474246705407E8,2.7067761413310075E8,9.25,4.0,143361.59369895805,249.03668489788947,14.666666666666666,3.0,235581.06993274516,94.16412493791434,12.1875,16.0,213320.2517333218,112.56932489300912,19.75,4.0,287240.6989658673,72.44874993501142,15.0625,16.0,243313.8472447325,99.29601913737389,22.8125,16.0,308461.91606447333,84.10107378490754,26.428571428571427,7.0,354339.4788105759,59.8377911017344,25.4,5.0,303856.46774279064,57.88493957932661,25.25,8.0,306318.4256857362,52.60752919550402,27.285714285714285,7.0,329969.6632683316,63.94804882519764,25.0,2.0,267108.0205777949,80.26200608621116,21.5,2.0,268988.75449037994,36.689010882188185
4,0,274110.2749508855,1.2409089644263037E7,2863389.595457085,2945931.4522500285,2.0114022653962842E8,979533.3365789629,765629.5403606502,0.0,NaN,NaN,NaN,NaN,NaN,92.75247165428742,28.65891850816656,21.744444444444444,274110.2749508855,623.1722613386884,85.23269151532953,90.0,7507933.016867182,3.217785776244692E7,312096.87114270777,312096.87114270777,312096.87114270625,5477225.448001022,6.658612896961786E8,2.6992506769581425E8,10.25,4.0,134517.15975579526,249.62052968590422,19.666666666666668,3.0,260289.87447785292,104.73416771979294,16.125,16.0,230481.9778638945,116.91350648351539,19.0,4.0,252102.1761381901,74.77783646676613,18.625,16.0,259689.2985570847,102.19373205927057,26.375,16.0,316582.20685548725,84.41004458090887,27.428571428571427,7.0,342649.2474572052,60.335980161947354,25.0,5.0,284769.3811499742,64.95749683124833,25.875,8.0,311607.9921963033,53.745449582297844,26.571428571428573,7.0,298374.4284639572,66.40207615174026,24.0,2.0,248833.42109232536,76.38193653388882,22.5,2.0,266489.3145968248,42.48430152923802
5,0,234347.9876926293,1.9887814821830776E7,1567613.6874497312,1682588.133649175,1.973468875379626E8,958827.8373383093,645161.0672094523,544.03,63.85833333333332,0.3715364456756358,0.07303311494630958,0.05,10.503006649754589,104.91957504132786,24.003822103333338,29.977777777777778,234347.9876926293,719.5812448310371,84.56938787966818,90.0,1.3826876090302097E7,3.49181949826372E7,257268.146833102,257268.146833102,232904.09683307388,7448961.577514607,6.443378233964485E8,2.6919728418196297E8,1.0,4.0,60862.076729249675,251.08951217719297,22.333333333333332,3.0,168443.6634457583,121.86363907067239,4.875,16.0,115558.58177058733,127.3026422527153,19.0,4.0,181435.93577470782,82.91498071602528,17.875,16.0,180148.81562045278,102.84288944183247,31.25,16.0,266653.6031976504,109.5804353861441,53.714285714285715,7.0,370629.82039692596,75.2601308096361,55.8,5.0,349701.7944227429,72.37987141210854,71.625,8.0,357948.4064420186,62.44558046968168,35.142857142857146,7.0,307672.6235743169,89.82655129613556,13.5,2.0,148111.09769352432,86.21967996375062,93.0,2.0,481292.1578644365,58.01362807882386
6,0,189496.04711069234,1.7172785654801626E7,1333146.609950187,1416072.7059236174,1.96498007998977E8,786875.0735880596,700608.6678260287,550.7466666666667,0.05000000000000008,0.0728308197740769,0.05,0.05,7.511866184157558,121.77432086388791,26.06864557534968,25.933333333333334,189496.04711069234,676.0468752540684,94.06705119378977,90.0,1.3156652749878148E7,3.0211296989826035E7,194007.61796509498,194007.61796509498,132403.96796549176,6455599.046404243,6.275551545112903E8,2.686725330732229E8,1.0,4.0,2598.215630645689,251.08951217719297,3.6666666666666665,3.0,49340.83719435893,161.4288072931562,6.75,16.0,45955.33366665602,140.18289688781073,16.0,4.0,118025.39466485532,109.79678036171312,10.8125,16.0,78514.29543376662,121.16965117603249,24.5,16.0,170861.97553627085,119.96368765029906,62.142857142857146,7.0,355759.46056739,85.76883043012798,73.0,5.0,362442.3530564822,96.41653054643743,60.125,8.0,521779.25585957477,71.56992916783022,13.428571428571429,7.0,194466.5129406077,135.63561130255167,12.5,2.0,78942.13665423682,88.18605246208436,91.0,2.0,851454.8564933334,74.97611558039343
7,0,156199.523823044,1.2945987828854486E7,1347088.734755169,1435865.2606381376,1.9718295062823236E8,687584.1910910197,690367.4203696123,230.56647870395133,70.52642857142857,0.05,0.05,0.05,6.489440485859122,150.36855938588357,27.415490417305787,20.38888888888889,156199.523823044,558.9713879528458,95.89148140284227,90.0,1.0784788040528925E7,2.484274518460317E7,173153.52284385846,173153.52284385846,382605.5728439605,5048630.553091343,6.174868267615622E8,2.6828164344461983E8,1.0,4.0,2700.103737966565,251.08951217719297,2.6666666666666665,3.0,19336.92162309711,227.13630455545933,5.0625,16.0,34977.02925697772,146.63153615944765,7.75,4.0,77519.71020655415,109.14630551210324,9.4375,16.0,72138.53232643637,133.9467203944988,26.6875,16.0,177431.5043728329,120.57683004596932,54.57142857142857,7.0,372076.0013448841,136.23880398751336,57.0,5.0,429124.74496591033,160.81612893782403,22.0,8.0,277660.24524520384,218.5607187860062,1.0,7.0,42398.811805159254,167.61199606531747,48.5,2.0,218849.30839894782,88.77355950860832,93.0,2.0,710193.0362436259,67.63383017155189
8,0,134172.16772800536,1.0069056953193296E7,1342365.9104710638,1412235.810487391,1.9862477229328597E8,609664.6021769466,663064.9853892345,552.7616666666668,0.050000000000000024,0.05,0.05,0.05,5.92336476472236,130.2155492436365,28.601554030920678,16.455555555555556,153097.6217374421,543.0628399973529,96.26335625177448,78.0,9007059.515608098,2.1082554611128844E7,329794.46337509854,94535.03780197003,52448.537801952494,4083462.304022011,6.126236141546775E8,2.680036933126719E8,0.0,0.0,11157.925000000047,NaN,2.6666666666666665,3.0,29860.356033541262,206.1849447442336,3.4375,10.0,40323.34797368047,145.64691826407125,4.75,3.0,63349.369689086685,89.74479726887184,7.5625,15.0,72107.40997714433,133.45508590824556,17.9375,16.0,171718.54896933728,121.40383552737089,46.57142857142857,7.0,318525.5131032174,197.94953451681732,54.6,5.0,360632.2992879398,163.90075532377085,25.375,8.0,164352.12945534894,218.90767272866543,1.0,7.0,9013.083483075325,167.61199606531747,12.5,2.0,201743.1560526993,83.75414145918936,78.5,2.0,663630.4588244897,66.82460537207012
9,0,119721.92981501087,7921916.633832358,1383312.4179236917,1458595.482222092,2.002835594694384E8,473451.89716966415,588694.7077258612,551.4183333333334,59.06255555555556,0.05,0.05,0.05,5.771039491106888,120.66896403927025,30.060438488751537,13.522222222222222,151843.3640478712,522.6221948687231,98.66539993588441,70.0,7516151.839270427,1.8291125522621162E7,277342.0892000701,159187.46239899518,126466.26239911398,3340807.646673483,6.118542919229101E8,2.678983208215429E8,0.0,0.0,7293.300000000047,NaN,1.0,2.0,11741.742552094473,174.19780774465949,5.75,9.0,46370.266442752036,148.40525838607275,2.25,3.0,34969.286500067916,114.14390023672537,5.5,14.0,58234.547746215074,139.3241553642359,12.6875,15.0,134905.0397972186,114.53387834896446,48.285714285714285,7.0,344212.4372383569,199.08822603747055,53.8,5.0,397399.59594774415,162.24159128250955,19.75,8.0,176953.63783210667,249.64534216397325,0.42857142857142855,3.0,6457.375284374425,167.61199606531747,8.0,2.0,61771.85526357335,92.54279336368225,19.0,2.0,378840.48266680585,137.63796030822888
10,0,121687.56001063535,7499544.028121133,1423779.8616422296,1508802.973957368,2.0192963897626442E8,388163.0872264697,538659.5591661835,197.38964035703745,37.933653846153845,0.05,0.05,0.05,5.745080395211374,77.4781478332446,29.683473799167444,12.733333333333333,197709.69816587388,629.9492772934425,95.86483470645447,54.0,6801685.426291136,1.7753565827248544E7,307553.9300756203,77902.38690202497,60896.43690203564,3177557.4214024493,6.129828158730209E8,2.679165822834083E8,0.0,0.0,7641.425000000047,NaN,1.0,1.0,11171.299543060673,114.3343431830191,3.1875,5.0,49473.8850769836,127.93314020256491,4.0,3.0,36395.88349190273,103.43333332734888,3.4375,13.0,48526.40459544401,126.30333349899946,12.5,15.0,124249.15372884553,109.98620925608844,47.714285714285715,6.0,406133.00722620107,157.05047335090924,52.2,4.0,449685.4248183664,101.8554064696667,6.0,3.0,144631.79659153149,226.314914226959,0.0,0.0,7660.328571428278,NaN,88.0,2.0,370772.3124593301,79.66292061379161,1.0,2.0,71323.35080693476,214.50086829661086
