year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,1625303.0981118483,5726.775590589889,6.055928639047589E7,2.5952358974102817E7,2.7418137227159955E7,1.9967271701968274E8,4857469.5281188665,3462821.2569881678,0.0,NaN,NaN,NaN,NaN,NaN,175.66792470608462,23.389444688377655,244.84444444444443,1625303.0981118483,5726.775590589889,101.02378996339849,90.0,6.890491870083484E7,2.1518219753090122E8,1826605.5047915503,1826605.5047915503,1826605.5047915569,3.044930274470852E7,6.374624338660917E8,2.6676230555305493E8,112.5,4.0,860167.6481711129,232.65614675039302,83.66666666666667,3.0,37872.78915628136,582.1375685093749,196.25,16.0,1988592.8464708542,123.0036885987317,35.25,4.0,-649903.7576091925,1349.0859337273198,240.25,16.0,1582590.8728381495,92.18586440860315,297.375,16.0,1853633.3097588266,71.88159716350984,364.14285714285717,7.0,2280412.9224574612,49.79175147052728,319.0,5.0,2237268.69238283,61.66875873474096,337.75,8.0,2199240.9192044414,61.56402336611916,283.14285714285717,7.0,1652827.3927748953,78.6511489434999,231.0,2.0,1089722.8477417387,131.35671877375086,81.0,2.0,16566.858802436047,590.4620361633877
2,0,216699.95625575917,659.0328319742605,9126894.755990764,3099560.5792203285,3346145.399184707,2.2328259175295362E8,414063.67895754875,387293.12623509567,0.0,NaN,NaN,NaN,NaN,NaN,157.14349210129578,19.32647601097538,34.1,216699.95625575917,659.0328319742605,91.32184634277253,90.0,8254494.307325342,2.7757490370343704E7,296687.44473192864,296687.44473192864,296687.44473192707,4197348.659257462,6.922371660715123E8,2.716385901717113E8,11.25,4.0,100264.3153946226,226.13526819321515,14.0,3.0,46359.68947328459,547.2086858519795,24.5,16.0,202515.20455535024,84.55686059728633,12.5,4.0,-238050.69124913088,1361.1885205218928,16.875,16.0,173299.4047482133,104.32735138730837,51.8125,16.0,302526.21264920634,39.52322747077978,51.714285714285715,7.0,315920.4278019128,37.29978466412613,38.6,5.0,273819.09486490267,65.96868854314289,53.75,8.0,347856.56259062304,45.67080798788824,44.714285714285715,7.0,306105.11670878006,36.490321515480105,53.0,2.0,271412.33452121995,69.46320047667538,18.5,2.0,6328.945552698864,573.4034972924214
3,0,225233.73170567685,737.5848690781695,9624010.669859195,3129404.8452724214,3335662.5175934113,2.097355684906488E8,495045.61907584604,491295.22051092045,0.0,NaN,NaN,NaN,NaN,NaN,161.75779977915508,20.52648058659099,35.93333333333333,225233.73170567685,737.5848690781695,92.28858277544813,90.0,8542591.168620594,2.8813627022131395E7,318692.44813133334,318692.44813133334,318692.4481313281,4424694.8644546885,6.810653915300927E8,2.713690992734247E8,12.0,4.0,108191.21718300445,231.49902326071577,15.333333333333334,3.0,47191.71240722508,551.2642975244612,31.1875,16.0,221955.41976375104,79.27698692808616,12.0,4.0,-208793.2195224821,1385.764934509483,11.5,16.0,163157.32667871547,115.64241202806438,51.875,16.0,320023.5527604581,57.891160572533416,50.42857142857143,7.0,288976.80761274375,37.4742605425307,54.4,5.0,333949.8901182503,43.21782606318443,53.5,8.0,331364.7140180217,45.22550130551973,55.142857142857146,7.0,336054.17732670985,41.93193832223036,51.0,2.0,259740.73054047942,67.57540306134288,19.0,2.0,17161.210003900258,560.7484825373708
4,0,206023.15741283467,628.5480465351565,8669654.511971029,2785012.9145909306,2946520.7040477684,2.0086336329416078E8,627432.8803297196,458584.76746917603,0.0,NaN,NaN,NaN,NaN,NaN,107.88691741054917,19.163050199242573,32.8,215605.62985064092,657.7828393972567,81.19072324632215,86.0,7572699.465683449,2.6114783632838547E7,269407.42255015415,269589.61110111396,269589.61110111186,4042466.5339399823,6.70014578713714E8,2.709901982540501E8,15.5,4.0,108232.22614914569,241.55290761989667,18.0,3.0,-17336.258806681068,550.2181210319085,15.4375,16.0,167480.7502800413,108.10916999165855,0.0,0.0,0.0,NaN,11.5,16.0,155497.42184070084,117.6273287917254,51.6875,16.0,266354.1790292397,53.498376114707604,51.857142857142854,7.0,290585.52479607606,45.643737676987406,53.6,5.0,334379.4224419307,56.381229787922884,51.375,8.0,288896.25702811655,46.03923668281727,56.142857142857146,7.0,324501.45764920616,52.79685075837119,50.0,2.0,237009.36178588576,67.42193126137633,21.5,2.0,-15424.174272230199,575.525275516117
5,0,229993.12041015972,875.7377164018882,1.8553332200505003E7,2460736.8877078174,2647606.393567663,1.961466916451982E8,954663.7513524698,604634.938521521,0.0,0.0,0.13358510797426887,0.05569275767965563,0.05,5.410163301056855,96.0032473887296,14.859802880122537,58.93333333333333,240004.42833621366,916.4697032112783,58.08539715591287,86.0,1.682743866922279E7,3.752681950613929E7,259895.21646525478,234993.09504845878,203446.6450492964,7272339.696184365,6.487321780649796E8,2.702543959185685E8,2.0,4.0,72172.30386391288,243.50568889149287,1.0,3.0,438.7320487813413,526.5003906166047,27.0,16.0,159917.8430258846,86.5435232412382,0.0,0.0,14750.0,NaN,50.875,16.0,226296.09407377816,71.47118641928326,62.6875,16.0,241891.00520287786,59.48564596247261,118.14285714285714,7.0,374650.2694413667,41.58598366706104,93.0,5.0,379453.4555737063,42.632632228155856,118.625,8.0,361170.67925331806,48.22560255859147,82.28571428571429,7.0,333416.08865752735,62.07917579559616,112.5,2.0,280915.4590754319,64.3336327496215,1.0,2.0,-2115.8941332350023,576.7356421273095
6,0,195627.4353563905,878.8756848986684,1.701146651582629E7,2163418.041904471,2353538.939696223,1.943770692935675E8,1043232.3562656933,858786.3401858617,0.0,0.0,0.2336402751966788,0.1295566424502089,0.05,3.080684107242076,91.60911317159916,15.976330365760484,55.01111111111111,206244.4433185311,930.5742545985901,64.44562099338282,85.0,1.710390594664357E7,3.471037512871877E7,91840.1293262865,164606.11687880335,188130.01688002172,6787532.426753498,6.309751524611652E8,2.694274948761486E8,2.25,4.0,4113.18799297337,241.6857882275538,1.0,3.0,1027.8208244445705,496.5145427337307,19.375,16.0,77654.3673544201,80.97182295561018,0.0,0.0,15138.0,NaN,45.3125,16.0,158817.6177156451,67.94657806158791,52.3125,16.0,175396.96701765084,69.84083702642845,114.14285714285714,7.0,431020.19344293873,53.3071292786621,98.6,5.0,352874.9062831447,52.67316765006117,113.625,8.0,445616.24261370377,59.038523615330185,91.28571428571429,7.0,270076.9778137904,64.2345181739436,113.0,2.0,342991.0383847398,76.592197082998,0.5,1.0,6755.49316726152,576.7356421273095
7,0,170820.48138676304,807.4359634649446,1.4305177026683128E7,2199362.4870720166,2374726.264986267,1.9407835061622602E8,677529.1381368681,872518.745888476,0.0,0.0,0.05,0.050121192417061394,0.05,4.234234608642194,73.10617992730437,17.13897092260496,47.111111111111114,188113.23240504536,897.1510705166052,65.01265883048187,81.0,1.5578674387550872E7,3.0952517712360032E7,109483.50568626006,117604.88194747362,40079.68194728241,5805286.493781779,6.185489808392586E8,2.6902757555179065E8,1.0,4.0,6472.073625321849,244.4513777829857,0.0,0.0,15187.333333333334,NaN,11.3125,16.0,52000.46257118406,89.38673746440433,0.0,0.0,15184.75,NaN,27.6875,16.0,133529.58155915682,79.39758027309027,50.9375,16.0,161657.94006871787,66.8247853218946,108.14285714285714,7.0,368460.6575850117,53.91841374369553,99.8,5.0,311689.45894522144,58.478558078550364,112.875,8.0,411547.8749851346,58.91994139039159,59.857142857142854,7.0,234644.68264709433,76.01605167237196,109.5,2.0,291854.0534452605,79.35572697343297,0.0,0.0,15185.25,NaN
8,0,164098.31065696673,726.5760807950795,1.2236025296512974E7,2240843.4515304025,2403571.0756947948,1.9444577447703186E8,797253.55840689,801630.256594654,0.0,0.0,0.05,0.05,0.05,4.393349723589949,62.58159414721285,17.317756163018313,41.955555555555556,189749.369599052,849.2447697604825,65.2732859099304,77.0,1.3904710115506269E7,2.8673558074632E7,55724.294404736254,100261.83392096171,130460.43392083474,5168818.010289922,6.108225005224994E8,2.685215750416276E8,0.0,0.0,12162.625,NaN,0.0,0.0,12167.666666666666,NaN,8.125,16.0,48677.617271357216,90.90696109349877,0.0,0.0,12165.875,NaN,36.6875,16.0,134479.02894493515,79.58735134649969,28.0,16.0,144834.4089222147,72.61029593492331,103.42857142857143,7.0,362752.1031254209,51.14409033640907,85.8,5.0,393415.03076319007,54.495422324252765,108.125,8.0,363918.11941906787,63.09955231691122,54.42857142857143,7.0,201600.61170595192,63.80476912136412,106.0,2.0,266977.73196139466,80.37709644472099,0.0,0.0,12164.75,NaN
9,0,158634.40047924823,598.4836011078783,9593682.813605221,2328737.7402482163,2488989.759304342,1.9495811090369985E8,552299.4911184157,739204.7047297917,0.0,0.0,0.05,0.05,0.05,4.64985377131605,59.84505927354374,17.280565960766456,34.63333333333333,186318.41504121502,708.7305802593295,60.419707391445016,76.0,1.1066254853947837E7,2.534335089707947E7,11076.36842230009,144943.04142905725,101330.64142914003,4251007.541575301,6.079994227961304E8,2.6830666425101072E8,0.0,0.0,8349.375,NaN,0.0,0.0,8349.0,NaN,8.1875,15.0,31777.787333639717,92.92235233405941,0.0,0.0,8349.875,NaN,13.1875,16.0,108040.6535144732,90.54364949739693,24.4375,16.0,124541.1461125625,57.15710347055378,100.71428571428571,7.0,385579.478162554,50.99640450785956,49.6,5.0,345090.1641600326,52.327278527880914,104.125,8.0,403981.696899269,57.886489029687255,55.0,7.0,237527.60579466686,55.08407887116045,106.5,2.0,309872.08403333626,80.85815679539547,0.0,0.0,8350.25,NaN
10,0,159046.21121862787,550.2264886878589,8403062.326886281,2380022.108692169,2562365.9958196925,1.9540758676569057E8,665801.3164747114,678765.8262899604,0.0,0.0,0.05,0.05,0.05,4.674316214619155,59.22432965968906,17.30876755746498,31.788888888888888,197143.72235661818,687.7831108598236,63.99216385965811,72.0,9901428.155982474,2.4215587165660057E7,10103.504561824026,60115.7128856706,176474.41288551973,3906886.294424275,6.07969168413172E8,2.679940068249503E8,0.0,0.0,6654.125,NaN,0.0,0.0,6655.833333333333,NaN,4.0625,11.0,27342.973315020645,99.19248274897004,0.0,0.0,6656.5,NaN,9.0625,16.0,109010.99236563919,97.6553853846234,28.8125,16.0,123044.45231192058,53.145085580035555,79.0,7.0,434272.58903279033,56.70666429725132,34.6,5.0,249584.17112922185,65.30129934971153,107.375,8.0,435162.4521743406,58.536132124235266,55.857142857142854,7.0,236317.11433511754,65.21358300809563,107.0,2.0,326955.4625895161,89.0137694094667,0.0,0.0,6657.5,NaN
