year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,917053.5000365378,3.5815215244266406E7,2.0637139385988746E7,2.157581914833126E7,2.0535552010100198E8,4601716.292036464,5402507.631300315,0.0,NaN,NaN,NaN,NaN,NaN,94.15294456144301,36.19922230040706,180.32222222222222,917053.5000365378,6527.524207925624,83.51025397678696,90.0,7.853982981600554E7,1.6107464481929392E8,478543.89210200415,478543.89210200415,478543.8921020047,2.120805381755339E7,6.644459922029114E8,2.6710623121104702E8,75.25,4.0,-235196.47146498878,258.78359774865476,115.66666666666667,3.0,293976.31095749396,153.4261912877379,131.625,16.0,540317.3888721415,95.28276900371303,150.5,4.0,807168.0278547428,98.35812589938607,162.875,16.0,924674.8088911708,119.56284170547043,161.25,16.0,475957.1858953279,68.48249635671101,284.42857142857144,7.0,1957904.606441064,57.61057700327086,262.0,5.0,1741037.1000794652,73.09076059366805,233.75,8.0,1586633.2851708652,79.91278986473378,224.14285714285714,7.0,1250268.5492254016,61.93259313552371,123.5,2.0,-67854.15892680266,70.7598052928943,350.0,2.0,2295027.07637138,34.295952788310274
2,0,192555.8093726041,5041879.0849845195,3387217.1531820456,3569616.198789807,2.2305674177681187E8,619535.4981316632,635798.3309565149,0.0,NaN,NaN,NaN,NaN,NaN,93.40194927727758,23.52920148479627,25.433333333333334,192555.8093726041,598.4260244299852,87.55419802088971,90.0,7495438.335292099,2.4825461178826455E7,213922.51085147343,213922.51085147343,213922.51085147384,3113470.434631245,6.96920436895099E8,2.71425061274353E8,18.5,4.0,34133.49501851726,258.1260984220478,20.333333333333332,3.0,150030.7392795548,156.70846921073576,17.8125,16.0,169869.91889251763,94.68501283189583,20.25,4.0,181974.6469560507,92.16028396018179,21.6875,16.0,170655.03962100655,119.49182885561395,27.0625,16.0,213837.58988872048,67.65412725603268,33.0,7.0,253803.6569845898,56.91319914020066,32.6,5.0,242562.80088527926,72.84113228449908,29.875,8.0,208635.7222511021,78.39354238497869,34.142857142857146,7.0,242706.82537227028,60.24586719306034,31.5,2.0,148351.85206772963,72.14266142737748,36.5,2.0,245760.21014641342,34.92810350363568
3,0,196092.45745288927,5798091.085985377,3371866.646164963,3531348.4287168053,2.0931525914167905E8,724697.0234423695,857537.5343982268,0.0,NaN,NaN,NaN,NaN,NaN,94.90187330076807,26.253582638058916,28.133333333333333,196092.45745288927,738.6007915507242,87.66768370120732,90.0,8554383.695226636,2.6202704865986656E7,217322.58687153715,217322.58687153715,217322.58687153735,3451290.14995178,6.897934397627233E8,2.709130198967845E8,20.5,4.0,40331.42646027064,261.4218835198072,20.0,3.0,146016.5382364334,154.74566871406148,17.8125,16.0,163110.82261589717,97.1260046933747,20.75,4.0,167747.24281967757,100.24213882644716,22.75,16.0,168921.34150548803,121.62815711969604,31.625,16.0,217540.00913533624,68.40028398929469,42.142857142857146,7.0,292634.70940193435,56.52335768438791,39.4,5.0,270980.0843158863,74.74580149804828,32.875,8.0,218801.4893811557,80.44922571297985,40.285714285714285,7.0,263529.1107563568,59.434615517146575,24.0,2.0,82120.41509561424,68.50879511653515,33.5,2.0,211051.09944772837,34.87907643309282
4,0,151064.2940818059,6991831.135735602,3103758.7995400983,3235002.34407447,2.0016162874154454E8,905523.0049924804,1360044.9850191185,0.0,NaN,NaN,NaN,NaN,NaN,82.15011682139537,34.95047135755477,32.86666666666667,158090.540318169,1202.1336543679884,81.98905139645115,86.0,1.3839495322695764E7,2.7435281790058278E7,89690.33266103949,69948.30883312348,69948.3088331233,3949673.9118022625,6.802330758105787E8,2.702313823645349E8,0.0,0.0,0.0,NaN,24.666666666666668,3.0,97102.11013502388,151.41232102189767,20.4375,16.0,125507.52890062385,97.28845692809125,23.25,4.0,146853.48584235695,93.57455579770956,28.1875,16.0,137789.9107763909,118.58205124606756,46.5,16.0,79329.15461348367,68.38547104491151,46.857142857142854,7.0,302907.6502370914,56.31457336170603,44.2,5.0,278927.1565977847,73.2472500425816,40.125,8.0,214567.73461624878,78.79926657340755,41.142857142857146,7.0,216970.1438686759,60.41396283233648,23.0,2.0,42936.82451978115,69.70712380952381,32.5,2.0,199422.40862060548,31.867638193206773
5,0,87754.50601139509,6672091.946704533,2457130.9475541674,2596912.478305886,1.9548448753675535E8,975052.639989535,1199390.6566212473,0.0,0.0,0.05,0.049999999999999996,0.05,3.3581309918938906,82.8776736370174,27.579212962077943,29.933333333333334,91565.75047704137,863.9348804632323,71.17773730207105,86.0,1.5862849011211423E7,2.3760754552236706E7,21094.245285422716,949.0829932296765,-4818.917006770251,3626888.84129052,6.712052036182438E8,2.694840126185835E8,0.0,0.0,5812.75,NaN,9.333333333333334,3.0,17902.56891853172,151.29536033891262,14.1875,16.0,2369.8538872505887,97.1886383420659,22.0,4.0,48630.795058158925,96.89242672948563,24.4375,16.0,73661.23449772655,119.28949532165875,1.875,16.0,8695.275046821349,69.80131853081883,92.71428571428571,7.0,304777.4920593105,55.5742698173598,78.8,5.0,290993.8488976417,72.5211264238466,50.625,8.0,183800.6485549935,81.0891913432799,33.57142857142857,7.0,71920.92394889904,61.377870159138574,10.0,2.0,-47221.595203622215,67.90416666666667,113.5,2.0,401490.84227508586,35.635564124947805
6,0,53203.10690239119,5250296.550517306,1839573.4190149119,1955970.345277361,1.94066206706957E8,786829.5756785413,1065440.8708286835,0.0,0.0,0.05,0.05,0.05,0.21842638327115785,82.79274954006414,29.531009137524666,23.81111111111111,55424.01885133962,735.8715416478531,68.68568651988281,86.0,1.3684434308739718E7,1.84727139299552E7,-3978.6536049470305,-3401.0502568878,-8810.55025688783,2873420.1418082537,6.649586148578006E8,2.689563541701945E8,0.0,0.0,5453.5,NaN,7.666666666666667,3.0,-1261.176637422216,169.94518421536495,4.9375,16.0,-4787.810446718235,96.0485728820398,16.5,4.0,18205.333553727076,83.94116488742718,22.0,16.0,20868.45039942509,114.05379880879357,1.8125,16.0,-4043.003476694881,71.44931207784079,75.42857142857143,7.0,198675.25372002195,57.55790017771432,56.8,5.0,108962.46644732943,80.43103016403889,46.75,8.0,194097.3449363951,81.30200127957667,25.571428571428573,7.0,9292.384315343541,59.32819036794632,2.0,2.0,5077.580151507791,82.27912604794943,112.5,2.0,470652.95750899636,32.79412956942583
7,0,42470.26319904782,4341800.642040314,1951515.0884634622,2050703.8245391976,1.9401308819135717E8,696355.4251607321,993488.3584125036,6.671666666666667,0.0,0.05,0.05,0.05,0.12573852101162206,79.0154065724551,33.66460828548126,21.244444444444444,46235.37424285737,784.9601346565873,72.44533819667004,82.0,1.3798911903671749E7,1.7621235591586415E7,1417.9841759763076,2894.3982161303284,-475.8517838691914,2557494.8473402527,6.612507416555198E8,2.685449739014839E8,0.0,0.0,3878.0,NaN,7.666666666666667,3.0,-10515.800762273333,145.15026313848793,9.25,16.0,3587.526693158121,99.04104229005179,16.75,4.0,16587.793051724148,90.71035592803841,20.1875,15.0,23807.010230115615,105.01375677042283,8.375,15.0,4406.436571963764,83.38090330936224,54.285714285714285,7.0,97023.76446976826,56.949328839796344,18.2,5.0,26726.610997964348,73.72341521016952,49.5,8.0,209625.178134159,76.52151226414131,22.0,7.0,12342.76755236209,64.81348001089023,0.0,0.0,3876.5,NaN,98.0,2.0,339619.5689262105,34.69448221847631
8,0,46253.79745333892,3728458.827174913,1739375.2114413078,1813053.0249773776,1.949036916305994E8,565903.4819923653,897225.3506978982,6.671666666666667,0.0,0.05,0.05,0.05,0.05,34.40161953816086,32.201356125754096,18.322222222222223,99681.18177001257,1327.5009062842125,66.89305614824359,40.0,1.1290974172116807E7,1.5453815942917345E7,3512.0,125115.67793519422,135122.67793519003,2215821.0192853445,6.599238076697476E8,2.6829736951271093E8,0.0,0.0,3514.625,NaN,0.0,0.0,3509.1666666666665,NaN,1.0625,2.0,5350.013804679409,99.53834053508157,13.75,1.0,38660.38565831608,91.51538473933248,14.5625,11.0,27540.380587130814,100.26323568009285,4.75,1.0,19190.157341697042,69.64587659700682,58.57142857142857,7.0,110786.64993367864,57.163852330469545,46.8,5.0,115857.51602320913,74.37441732138275,37.625,4.0,162332.56145940162,70.49257736489363,20.142857142857142,7.0,-17788.013386793733,73.51407281002544,0.0,0.0,3513.75,NaN,91.0,2.0,307179.68640583474,32.21217574850036
9,0,47273.76218509888,2958768.2665989934,1730543.917353445,1801365.1581110656,1.960595879397384E8,466645.34454403026,761968.6366062695,0.0,0.0,0.05,0.05,0.05,0.073891383477227,26.83531550251838,33.80391848965878,15.722222222222221,120225.95872526173,1406.839548907858,68.70739441391213,34.0,9827277.38933279,1.4081915985991616E7,2980.75,9339.919374685502,11450.219374693013,1890800.7381368666,6.610225633963577E8,2.6818074004018846E8,0.0,0.0,2980.0,NaN,0.0,0.0,2980.5,NaN,0.875,2.0,7467.011902634033,100.67600517242826,12.0,1.0,22659.12012174737,92.74347768013688,17.3125,7.0,47648.574514594846,93.83137813307728,4.5625,1.0,24767.196993467893,65.12460483663381,32.57142857142857,7.0,44014.07875225168,58.33128601134399,47.4,5.0,77241.41019128365,71.56424730183258,38.25,4.0,187616.20768898015,71.11438773282396,8.0,5.0,1271.033985655921,56.35038021405277,0.0,0.0,2983.0,NaN,88.0,2.0,327458.7899835743,33.39448242167761
10,0,53673.79879555783,2618642.822739744,1719005.8462395181,1791704.505466614,1.972608860312588E8,406385.23394090973,662024.9129172297,0.0,0.0,0.05,0.05,0.05,0.0892151956530757,23.301905287284324,33.055682030734374,14.322222222222223,160513.97902069672,1469.2680737109176,70.93138659822651,29.0,8519540.714012226,1.335018260561252E7,2879.5,64099.79087010166,61862.29087010101,1728197.8050225156,6.637855467968785E8,2.6816132079772943E8,0.0,0.0,2882.5,NaN,0.0,0.0,2880.8333333333335,NaN,3.875,2.0,28824.834673548925,101.02390906724615,7.5,1.0,17091.978457829915,85.44771982465312,17.5,6.0,42282.04690568708,89.71772614288692,5.1875,1.0,31643.709886507204,62.37368962936512,17.285714285714285,6.0,49610.36907423827,62.45054235238221,44.6,5.0,142307.51515867125,72.40667599237378,38.125,4.0,196241.82897947507,68.41307660376171,10.428571428571429,2.0,38512.65051271108,64.03484015107,0.0,0.0,2879.75,NaN,56.0,2.0,96999.58478959557,35.26863530820404
11,0,57887.55914881825,2548439.1633313894,1781489.84434348,1869771.355906594,1.9833509499592242E8,339071.6655909735,672649.63123414,0.0,0.0,0.05,0.05,0.05,0.2252360898727809,23.32495398431698,32.48578543551579,14.144444444444444,174105.95942736696,1426.0139606693654,69.41649328591399,29.0,8268702.934014754,1.3478583257407798E7,2637.75,271247.3275801409,291633.6275801975,1708021.2866641,6.675791431724325E8,2.682423387207536E8,0.0,0.0,2639.0,NaN,0.0,0.0,2634.5,NaN,4.75,2.0,35764.18769939289,90.06394873477348,8.5,1.0,22109.925007274025,90.80995028687903,10.25,6.0,24295.004654434975,89.48771609166711,4.9375,1.0,32155.52952701546,66.62120888532412,32.857142857142854,6.0,112831.3222449044,62.03136634065569,34.6,5.0,131011.32679382386,73.38170229209543,35.0,4.0,170498.83326061477,71.45733318592522,19.571428571428573,2.0,85813.21469296941,65.64482452338231,0.0,0.0,2638.5,NaN,50.0,2.0,106354.75732594915,34.27240705094934
1,1,1007531.4175395491,3.714569434725431E7,2.1628576067303695E7,2.261364446809928E7,2.0433007923354027E8,4728283.881728136,5748339.613568067,0.0,NaN,NaN,NaN,NaN,NaN,90.75950397690225,34.667759373339074,186.1888888888889,1007531.4175395491,6454.751597989365,82.20302925163458,90.0,7.766417406539045E7,1.6834200164394984E8,468775.82683250075,468775.82683250075,468775.82683249965,2.2113026483444408E7,6.630072576380876E8,2.66966528812297E8,87.75,4.0,-35625.98484493948,242.47114363115313,164.33333333333334,3.0,942517.5848816233,120.14264401778071,136.5,16.0,655304.3725956688,96.07072408160732,144.25,4.0,716089.6194976176,97.80186384974272,166.625,16.0,952851.4519799091,109.73493525191391,165.875,16.0,538462.8971591193,68.27404771876219,281.57142857142856,7.0,1929329.010337805,56.877775878746014,262.4,5.0,1733768.48986521,73.06182783401991,251.5,8.0,1855867.5540163072,75.04313496001973,226.0,7.0,1320683.852939507,69.90889245581964,123.5,2.0,-66749.63545275571,70.98011395024884,354.0,2.0,2325073.5420282464,33.219479007514316
2,1,195524.86487054324,5167453.915097036,3375398.796535477,3562579.9292329825,2.2306424304597104E8,605044.0143477427,645235.7276002425,0.0,NaN,NaN,NaN,NaN,NaN,91.38600389075252,22.743085252676998,25.68888888888889,195524.86487054324,584.2445900465468,86.12171617133312,90.0,7317812.471022032,2.4915050309370898E7,218089.01065271694,218089.01065271694,218089.01065271662,3148512.127089765,6.968122232259787E8,2.714396656683921E8,18.5,4.0,49156.54202761763,249.9681316499642,22.666666666666668,3.0,162719.78944007956,116.99799466659614,16.875,16.0,167241.10759054904,96.21686482598854,17.25,4.0,168263.8844635118,99.54673994305996,23.3125,16.0,179947.7244181616,109.39151894165495,27.75,16.0,216552.34219179626,68.78413773271926,35.0,7.0,263501.4111524742,57.65584225497518,35.6,5.0,254714.19113777595,73.35825212168604,26.875,8.0,210781.201896247,76.91715986512854,34.57142857142857,7.0,235728.90268571913,70.18375696618837,31.0,2.0,146907.86009162565,69.93161290322581,36.0,2.0,235644.7444732827,34.26878795299131
