year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,771537.8490372929,4882.165522431441,4.501931942815666E7,1.3093602160518214E7,1.3934290719284395E7,2.128431902741881E8,2991432.6577602914,2278538.4456818607,0.0,NaN,NaN,NaN,NaN,NaN,128.7855860321332,15.54444748359676,314.0777777777778,771537.8490372929,4882.165522431441,75.77169267279405,90.0,5.874255130663698E7,1.2818095771999338E8,783216.293435246,783216.293435246,783216.2934352453,2.0353694064626623E7,6.543739719405214E8,2.687997323136451E8,114.5,4.0,58058.53749267142,254.64553782582772,32.666666666666664,3.0,-807206.4998381705,1572.8892068374007,279.25,16.0,417092.29508708307,103.17458356269663,352.25,4.0,831464.4015866613,67.37339184906381,294.1875,16.0,625654.9551247581,86.933285140311,362.875,16.0,876100.8869137831,54.909668101720655,410.0,7.0,1251922.8145974544,46.99719503907285,370.6,5.0,1303075.2494438826,54.84097409362098,396.875,8.0,1338534.2430909725,56.14660816146795,304.85714285714283,7.0,1055867.9452119514,54.79826787100643,300.0,2.0,247584.63318978372,81.43532477194219,344.5,2.0,1863504.5927754797,32.43109456514081
2,0,179576.4389822271,1049.5037201332718,1.0794538978477858E7,2913895.305715598,3151192.4169596643,2.2346570877233148E8,618584.4848552503,431497.7887751819,0.0,NaN,NaN,NaN,NaN,NaN,118.78940379220863,12.292469392503182,85.37777777777778,179576.4389822271,1049.5037201332718,71.38775197178565,90.0,1.3145131454694187E7,2.9307010963094655E7,98643.22851117025,98643.22851117025,98643.22851116919,4750286.668546406,6.905995858876395E8,2.7140685071269023E8,26.0,4.0,31370.300545693368,238.61388676019064,12.666666666666666,3.0,-282596.5674871334,1552.702211540257,104.3125,16.0,89534.80514226362,81.16461272804686,80.75,4.0,212323.2094178537,46.87478422191793,94.75,16.0,167093.23327524864,77.74895230477178,96.6875,16.0,230749.78853721314,59.36919999202966,101.28571428571429,7.0,301150.8299727864,40.96981557677636,62.8,5.0,274438.9210193488,50.587066109879395,92.0,8.0,301506.7992856988,45.86510917751421,61.42857142857143,7.0,258904.13469310696,41.00450587611279,110.0,2.0,45222.61289355425,71.12360010426718,39.0,2.0,220885.48095067393,31.268564001865535
3,0,184248.77685973846,1137.7796469375148,1.1878626373826103E7,2665991.0330372187,2850748.2006439455,2.1037188575985107E8,715384.8460248577,539070.9076013549,0.0,NaN,NaN,NaN,NaN,NaN,114.97362007354165,11.843646567704873,96.06666666666666,184248.77685973846,1137.7796469375148,65.35214644170289,90.0,1.3177504003339358E7,2.975989392071582E7,233402.82146926015,233402.82146926015,233402.82146926288,5082002.417961532,6.771142029648829E8,2.708857046512411E8,29.5,4.0,25964.476331237885,240.27226366628946,11.666666666666666,3.0,-228544.58577320757,1564.0400579225477,105.0,16.0,93540.75116861064,77.27365929369823,99.75,4.0,189648.00405404833,48.4347293751181,113.3125,16.0,164552.4227511316,72.52545429388242,110.6875,16.0,250045.48938352952,46.90363276353333,119.0,7.0,290473.6870270796,42.052579467641586,99.0,5.0,288609.85146584536,43.839808807977576,90.25,8.0,301343.3854714143,46.41608462908699,75.0,7.0,267453.12548547017,39.62283064988011,101.0,2.0,97018.30070784045,68.38248926020239,26.5,2.0,161017.25509926083,27.20657432600604
4,0,181461.2294758959,1103.3666069184924,1.2981348174215443E7,2290169.2725730934,2426617.8728807312,2.0196478626824734E8,794231.2892291723,672711.6710884202,0.0,NaN,NaN,NaN,NaN,NaN,59.19651037920453,11.56568770354814,95.4,189901.2866608213,1154.685983984469,57.61926385543713,86.0,1.3293182785179181E7,2.962469343800991E7,236993.18383470422,208157.79758601822,208157.79758602206,5381998.636161145,6.617986776970598E8,2.7030785763262236E8,27.25,3.0,29615.544558096328,239.61422742800133,0.0,0.0,0.0,NaN,96.5,16.0,92514.1033191082,78.88878928828002,100.75,4.0,152952.6798291716,45.28605573181075,116.625,16.0,153057.7991649491,68.82468650795823,112.6875,16.0,230962.31241948373,43.900694566140544,100.0,7.0,271000.072615325,39.983238179943406,97.0,5.0,261531.92505308863,44.606236030928684,92.75,8.0,273834.76224696194,46.418006353888444,97.28571428571429,7.0,275657.6450009456,41.23451978895882,87.5,2.0,124670.37289087687,72.59779267666642,39.0,2.0,201203.9122440589,26.888590498850483
5,0,96857.51611409812,1145.0350679677013,1.4379856188398475E7,2067493.618736943,2202828.8941829973,1.976311407819734E8,938310.3180942952,817978.9390250946,0.0,0.0,0.05,0.05053939235132605,0.05,2.79942517239,58.932797321346165,12.102543290322151,94.61111111111111,100864.92765022152,1212.3900719658013,54.23211735548002,85.0,2.2001977002202217E7,3.071915345247097E7,105771.54148346942,89582.52212990029,88012.92212990316,5845900.761753468,6.456863631651632E8,2.695937125759908E8,4.25,2.0,34017.86594102648,235.32300545723234,0.0,0.0,15001.5,NaN,52.1875,16.0,-10544.133485120525,81.25230913985682,141.75,4.0,70633.85354129726,45.84687606323543,92.125,16.0,25715.079828584,73.05917498666147,114.8125,16.0,90148.54596294832,48.48196887278584,147.14285714285714,7.0,234569.32750677242,40.74551042304203,126.4,5.0,214535.1649577321,46.230952808097,134.125,8.0,257659.22206130094,47.31512953449896,81.0,7.0,122939.77877824301,44.360922273206896,119.5,2.0,59321.643300610594,72.0035852535646,122.0,2.0,406648.2817807754,27.897498033767025
6,0,69556.29821116984,1059.994271268395,1.2189574228300465E7,1841468.8302690324,1945573.5601973434,1.9620455792566967E8,909896.3549371065,841125.7940824602,0.0,0.0,0.05,0.07814139421580392,0.05,0.7694195625695109,58.1823215327037,14.03965922209795,75.5,73576.7921310153,1135.7081477875663,52.97210619791955,84.0,2.0628678227215257E7,2.6888745066220716E7,1992.7352549704956,42920.948626832454,37183.54862682999,5063613.684590089,6.336332062544615E8,2.6893537646330637E8,2.75,2.0,2119.2625095266376,230.12482544352332,0.0,0.0,13172.166666666666,NaN,17.9375,15.0,-21827.031423224864,78.7415741242715,124.0,4.0,89596.4197940253,49.659795085460175,62.625,16.0,-11370.130032064713,74.43014274107564,89.625,16.0,20083.934419284764,49.63120532031765,139.0,7.0,244156.18821681006,40.763479709165615,116.4,5.0,227035.4935770727,47.36993883623399,129.5,8.0,262999.4800711551,48.2111060774341,70.28571428571429,7.0,14693.917365333298,43.718895878975545,123.0,2.0,30573.40532448265,69.64444070021702,118.0,2.0,475614.19209429086,29.105436275008074
7,0,50673.23121377712,969.0224043954613,9835858.092888983,1762147.246633529,1860123.333114986,1.9636733646872908E8,782219.7317965152,761887.8732508125,0.0,0.0,0.05,0.05,0.05,0.2931187261719269,50.98398782600021,14.273652437903685,67.88888888888889,57866.47154857066,1132.6235895531365,54.49572046344634,77.0,1.86964296659435E7,2.3257020475183517E7,20220.363768059528,36600.382599581964,28926.882599581935,4215691.822641546,6.260133121735686E8,2.6843366776060426E8,0.0,0.0,8065.5,NaN,0.0,0.0,8068.0,NaN,27.625,11.0,-22943.74894450255,87.64536589116375,130.75,4.0,37840.339782939816,48.36017843981823,54.75,15.0,-17333.57272072861,74.3218443760993,52.5,16.0,-3162.6367633072805,56.339716596472776,131.57142857142858,7.0,188486.7952001113,40.63063216999095,108.6,5.0,201293.1604803103,49.70902222234738,128.625,8.0,208243.5008494765,47.84508838626054,62.857142857142854,7.0,37971.06311741694,43.182347089688236,133.0,2.0,6295.249164741399,70.41434257884598,115.0,2.0,388796.7346076262,27.965338207811456
8,0,50615.32717259924,881.1590865117621,8501815.474734917,1809328.4752087283,1904862.9800593078,1.9720254986062652E8,606874.1008935414,679152.3943690282,0.0,0.0,0.05,0.05,0.05,0.6705852870434212,34.36295133802483,15.354175757223347,57.388888888888886,74418.76630230933,1367.3158238975618,52.6166377474314,58.0,1.686295056867743E7,2.1418330014211424E7,-58816.153776291525,171794.40419642325,174207.90419640794,3717071.182416855,6.217721478199294E8,2.6814056488971773E8,0.0,0.0,6193.0,NaN,0.0,0.0,6192.0,NaN,6.9375,2.0,8321.472579189853,83.88617348538538,112.75,4.0,46795.280468434445,56.405414487031,27.5625,6.0,-361.72712843275804,73.93138176661496,70.5,15.0,-13374.659691558278,55.83899780546169,120.85714285714286,7.0,172284.89827116072,40.88405159877455,105.2,5.0,238294.72658763165,51.51551537863371,117.875,8.0,165131.30322644155,46.69247567330908,43.57142857142857,7.0,-10456.842194984434,42.60068927602435,99.0,2.0,-27932.725579793565,71.79411914188861,108.0,2.0,411016.9756948373,29.499775567356814
9,0,57716.09742789749,724.7868540154667,6758728.2164061265,1717028.860631582,1811725.9393245396,1.9839040867276254E8,556448.45294686,595235.0880414343,0.0,0.0,0.05,0.05,0.05,0.7232350138507939,26.98098725096884,15.714482500937605,46.12222222222222,105622.9449676256,1418.0612361172173,51.89559820213436,46.0,1.3401745247723354E7,1.8596194016234186E7,32572.753185086534,118973.59449620498,114043.49449629078,3085038.8752379846,6.211671820742933E8,2.6792810594391245E8,0.0,0.0,5217.875,NaN,0.0,0.0,5215.833333333333,NaN,0.6875,1.0,10305.404131395611,76.95335171692042,115.75,4.0,74735.52408945689,56.57552204189704,20.3125,4.0,7110.211773555224,84.11545354740193,40.0625,8.0,6763.152009634679,58.08437005834682,109.71428571428571,7.0,108659.61200833048,40.88249961116777,99.2,5.0,254756.40703222752,53.02379967517972,106.375,8.0,149987.2329157815,47.29886985465327,38.42857142857143,6.0,48065.67528231156,45.4367417354274,53.0,1.0,4025.359277428681,67.95249213396967,110.5,2.0,446659.87872141856,26.81812050423578
10,0,66477.52734792554,647.6495546559896,5955235.307368492,1749195.5695964454,1841548.0000002414,1.9959220406845918E8,505375.8227018319,569638.5349894236,0.0,0.0,0.05,0.05,0.05,0.8822375525935143,21.406916528397446,17.033448252203115,38.022222222222226,153117.21517062903,1575.3637815956504,52.58733541196132,37.0,1.165461836837127E7,1.7637595829684667E7,15034.850000005797,247249.11271495977,247265.2127149452,2813329.2431726144,6.228204359291952E8,2.6780297075401363E8,0.0,0.0,4445.0,NaN,0.0,0.0,4445.5,NaN,0.0,0.0,4445.25,NaN,101.5,4.0,158709.41771995538,57.82429378963311,3.5,1.0,7227.174329350091,93.98386123423893,34.5625,5.0,34266.60034644847,64.68941271803776,98.85714285714286,7.0,139906.06746200612,43.949875600903695,101.0,5.0,285289.7572524774,55.48434813013584,90.625,8.0,141187.9868012283,48.40175170432232,27.428571428571427,4.0,40761.80894269089,43.90895496986141,50.5,1.0,34538.917883726244,73.80965183955668,96.0,2.0,346146.62217407767,28.08201618111209
11,0,71238.40542361005,563.7530375786472,5063877.0814788155,1766381.6634568917,1866580.2712766775,2.007376324363296E8,415513.1394486801,618261.2646734124,0.0,0.0,0.05,0.05,0.05,1.1627366757368038,17.464716104616652,17.93487924428358,31.433333333333334,200576.22293749623,1691.2591127359415,51.669847396519955,30.0,1.0144873344646476E7,1.6556329832771268E7,4134.75,429914.98768721893,463416.43768724415,2521226.645471775,6.264379120891602E8,2.6780210970145744E8,0.0,0.0,4129.0,NaN,0.0,0.0,4132.0,NaN,0.0,0.0,4130.65625,NaN,84.25,3.0,111775.85792816477,57.62416332578628,2.75,1.0,7823.857876394817,113.69791142529391,14.1875,2.0,21402.766310899708,59.68522444982739,94.28571428571429,7.0,151453.97936521983,46.0805823755888,94.8,5.0,373832.1161975811,56.22657954431239,90.5,8.0,155454.64359802962,49.83339752473309,26.857142857142858,2.0,64748.93963066399,50.640888595643766,0.0,0.0,9831.300000000221,NaN,87.5,2.0,377921.9033361017,31.118833686677725
1,1,672474.5042450337,5019.385543694643,4.12812869278099E7,1.259657969719609E7,1.3392981433580622E7,2.1337531254708365E8,2952704.3373463503,2190056.6398243057,0.0,NaN,NaN,NaN,NaN,NaN,133.19169144291308,16.571097866274823,302.9,672474.5042450337,5019.385543694643,81.66051219460628,90.0,6.039341039359506E7,1.2091611577564812E8,1086511.3617694254,1086511.3617694254,1086511.3617694261,1.894873814850622E7,6.583061986472632E8,2.6884093881546724E8,106.75,4.0,-76977.47109590548,265.3455338220589,353.6666666666667,3.0,708420.3289766703,82.16339704659542,264.0625,16.0,324731.0887416817,100.0088385545579,371.25,4.0,694276.0705880644,62.90837456204896,292.25,16.0,551372.4685364142,96.5137791697923,370.0625,16.0,870502.3013477054,54.989298476436986,415.57142857142856,7.0,1298536.7362001124,47.8725174650337,48.6,5.0,-571401.7447073817,984.4163998583429,387.5,8.0,1312684.491138629,55.37372918301085,288.14285714285717,7.0,1069149.6573716048,54.72009927449566,261.5,2.0,83850.88426744004,120.79497893626412,337.0,2.0,1798291.265016275,39.372819084164774
2,1,183227.1658544947,1080.1741335230317,1.0981184402157519E7,2986655.7413136945,3222332.849481881,2.2339266470442748E8,685883.2316511015,443066.42110976693,0.0,NaN,NaN,NaN,NaN,NaN,118.65862689327544,12.374703668161006,87.28888888888889,183227.1658544947,1080.1741335230317,71.24401219692591,90.0,1.352932954612932E7,3.001977447303387E7,179677.26066825498,179677.26066825498,179677.2606682573,4858470.066141467,6.903477200968453E8,2.713335799606313E8,28.25,4.0,39801.83545438391,239.13469583444476,125.33333333333333,3.0,209398.08643341076,56.6411881844655,87.4375,16.0,144564.4966071251,80.01663632883871,95.75,4.0,213458.96679167292,50.68588895186012,101.5625,16.0,165629.44471764928,76.47624724753595,109.5625,16.0,225529.30663561638,47.48021627376917,83.57142857142857,7.0,302314.2608808222,42.081944304065395,17.4,5.0,-186409.99169957987,985.242427642726,91.875,8.0,312908.26723744493,46.18284551425202,67.14285714285714,7.0,261564.38266455795,42.42663281304023,117.0,2.0,124215.11201921788,71.00184768374783,48.0,2.0,255419.29149802716,28.63114078949524
3,1,186076.76225627447,1163.541102501549,1.1723626676442407E7,2775279.215064462,2954914.1292503374,2.101974448440201E8,765754.6817334858,564420.731290261,0.0,NaN,NaN,NaN,NaN,NaN,116.80575535851122,12.7317567446978,91.38888888888889,186076.76225627447,1163.541102501549,67.91692686524894,90.0,1.3475903503125828E7,3.022281210619056E7,235194.00744973426,235194.00744973426,235194.0074497371,5090659.402855832,6.771093451115344E8,2.707580554562481E8,27.0,4.0,44068.40467873296,239.97310588346102,101.0,3.0,282234.1838576837,57.826452874402264,89.875,16.0,122824.3466884184,77.48257984333931,118.75,4.0,186966.85377716934,45.47729560996096,113.0625,16.0,176195.61723648326,72.471211767894,104.8125,16.0,249781.6106811326,44.54293958594807,118.0,7.0,292720.55894762295,41.131171135661496,16.2,5.0,-180585.77436340135,987.1511683300093,96.25,8.0,307076.3252733133,46.77499897745346,72.42857142857143,7.0,257488.35450741442,41.486649399590526,78.0,2.0,168091.17020187547,66.71436406485455,37.5,2.0,226956.67950649047,31.79000658403304
4,1,162459.75832716515,1075.1172343914654,1.1844997450981727E7,2181740.8722355734,2309105.644854399,2.019093529477783E8,739776.6276829205,657848.7047943695,0.0,NaN,NaN,NaN,NaN,NaN,57.193448378857184,12.30111252164148,87.4,176161.18372825137,1165.7897722317095,58.80319328464335,83.0,1.2952835194789637E7,2.757421344423455E7,166318.43676458322,237264.7585612752,237264.75856127497,4958016.72029574,6.629955738612703E8,2.702380058162635E8,14.25,2.0,26444.008729975885,240.25483775562435,109.0,3.0,250259.95349866617,60.25828561847629,95.0625,16.0,53797.31135125471,78.26267041864183,99.0,4.0,162562.5980398079,45.10128138373812,105.5625,16.0,118946.77398695692,72.77927554465522,107.125,16.0,220118.8974055915,45.941274572961255,98.0,7.0,270386.51972744154,41.026371571687555,0.0,0.0,0.0,NaN,86.375,8.0,303808.0544131063,47.6819724281713,78.85714285714286,7.0,253458.75492600343,40.49947600815852,79.5,2.0,153070.5881143191,69.05959801905624,37.0,2.0,212620.85193063773,31.866629546489065
5,1,68920.4389454611,1166.356470419724,1.3087678783974452E7,2000633.2213608036,2126350.568472888,1.9765270871106064E8,910835.9796490816,734743.1219097878,0.0,0.0,0.05,0.05877923163423373,0.05,1.9540336317500722,58.237310102538665,12.319221023092966,94.67777777777778,73501.09042278914,1264.7238835876526,56.085249998402425,83.0,2.241152682522242E7,2.861436633031424E7,4200.7481084329775,52306.684209555155,60811.38420956209,5372914.305906216,6.482495169502559E8,2.695564011400995E8,8.75,2.0,-14558.299088747004,240.45623224761454,123.33333333333333,3.0,64378.114717699355,59.329843571080346,52.0625,16.0,-70256.61824730146,79.81053530211359,133.5,4.0,61413.533109198645,48.25437863282251,102.875,16.0,19320.833193525697,75.42397867488677,110.0625,16.0,71975.19143570682,45.90899689002108,148.28571428571428,7.0,203800.1978419462,40.81859999475107,0.0,0.0,14606.7,NaN,139.0,8.0,277573.85687119304,47.816327317800734,97.57142857142857,7.0,105797.92882211377,43.43610383697029,131.5,2.0,86279.83036541688,69.90195945822185,123.0,2.0,426141.41019844986,29.512380667738846
6,1,41511.81078663574,1021.8177994706493,1.0434614423136676E7,1679443.8313280095,1777279.0455011826,1.9639766014346114E8,890616.6234629875,669816.4977510467,0.0,0.0,0.05,0.2286096432230538,0.05,0.2492758421485523,59.37275408600549,13.818723058205626,73.94444444444444,44206.43338309899,1107.9952042452824,54.784813423716464,83.0,1.9885730957062278E7,2.362179392786006E7,-59910.87812421133,-17697.159588825423,-21712.859588819847,4388089.936605799,6.37837115458643E8,2.689204948746361E8,2.0,2.0,-6214.456479081669,236.42345075518102,132.33333333333334,3.0,71819.40146084472,56.71631990618812,20.125,16.0,-24044.18413333044,83.46469355076181,144.0,4.0,22490.72578583262,47.786797303265445,80.875,16.0,-31487.001559337157,77.28039589898604,57.5625,16.0,-21187.47376995004,48.09261006778725,142.42857142857142,7.0,250642.22555280602,42.18053780475582,0.0,0.0,9561.3,NaN,133.625,8.0,285053.3890399585,45.59362731671164,89.85714285714286,7.0,14248.974867396822,44.63054819943327,105.0,2.0,-174705.35302568896,70.21061236040634,116.0,2.0,424968.4656899255,27.576889867057695
7,1,37796.17215087777,968.5250002179171,9216642.169815045,1726056.774567139,1813300.344434537,1.966223343304414E8,761455.7409963438,644386.2197748139,0.0,0.0,0.05,0.05,0.05,0.26740599242723845,47.024883915562654,15.357161737070566,63.06666666666667,46596.37133684285,1245.2464288516076,54.56559740415263,70.0,1.8686793395996384E7,2.208844888957533E7,-26520.227512864163,3350.0941578584025,-2993.405842141008,3958675.881017611,6.306634316818199E8,2.6844079129432565E8,2.75,1.0,181.57885196001735,240.2871820666829,129.66666666666666,3.0,74227.21208711527,54.85643524570145,17.6875,6.0,-11595.785910920873,85.87498646390605,130.25,4.0,51565.405214701605,50.901083745400655,53.75,14.0,-37739.0184305904,81.08729528463665,52.5625,16.0,-25163.66885926829,49.98015099914807,134.71428571428572,7.0,250254.65081015308,40.398792820562214,0.0,0.0,6996.4,NaN,116.5,8.0,170364.84210850898,47.16873865453929,65.85714285714286,7.0,2120.5705813806103,44.457994333275884,105.5,2.0,70564.93538220419,72.08901307060793,112.0,2.0,429152.16744513204,29.049407703066628
