year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,778289.187255005,6598.086323007221,4.012539257873926E7,1.792585842004655E7,1.8815479999097798E7,2.0804526803149748E8,3575013.227814596,4068165.9433823708,0.0,NaN,NaN,NaN,NaN,NaN,149.81088595877256,37.87166894583226,174.22222222222223,778289.187255005,6598.086323007221,130.19816043579547,90.0,7.938879457695593E7,1.4943482142990637E8,1531440.7720196573,1531440.7720196573,1531440.772019657,2.1013872171952907E7,6.597068968411567E8,2.6819693745191988E8,79.5,4.0,-348459.21925834694,259.8884298128688,155.66666666666666,3.0,1076268.0965255576,135.88634225798526,143.125,16.0,741022.4870050491,164.70913425083899,121.0,4.0,179256.8992608054,196.770036214483,138.125,16.0,414651.9424926411,136.0873990561558,191.625,16.0,1026971.4564117527,137.09574135865947,183.71428571428572,7.0,770401.1415371262,182.50100334350412,230.4,5.0,1015170.1516230522,106.97129242931337,229.5,8.0,1214217.6679699214,124.30666916034312,211.0,7.0,996175.4771210767,139.63836637760485,228.0,2.0,938695.4015751574,154.21694227457505,319.0,2.0,1769339.216590248,74.84558136473687
2,0,180970.57976566086,830.1744106365817,8010185.407699578,3059634.6822759947,3256498.862119296,2.2336128944229564E8,601232.9063762043,520120.26043217414,0.0,NaN,NaN,NaN,NaN,NaN,127.27299346547679,25.951961430111968,31.988888888888887,180970.57976566086,830.1744106365817,121.81147242218567,90.0,1.039812445076526E7,2.6685476629674733E7,165696.87407308188,165696.87407308188,165696.87407308206,3922486.5851145284,6.937128393089285E8,2.7143621474091417E8,25.5,4.0,23347.41940654238,241.5661549022734,17.0,3.0,157061.7877841567,134.0876913326646,26.5625,16.0,154937.1278793451,145.393160254286,22.0,4.0,144771.2449690564,169.07429613419487,28.625,16.0,182416.29880554084,117.85868814807496,29.25,16.0,185547.036218785,115.2719516094196,34.857142857142854,7.0,179577.6269860398,156.86502120682084,44.8,5.0,250256.57012740267,53.07838839120816,40.375,8.0,235933.68986284808,87.86468969094236,43.42857142857143,7.0,218556.1874901599,120.62396401165121,55.0,2.0,215245.39796674025,148.76972706434248,41.0,2.0,210552.44239459967,72.54596170949372
3,0,172788.43270093593,922.9847758162243,7985429.078105722,2901035.0845656223,3064572.2786833956,2.1006386691194335E8,696978.0807581103,655332.5018240643,0.0,NaN,NaN,NaN,NaN,NaN,126.24318949212031,28.84327424425701,32.0,172788.43270093593,922.9847758162243,122.17124627704953,90.0,1.0689896037031876E7,2.6240854980116095E7,196286.10574170086,196286.10574170086,196286.10574169943,3932017.423503145,6.842848375035876E8,2.709457527005209E8,25.75,4.0,22599.00900288362,238.48841069288076,21.0,3.0,167848.0872113898,134.66150575069682,23.5,16.0,133400.71676188934,146.26955041986935,25.25,4.0,131665.66172184114,148.2630489553237,23.75,16.0,152077.19005264973,119.67761940259659,32.0625,16.0,190569.18960037292,114.04002877883364,36.57142857142857,7.0,185806.84127899463,153.31649579387292,45.6,5.0,235742.059698068,52.1914732820225,43.0,8.0,243797.6919645514,87.36766379491604,46.57142857142857,7.0,221470.3146940076,121.31182297701834,53.5,2.0,205093.2686728143,150.13824300005126,41.5,2.0,211691.99627458898,74.26406332967176
4,0,130168.17807022904,932.5766275082894,6783903.370092791,2497089.8214252507,2611824.0818625246,2.014887976216342E8,594684.3146110073,869844.0956577355,0.0,NaN,NaN,NaN,NaN,NaN,103.1652260027846,33.09617368917431,28.177777777777777,158312.64900433263,1134.2148172398115,121.50589471638918,74.0,1.1235613290492257E7,2.2950749316812865E7,182697.20417709963,172365.7953045778,172365.79530457713,3447056.8670779327,6.751872826548295E8,2.705926188954234E8,15.25,2.0,18049.200383555974,204.42282796171645,22.666666666666668,3.0,157819.94128004718,136.12823402610115,19.1875,13.0,109714.59355204918,150.35366836327304,21.25,3.0,70411.40301964486,189.2094968607823,16.375,10.0,93808.5192569912,141.0151901562125,32.8125,15.0,161359.0029445982,108.88592055325226,33.42857142857143,6.0,108983.3979895313,156.70932952454544,45.2,5.0,127140.11896484773,50.545182708839775,37.5,7.0,190327.82827053688,92.84813848732666,40.714285714285715,6.0,203264.08774654288,100.29875594956819,53.0,2.0,179813.00696237647,152.85604903823545,38.5,2.0,173019.15087182308,75.77479960321703
5,0,92080.82639093407,800.3574234640049,7246356.514105508,2422120.4240422696,2570092.180034147,1.9681726257779047E8,784982.7478073838,987563.9362056663,535.9971031213573,142.92497767857142,0.05,0.05,0.05,2.2648853683793106,103.14865580693589,26.570331284308537,30.122222222222224,110712.23074573063,973.407677185952,94.05241138768743,74.0,1.5378972877634358E7,2.3666247252818212E7,148560.0561158521,77709.93639130925,50562.236391450955,3678292.724946572,6.65803351660083E8,2.7005872587521714E8,1.5,2.0,2726.670009682217,207.3145450521403,29.333333333333332,3.0,94376.71561771577,134.91527059847368,22.375,13.0,73496.4963735111,146.78352426345225,14.0,3.0,45041.563007719626,183.63851449689363,15.75,10.0,55083.9322322006,141.78147665798838,26.9375,15.0,82193.17158540832,110.46769855046959,32.142857142857146,6.0,117678.10572329881,163.51398579089366,40.4,5.0,113385.35501257805,51.126940043885924,55.625,7.0,166272.4744807072,90.41070774538879,55.714285714285715,6.0,140144.49143131424,100.26864561176774,23.0,2.0,60208.01748392242,152.96491670846217,106.0,2.0,309206.4536223541,76.4686203509983
6,0,76995.27325254229,727.9440631784772,6578551.776518922,2091116.1066870096,2209596.64877248,1.9517616263838613E8,728283.6971323878,968280.1343858332,533.7698760874358,58.112,0.05,0.05,0.05,1.0840121060833101,103.6756301738342,26.70809852672766,27.255555555555556,92296.32152336225,885.3373741359859,92.15015232220084,74.0,1.4166476082309399E7,2.109605067503863E7,21639.418645142927,47437.71638695651,69818.06638687645,3331197.0710735796,6.584122094468504E8,2.69608482692618E8,0.5,2.0,2817.472012480939,205.22258845034884,25.333333333333332,3.0,26051.279675479123,132.41990864986911,23.5,13.0,58633.721394035136,152.60623518862928,0.75,3.0,1449.0933915130154,178.56809969307469,13.25,10.0,39414.55340771369,140.1363587173365,25.8125,15.0,58620.101385809015,108.1392076614299,29.714285714285715,6.0,136769.30140021528,164.01528463399967,38.6,5.0,137769.96760707995,51.3609103304312,43.75,7.0,120634.41664910922,97.03860858608027,54.42857142857143,6.0,137916.3959426844,103.0329650897174,13.5,2.0,21069.840228490648,145.7508411495024,106.0,2.0,354397.86999995774,75.09938088626463
7,0,70090.34580985995,688.6850495663039,5778846.9751257785,2021234.999818541,2133513.3271361445,1.9512177431563917E8,676014.3745583298,917591.7476782921,541.3433333333334,0.05000000000000008,0.05,0.05,0.05,0.9335247214876132,103.33352351946463,27.89453396083139,24.68888888888889,84041.83544442427,837.5899251482074,93.61896424173037,74.0,1.3287533621772844E7,1.9595664744659986E7,41568.128814086085,65524.66264682438,67674.76264695593,3016581.977088974,6.535725298616081E8,2.6923403624534625E8,1.75,2.0,-4035.250099064695,210.80888682913007,16.0,3.0,9074.415738258976,130.29370623715627,24.1875,13.0,58165.83438061422,149.1763453337356,2.25,3.0,3107.294407839654,158.02103419307477,10.0625,10.0,40775.69763515435,142.58952016091197,21.375,15.0,44927.00251674153,108.13272133875421,30.857142857142858,6.0,135711.3106235954,166.62316931929317,39.8,5.0,137020.52870141357,53.23478351205557,28.25,7.0,80839.49013585446,97.22166596121073,53.714285714285715,6.0,125070.66107284764,103.04655788284197,19.5,2.0,43304.083358449745,156.99801626809355,106.0,2.0,369411.306365727,73.76831786805849
8,0,79290.14938240283,621.4301129104355,5497835.501267788,2027126.3522385384,2134489.8062223904,1.9577048775440472E8,598809.2744673812,841658.5647547864,540.6716666666666,0.05000000000000008,0.05,0.05,0.05,1.133944937312568,56.77838840925358,26.556842432069892,23.4,141159.849886046,1141.4022482028406,85.76903788452648,49.0,1.1892468728065673E7,1.902858217248189E7,71205.32612726372,19213.590204283595,14137.790204283338,2877965.3099535075,6.50873722844221E8,2.6896812988764846E8,0.0,0.0,5344.6750000000175,NaN,8.666666666666666,3.0,27914.240644591006,129.89198686440986,16.0625,9.0,50533.134095069734,112.90962751563411,1.0,1.0,7974.91275664189,118.29335852549399,9.375,7.0,46354.43052712973,143.4330063193414,22.8125,9.0,67362.87170373474,103.67340424916226,28.857142857142858,2.0,146782.286953296,56.30524650393472,48.6,3.0,147510.54728502297,64.56387190053015,28.0,7.0,83448.19820477744,87.9046749165466,52.857142857142854,5.0,154322.22651364276,93.5513822747411,30.0,1.0,76014.08483498322,108.45054653215972,102.5,2.0,353093.6521195476,75.48250828219497
9,0,86779.22837178408,554.5392804187234,4819275.791670584,2045270.4929049267,2146667.3222820805,1.9665334822905862E8,545133.5880859465,763237.9085586264,540.6716666666666,0.05000000000000008,0.05,0.05,0.05,1.6046042798334776,46.117865859382285,26.00757438128458,21.322222222222223,180593.42032048968,1188.2984580401217,85.07254035928293,42.0,1.0253781204200484E7,1.8063911757662114E7,70344.36808926484,162038.32199023315,185036.07199026024,2622500.128792642,6.50637499999887E8,2.6878588970096725E8,0.0,0.0,4690.6750000000175,NaN,15.666666666666666,1.0,52797.4773515771,135.50420176024437,13.6875,9.0,60048.2429235622,108.26979389595927,0.0,0.0,4691.800000000021,NaN,9.1875,4.0,52309.95128787973,126.74305241110345,19.125,9.0,74778.43706321444,105.4108006707401,29.142857142857142,2.0,161574.20450144805,54.51899952598542,46.8,3.0,171687.65100517924,62.15738564162876,24.5,6.0,73907.3677511522,96.64354146533537,47.714285714285715,5.0,168196.03686725473,89.79162396167277,16.0,1.0,64295.51946973812,108.38573810146669,100.0,2.0,366671.097727912,76.14545108037646
10,0,95410.25369492479,523.9468504637068,4607637.2404122325,2117280.671406884,2240058.90574925,1.9747095538761035E8,490859.301192396,726617.9147883952,540.6716666666666,0.05000000000000008,0.05,0.05,0.05,2.0132274943017263,45.897727376818914,25.284298413798183,20.72222222222222,204236.22274495685,1150.1272327252102,85.08326886244878,41.0,9428579.038863549,1.8015501871407215E7,56477.005821506726,482117.5901370016,379646.09013687837,2552692.4966955893,6.520071485585132E8,2.686889148092277E8,0.0,0.0,4350.8000000000175,NaN,14.333333333333334,1.0,99108.32021096388,134.7981713203649,9.5,8.0,67815.46451515694,110.57150363866486,0.0,0.0,4353.175000000021,NaN,9.125,4.0,53268.24444226029,129.10931646024463,26.0625,9.0,104749.38856007106,107.31986257681753,29.142857142857142,2.0,162735.13380696173,55.59007524645385,35.2,3.0,160604.36414088326,65.21264770917966,16.875,6.0,49670.63566473763,99.7175604464527,47.142857142857146,5.0,194721.51137501447,91.7329832653324,31.0,1.0,87901.29026305384,107.65207874841427,100.0,2.0,381533.20440413407,78.83439153872152
