year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,2024672.279832197,5194.151167454275,7.423026937816796E7,2.81813155573406E7,2.9846721452148613E7,1.9728320126096743E8,5566270.240561796,3818007.666084245,0.0,NaN,NaN,NaN,NaN,NaN,75.53098438280928,17.994980563202894,288.64444444444445,2024672.279832197,5194.151167454275,67.44156620142824,90.0,6.249645716856488E7,2.4471696235346255E8,1907085.8585106907,1907085.8585106907,1907085.8585106959,3.590665375864286E7,6.230703220400656E8,2.6596077534798068E8,113.75,4.0,969816.3710118091,235.56595297067773,304.3333333333333,3.0,2029785.057866048,59.48407718503077,218.1875,16.0,1871762.9211882122,96.35335089183822,307.25,4.0,2068400.5156982192,53.06591215167642,239.9375,16.0,1975687.7790761841,85.59145649747295,309.1875,16.0,1920108.4368213047,62.24203660614184,383.7142857142857,7.0,2365668.4165011286,45.328154048447644,330.6,5.0,2370448.578836343,56.1698824575863,375.25,8.0,2437499.4796106704,50.3833248206351,321.42857142857144,7.0,2033423.6109075935,53.19795593312029,345.0,2.0,1732369.1816635244,66.71238025578808,411.5,2.0,3043357.4924165327,25.397928622757263
2,0,245464.98928720702,415.68651702196934,9135464.606761,3057545.3944698866,3313631.230491604,2.2332139276077485E8,397026.92317471764,243475.00747345205,0.0,NaN,NaN,NaN,NaN,NaN,75.1677040011961,12.408552746924457,33.5,245464.98928720702,415.68651702196934,52.91576408702888,90.0,5206579.981589163,2.729842901743768E7,287824.91735969495,287824.91735969495,287824.91735969303,4131951.6922864793,6.923378911983845E8,2.716537567610159E8,11.0,4.0,108056.34026126299,241.78029325998205,34.333333333333336,3.0,254413.5853387861,57.83219581006043,13.4375,16.0,169790.7295575342,108.07358127477919,13.75,4.0,177134.95472596784,85.13289710338141,12.25,16.0,165402.31539196143,107.17976107238799,50.5625,16.0,288114.28750056,39.826070179699194,54.285714285714285,7.0,351526.1969128222,35.12428641808804,54.4,5.0,340702.31763444224,43.45695464791255,51.5,8.0,320231.3764594444,40.5943783282221,49.857142857142854,7.0,334013.14967343013,35.11003193050263,50.0,2.0,251873.3188329225,62.73521905048734,40.0,2.0,323520.5585325407,21.761472193851205
3,0,253118.1647298797,511.70209519156384,9529067.12441436,3177719.491029426,3390225.094656092,2.0973289396687308E8,522402.73956925597,327528.0976942461,0.0,NaN,NaN,NaN,NaN,NaN,78.29189389229883,14.427690653897477,35.46666666666667,253118.1647298797,511.70209519156384,59.37622361207762,90.0,5926470.650429304,2.8707105476118382E7,330619.1936413394,330619.1936413394,330619.19364133937,4362611.122732439,6.812532129972064E8,2.7135428551474893E8,13.5,4.0,116397.43415769102,241.6151268511835,54.333333333333336,3.0,337426.4091667162,51.52597279979026,12.9375,16.0,167122.04226731602,111.56659058660159,19.0,4.0,197882.14365687873,67.9541720767398,14.0625,16.0,174036.53334878423,103.2335913262281,55.0625,16.0,332972.50111899956,53.92855369673503,50.142857142857146,7.0,282443.19343212154,34.067620603360524,46.0,5.0,310422.41599371063,58.74260680229685,52.0,8.0,318551.53466146387,44.95068741895001,57.0,7.0,349665.2569351654,41.84365473745641,51.0,2.0,261356.9368220676,63.36487905504708,44.0,2.0,338571.33784687193,21.16417379194922
4,0,244217.05380397465,601.3526834774069,1.1045136697105635E7,2801852.3772055185,2970970.864681299,2.0084448930806515E8,740709.3413448151,410611.9162660301,0.0,NaN,NaN,NaN,NaN,NaN,73.0450150381088,15.379864027555163,39.1,244217.05380397465,601.3526834774069,62.37811711279463,90.0,7245051.232926892,2.9224586075284537E7,272568.90829925844,272568.90829925844,272568.9082992552,4823132.677629109,6.676124543291204E8,2.7084496777433914E8,13.75,4.0,100080.2324688455,234.87457224721066,56.333333333333336,3.0,332481.70369168295,55.63970590900853,22.8125,16.0,194367.3686974059,87.29382791945984,40.0,4.0,276938.28259030124,54.142183698604654,20.75,16.0,190742.84702006428,87.57795132637071,52.25,16.0,272667.4006878154,61.18926927575727,51.0,7.0,288696.4090418537,45.53622037018335,54.0,5.0,310148.64079931995,52.64158438198742,49.0,8.0,260716.83273220848,41.918481015121095,55.57142857142857,7.0,304741.5061307289,56.64277230651396,48.0,2.0,221453.26975889294,58.94650981144036,49.0,2.0,358061.99849069095,21.193348591715736
5,0,242717.25396439034,873.5635693031023,1.913168352708262E7,2465787.5498842252,2657301.434263708,1.961193715958243E8,1120653.0278190551,668818.4175442953,0.0,0.0,0.21604084389252126,0.36506095484650464,0.05,5.5959384951131055,69.61185849811719,14.260968844055725,61.25555555555555,242717.25396439034,873.5635693031023,56.93101964028217,90.0,1.6785514872655753E7,3.863006772944612E7,208955.32360139745,208955.32360139745,189742.62360153047,7529586.635691426,6.458833501285836E8,2.699344602273615E8,4.5,4.0,75737.10611216031,240.54587263923182,51.0,3.0,272206.71339607984,61.94147936308598,33.875,16.0,120733.86268137398,78.50468758528378,47.25,4.0,220330.3335188917,45.279911715712636,42.625,16.0,169238.55271470902,71.66354360141754,50.5,16.0,210642.20308297072,62.46352156600187,123.71428571428571,7.0,410186.6624378357,39.812163576559676,80.8,5.0,374849.43166904896,44.472789592824064,122.125,8.0,454961.72677901696,52.867566071482145,55.42857142857143,7.0,222295.24316331232,59.98975207131133,110.5,2.0,323337.3564681299,67.66195362203317,132.5,2.0,622920.0188480741,27.294925981559036
6,0,217469.59798259768,798.1561466163396,1.692458541030442E7,2282709.1879898855,2519646.824306617,1.9418979522724584E8,1045106.5814067599,797649.4385921257,0.0,0.0,0.16326367069810271,0.06894820762048787,0.05,4.559496470345302,78.26704587049561,14.508998827604639,55.01111111111111,217469.59798259768,798.1561466163396,59.931676380330714,90.0,1.5533020701922871E7,3.510528452035989E7,239073.28642283357,239073.28642283357,204767.3864238348,6787052.843533672,6.283452165629188E8,2.691063552829343E8,1.0,4.0,5795.506636658625,243.03284444574643,77.0,3.0,249104.1396073294,58.52635462987289,23.75,16.0,122706.30489557746,87.26748107703371,22.0,4.0,50703.591328777606,84.08062230586285,18.75,16.0,82449.6420393768,88.96012686969931,44.875,16.0,179252.33153867637,64.3470324066088,119.0,7.0,492375.6458625569,52.97975882164285,90.8,5.0,291990.89486060746,55.05405542663705,121.0,8.0,499303.3294866964,54.69317913652519,73.0,7.0,217720.56782203587,59.06669230008604,105.0,2.0,346387.44070569193,76.90661094729586,127.0,2.0,665296.5323859132,29.926430911499672
7,0,200593.79554396734,785.6565831775572,1.624862437838669E7,2151325.608138014,2372913.018209607,1.9390491490783864E8,888938.9189925827,699453.4404436941,0.0,0.0,0.11116628537987452,0.05521697818898481,0.05000000000000001,4.268217764417687,80.57745821011642,14.987090395502362,52.422222222222224,200593.79554396734,785.6565831775572,59.15002564635578,90.0,1.51583190511152E7,3.3211760650094803E7,221811.10116936732,221811.10116936732,208465.45116943045,6442843.143773198,6.140469938435662E8,2.6846096442685956E8,1.0,4.0,5931.534409778018,243.03284444574643,68.0,3.0,246837.84147111452,61.84673554379066,10.8125,16.0,70670.7693501077,104.48762115300117,22.75,4.0,112303.93536666292,83.14206870139196,18.25,16.0,64328.46883457285,89.17283423379276,45.5625,16.0,161696.23785118895,56.56657898178749,115.0,7.0,446743.0733455375,52.164223409293626,100.4,5.0,377217.1351194081,48.144608946915056,118.0,8.0,481853.6273470711,58.299837859642615,71.71428571428571,7.0,201731.6710588189,65.80689415767883,112.0,2.0,301924.14866273315,76.30096167315857,124.0,2.0,604386.1881672367,36.28866793320428
8,0,184518.6956535358,759.7516290710076,1.4741461377568943E7,2155265.696288828,2356377.469483614,1.943138012113367E8,722348.3339844568,729653.0483494768,0.0,0.0,0.05101812163142856,0.05,0.05,4.6149528794789205,69.87162554774744,15.872248518196539,47.86666666666667,192405.98963742118,795.0889141440778,60.57438302075387,86.0,1.4539534793296283E7,3.1146217402113955E7,131857.75263220933,124192.6663922437,63925.91639234326,5915416.76744002,6.040888828402561E8,2.6803485143857276E8,0.0,0.0,14941.875,NaN,77.0,3.0,218777.49692748068,65.087548473681,14.1875,16.0,82145.72487822408,97.97925797704187,27.25,4.0,105219.3989815989,83.09092606222019,11.5,16.0,73353.75144410378,91.11922532416042,23.75,16.0,106460.41327354751,57.27425145203567,107.0,7.0,385030.22308807046,49.03057436227882,90.4,5.0,356398.8883879047,50.37120018430333,114.0,8.0,443746.809349739,58.063459274998884,85.14285714285714,7.0,208130.3654222553,73.30477062147388,111.0,2.0,332195.0781448444,77.06376564441115,123.0,2.0,564931.7979879864,46.00878613946945
9,0,175588.25392795049,663.8587283129966,1.1896260976852776E7,2263515.3548852424,2442537.1968205483,1.9487550298328167E8,723364.9502938692,692492.511015515,0.0,0.0,0.05000000000000001,0.05,0.05,4.800756763114321,54.901007041428336,16.34225534687355,40.62222222222222,219448.87117627528,841.5110640587282,61.76471604763891,71.0,1.2275157413691975E7,2.807810026720832E7,114100.25739536667,9448.558994235005,-2239.4410057648674,5012973.656859234,5.991892377791775E8,2.6762658072314775E8,0.0,0.0,11688.0,NaN,60.666666666666664,3.0,224229.7996703852,59.86751365270219,8.0,15.0,75003.47178446045,100.92526155566328,25.75,1.0,96174.25968355045,47.27123870919786,7.1875,5.0,65105.87642064746,77.67213023162476,22.875,16.0,97497.09116100182,56.89363617950093,99.85714285714286,7.0,360295.8414271806,51.188413091384525,50.6,5.0,345131.12640898733,56.60228744199107,111.0,8.0,387492.3318857702,58.64882138491504,66.85714285714286,7.0,267816.1085321486,70.98141318554158,110.0,2.0,303945.7849423054,85.4748994719219,117.0,2.0,533415.9395907093,61.669254762277944
10,0,173643.52010710217,609.1715737117958,1.0711331467252394E7,2289528.5942726857,2464677.2740449803,1.9542857073788226E8,677244.0968326232,644783.2102191852,0.0,0.0,0.05,0.05,0.05,4.699745183847336,49.55391745419177,16.28317244848875,37.41111111111111,223836.99724114776,794.571617884951,58.1013532953879,69.0,1.0962188138540586E7,2.6590104948180042E7,141091.16745173978,12082.204756202176,2354.104756198092,4611278.570153696,5.972622843504329E8,2.6729910776049414E8,0.0,0.0,8726.875,NaN,34.333333333333336,3.0,238865.5171355613,59.60081094748645,6.875,13.0,64667.2159554729,93.58006914559708,25.25,1.0,105800.66519788443,48.65759926197004,7.625,5.0,56411.6749414682,71.10266081180376,24.9375,16.0,105297.43802127976,55.97419609581171,89.14285714285714,7.0,413060.8085135501,50.72353737471706,44.2,5.0,249543.2952583378,52.04344780238465,108.0,8.0,420373.17752154404,56.66654686613848,52.714285714285715,7.0,250917.01594894318,62.58371634475594,110.0,2.0,326676.8706726462,78.48714328852557,117.0,2.0,459644.21285132645,50.53826086683427
