year,run,average_profits,hours_out,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,1908241.9036432363,5543.139040078625,6.037720812507883E7,3.0076705889481127E7,3.1628499670465603E7,1.9552092981709507E8,5659772.940763659,4732749.0184933655,0.0,NaN,NaN,NaN,NaN,NaN,85.70951777155268,21.294285197501974,260.31111111111113,1908241.9036432363,5543.139040078625,77.49150156471671,90.0,6.669543896400124E7,2.3843721029189253E8,1887180.4682415654,1887180.4682415654,1887180.4682415694,3.2367123751817547E7,6.37884491436693E8,2.6590043223486537E8,114.0,4.0,780056.0671640446,234.2070280036138,229.33333333333334,3.0,1930664.7084875908,91.20225589060709,196.625,16.0,1743843.229146148,111.80531973672402,268.75,4.0,1935769.3166162157,66.26393556589704,217.25,16.0,1809537.7652902366,96.63258577530786,269.5,16.0,1867950.4576345356,73.05742049866838,320.0,7.0,2327385.945765006,58.33093967926665,332.0,5.0,2157013.701189925,54.505330335085816,355.5,8.0,2395115.5795372315,53.24985516131236,308.14285714285717,7.0,1991185.9919713042,56.71637127848053,324.0,2.0,1603603.870505534,79.01280239143185,363.0,2.0,2480983.993380002,36.279243432825496
2,0,224515.72666902098,501.1202951330221,6928431.671872515,3336724.8573947847,3584604.6807738626,2.2304963409373188E8,527687.6962064595,456321.97915648087,0.0,NaN,NaN,NaN,NaN,NaN,83.17973585571212,17.070714065848595,29.355555555555554,224515.72666902098,501.1202951330221,70.39951508811784,90.0,6276659.254403581,2.6483074654615425E7,234656.4123269528,234656.4123269528,234656.41232695171,3620708.917755919,6.947331629781486E8,2.7151261246370137E8,12.0,4.0,95614.54799621113,240.2666018683756,16.333333333333332,3.0,167893.66073229746,97.87332232428412,17.4375,16.0,170778.379149478,105.2431900991721,28.25,4.0,231092.19769349304,60.47914117155794,19.0625,16.0,181431.2245985584,101.52968802938561,30.0,16.0,230881.01639230666,66.01225671561765,35.714285714285715,7.0,267688.93385390023,55.076612144238474,53.4,5.0,327982.09734300495,43.31907737843117,49.5,8.0,330506.37614728604,51.96970873193943,39.285714285714285,7.0,272465.911558481,54.22615033267747,50.5,2.0,245373.86697534658,76.77265262133893,39.5,2.0,255332.18264000793,36.996715522969225
3,0,238484.37023384694,592.2157213076098,8026296.078904458,3361218.0575276124,3569914.5261543677,2.0928161810596994E8,640980.3951934394,569977.6227449687,0.0,NaN,NaN,NaN,NaN,NaN,83.74101278261142,17.994400714951006,32.91111111111111,238484.37023384694,592.2157213076098,72.29552657584105,90.0,6858969.954746487,2.832256327579264E7,236686.81892284122,236686.81892284122,236686.81892284198,4052228.5983723872,6.851852801042957E8,2.710819584121336E8,15.5,4.0,105611.91619119671,238.3991123985419,21.0,3.0,188196.7562441361,93.54162741468309,18.75,16.0,175891.59195235517,108.41131484010111,31.0,4.0,243611.11253713846,59.880147530158965,21.9375,16.0,192695.96101737904,96.30884203171784,34.9375,16.0,250001.2714395605,68.94015445950474,39.714285714285715,7.0,284363.76317120006,57.917799369103285,55.4,5.0,343400.518548805,51.2165006776515,53.75,8.0,342250.1363803859,52.366987137415755,49.42857142857143,7.0,315060.32643471175,54.66256645236927,51.0,2.0,243872.26163626998,77.0978451283762,35.0,2.0,232986.45627536392,33.553797840176365
4,0,240851.93373949904,697.6703052988867,9381730.398918247,3282018.470550063,3470364.111266862,1.9991098525790456E8,798479.5403930225,704338.0610777839,0.0,NaN,NaN,NaN,NaN,NaN,84.60606509178272,18.889990215673826,36.93333333333333,240851.93373949904,697.6703052988867,73.29987212247937,90.0,8405478.647628557,3.0082152684183404E7,255339.0290817956,255339.0290817956,255339.02908179397,4556388.802747559,6.732207961510063E8,2.705077286070322E8,15.75,4.0,85687.14145494183,235.95436636894476,25.666666666666668,3.0,198172.6459563106,90.94656353537943,21.0,16.0,172837.11589856457,108.10546588218405,34.0,4.0,241244.4803875438,63.31626008936625,25.125,16.0,194919.5749372366,98.32220198039954,42.1875,16.0,265795.1287548252,71.23872330190059,49.0,7.0,315895.21958198014,57.65071075350891,54.0,5.0,307470.7495138872,52.52180640832406,54.75,8.0,329529.86636414716,52.44079246398375,58.42857142857143,7.0,334851.6817363734,55.008925055771726,51.0,2.0,231345.50947367167,80.0002703174506,36.5,2.0,223044.24560379284,35.60402006798016
5,0,214711.76065793575,995.5459431926271,1.9061414817500774E7,2425370.2869923613,2631504.496046259,1.9522710453235203E8,1107282.1651628702,744107.28956724,541.3433333333332,0.049999999999999996,0.20808248800408452,0.09101298715972782,0.05,4.541742217009299,87.20289856352147,16.326372975097748,60.977777777777774,214711.76065793575,995.5459431926271,71.15234918441202,90.0,1.912952932143989E7,3.845358778065408E7,181154.45390191674,181154.45390191674,166996.1039021545,7518357.177204572,6.512621413979752E8,2.6960013578766507E8,1.5,4.0,67121.23925143422,229.68802994009985,41.666666666666664,3.0,152087.27339955652,93.00858800563468,29.1875,16.0,123256.43651483144,115.40661632641122,47.5,4.0,160956.3549709787,65.31328704789183,42.625,16.0,146031.16023465127,89.53441786391842,58.125,16.0,214944.9516663352,83.44123153493723,100.28571428571429,7.0,327577.8438016999,56.81591635815263,90.4,5.0,322108.1989423364,53.38962325121023,120.5,8.0,382981.22890129127,52.27173091015051,80.0,7.0,280107.3842192817,64.6573477976362,85.0,2.0,252430.5279034495,80.5274343124281,120.0,2.0,387358.50479851454,39.31195294557881
6,0,174636.6023954431,845.517979805221,1.524980879231865E7,2178057.256501849,2363711.0301960725,1.9347260912150142E8,811835.5300487904,833922.0503052792,301.57949214665564,128.3157965367965,0.05,0.05610086798526841,0.05,4.405514187244907,92.62065843893545,17.00103176552053,49.733333333333334,174636.6023954431,845.517979805221,71.01402387630304,90.0,1.645466995490956E7,3.2171964170499515E7,190635.030989883,190635.030989883,213112.5809898079,6133189.462186775,6.352258881347754E8,2.69022529297374E8,1.0,4.0,6750.882016433112,239.79803096018875,32.666666666666664,3.0,137246.05016594985,87.70517612186127,12.5,16.0,69056.67741358341,114.06166203550404,21.25,4.0,94916.5562104471,79.5257102931734,12.625,16.0,70445.96649029444,97.76730001601588,49.8125,16.0,175855.32678954685,90.33838402043675,88.71428571428571,7.0,306539.93201642524,60.23055145292833,101.8,5.0,256798.36856559926,66.39761945325402,112.75,8.0,412846.31054998847,55.7027660580981,98.0,7.0,254653.40574087654,72.60967255898495,65.5,2.0,165038.84150591795,81.42112451286093,120.5,2.0,503982.70327443094,45.2185930668403
7,0,163447.13485677307,783.5393701327484,1.3182507512866765E7,2216852.1119864495,2392318.008044838,1.9318706144280836E8,807303.038490918,851289.5322046828,264.8237095524865,135.42636363636362,0.05000000000000001,0.05,0.05,4.195861367879333,93.89282017617184,17.598837861728814,44.522222222222226,163447.13485677307,783.5393701327484,72.3618278629013,90.0,1.511762795396212E7,2.9827870091072153E7,206243.92272739112,206243.92272739112,143303.07272742188,5486986.619255869,6.237944286307672E8,2.684761091410549E8,1.0,4.0,6229.485805354547,239.79803096018875,28.333333333333332,3.0,124652.61999686451,88.28863718397285,11.1875,16.0,71052.71877181521,108.95128766477625,14.25,4.0,89193.19938244822,84.39916040618134,10.375,16.0,66887.73042816488,96.01794508348432,41.1875,16.0,165922.69173013853,91.88123884618577,81.42857142857143,7.0,289326.8034919322,65.69359298334474,84.2,5.0,281142.4881246914,72.46375986198572,108.0,8.0,331305.48949838884,58.86922426853259,78.42857142857143,7.0,237822.81821186768,86.38965927705756,108.0,2.0,229161.33429611963,76.7558186548248,118.5,2.0,444128.45217823354,43.8622983681352
8,0,153953.62688699958,665.0957301503545,1.0540157664716205E7,2267245.9840498525,2452949.629539226,1.9352716316432855E8,707308.8683991961,806259.1921246912,405.1565539012902,125.58699999999999,0.05,0.05,0.05,4.108793201027579,87.8382860408307,17.704411627782285,37.56666666666667,160671.8804631391,696.0304152736268,71.60017747326431,86.0,1.2728075121845614E7,2.6583901541675117E7,145610.85777394427,70120.75847500446,54588.95847499721,4613896.654654697,6.17572947711024E8,2.6806761555158263E8,0.0,0.0,9511.175000000047,NaN,17.0,3.0,102847.29399265302,89.44534587699572,7.8125,16.0,49925.476791480905,114.87455495875629,16.25,4.0,97312.29453918478,80.75676551746614,11.0,16.0,70349.90227824432,96.51023317735972,25.8125,16.0,133102.03805377107,97.71966490935829,82.14285714285714,7.0,299215.1142652078,66.64884361772442,60.6,5.0,282593.5518306365,74.40500447496078,105.5,8.0,344107.49888346007,61.19282194252273,54.142857142857146,7.0,197032.0326649725,113.44197649953104,108.0,2.0,291130.64079177193,78.36413828541023,117.0,2.0,422066.4627018273,44.73988996986357
9,0,151730.319835003,592.7051381644002,8889511.808592094,2315511.847224186,2515363.4855055115,1.94027871387593E8,645006.233326842,763344.790760335,544.0300000000001,0.05000000000000008,0.05,0.05,0.05,4.407618350149467,84.33225290392878,17.90049074993155,33.111111111111114,162066.73196607467,635.0412194618574,68.70972611815313,84.0,1.0959407266588405E7,2.461513605173853E7,112472.0711068951,186885.35934699466,158837.55934701939,4068672.025572497,6.15108507182348E8,2.677531945834045E8,0.0,0.0,7019.300000000047,NaN,11.333333333333334,3.0,73091.21938240482,90.85822296248209,6.0,16.0,43216.12397247969,125.15144008434847,17.25,4.0,107866.98629518796,75.4469304172298,10.1875,15.0,66835.77141260807,97.66013110921108,24.0,15.0,133525.6498593585,82.82018766783709,73.42857142857143,7.0,295862.8083514996,62.60339745130026,47.0,5.0,254256.52418988346,68.82968220966404,102.375,8.0,374535.90382263553,60.63148916751534,46.42857142857143,7.0,178015.92761397656,112.90328803756745,55.0,2.0,237694.31696131313,80.32184802012767,115.5,2.0,509779.81034985185,43.76086447057708
10,0,150124.8408916015,557.6443085656489,8001433.520860104,2349916.5575583205,2543403.68790932,1.9451681306433904E8,596646.507677493,726595.4131893791,291.8583802892517,40.87122023809524,0.05,0.05,0.05,4.390781155410023,80.12623272144877,18.144608738578597,30.733333333333334,166152.38617585352,619.6047872951655,68.60758854155989,81.0,1.003490858864253E7,2.3546144268885765E7,94075.61591687123,199006.17702139122,221832.17702123369,3766171.709181608,6.151782026289915E8,2.6752013862446502E8,0.0,0.0,5873.175000000047,NaN,11.333333333333334,3.0,70027.50683573307,87.3882031532783,5.375,15.0,41840.69698776826,113.16294576954384,22.25,4.0,119047.47553181916,69.7716677913929,9.0625,14.0,68968.2218068061,100.28041812252243,20.1875,15.0,113969.27498421699,85.54312166946028,73.85714285714286,7.0,343733.86293671886,65.81981669300103,40.8,5.0,238920.04424342065,67.73385174043014,100.375,8.0,411249.0617797193,60.953162695450494,38.714285714285715,6.0,167381.90915901653,121.93926403819107,33.5,2.0,92940.26738021127,86.7541339952862,113.5,2.0,478367.9011317836,46.70783483406332
