"Time (year)";"smallpelagic2"
"0";"0.0136"
"0.041666668";"0.0078"
"0.083333336";"0.007900001"
"0.125";"0.0096"
"0.16666667";"0.0114"
"0.20833333";"0.0188"
"0.25";"0.0244"
"0.29166666";"0.032899997"
"0.33333334";"0.0356"
"0.375";"0.0406"
"0.41666666";"0.0428"
"0.45833334";"0.0466"
"0.5";"0.0483"
"0.5416667";"0.0591"
"0.5833333";"0.0682"
"0.625";"0.0844"
"0.6666667";"0.0914"
"0.7083333";"0.0905"
"0.75";"0.0827"
"0.7916667";"0.0605"
"0.8333333";"0.0462"
"0.875";"0.0297"
"0.9166667";"0.0275"
"0.9583333";"0.0194"
