year,species_code,catches_in_tonnes
2017,BET,49656.758107
2018,BET,36137.765884199995
2019,BET,35303.4573564
2020,BET,35127.9303564
2021,BET,34852.114356399994
2022,BET,34615.0963564
2023,BET,34484.916356400005
2024,BET,34412.4263564
2025,BET,34372.242356400006
2026,BET,34350.175356399996
2027,BET,34338.299356400006
2017,YFT,165320.22332
2018,YFT,287059.39088
2019,YFT,317984.568008
2020,YFT,257389.20900799998
2021,YFT,211868.193308
2022,YFT,205406.378908
2023,YFT,204486.82910799998
2024,YFT,204317.09340800002
2025,YFT,204281.85490799998
2026,YFT,204274.51270800002
2027,YFT,204272.730108
2017,SKJ,0
2018,SKJ,0
2019,SKJ,0
2020,SKJ,0
2021,SKJ,0
2022,SKJ,0
2023,SKJ,0
2024,SKJ,0
2025,SKJ,0
2026,SKJ,0
2027,SKJ,0
