lon,lat,value
-170.5,-49.5,5.210016513285546e-4
-168.5,-49.5,5.140088514672238e-4
-166.5,-49.5,5.128964483281528e-4
-164.5,-49.5,5.183232745413145e-4
-162.5,-49.5,5.297144578669984e-4
-160.5,-49.5,5.406967304656387e-4
-158.5,-49.5,5.481625782635958e-4
-156.5,-49.5,5.534829125061295e-4
-154.5,-49.5,5.570059066166892e-4
-152.5,-49.5,5.629255463216316e-4
-150.5,-49.5,5.717723898317642e-4
-148.5,-49.5,5.770020791231085e-4
-146.5,-49.5,5.763093050587741e-4
-144.5,-49.5,5.768619914712706e-4
-142.5,-49.5,5.847513292541546e-4
-140.5,-49.5,5.985603067419813e-4
-138.5,-49.5,5.828955568395959e-4
-136.5,-49.5,5.528452860694416e-4
-134.5,-49.5,5.270532534862773e-4
-132.5,-49.5,4.990002257951255e-4
-130.5,-49.5,4.661131944816323e-4
-128.5,-49.5,4.334393199859707e-4
-126.5,-49.5,4.083993005070789e-4
-124.5,-49.5,3.921971061436209e-4
-122.5,-49.5,3.8034834733483545e-4
-120.5,-49.5,3.692727213853199e-4
-118.5,-49.5,3.5987408465833204e-4
-116.5,-49.5,3.498989621769271e-4
-114.5,-49.5,3.51084348043704e-4
-112.5,-49.5,3.613196497715296e-4
-110.5,-49.5,3.646620454860135e-4
-108.5,-49.5,3.496027957899993e-4
-106.5,-49.5,3.338163119655621e-4
-104.5,-49.5,3.19583729241758e-4
-102.5,-49.5,3.079266905554181e-4
-100.5,-49.5,2.9870153547214e-4
-98.5,-49.5,2.918597144869161e-4
-96.5,-49.5,2.8670009783425337e-4
-94.5,-49.5,2.8251541863022164e-4
-92.5,-49.5,2.797040997562723e-4
-90.5,-49.5,2.785791630654634e-4
-88.5,-49.5,2.797104385640478e-4
-86.5,-49.5,2.834534181171792e-4
-84.5,-49.5,2.9077502922548147e-4
-82.5,-49.5,3.027294156220165e-4
-80.5,-49.5,3.2501689426269516e-4
-78.5,-49.5,4.1315355040249987e-4
-170.5,-47.5,6.791851587274566e-4
-168.5,-47.5,6.909022143983253e-4
-166.5,-47.5,7.105816193925465e-4
-164.5,-47.5,7.282487986712052e-4
-162.5,-47.5,7.406093009568099e-4
-160.5,-47.5,7.547368899736421e-4
-158.5,-47.5,7.697567526231604e-4
-156.5,-47.5,7.788188850955583e-4
-154.5,-47.5,7.873456764385545e-4
-152.5,-47.5,7.98889279278476e-4
-150.5,-47.5,8.084139142163827e-4
-148.5,-47.5,8.234473764898558e-4
-146.5,-47.5,8.447769460246094e-4
-144.5,-47.5,8.404856307861366e-4
-142.5,-47.5,7.976680791477677e-4
-140.5,-47.5,7.59037943925879e-4
-138.5,-47.5,7.21256920818278e-4
-136.5,-47.5,6.764878807679407e-4
-134.5,-47.5,6.321579472198681e-4
-132.5,-47.5,5.919890375977198e-4
-130.5,-47.5,5.545804482596907e-4
-128.5,-47.5,5.202049784422275e-4
-126.5,-47.5,4.905048403633806e-4
-124.5,-47.5,4.681460501352278e-4
-122.5,-47.5,4.507987789598925e-4
-120.5,-47.5,4.3366400190884873e-4
-118.5,-47.5,4.2017452914566884e-4
-116.5,-47.5,4.1191004919352694e-4
-114.5,-47.5,4.161992611003288e-4
-112.5,-47.5,4.211087253479611e-4
-110.5,-47.5,4.1548366732800266e-4
-108.5,-47.5,4.020239869613675e-4
-106.5,-47.5,3.851242068022183e-4
-104.5,-47.5,3.6906719994958136e-4
-102.5,-47.5,3.558362352925904e-4
-100.5,-47.5,3.4377740263157313e-4
-98.5,-47.5,3.330527737562433e-4
-96.5,-47.5,3.246076665952629e-4
-94.5,-47.5,3.180945704187227e-4
-92.5,-47.5,3.13309404429015e-4
-90.5,-47.5,3.109681081516173e-4
-88.5,-47.5,3.1084579797431317e-4
-86.5,-47.5,3.1576425180388163e-4
-84.5,-47.5,3.248422601084808e-4
-82.5,-47.5,3.3721584338831316e-4
-80.5,-47.5,3.600184077862746e-4
-78.5,-47.5,4.30844384959266e-4
-170.5,-45.5,5.776183841154607e-4
-168.5,-45.5,5.993117435910014e-4
-166.5,-45.5,6.288479946760896e-4
-164.5,-45.5,6.672151846263465e-4
-162.5,-45.5,7.02225687731862e-4
-160.5,-45.5,7.288541548137632e-4
-158.5,-45.5,7.585361984776874e-4
-156.5,-45.5,7.85878357689582e-4
-154.5,-45.5,8.011611656107323e-4
-152.5,-45.5,8.060320207564594e-4
-150.5,-45.5,8.152881783723121e-4
-148.5,-45.5,8.167547479894566e-4
-146.5,-45.5,7.903992530205776e-4
-144.5,-45.5,7.711764726882917e-4
-142.5,-45.5,7.538100410258168e-4
-140.5,-45.5,7.383930808819274e-4
-138.5,-45.5,7.220825217182713e-4
-136.5,-45.5,6.978500663499754e-4
-134.5,-45.5,6.681335626219627e-4
-132.5,-45.5,6.412331606864936e-4
-130.5,-45.5,6.178214656740714e-4
-128.5,-45.5,5.94334569351222e-4
-126.5,-45.5,5.694857513650486e-4
-124.5,-45.5,5.443630968829747e-4
-122.5,-45.5,5.207748948867681e-4
-120.5,-45.5,4.991824953314331e-4
-118.5,-45.5,4.804009536458457e-4
-116.5,-45.5,4.618833656785816e-4
-114.5,-45.5,4.4929694252130624e-4
-112.5,-45.5,4.4094567852816555e-4
-110.5,-45.5,4.3773634015144145e-4
-108.5,-45.5,4.3385468477184015e-4
-106.5,-45.5,4.230792878087813e-4
-104.5,-45.5,4.0855598431018366e-4
-102.5,-45.5,3.918036102445769e-4
-100.5,-45.5,3.763662218519928e-4
-98.5,-45.5,3.648476861155471e-4
-96.5,-45.5,3.5554001128013736e-4
-94.5,-45.5,3.468237472101796e-4
-92.5,-45.5,3.413590322141781e-4
-90.5,-45.5,3.3821547337450593e-4
-88.5,-45.5,3.3808466343223016e-4
-86.5,-45.5,3.3737696435686077e-4
-84.5,-45.5,3.3708183522938704e-4
-82.5,-45.5,3.378010305970402e-4
-80.5,-45.5,3.4138775853850606e-4
-78.5,-45.5,3.899971076540911e-4
-170.5,-43.5,5.8482232390124e-4
-168.5,-43.5,5.964545547989677e-4
-166.5,-43.5,5.935235477091123e-4
-164.5,-43.5,5.915516598612118e-4
-162.5,-43.5,6.034137013535631e-4
-160.5,-43.5,6.171435013697215e-4
-158.5,-43.5,6.240825942415364e-4
-156.5,-43.5,6.281590238964205e-4
-154.5,-43.5,6.262880383432006e-4
-152.5,-43.5,6.206237373405594e-4
-150.5,-43.5,6.1840953415906e-4
-148.5,-43.5,6.305939328395569e-4
-146.5,-43.5,6.534551888349668e-4
-144.5,-43.5,6.764364211739089e-4
-142.5,-43.5,6.916133133796834e-4
-140.5,-43.5,6.957272572514933e-4
-138.5,-43.5,6.882580095475476e-4
-136.5,-43.5,6.736835922080696e-4
-134.5,-43.5,6.553493974748551e-4
-132.5,-43.5,6.352168829757377e-4
-130.5,-43.5,6.145768028503803e-4
-128.5,-43.5,5.932014210230676e-4
-126.5,-43.5,5.75082918630795e-4
-124.5,-43.5,5.603004155197056e-4
-122.5,-43.5,5.440488648938868e-4
-120.5,-43.5,5.184853175182658e-4
-118.5,-43.5,4.931048464363057e-4
-116.5,-43.5,4.695528620827071e-4
-114.5,-43.5,4.5342362163419236e-4
-112.5,-43.5,4.437529348025861e-4
-110.5,-43.5,4.400598589543052e-4
-108.5,-43.5,4.3898453784072076e-4
-106.5,-43.5,4.2901710836693426e-4
-104.5,-43.5,4.117403420217198e-4
-102.5,-43.5,3.941700600637382e-4
-100.5,-43.5,3.811036162812836e-4
-98.5,-43.5,3.7181809846032534e-4
-96.5,-43.5,3.661756951572722e-4
-94.5,-43.5,3.634668920927099e-4
-92.5,-43.5,3.6415978140809477e-4
-90.5,-43.5,3.609581936645143e-4
-88.5,-43.5,3.5379724252055777e-4
-86.5,-43.5,3.4771846992768824e-4
-84.5,-43.5,3.4108908544123063e-4
-82.5,-43.5,3.336969695028075e-4
-80.5,-43.5,3.3111053424107447e-4
-78.5,-43.5,3.6912897451262964e-4
-170.5,-41.5,6.454134891633702e-4
-168.5,-41.5,6.014066043097462e-4
-166.5,-41.5,5.494363904988406e-4
-164.5,-41.5,5.175504586224334e-4
-162.5,-41.5,5.104349740178845e-4
-160.5,-41.5,5.124363661347036e-4
-158.5,-41.5,5.229422485162542e-4
