lon,lat,value
-178.5,-49.5,4.2740150820463896e-4
-176.5,-49.5,4.1851462447084486e-4
-174.5,-49.5,4.073224263265729e-4
-172.5,-49.5,3.9466057205572724e-4
-170.5,-49.5,3.8061916711740196e-4
-168.5,-49.5,3.655118925962597e-4
-166.5,-49.5,3.495753335300833e-4
-164.5,-49.5,3.3302383963018656e-4
-162.5,-49.5,3.1602405942976475e-4
-160.5,-49.5,2.9884648392908275e-4
-158.5,-49.5,2.8176847263239324e-4
-156.5,-49.5,2.6500847889110446e-4
-154.5,-49.5,2.487846359144896e-4
-152.5,-49.5,2.332935546291992e-4
-150.5,-49.5,2.1865782036911696e-4
-148.5,-49.5,2.0491916802711785e-4
-146.5,-49.5,1.9202445400878787e-4
-144.5,-49.5,1.7990267951972783e-4
-142.5,-49.5,1.684431335888803e-4
-140.5,-49.5,1.576109352754429e-4
-138.5,-49.5,1.4757044846192002e-4
-136.5,-49.5,1.3849229435436428e-4
-134.5,-49.5,1.3034256699029356e-4
-132.5,-49.5,1.230762281920761e-4
-130.5,-49.5,1.1662964971037582e-4
-128.5,-49.5,1.1097716924268752e-4
-126.5,-49.5,1.0609822493279353e-4
-124.5,-49.5,1.019642295432277e-4
-122.5,-49.5,9.852743096416816e-5
-120.5,-49.5,9.572143608238548e-5
-118.5,-49.5,9.346447041025385e-5
-116.5,-49.5,9.163307549897581e-5
-114.5,-49.5,9.011274232761934e-5
-112.5,-49.5,8.885321585694328e-5
-110.5,-49.5,8.783229714026675e-5
-108.5,-49.5,8.701110346009955e-5
-106.5,-49.5,8.635485573904589e-5
-104.5,-49.5,8.582580630900338e-5
-102.5,-49.5,8.537015673937276e-5
-100.5,-49.5,8.492846973240376e-5
-98.5,-49.5,8.445350977126509e-5
-96.5,-49.5,8.391663141082972e-5
-94.5,-49.5,8.32925143186003e-5
-92.5,-49.5,8.25752504169941e-5
-90.5,-49.5,8.180150325642899e-5
-88.5,-49.5,8.099733531707898e-5
-86.5,-49.5,8.01862552179955e-5
-84.5,-49.5,7.94012812548317e-5
-82.5,-49.5,7.867939712014049e-5
-80.5,-49.5,7.804094639141113e-5
-78.5,-49.5,7.755574188195169e-5
-76.5,-49.5,7.73418287280947e-5
-178.5,-47.5,5.14856306836009e-4
-176.5,-47.5,5.096636014059186e-4
-174.5,-47.5,5.001675453968346e-4
-172.5,-47.5,4.869885160587728e-4
-170.5,-47.5,4.70606901217252e-4
-168.5,-47.5,4.5189939555712044e-4
-166.5,-47.5,4.3167287367396057e-4
-164.5,-47.5,4.103404062334448e-4
-162.5,-47.5,3.883678582496941e-4
-160.5,-47.5,3.6620371975004673e-4
-158.5,-47.5,3.4424170735292137e-4
-156.5,-47.5,3.227313281968236e-4
-154.5,-47.5,3.019419382326305e-4
-152.5,-47.5,2.8215511702001095e-4
