port_name,hold_volume_in_m3,carrying_capacity_in_t,length_in_m,beam_in_m
PAGO PAGO HARBOR,1593,1361,65.16,13.41
MANTA,250,190,33,8.83
MANTA,464,331,42.1,9.44
PUERTO DE CHIMBOTE,606,433,48.7,10
PUERTO DE CHIMBOTE,614,439,48.05,10.32
PUERTO DE CHIMBOTE,607,434,48.9,10.3
PUERTO DE CHIMBOTE,493,394,48.7,10.3
MAZATLAN,1610,1150,78.33,13.64
MAZATLAN,1610,1150,78.33,13.64
BALBOA,2100,1500,80.6,12.19
MANTA,372,316,49.5,7.92
LOS ANGELES,115,82,20.72,7.92
CARTAGENA,421,400,36.88,10.12
MANTA,231,190,33.33,8.55
MANTA,515,368,48.5,9.12
MANTA,328,234,34.98,9.14
MANTA,239,270,33.6,9.14
GUAYAQUIL,255,191,36.73,8.48
PAGO PAGO HARBOR,1251,894,62.39,12.8
MANTA,310,220,45.1,7.92
MANTA,731,522,56.94,10
PAGO PAGO HARBOR,1522,1050,75.33,13.6
PAGO PAGO HARBOR,2100,1179,77.82,14.33
MANTA,216,154,33.28,8.23
MANTA,500,375,46,10
MANTA,800,571,56.8,10
MANTA,1126,785,61.56,11.4
MANTA,308,220,54.25,7.92
MANTA,349,249,37.55,8
CUMANA (PUERTO SUCRE),1030,736,62,11.5
CUMANA (PUERTO SUCRE),775,554,51.52,11.58
PUERTO DEL CALLAO,299,214,40.75,8.5
GUAYAQUIL,305,220,39.13,8.45
MANTA,356,253,34.98,9.14
PUERTO DEL CALLAO,300,215,40.75,8.5
PUERTO DEL CALLAO,450,321,45.44,9.61
PUERTO DE CHIMBOTE,732,523,60.71,11.4
GUAYAQUIL,314,224,39.53,9.75
MANZANILLO,1600,1143,79.05,13.65
MAZATLAN,1648,1177,79.5,13.65
CUMANA (PUERTO SUCRE),2202,1585,91.1,14.7
BALBOA,2000,1500,89.28,14.35
BALBOA,1881,1350,77.3,13.6
BALBOA,454,330,35.23,9.75
PUERTO DEL CALLAO,650,555,57.9,10.76
PUERTO DE CHIMBOTE,487,416,52.68,10.1
CUMANA (PUERTO SUCRE),770,597,51.52,11.58
MAZATLAN,1648,1177,79.05,13.65
MAZATLAN,1600,1143,79.05,13.65
MANTA,1881,1344,91.1,14.7
CORINTO,2170,1628,78.7,13.71
MAZATLAN,1648,1177,79.5,13.65
SEATTLE,165,118,22.4,7.31
PUERTO DEL CALLAO,350,280,46.57,7.92
PUERTO DEL CALLAO,350,280,46.57,7.92
MAZATLAN,1648,1177,79.05,13.65
MANTA,544,389,49,10.41
LA UNION,1729,1235,79.8,13.65
MANZANILLO,1648,1177,79.5,13.65
MANTA,285,204,55.66,8.8
PUERTO MADERO,1648,1177,79.05,13.65
PUERTO DEL CALLAO,350,250,53.95,8.7
PUERTO ILO,350,250,53.95,8.7
MANTA,792,566,56.2,11.1
MANTA,1167,834,63.51,12
PUERTO DE CHIMBOTE,568,406,49.15,10
MAZATLAN,165,118,32.7,8.62
BALBOA,2000,1429,89.28,14.35
GUAYAQUIL,351,251,30.23,7.66
MANTA,352,282,34.98,9.14
PUERTO DE CHIMBOTE,535,428,48,10.3
MAZATLAN,816,583,56.6,10
CUMANA (PUERTO SUCRE),1321,1120,73.9,13.1
CUMANA (PUERTO SUCRE),1572,1123,64.6,12.8
BALBOA,1170,1000,51.6,12.96
GUAYAQUIL,547,499,42.59,10.38
MANTA,217,150,30.17,7.62
MANTA,399,298,39.87,10.15
MANTA,241,180,27.81,7.65
GUAYAQUIL,420,272,41.6,8.6
MANTA,390,329,36.57,9.98
GUAYAQUIL,420,272,41.45,8.53
MANTA,399,297,39.87,10.15
BUENAVENTURA,270,227,32.91,8.53
MANTA,407,300,45.5,9.13
MANTA,125,76,16.15,7
MANTA,292,209,36.8,7.8
