x,y,depth
-170.5,49.5,-5199.646484375
-169.5,49.5,-5313.71923828125
-168.5,49.5,-5301.4638671875
-167.5,49.5,-5301.2080078125
-166.5,49.5,-5250.890625
-165.5,49.5,-5143.2216796875
-164.5,49.5,-4968.29736328125
-163.5,49.5,-4973.3017578125
-162.5,49.5,-5010.76513671875
-161.5,49.5,-5030.208984375
-160.5,49.5,-4998.5576171875
-159.5,49.5,-4963.2607421875
-158.5,49.5,-4911.373046875
-157.5,49.5,-4961.9453125
-156.5,49.5,-5003.09033203125
-155.5,49.5,-4911.4775390625
-154.5,49.5,-4873.9033203125
-153.5,49.5,-4926.52880859375
-152.5,49.5,-4914.6201171875
-151.5,49.5,-4853.91943359375
-150.5,49.5,-4835.20361328125
-149.5,49.5,-4696.4638671875
-148.5,49.5,-4687.953125
-147.5,49.5,-4588.10205078125
-146.5,49.5,-4421.7587890625
-145.5,49.5,-4341.24658203125
-144.5,49.5,-4224.8193359375
-143.5,49.5,-4161.88623046875
-142.5,49.5,-4032.562744140625
-141.5,49.5,-4045.16796875
-140.5,49.5,-3875.509033203125
-139.5,49.5,-3867.21142578125
-138.5,49.5,-3956.196044921875
-137.5,49.5,-3894.03369140625
-136.5,49.5,-3781.90283203125
-135.5,49.5,-3613.91357421875
-134.5,49.5,-3487.589599609375
-133.5,49.5,-3240.950439453125
-132.5,49.5,-3088.83642578125
-131.5,49.5,-2948.300048828125
-130.5,49.5,-2467.13232421875
-129.5,49.5,-2320.439208984375
-128.5,49.5,-2264.069091796875
-127.5,49.5,-1061.740966796875
-126.5,49.5,166.29849243164062
-125.5,49.5,584.79864501953125
-124.5,49.5,192.08119201660156
-123.5,49.5,381.1007080078125
-122.5,49.5,763.86083984375
-121.5,49.5,1036.5640869140625
-120.5,49.5,1429.3421630859375
-119.5,49.5,1180.0684814453125
-118.5,49.5,1305.707275390625
-117.5,49.5,1439.0567626953125
-116.5,49.5,1574.7015380859375
-115.5,49.5,1400.6817626953125
-114.5,49.5,1679.5499267578125
-113.5,49.5,1166.0364990234375
-112.5,49.5,994.932373046875
-111.5,49.5,882.59149169921875
-110.5,49.5,972.25860595703125
-109.5,49.5,976.26904296875
-108.5,49.5,937.84857177734375
-107.5,49.5,834.692138671875
-106.5,49.5,802.076416015625
-105.5,49.5,750.1611328125
-104.5,49.5,671.0260009765625
-103.5,49.5,599.60443115234375
-102.5,49.5,624.23455810546875
-101.5,49.5,528.61676025390625
-100.5,49.5,465.31549072265625
-99.5,49.5,428.11395263671875
-98.5,49.5,369.3086242675781
-97.5,49.5,241.2542724609375
-96.5,49.5,288.5037536621094
-95.5,49.5,332.19366455078125
-94.5,49.5,341.1559143066406
-93.5,49.5,383.8423156738281
-92.5,49.5,407.4962158203125
-91.5,49.5,439.54974365234375
-90.5,49.5,468.90899658203125
-89.5,49.5,417.9742736816406
-88.5,49.5,289.872314453125
-87.5,49.5,394.7443542480469
-86.5,49.5,342.5323181152344
-85.5,49.5,312.6888122558594
-84.5,49.5,284.7120361328125
-83.5,49.5,262.376708984375
-82.5,49.5,234.1514892578125
-81.5,49.5,244.56451416015625
-80.5,49.5,291.5623474121094
-79.5,49.5,289.9071960449219
-78.5,49.5,285.50457763671875
-77.5,49.5,282.49591064453125
-76.5,49.5,319.2507019042969
-75.5,49.5,361.9978332519531
-74.5,49.5,401.6884765625
-73.5,49.5,416.5653381347656
-72.5,49.5,354.5267333984375
-71.5,49.5,394.7965393066406
-70.5,49.5,491.3374938964844
-170.5,48.5,-5358.53466796875
-169.5,48.5,-5366.84130859375
-168.5,48.5,-5421.8564453125
-167.5,48.5,-5347.48583984375
-166.5,48.5,-5282.47802734375
-165.5,48.5,-5180.1337890625
-164.5,48.5,-5127.2607421875
-163.5,48.5,-5055.3271484375
-162.5,48.5,-5088.7421875
-161.5,48.5,-5078.5439453125
-160.5,48.5,-4978.74072265625
-159.5,48.5,-5040.08056640625
-158.5,48.5,-5032.2841796875
-157.5,48.5,-5086.16162109375
-156.5,48.5,-5119.1953125
-155.5,48.5,-5055.6962890625
-154.5,48.5,-5035.048828125
-153.5,48.5,-5019.916015625
-152.5,48.5,-5054.705078125
-151.5,48.5,-4948.552734375
-150.5,48.5,-4847.48828125
-149.5,48.5,-4819.525390625
-148.5,48.5,-4759.85791015625
-147.5,48.5,-4687.68701171875
-146.5,48.5,-4624.92626953125
-145.5,48.5,-4493.25732421875
-144.5,48.5,-4297.13037109375
-143.5,48.5,-4315.00830078125
-142.5,48.5,-4269.134765625
-141.5,48.5,-4258.37158203125
-140.5,48.5,-4164.73388671875
-139.5,48.5,-4033.5771484375
-138.5,48.5,-4018.79931640625
-137.5,48.5,-4020.284912109375
-136.5,48.5,-3921.6171875
-135.5,48.5,-3897.885986328125
-134.5,48.5,-3714.4326171875
-133.5,48.5,-3158.177490234375
-132.5,48.5,-3077.255859375
-131.5,48.5,-3022.5517578125
-130.5,48.5,-2806.9833984375
-129.5,48.5,-2591.48291015625
-128.5,48.5,-2521.433837890625
-127.5,48.5,-2477.496826171875
-126.5,48.5,-1283.3770751953125
-125.5,48.5,-169.9480438232422
-124.5,48.5,207.666748046875
-123.5,48.5,118.76667022705078
-122.5,48.5,106.0821533203125
-121.5,48.5,1040.3387451171875
-120.5,48.5,1505.5040283203125
-119.5,48.5,937.4903564453125
-118.5,48.5,988.9625244140625
-117.5,48.5,967.056640625
-116.5,48.5,1102.337646484375
-115.5,48.5,1268.0789794921875
-114.5,48.5,1361.754150390625
-113.5,48.5,1666.125732421875
-112.5,48.5,1270.55078125
-111.5,48.5,1054.9129638671875
-110.5,48.5,910.42608642578125
-109.5,48.5,971.603515625
-108.5,48.5,861.247802734375
-107.5,48.5,763.66851806640625
-106.5,48.5,794.03173828125
-105.5,48.5,752.22528076171875
-104.5,48.5,665.4967041015625
-103.5,48.5,656.534423828125
-102.5,48.5,659.81268310546875
-101.5,48.5,538.0211181640625
-100.5,48.5,477.4244689941406
-99.5,48.5,489.47320556640625
-98.5,48.5,466.47003173828125
-97.5,48.5,283.90582275390625
-96.5,48.5,299.4855651855469
-95.5,48.5,353.15020751953125
-94.5,48.5,353.4389953613281
-93.5,48.5,364.20343017578125
-92.5,48.5,385.69866943359375
-91.5,48.5,429.2527160644531
-90.5,48.5,483.0025939941406
-89.5,48.5,364.4214782714844
-88.5,48.5,162.0353240966797
-87.5,48.5,67.89183807373047
-86.5,48.5,136.9117431640625
-85.5,48.5,402.259521484375
-84.5,48.5,382.9400939941406
-83.5,48.5,359.5850830078125
-82.5,48.5,327.1604309082031
-81.5,48.5,312.6310729980469
-80.5,48.5,303.3979797363281
-79.5,48.5,298.6721496582031
-78.5,48.5,314.0250244140625
-77.5,48.5,317.48974609375
-76.5,48.5,406.88116455078125
-75.5,48.5,420.05426025390625
-74.5,48.5,458.1865539550781
-73.5,48.5,504.4723815917969
-72.5,48.5,302.46405029296875
-71.5,48.5,275.4906921386719
-70.5,48.5,490.7399597167969
-170.5,47.5,-5432.6259765625
-169.5,47.5,-5469.9775390625
-168.5,47.5,-5426.107421875
-167.5,47.5,-5378.77783203125
-166.5,47.5,-5324.03759765625
-165.5,47.5,-5253.3818359375
-164.5,47.5,-5156.43408203125
-163.5,47.5,-5106.9873046875
-162.5,47.5,-5101.896484375
-161.5,47.5,-5005.17578125
-160.5,47.5,-5061.57373046875
-159.5,47.5,-5061.34814453125
-158.5,47.5,-5072.44287109375
-157.5,47.5,-5147.68798828125
-156.5,47.5,-5124.6669921875
-155.5,47.5,-5156.02685546875
-154.5,47.5,-5156.50244140625
-153.5,47.5,-5126.38330078125
-152.5,47.5,-5148.375
-151.5,47.5,-4964.72900390625
-150.5,47.5,-4782.68212890625
-149.5,47.5,-4978.78662109375
-148.5,47.5,-4931.93310546875
-147.5,47.5,-4811.5380859375
-146.5,47.5,-4763.00732421875
-145.5,47.5,-4687.38623046875
-144.5,47.5,-4579.537109375
-143.5,47.5,-4480.75048828125
-142.5,47.5,-4457.8056640625
-141.5,47.5,-4386.134765625
-140.5,47.5,-4300.48193359375
-139.5,47.5,-4217.08203125
-138.5,47.5,-4137.02978515625
-137.5,47.5,-4105.0263671875
-136.5,47.5,-4086.65625
-135.5,47.5,-3983.0146484375
-134.5,47.5,-3917.43505859375
-133.5,47.5,-3640.925537109375
