year,species_code,k
1995,BET,302.0922
1995,YFT,225.34470000000002
1995,SKJ,237.59189999999998
1996,BET,334.7514
1996,YFT,319.23810000000003
1996,SKJ,306.9909
1997,BET,194.31900000000002
1997,YFT,187.7868
1997,SKJ,316.7892
1998,BET,244.93949999999998
1998,YFT,278.415
1998,SKJ,269.4339
1999,BET,318.4218
1999,YFT,268.6176
1999,SKJ,366.59340000000003
2000,BET,430.2
2000,YFT,360
2000,SKJ,408.231
2001,BET,367.38
2001,YFT,360
2001,SKJ,495
2002,BET,279
2002,YFT,259.2
2002,SKJ,405
2003,BET,304.2
2003,YFT,302.4
2003,SKJ,354.6
2004,BET,438.3
2004,YFT,270
2004,SKJ,292.5
2005,BET,243.9
2005,YFT,288
2005,SKJ,376.2
2006,BET,297.9
2006,YFT,293.4
2006,SKJ,315.9
2007,BET,342.9
2007,YFT,360
2007,SKJ,450
2008,BET,378
2008,YFT,247.5
2008,SKJ,378
2009,BET,278.1
2009,YFT,409.5
2009,SKJ,360
2010,BET,248.4
2010,YFT,315
2010,SKJ,274.5
2011,BET,312.3
2011,YFT,235.8
2011,SKJ,346.5
2012,BET,248.4
2012,YFT,203.4
2012,SKJ,330.3
2013,BET,225
2013,YFT,220.5
2013,SKJ,315
2014,BET,178.2
2014,YFT,225
2014,SKJ,379.8
2015,BET,180
2015,YFT,261
2015,SKJ,430.2
2016,BET,230.4
2016,YFT,423
2016,SKJ,346.5
2017,BET,254.7
2017,YFT,278.37
2017,SKJ,387
