year,species_code,price_per_tonne
2013,SKJ,2073.266666666667
2014,SKJ,1468.2033333333334
2015,SKJ,1037.6208333333334
2016,SKJ,1372.4108333333334
2017,SKJ,1813.5366666666666
2018,SKJ,1672.4583333333333
2013,BET,2203.3983333333335
2014,BET,1646.7033333333334
2015,BET,1249.5925
2016,BET,1606.59
2017,BET,1910.2463636363636
2018,BET,1739.82
2013,YFT,2215.9616666666666
2014,YFT,1702.8058333333333
2015,YFT,1194.2649999999999
2016,YFT,1513.9158333333332
2017,YFT,1930.5608333333334
2018,YFT,1876.245
2013,ALB,2608.9157142857143
2014,ALB,2800.137
2015,ALB,2839.325
2016,ALB,2690.5
2017,ALB,2630.5025
2018,ALB,2955.97
