url,name,activity,Beam,Business Address,Call sign,Carrying capacity (t),Company,Depth,Engine power (HP),Fish hold volume (m3),Fish hold volume confirmation date,Flag,Gear,Gross tonnage,IATTC Vessel Number,IMONO,Length,Managing Company,Managing Company Address,Notes,Port of registration,Previous Flag,Previous name,Registration number,Shipyard,Year built
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=1078&Lang=en,Cape Finisterre,Authorized to fishActive,13.41,"10500 NE 8th Street, Suite 1888Bellevue, WA 98004United States",WDA4699,1361,"Cape Finisterre Fishing, LP",4.93,4300,1593,1 Jan 2017,United States,Purse seine,1301,1078,7912094,65.16,Trimarine Fishing Management,"10500 NE 8th Street, Suite 1888Bellevue, WA 98004United States",NA,Pago Pago,NA,Tifaimoana - Change to Cape Finisterre notified on 8 May 2001 (recorded on 8 May 2001)  - Flag at time of change: United States,610466,J.M. Martinac Shipbuilding,1979
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=115&Lang=en,Mary Lynn,Authorized to fishActive,8.83,Calle 28 y Avenida Flavio Reyes(Patio de Tecnigruas)MantaEcuador,HC5290,190,"Industrias de Productos del Mar, S.A. (IDELMAR)",4.8,850,250,6 Dec 2007,Ecuador,Purse seine,239,115,8949044,33,NA,NA,NA,NA,Colombia - Change to Ecuador notified on 29 Jan 2008 (recorded on 21 Mar 2008)  - Vessel name at time of change:  Mary Lynn,NA,P-04-00909,NA,1998
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=11977&Lang=en,Alejandra,Authorized to fishActive,9.44,"Km 9 y Medio via Manta Portoviejo a 300 mts del Redondel de ColoradoVia CircunvalacioMontecristi, ManabiEcuador",HC4635,331,"Atún Estribela, S.A.",4.65,1450,464,1 Jan 2017,Ecuador,Purse seine,516,11977,8716277,42.1,NA,NA,NA,Manta,NA,Southport - Change to Alejandra notified on 22 Feb 2005 (recorded on 4 Mar 2005)  - Flag at time of change: Ecuador,P-04-00764,ASMAR,1988
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=12&Lang=en,Albatún Tres,Authorized to fishActive,16.6,Recinto interior zona francaEdificio Melka 1° PlantaOficina 1 y 211011 CádizSpain,EADN,2258,"Albacora, S.A.",7.5,6696,3161,28 Apr 2005,EU (Spain),Purse seine,4406,12,9281310,115,"Albacora, S.A.",Recinto interior zona francaEdificio Melka 1° PlantaOficina 1 y 211011 CádizSpain,NA,Sta. Eugenia de Riveira,NA,NA,VI-5-12-03,H. J. Barreras,2003
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=12269&Lang=en,Bamar I,Authorized to fishActive,10,Av. Manuel Olguín No. 501 7 mo pisoDistrito de Santiago de SurcoProvincia de LimaDepartamento de LimaPerú,NA,433,"Pesquera Hayduk, S.A.",5.3,1768,606,1 Jan 2017,Peru,Purse seine,469,12269,9130731,48.7,NA,NA,NA,Chimbote,NA,NA,CE-16660-PM,NA,1997
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=12270&Lang=en,Yagoda B,Authorized to fishActive,10.32,Av. Manuel Olguín No. 501 7 mo pisoDistrito de Santiago de SurcoProvincia de LimaDepartamento de LimaPerú,NA,439,"Pesquera Hayduk, S.A.",4.98,1775,614,1 Jan 2017,Peru,Purse seine,484,12270,9130092,48.05,NA,NA,NA,Chimbote,NA,NA,CE-15269-PM,NA,1996
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=12273&Lang=en,Bamar II,Authorized to fishActive,10.3,Av. Manuel Olguín No. 501 7 mo pisoDistrito de Santiago de SurcoProvincia de LimaDepartamento de LimaPerú,NA,434,"Pesquera Hayduk, S.A.",5.01,1740,607,1 Jan 2017,Peru,Purse seine,480,12273,9130743,48.9,"Pesquera Hayduk, S.A.",Av. Manuel Olguín No. 501 7 mo pisoDistrito de Santiago de SurcoProvincia de LimaDepartamento de LimaPerú,NA,Chimbote,NA,NA,CE-16661-PM,NA,1997
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=12274&Lang=en,Kiara B,Authorized to fishActive,10.3,Av. Manuel Olguín No. 501 7 mo pisoDistrito de Santiago de SurcoProvincia de LimaDepartamento de LimaPerú,NA,394,"Pesquera Hayduk, S.A.",5,1780,493,21 Jun 2018,Peru,Purse seine,498,12274,9292644,48.7,"Pesquera Hayduk, S.A.",Av. Manuel Olguín No. 501 7 mo pisoDistrito de Santiago de SurcoProvincia de LimaDepartamento de LimaPerú,NA,Chimbote,NA,NA,CE-21455-PM,NA,2003
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=12297&Lang=en,Franz,Authorized to fishActive,13.64,"Av. Puerto de Mazatlan 406 Interior FCol. Alfredo V. Bonfil82050 Mazatlán,  SinaloaMéxico",NA,1150,"Pesca Azteca, S.A. de C. V.",8.06,NA,1610,30 Oct 2006,Mexico,Purse seine,1755,12297,9363235,78.33,NA,NA,NA,Mazatlan,NA,NA,2503196533-9,Astilleros Marco Chilena Limitada,2006
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=12355&Lang=en,Hanna,Authorized to fishActive,13.64,"Av. Puerto de Mazatlan 406 Interior FCol. Alfredo V. Bonfil82050 Mazatlán,  SinaloaMéxico",NA,1150,"Pesca Azteca, S.A. de C. V.",8.06,NA,1610,30 Oct 2006,Mexico,Purse seine,1755,12355,9363247,78.33,NA,NA,NA,Mazatlan,NA,NA,NA,Astilleros Marco Chilena Limitada,2006
