set_type,BET,SKJ,YFT
DEL,0,0,20
DEL,0,0,20
DEL,0,0,78
DEL,0,0,5
DEL,0,0,12
DEL,0,0,30
DEL,0,0,14
DEL,0,0,12
DEL,0,0,10
NOA,0,43,26
DEL,0,12,14
DEL,0,0,12
DEL,0,0,10
DEL,0,3,5
DEL,0,0,28
DEL,0,3,2
DEL,0,0,28
DEL,0,0,20
DEL,0,0,20
DEL,0,0,25
DEL,0,0,55
DEL,0,0,75
NOA,0,4,74
DEL,0,0,10
NOA,0,15,13
NOA,0,18,17
DEL,0,0,10
DEL,0,0,14
DEL,0,0,30
DEL,0,2,112
DEL,0,0,0
DEL,0,0,3
DEL,0,0,35
DEL,0,0,5
DEL,0,0,17
DEL,0,0,8
DEL,0,0,3
DEL,0,0,6
DEL,0,0,1
DEL,0,0,0
DEL,0,0,7
DEL,0,0,6
DEL,0,0,6
DEL,0,1,1
DEL,0,0,1
DEL,0,0,12
DEL,0,0,19
DEL,0,0,10
DEL,0,0,0
DEL,0,0,12
DEL,0,0,20
DEL,0,0,0
DEL,0,0,12
DEL,0,0,6
DEL,0,0,8
DEL,0,0,25
DEL,0,0,51
DEL,0,0,24
DEL,0,0,6
DEL,0,0,4
DEL,0,0,3
DEL,0,0,8
DEL,0,0,12
DEL,0,0,15
DEL,0,0,3
DEL,0,0,19
NOA,0,0,10
NOA,0,0,5
DEL,0,0,53
DEL,0,3,9
DEL,0,0,28
DEL,0,0,0
DEL,0,0,10
DEL,0,0,4
NOA,0,0,0
NOA,0,0,0
NOA,0,0,0
NOA,0,0,0
NOA,0,5,0
DEL,0,0,3
DEL,0,1,6
DEL,0,0,10
DEL,0,0,10
DEL,0,0,10
DEL,0,0,14
DEL,0,0,7
DEL,0,0,4
DEL,0,0,30
NOA,0,0,0
NOA,0,0,4
DEL,0,0,10
DEL,0,0,2
NOA,0,0,0
NOA,0,38,0
NOA,0,27,0
NOA,0,0,0
NOA,0,11,0
NOA,0,105,0
DEL,0,0,18
NOA,0,0,1
DEL,0,0,6
DEL,0,0,7
DEL,0,0,3
DEL,0,0,12
DEL,0,0,12
DEL,0,0,42
DEL,0,0,40
DEL,0,0,55
DEL,0,0,22
DEL,0,0,8
DEL,0,0,5
DEL,0,0,7
DEL,0,0,12
DEL,0,0,8
DEL,0,0,7
DEL,0,0,6
DEL,0,0,15
DEL,0,0,15
DEL,0,0,7
DEL,0,0,4
DEL,0,0,15
DEL,0,0,10
DEL,0,0,9
DEL,0,0,4
DEL,0,0,4
DEL,0,0,5
DEL,0,0,7
DEL,0,0,7
NOA,0,49,11
DEL,0,0,3
DEL,0,0,5
DEL,0,0,6
DEL,0,0,4
DEL,0,0,8
DEL,0,0,8
NOA,0,0,0
NOA,0,11,0
NOA,0,27,0
NOA,2,38,0
NOA,0,65,0
NOA,0,78,0
NOA,0,35,0
NOA,0,41,0
NOA,0,8,0
NOA,0,30,0
NOA,0,5,40
NOA,0,40,0
NOA,0,83,0
NOA,0,0,0
NOA,0,15,0
NOA,0,16,0
NOA,0,1,0
NOA,0,55,0
NOA,0,0,0
NOA,0,0,0
NOA,0,4,0
NOA,0,8,0
NOA,0,0,0
NOA,0,0,1
NOA,0,0,0
NOA,0,1,0
NOA,0,52,5
NOA,0,5,0
NOA,0,0,0
NOA,0,1,0
NOA,0,0,0
NOA,0,100,0
NOA,0,1,0
NOA,0,2,0
NOA,0,6,0
NOA,0,10,0
NOA,0,2,0
NOA,0,0,0
NOA,0,3,0
NOA,0,15,0
NOA,0,1,0
NOA,0,3,0
NOA,0,4,0
NOA,0,25,0
NOA,0,5,0
NOA,0,15,0
NOA,0,0,0
NOA,0,6,4
DEL,0,0,0
DEL,0,0,10
DEL,0,0,27
DEL,0,0,10
DEL,0,0,12
DEL,0,0,12
NOA,0,0,0
NOA,0,0,15
NOA,0,0,18
NOA,0,0,5
DEL,0,0,6
DEL,0,0,5
DEL,0,0,4
DEL,0,0,4
DEL,0,0,5
DEL,0,0,22
DEL,0,0,11
DEL,0,0,4
DEL,0,0,12
DEL,0,0,30
DEL,0,0,10
DEL,0,4,36
DEL,0,0,0
DEL,0,0,0
DEL,0,0,12
DEL,0,0,25
DEL,0,0,18
DEL,0,0,25
DEL,0,0,13
DEL,0,0,14
DEL,0,0,6
DEL,0,0,12
DEL,0,0,0
DEL,0,0,8
DEL,0,0,5
DEL,0,0,4
DEL,0,0,20
DEL,0,0,7
DEL,0,0,6
DEL,0,0,5
NOA,0,0,12
NOA,0,0,6
NOA,0,0,22
DEL,0,0,4
DEL,0,0,10
DEL,0,0,7
DEL,0,0,0
DEL,0,0,20
DEL,0,0,4
DEL,0,0,5
DEL,0,0,6
DEL,0,0,10
DEL,0,0,3
DEL,0,0,0
DEL,0,0,8
DEL,0,0,30
DEL,0,0,4
DEL,0,0,20
DEL,0,0,5
DEL,0,0,3
DEL,0,0,13
NOA,0,0,0
DEL,0,0,15
DEL,0,0,0
DEL,0,0,4
DEL,0,0,7
DEL,0,0,12
DEL,0,0,15
DEL,0,0,8
DEL,0,0,8
DEL,0,1,10
DEL,0,1,24
DEL,0,0,7
DEL,0,1,11
DEL,0,0,5
DEL,0,1,12
DEL,0,4,51
DEL,0,0,7
DEL,0,0,7
NOA,0,24,16
NOA,0,0,0
NOA,0,3,2
DEL,0,0,8
DEL,0,0,26
DEL,0,0,25
DEL,0,0,0
DEL,0,0,28
DEL,0,0,0
DEL,0,0,27
DEL,0,0,3
DEL,0,0,25
DEL,0,0,1
DEL,0,0,16
DEL,0,0,2
DEL,0,0,0
DEL,0,0,0
DEL,0,0,5
DEL,0,0,7
DEL,0,0,10
DEL,0,0,0
DEL,0,0,8
DEL,0,0,7
DEL,0,0,2
DEL,0,0,7
DEL,0,0,4
DEL,0,0,0
DEL,0,0,5
DEL,0,0,2
DEL,0,0,5
DEL,0,0,0
DEL,0,0,6
DEL,0,0,0
DEL,0,0,7
DEL,0,0,3
NOA,0,0,4
NOA,0,2,78
NOA,0,0,17
NOA,0,0,8
NOA,0,0,40
NOA,0,0,0
DEL,0,0,7
DEL,0,0,7
DEL,0,1,9
NOA,0,0,0
DEL,0,0,15
NOA,0,0,0
NOA,0,0,17
NOA,0,0,6
DEL,0,0,25
DEL,0,0,7
DEL,0,0,17
DEL,0,0,13
DEL,0,0,7
DEL,0,0,0
DEL,0,0,9
DEL,0,0,10
DEL,0,0,10
DEL,0,0,13
DEL,0,2,2
NOA,0,20,0
DEL,0,0,0
DEL,0,4,2
DEL,0,0,0
DEL,0,0,7
DEL,0,0,30
DEL,0,4,67
DEL,0,5,13
DEL,0,0,12
DEL,0,2,20
DEL,0,0,19
DEL,0,8,2
DEL,0,31,18
DEL,0,0,14
DEL,0,0,0
DEL,0,0,5
DEL,0,0,9
DEL,0,0,10
DEL,0,0,6
DEL,0,0,0
DEL,0,0,17
DEL,0,0,0
DEL,0,0,12
DEL,0,0,9
DEL,0,0,21
DEL,0,0,19
DEL,0,0,29
DEL,0,0,14
DEL,0,0,6
DEL,0,0,4
DEL,0,0,20
DEL,0,0,25
DEL,0,0,40
DEL,0,0,0
DEL,0,0,17
DEL,0,0,9
DEL,0,0,8
DEL,0,0,0
DEL,0,1,4
DEL,0,1,5
DEL,0,2,16
DEL,0,2,19
DEL,0,1,18
DEL,0,0,12
DEL,0,1,12
DEL,0,0,10
DEL,0,0,11
DEL,0,0,23
DEL,0,1,19
DEL,0,1,9
DEL,0,1,15
DEL,0,0,8
DEL,0,0,7
DEL,0,0,6
DEL,0,0,31
DEL,0,2,9
DEL,0,0,25
DEL,0,0,15
DEL,0,0,3
DEL,0,0,16
DEL,0,0,2
DEL,0,1,10
DEL,0,1,11
DEL,0,1,6
DEL,0,1,7
DEL,0,1,7
DEL,0,0,11
DEL,0,0,3
DEL,0,0,5
DEL,0,0,11
DEL,0,0,10
DEL,0,0,10
DEL,0,0,2
DEL,0,0,16
DEL,0,0,5
DEL,0,0,7
DEL,0,0,10
DEL,0,0,5
DEL,0,0,11
DEL,0,0,13
DEL,0,0,3
DEL,0,0,6
DEL,0,0,7
DEL,0,0,0
DEL,0,0,6
DEL,0,0,0
DEL,0,0,20
DEL,0,0,6
DEL,0,0,1
DEL,0,0,6
DEL,0,1,4
DEL,0,0,12
DEL,0,0,1
DEL,0,0,12
DEL,0,0,14
DEL,0,0,6
DEL,0,0,5
DEL,0,1,3
DEL,0,0,5
DEL,0,0,3
DEL,0,0,6
DEL,0,0,5
DEL,0,0,8
DEL,0,0,3
DEL,0,0,11
DEL,0,0,0
DEL,0,0,0
