bet,skj,yft
0,0.01,0
0,0.01,0
0,2,0
0,0.01,0
0,50,0
0,17,6
9,70,1
0,10,0
0,11,24
0,15,5
0,117,35
0,15,8
0,23,12
0,9,51
0,70,0
5,145,0
0,15,0
0,0,0
0,14,0
0,0,0
0,116,0
0,0,0
0,0,15
0,16,0
0,0,0
0,0,0
0,0,0
0,102,28
0,40,5
0,0,0
0,30,8
0,0,0
0,120,0
0,80,0
0,50,0
0,80,0
0,90,0
0,57,0
0,12,0
0,0,0
0,78,0
0,0,5
0,0,12
0,0,6
0,0,22
0,0,0
0,0,0
0,0,15
0,0,18
0,14,0
0,0,0
0,0,0
4,3,0
0,0,0
0,35,0
0,40,0
0,0,0
0,0,0
0,195,0
0,50,0
0,10,0
0,0,0
0,316,0
0,0,8
0,20,0
0,20,0
0,15,0
0,30,0
0,53,0
0,26,93
0,24,4
0,35,27
0,22,4
0,19,13
0,7,71
0,5,19
0,0,0
0,10,0
0,0,0
0,0,0
0,30,0
0,0,0
0,41,29
0,8,0
0,0,0
0,0,0
2,38,0
0,65,0
0,78,0
0,35,0
0,41,0
0,8,0
0,30,0
0,40,0
0,83,0
0,0,0
0,11,0
0,27,0
32,133,0
14,116,0
0,0,0
0,24,1
0,15,3
0,24,0
0,1,0
0,5,0
0,2,14
0,0,0
0,0,0
0,0,0
0,0,0
0,1,27
0,0,0
0,42,48
0,2,13
0,16,0
0,0,0
0,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0.8,0
0,0,0
0,0,0
0,55,0
0,21,1
0,5,12
0,28,0
0,10,0
0,0,0
0,0,0
0,81,4
0,135,20
0,34,6
0,17,3
0,0,20
0,90,0
0,0,0
0,50,0
0,30,0
0,20,0
0,25,0
0,0,0
0,90,0
0,153,0
0,6,14
0,0,0
0,0,0
0,10,25
0,42,15
12,93,4
1,149,1
0,157,3
0,0,0
0,61,2
0,0,0
0,12,42
0,6,31
0,0,0
0,0,95
0,0,0
0,0,0
0,0,0
0,0,5
0,0,137
0,0,132
0,0,60
0,0,5
0,0,50
0,0,35
0,0,10
0,0,0
0,0,0
0,14,0
0,17,0
0,6,0
0,1,5
0,1,0
0,0.01,0
0,0.01,0
0,0,6
0,0,17
0,2,41
0,0.01,0
0,15,0
0,1,7
0,2,10
0,3,0
0,3,5
0,2,21
0,54,0
0,5,0
0,0.01,0
0,100,0
0,0.01,0
0,0.01,0
0,0,0
0,9,0
0,5,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,43,0
0,0,0
0,0,0
0,18,0
5,13,5
0,35,0
0,25,47
0,35,0
0,32,0
0,0,0
0,10,0
0,25,35
0,3,7
0,35,0
0,39,0
0,30,0
0,0,0
0,6,0
0,2,28
0,64,6
0,154,0
0,77,33
0,78,10
0,42,0
0,8,2
0,25,23
0,71,32
0,180,0
0,47,0
0,0,14
0,0,26
0,1,9
0,2,18
0,0,7
0,106,0
0,124,6
0,80,0
