step,stepOrder,process,species,biomassBefore,biomassAfter
0,DATA_RESET,MEMORIZE_FOR_GROWTH,Skipjack tuna,3.567169E9,3.567169E9
0,DATA_RESET,MEMORIZE_FOR_GROWTH,Bigeye tuna,3.37224E8,3.37224E8
0,DATA_RESET,MEMORIZE_FOR_GROWTH,Yellowfin tuna,5.072949999999997E8,5.072949999999997E8
0,DAWN,MEMORIZE_FOR_RESTORE,Bigeye tuna,3.372239999999998E8,3.372239999999998E8
0,DAWN,MEMORIZE_FOR_RESTORE,Skipjack tuna,3.5671689999999857E9,3.5671689999999857E9
0,DAWN,MEMORIZE_FOR_RESTORE,Yellowfin tuna,5.072949999999996E8,5.072949999999996E8
363,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Yellowfin tuna,5.0729500000000393E8,3.508360000044532E8
363,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Bigeye tuna,3.372240000000011E8,3.372240000000011E8
363,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Skipjack tuna,3.567169000000028E9,3.567169000000028E9
364,BIOLOGY_PHASE,GROW,Skipjack tuna,3.56716900000003E9,7.67688229681744E9
364,BIOLOGY_PHASE,GROW,Bigeye tuna,3.372240000000016E8,4.266150627452173E8
364,BIOLOGY_PHASE,GROW,Yellowfin tuna,3.508360000044533E8,7.96705271582557E8
364,POLICY_UPDATE,RESTORE,Bigeye tuna,4.266150627452166E8,3.3722399999999905E8
364,POLICY_UPDATE,RESTORE,Skipjack tuna,7.676882296817465E9,3.567168999999982E9
364,POLICY_UPDATE,RESTORE,Yellowfin tuna,7.967052715825554E8,5.072950000000001E8
365,DATA_RESET,MEMORIZE_FOR_GROWTH,Yellowfin tuna,5.0729499999999964E8,5.0729499999999964E8
365,DATA_RESET,MEMORIZE_FOR_GROWTH,Bigeye tuna,3.372239999999998E8,3.372239999999998E8
365,DATA_RESET,MEMORIZE_FOR_GROWTH,Skipjack tuna,3.567168999999982E9,3.567168999999982E9
728,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Yellowfin tuna,5.072950000000047E8,3.508360000034788E8
728,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Bigeye tuna,3.372239999999996E8,3.372239999999996E8
728,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Skipjack tuna,3.5671689999999976E9,3.5671689999999976E9
729,BIOLOGY_PHASE,GROW,Skipjack tuna,3.567169000000004E9,7.676882296817392E9
729,BIOLOGY_PHASE,GROW,Bigeye tuna,3.3722400000000036E8,4.26615062745216E8
729,BIOLOGY_PHASE,GROW,Yellowfin tuna,3.508360000034785E8,7.967052715815821E8
730,DATA_RESET,MEMORIZE_FOR_GROWTH,Yellowfin tuna,7.967052715815821E8,7.967052715815821E8
730,DATA_RESET,MEMORIZE_FOR_GROWTH,Skipjack tuna,7.676882296817392E9,7.676882296817392E9
730,DATA_RESET,MEMORIZE_FOR_GROWTH,Bigeye tuna,4.2661506274521685E8,4.2661506274521685E8
1093,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Yellowfin tuna,7.967052715815747E8,6.40246271581511E8
1093,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Bigeye tuna,4.266150627452165E8,4.266150627452165E8
1093,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Skipjack tuna,7.676882296817454E9,7.676882296817454E9
1094,BIOLOGY_PHASE,GROW,Yellowfin tuna,6.402462715815102E8,1.3404826214420805E9
1094,BIOLOGY_PHASE,GROW,Bigeye tuna,4.266150627452172E8,5.397018354598278E8
1094,BIOLOGY_PHASE,GROW,Skipjack tuna,7.676882296817467E9,1.6521370812313282E10
1095,DATA_RESET,MEMORIZE_FOR_GROWTH,Bigeye tuna,5.397018354598278E8,5.397018354598278E8
1095,DATA_RESET,MEMORIZE_FOR_GROWTH,Yellowfin tuna,1.3404826214420805E9,1.3404826214420805E9
1095,DATA_RESET,MEMORIZE_FOR_GROWTH,Skipjack tuna,1.6521370812313288E10,1.6521370812313288E10
1458,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Yellowfin tuna,1.3404826214420903E9,1.1840236214420927E9
1458,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Bigeye tuna,5.397018354598291E8,5.397018354598291E8
1458,BIOLOGY_PHASE,CATCH_EXOGENOUSLY,Skipjack tuna,1.652137081231339E10,1.652137081231339E10
1459,BIOLOGY_PHASE,GROW,Bigeye tuna,5.397018354598294E8,6.827655576068225E8
1459,BIOLOGY_PHASE,GROW,Yellowfin tuna,1.1840236214420903E9,2.36219413364011E9
1459,BIOLOGY_PHASE,GROW,Skipjack tuna,1.652137081231332E10,3.555553973142395E10
