x,y,z
0,0,-30.738788105547428
0,1,-52.26248343785604
0,2,-59.75497245788574
0,3,-61.78167215983073
0,4,-56.70685052871704
0,5,-56.59757391611735
0,6,-54.65010070800781
0,7,-52.60168202718099
0,8,-46.97376537322998
0,9,-45.48755613962809
0,10,-41.20838610331217
0,11,-36.86917463938395
0,12,-34.83251655101776
0,13,-32.355857849121094
0,14,-30.385813236236572
0,15,-22.968358755111694
0,16,29.049347043037415
0,17,56.77336996793747
0,18,91.35834248860677
0,19,100.0
0,20,-2.197559118270874
0,21,-0.15064701437950134
0,22,-10.83165450890859
0,23,-12.21673039595286
0,24,-11.861662228902182
0,25,-13.406228363513947
0,26,-14.902549584706625
0,27,-17.0934255917867
0,28,-25.448226769765217
0,29,-44.53748679161072
0,30,52.08245391647021
0,31,100.0
0,32,100.0
0,33,46.042110443115234
0,34,-1154.6550903320312
0,35,-1112.5775883992512
0,36,-2382.3798828125
0,37,-2725.9235026041665
1,0,-61.36921374003092
1,1,-65.83792538113065
1,2,-62.055533515082466
1,3,-63.71124182807075
1,4,-60.685794830322266
1,5,-54.83442603217231
1,6,-51.48995590209961
1,7,-52.112130059136284
1,8,-53.30249436696371
1,9,-50.4699461195204
1,10,-42.465786404079864
1,11,-37.40782716539171
1,12,-38.28086312611898
1,13,-28.58339574601915
1,14,-36.51774893866645
1,15,-34.024485694037544
1,16,-24.531703233718872
1,17,-10.47792805565728
1,18,41.349995348188614
1,19,100.0
1,20,64.37239021725125
1,21,-16.739314556121826
1,22,-15.035582860310873
1,23,-15.406575520833334
1,24,-18.770059797498917
1,25,-19.410014311472576
1,26,-23.35341474745009
1,27,-22.170238494873047
1,28,-23.917488521999783
1,29,-32.00875155131022
1,30,22.114016003078884
1,31,100.0
1,32,100.0
1,33,100.0
1,34,75.2059080335829
1,35,-92.47972276475694
1,36,-1750.2208624945747
1,37,-3028.8563096788193
2,0,-66.72169812520345
2,1,-67.45118882921007
2,2,-63.11110136244032
2,3,-65.94444444444444
2,4,-62.240844090779625
2,5,-54.84906768798828
2,6,-52.11573833889432
2,7,-51.817921532524956
2,8,-51.70085207621256
2,9,-54.890034993489586
2,10,-45.412276373969185
2,11,-42.03114869859483
2,12,-38.884134928385414
2,13,-35.173327128092446
2,14,-34.06444973415799
2,15,-34.97211159600152
2,16,-30.305840651194256
2,17,-25.42338201734755
2,18,4.6620773739284935
2,19,29.07112142774794
2,20,52.624534567197166
2,21,-13.884097337722778
2,22,-15.807783550686306
2,23,-18.26116731431749
2,24,-20.00558238559299
2,25,-22.69757843017578
2,26,-22.182391060723198
2,27,-21.942183388604057
2,28,-29.891945097181534
2,29,-44.98586908976237
2,30,19.31761211819119
2,31,100.0
2,32,100.0
2,33,100.0
2,34,100.0
2,35,40.13923872841729
2,36,-1940.4338243272568
2,37,-2980.6472439236113
3,0,-66.01178503036499
3,1,-66.82241439819336
