year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,189098.75798532367,2.4192995750968575E7,3433577.0393496808,3525585.933299935,1.9579200059562397E8,2151160.58721544,2096513.225125039,659.1982118148582,NaN,NaN,NaN,NaN,NaN,164.06066656174517,27.152151529553045,73.11111111111111,189098.75798532367,1985.1239673828782,111.46619644151713,90.0,3.65200348190327E7,5.3538923037711844E7,298894.1169536351,298894.1169536351,298894.1169536355,1.0232612060157387E7,6.41790358783312E8,2.649379453553025E8,30.0,4.0,-141033.6723416271,290.92751943342284,12.333333333333334,3.0,-388634.4596410971,1340.768448404287,46.3125,16.0,21062.5908172588,169.72526890793807,90.0,4.0,195872.76127340403,98.80911229868985,73.4375,16.0,128187.10069852996,135.71286718510515,92.75,16.0,267674.54120224016,79.35387500532272,95.71428571428571,7.0,400622.24368591874,69.34944875975935,85.6,5.0,338828.18696085166,84.25196605122238,101.5,8.0,484102.6588861474,69.14074112572146,75.42857142857143,7.0,302032.47991629277,80.85001802932969,28.0,2.0,-150242.66414218413,458.7147147187088,84.5,2.0,554793.7877811507,42.16224230948667
2,0,170511.28537993217,1.5030949819500806E7,1265995.0969677812,1352837.4035086771,1.9801751993522787E8,899311.5762184731,775591.2919869861,0.0,0.05000000000000008,0.05532404619870055,0.30635072036394095,0.13489189614884992,9.2966428480135,116.81104412319924,13.382948988369693,47.46666666666667,170511.28537993217,635.2439786479481,51.44389719808745,90.0,1.2206104372724904E7,2.755212005691906E7,298853.09481012914,298853.09481012914,281631.54481011326,5815854.849634359,6.507791169749051E8,2.6625357464595422E8,1.0,4.0,37524.565017786845,221.2203440534999,1.0,3.0,-21928.772016714716,1291.4489277523537,8.375,16.0,44140.69296941213,94.23573598777392,92.75,4.0,-534.707784753853,47.84510199415536,17.4375,16.0,26734.55235913021,69.16271004669704,59.375,16.0,266645.81516681705,49.65677816773758,98.0,7.0,455947.9260947457,43.40053464224479,98.6,5.0,412402.0814558127,58.77837811292373,119.625,8.0,469141.8526157792,48.12935292063183,31.285714285714285,7.0,134458.9322621272,51.652819935744915,1.5,2.0,-15730.582534009169,374.4207895110008,86.5,2.0,-26513.23412461547,30.180020703654627
3,0,153960.32813886728,1.4851720985392582E7,1343733.054734821,1411971.3708126403,1.9796599291162243E8,1056815.6560149312,773970.5933232522,0.0,0.0,0.05023517280111848,0.2372579775111942,0.05,8.189706647660476,118.7027563105036,14.474806580414684,49.888888888888886,153960.32813886728,722.1320171784658,53.32059827782017,90.0,1.405345994013753E7,2.7909889472635765E7,243540.10155828594,243540.10155828594,129569.4015582914,5804049.417131825,6.365821270585372E8,2.6550260536802784E8,1.75,4.0,1373.3720493896872,224.6413928996685,1.0,3.0,-22661.558845369687,1298.0877604522564,5.125,16.0,-9867.293446685899,96.71423925603595,108.0,4.0,164404.9300749514,48.812122108667104,50.4375,16.0,48806.23946204512,74.02675568771558,42.25,16.0,185280.1450157556,48.970961025821595,97.71428571428571,7.0,367871.594138322,43.40508062801359,102.0,5.0,325363.18569605617,58.26378959152531,108.75,8.0,482710.707274954,46.32221290489238,37.42857142857143,7.0,94518.33261436116,59.48335154364872,1.0,2.0,5030.719560594996,370.87125090291045,77.5,2.0,469251.51548453904,27.960626418909445
4,0,129568.59996364953,1.2115374628942719E7,1362443.093059727,1416655.4615909501,1.9898783567337167E8,1048584.3739849452,782166.3085711715,0.0,0.0,0.05,0.1357335238453705,0.05,6.801068623949903,46.677213186245375,17.608621694594746,38.077777777777776,162308.10995326366,862.0678078196598,53.21517367123818,70.0,1.2936657169007123E7,2.4597831165735185E7,138841.73704043316,35564.86459740199,24348.164597401577,4920086.174316843,6.277334586111602E8,2.647880773936146E8,0.0,0.0,14771.625,NaN,0.0,0.0,14771.0,NaN,1.4375,7.0,12681.52154810198,95.72630140449107,62.75,4.0,101790.47413155992,49.632685235129046,34.1875,14.0,57126.57767761267,72.06437667189307,37.125,16.0,122074.4563066808,56.47672009823376,69.14285714285714,7.0,277813.71827617235,43.93661486965057,79.6,5.0,269642.9499258966,58.436105649145624,81.375,8.0,382196.4282078511,50.139496719405166,42.57142857142857,7.0,128466.52386384517,51.42927446797821,0.0,0.0,14772.0,NaN,90.5,2.0,400599.92070573766,29.473906823757723
5,0,101362.69690420292,9508304.65444998,1390871.7928598549,1442584.0627267854,2.0042325369897383E8,822433.6498341215,712813.6796549875,0.0,0.0,0.05,0.06045381784610491,0.05,5.490925258046923,37.39564842251473,19.645051238449913,31.677777777777777,144570.48067833218,918.1646078823065,53.44495491553095,61.0,1.1909344237087429E7,2.1031986958465774E7,139804.79256934108,183278.3796566875,172682.3796567025,3994030.433708867,6.23746103280574E8,2.6434093321402225E8,0.0,0.0,9518.625,NaN,0.0,0.0,9515.166666666666,NaN,0.0625,1.0,9827.002644833823,62.50992101258807,53.25,4.0,133042.3556894916,47.98629186266684,24.9375,12.0,38681.15765386636,71.21196116216086,35.4375,16.0,97514.6920167496,54.59953238620282,55.285714285714285,7.0,206526.48434181823,44.7988868900356,61.8,5.0,228210.14541696073,54.49232637555772,76.5,8.0,282016.5809745182,53.33255259640292,30.857142857142858,6.0,62893.12580063763,51.28655437340671,0.0,0.0,9520.5,NaN,73.5,2.0,442663.00784747966,31.291815159097126
6,0,92198.82108299072,8311727.284880092,1399337.3331469845,1453155.911158783,2.0195858414865968E8,680992.9337548929,642275.6700952312,0.0,0.0,0.05,0.05000000000000001,0.05,5.121845912657089,38.57005816470629,20.608951789569264,28.744444444444444,134607.91662448607,888.5893046602614,58.25943329803238,60.0,1.0953729791158851E7,1.9251623688628186E7,120487.38616574253,103019.6154462276,94337.06544623083,3543890.9897012925,6.227211257630891E8,2.640772851033508E8,0.0,0.0,7285.25,NaN,0.0,0.0,7286.166666666667,NaN,0.0625,1.0,7605.92403681765,62.50992101258807,42.0,4.0,105517.96196968947,55.79563188580677,25.9375,12.0,43203.29798447488,68.88523608484088,30.4375,16.0,86125.5236252774,59.333214755402814,31.142857142857142,7.0,119385.20094701702,46.721057854367075,54.4,5.0,220505.65243907127,54.51141019439623,66.125,8.0,249417.10822644836,52.0951190608493,47.857142857142854,5.0,117166.31075077853,52.24106736582153,0.0,0.0,7288.0,NaN,81.0,2.0,432782.45467688807,66.04388594738116
7,0,90207.01255268522,7497447.531301989,1409593.4756431566,1472189.2159868684,2.0346437002562103E8,610490.247101458,557254.082196102,0.0,0.0,0.05,0.05000000000000001,0.05,5.128623343602134,37.40825403951082,18.45391399773682,29.91111111111111,141090.9576739584,887.1060086054914,62.74081390188631,56.0,9932981.016547622,1.8051612146289E7,225157.62585699058,11411.40870330797,-3206.491296691228,3239753.807726174,6.238834914295442E8,2.6392165349340782E8,0.0,0.0,6398.0,NaN,0.0,0.0,6401.833333333333,NaN,0.0,0.0,6397.5625,NaN,76.25,4.0,39656.75282190708,78.13594837733156,33.3125,10.0,62262.69159890995,68.80548869940823,24.5625,15.0,90065.26654452656,55.62589466723333,46.285714285714285,7.0,81585.70056671274,49.52075553719252,46.2,5.0,164067.29890051446,59.467869961505485,55.375,8.0,272200.801813866,53.481357695135124,40.142857142857146,5.0,197425.03445525686,53.435927228886456,0.0,0.0,6396.0,NaN,91.0,2.0,205894.1169958848,96.37031338533863
1,1,142375.7879117705,2.2823281119061433E7,3061689.5460762572,3145556.322495763,1.9617543425284028E8,2058269.282170171,1994871.8969314066,6967.03169375364,NaN,NaN,NaN,NaN,NaN,181.00320157262942,28.099214801625234,71.4,142375.7879117705,2006.2839368360417,122.99491161211009,90.0,3.690950700711654E7,4.97233279191759E7,171189.14261618129,171189.14261618129,171189.1426161816,9612601.060485186,6.431163149973629E8,2.6503644303952384E8,27.5,4.0,-187057.62135058193,349.2218708816896,9.0,3.0,-476505.50926028664,1685.4959418206108,56.4375,16.0,45796.70675479852,165.2464334298468,77.75,4.0,97950.87939856158,108.90864521928981,77.3125,16.0,111729.13460419957,132.58504492775626,83.5,16.0,206620.08353372116,96.9921764021297,84.14285714285714,7.0,264484.6244467447,99.47533304893015,95.4,5.0,455675.86620990763,80.41741882701815,98.25,8.0,431926.42495547014,70.67654200299135,60.0,7.0,91738.8963671651,109.02697567708313,41.0,2.0,-153593.0783433667,264.4772488279091,74.0,2.0,426630.1948304214,64.06484330912104
2,1,175171.81797515976,1.5363183896200486E7,1244798.8153712284,1325988.1629327706,1.9804563646836382E8,903937.6827583975,765173.6324109414,0.671666666666667,0.05000000000000008,0.08871680068594431,0.22313005789908108,0.05,8.671354404536132,119.32044884399536,12.206875401387329,51.41111111111111,175171.81797515976,627.569027580213,53.376849458161836,90.0,1.2058765587644124E7,2.7824229205405626E7,187106.33609662834,187106.33609662834,186259.6860966211,5899289.268240553,6.504701063488555E8,2.6624470376303303E8,1.0,4.0,15891.795588490557,203.79805080445257,1.3333333333333333,3.0,-58993.30399151001,1618.9221811000182,2.9375,16.0,91432.23888549113,80.57291617447912,98.75,4.0,177067.03911357324,46.43535990250132,35.25,16.0,127953.6163421654,73.4755781559195,53.1875,16.0,190118.15915899543,51.782163842996006,122.28571428571429,7.0,312240.6684383655,44.05239788349126,109.8,5.0,353446.2429483496,56.10766376329085,121.0,8.0,372614.74955924955,48.457007747378526,39.285714285714285,7.0,154373.67395708413,46.046448926500226,8.0,2.0,40359.520172341305,109.07167830632106,49.0,2.0,261687.65620782337,35.41000698966671
3,1,159771.58042252116,1.4675453280184392E7,1331628.708509349,1400611.1578471232,1.9801069835948122E8,1069225.7307988435,788084.1073765777,6.671666666666667,0.0,0.05103284942497763,0.3607024086095483,0.05,7.98975969456341,124.07921028913307,14.153480185031432,48.25555555555555,159771.58042252116,682.984049373239,53.46686508548291,90.0,1.3291587872724937E7,2.7671030110752236E7,171151.23654534627,171151.23654534627,210965.8865453697,5749582.7712006895,6.364567761855992E8,2.6548453535208577E8,1.25,4.0,3373.9378105531705,210.68286086810593,1.6666666666666667,3.0,-90357.37089823217,1657.6110393491902,6.4375,16.0,13280.629343331133,84.22883385226066,93.0,4.0,176552.51072641922,49.04583003895378,28.625,16.0,74944.1041210714,76.57197157205896,61.4375,16.0,156830.43301455048,53.7101456413234,107.71428571428571,7.0,376948.68022062257,45.97273210510978,84.2,5.0,362783.109501823,56.84730391450215,105.875,8.0,524380.8927044548,46.53256287590185,30.285714285714285,7.0,118080.55412934729,65.46207253422628,1.0,2.0,16467.868284156473,109.07167830632106,90.5,2.0,251411.41337380343,34.26090781407918
