year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,205151.988560605,2.3229018549025033E7,4723698.387612856,4817073.274181667,1.9444997511109772E8,2675634.5331969224,3298521.4913762263,2320.646756206941,NaN,NaN,NaN,NaN,NaN,130.27609365098758,51.664383820234875,45.15555555555556,205151.988560605,2332.9339538381614,121.50009296627518,90.0,4.291896465614627E7,6.138264362660073E7,222123.97478310787,222123.97478310787,222123.97478310775,1.0861276802389536E7,6.428469775260208E8,2.6439271955558833E8,26.0,4.0,-57417.91944582437,252.50921669802102,41.666666666666664,3.0,259815.51402541678,104.83571552270097,34.3125,16.0,83720.1839360325,135.9021612567621,36.0,4.0,35531.31294073202,111.79381935139938,37.9375,16.0,143214.39689776328,106.91845143913245,44.5625,16.0,192615.83978541422,151.80135960576857,60.42857142857143,7.0,377815.9860768508,88.50014759730558,59.8,5.0,381322.5766388236,105.72053460451238,65.5,8.0,477084.3686591642,98.81019731459264,51.142857142857146,7.0,255255.60888851908,175.79475249486418,55.5,2.0,246743.52583547644,88.8145506352249,53.5,2.0,205348.03779761816,146.19996377077348
2,0,67623.8224431311,6109546.963105703,1199482.132000159,1291972.0120513216,1.980793295903838E8,773148.221075022,954035.6177393704,0.0,0.05000000000000008,0.050016151561640326,0.07209015693159294,0.19803276155606217,2.4620982337019788,176.8958211516874,41.900170915624024,12.655555555555555,67623.8224431311,530.2699408099529,103.8987687134334,90.0,1.0189227056171518E7,1.6275371076053685E7,-14374.713853032052,-14374.713853032052,-3432.8638530409467,2944229.940755156,6.599410789572811E8,2.664055723045811E8,1.0,4.0,1801.8245838984533,259.03940739787276,19.333333333333332,3.0,112908.61716224575,104.62385463499436,3.9375,16.0,31114.51434752217,135.57174019452395,1.5,4.0,33129.66151110518,133.73972679845735,9.3125,16.0,48004.24730074049,112.56998439857782,5.9375,16.0,20811.458657023522,268.8336360135642,35.285714285714285,7.0,184755.89090597763,235.51406876353093,33.8,5.0,223850.03800793606,177.56086168895644,27.75,8.0,137641.9314946472,187.70060727128208,14.285714285714286,7.0,90947.787436622,176.63270576389863,6.5,2.0,-31691.189011824412,66.7072857578571,6.5,2.0,-39060.15662046961,178.0894367160726
3,0,38149.85208207898,4122533.9046519557,1253819.270284744,1316922.2206095182,1.9813880005415973E8,612019.6951690388,930761.9414841525,0.0,0.0,0.05,0.05,0.05,1.8160361316960363,389.2714953632639,53.77165678806741,9.833333333333334,38149.85208207898,528.7546250826629,164.89921023959224,90.0,1.0290141127061231E7,1.3723627814448481E7,-16540.49165433267,-16540.49165433267,-20999.241654332753,2228334.012994998,6.559936262048877E8,2.661391859145447E8,1.25,4.0,-17183.05348886751,390.08849907886895,1.3333333333333333,3.0,7663.1522563490535,115.38272603646043,8.0,16.0,12307.682125886095,536.6462505072294,7.25,4.0,10659.323279078631,472.13070168207696,6.8125,16.0,10345.377273194557,400.68173603534825,5.5625,16.0,1835.7063607514183,536.0674391092884,17.285714285714285,7.0,92109.10848902503,305.9424835400341,21.8,5.0,115512.24392695565,283.9543275484071,24.875,8.0,172257.6393094523,266.8348974473386,12.142857142857142,7.0,64754.69537319448,223.3808455018913,1.5,2.0,-3139.913479264258,68.22,2.0,2.0,-1308.6174437505833,134.46433524825062
4,0,54511.31038019316,3486686.4308921993,1268281.4779273204,1317918.307804436,1.993081041593972E8,558713.768639517,887240.7589177773,0.0,0.0,0.05,0.05,0.05,2.2505064196928855,336.91727785685674,48.164433533365056,8.544444444444444,68941.85620310549,529.1207055308247,132.3251680776116,70.0,7940253.745539,1.2846271679756181E7,-21399.705791201428,-32028.23667705356,-36014.98667705356,1994312.608895732,6.54643455931896E8,2.659637667366483E8,0.0,0.0,4004.375,NaN,6.333333333333333,3.0,63503.7853723299,120.06735817163845,6.3125,10.0,53842.402694474134,673.0996984504524,7.0,2.0,52812.1944632369,391.1392951427012,3.0625,12.0,8440.218006690979,658.6134543513855,4.5625,14.0,5375.850311283758,577.4501349884347,13.142857142857142,7.0,101812.38042172613,262.6681887132971,16.4,5.0,129940.42185320589,266.86355518499266,28.0,8.0,191477.9270476867,172.55693571946657,14.0,7.0,74473.49409468129,217.69148697344053,1.0,1.0,5562.604547245486,212.52232963240985,0.5,1.0,-10473.546154300799,171.60069463728868
5,0,54140.49900657491,2527017.9098027265,1156585.9547053734,1183904.0228614202,2.010799547595475E8,389789.51255233516,834877.5735465066,0.0,0.0,0.05,0.05,0.05,1.3473842686889006,49.1205838664906,47.0725880920716,6.522222222222222,229800.09052958697,1381.5804605023015,116.22245731414613,20.0,5875470.407650522,1.0748115318242235E7,3604.5,202656.03338865796,217500.63338867333,1574055.5655331167,6.560704557247559E8,2.6600353451153287E8,0.0,0.0,3601.375,NaN,3.3333333333333335,2.0,24229.139480018657,111.13440850657547,7.125,3.0,53159.08473180762,115.7974727457509,8.75,1.0,68896.93511948339,124.3783159126267,2.25,4.0,10810.891288209674,452.65598567095805,2.875,1.0,26698.876625391,88.09050538278125,11.428571428571429,3.0,111429.66956798751,232.82247372368724,15.4,2.0,152765.3580149117,188.26801287951858,14.625,3.0,116880.14583298317,227.6100766678691,10.285714285714286,1.0,80853.2093761262,70.26487182080355,0.0,0.0,3605.0,NaN,0.0,0.0,3602.25,NaN
6,0,61586.8602343943,2185193.753553499,1211890.7664290762,1242588.192207989,2.0291435090787992E8,375940.8660627631,680263.1574179091,0.0,0.0,0.05,0.05,0.05,1.9801330217253867,37.39058159636475,43.779304131256396,5.911111111111111,313139.3482997345,1370.034693989906,101.8195841654903,17.0,4785065.304463842,1.0327882725559736E7,3005.25,6057.110839457833,3125.6108394580406,1429731.2109860827,6.593480938984319E8,2.6609965902393484E8,0.0,0.0,3009.875,NaN,0.6666666666666666,2.0,5490.900771824255,108.98164782045289,7.5625,3.0,77076.46698940775,132.81526352093553,8.25,1.0,126566.68839784598,103.40187385818898,2.3125,3.0,27136.830514380796,222.16537337558404,2.75,1.0,29587.904942980444,87.29484178001731,10.857142857142858,2.0,115837.06697440878,259.0721432554671,14.0,1.0,138580.87024748436,73.50215837751199,10.0,3.0,99843.50060728373,408.40063484877527,9.857142857142858,1.0,78953.12873196762,74.70207226938427,0.0,0.0,3009.0,NaN,0.0,0.0,3008.75,NaN
7,0,66160.09763287946,2327594.5210738853,1188591.4332793301,1221996.0387717918,2.047524485201649E8,358106.8175916312,648557.9368149391,0.0,0.0,0.05,0.05,0.05,2.0434011588001653,26.799955774443312,40.49617923314442,5.977777777777778,357817.049184947,1361.684026714481,91.51924395745601,16.0,4356257.213753436,1.031066600071273E7,3094.5,8320.994292327843,5293.9942923279195,1452278.6064896903,6.636011399140549E8,2.6625550871532583E8,0.0,0.0,3101.75,NaN,2.6666666666666665,2.0,25396.62496844058,108.18009696909338,7.375,3.0,87019.51064597414,139.2800842481097,7.25,1.0,119580.69483830512,100.91583190096283,0.1875,3.0,3473.2549178374393,184.501593595667,3.125,1.0,38671.73096959511,88.24720884200336,10.285714285714286,1.0,125908.24875649424,57.586703069273995,15.0,1.0,166145.51917415718,68.43610010119568,14.0,3.0,118368.10979993638,279.785097463239,10.142857142857142,1.0,92777.28180005222,69.74965592722836,0.0,0.0,3093.5,NaN,0.0,0.0,3099.5,NaN
1,1,245820.1548822678,2.2768234165202435E7,5237006.948998158,5334558.683921689,1.9391647982971516E8,3111854.887346097,3796334.1172140674,1300.3681673199978,NaN,NaN,NaN,NaN,NaN,123.36544937870225,50.322565635954845,46.12222222222222,245820.1548822678,2320.988555053873,110.53800409774995,90.0,4.2699151111363694E7,6.4822965050767794E7,398137.4057431646,398137.4057431646,398137.4057431647,1.1176774310105082E7,6.433629058141007E8,2.6393889602676156E8,26.0,4.0,-82851.12257301282,241.7152863114209,38.666666666666664,3.0,224438.095064998,109.67649261176972,35.25,16.0,127825.50652870619,141.52428515934406,39.5,4.0,238439.04177694191,118.06049323000417,39.875,16.0,191980.11677817433,102.39528248604051,45.0,16.0,212220.97678072716,156.6791865056264,63.0,7.0,508109.8589457584,98.69210229903912,74.4,5.0,507272.6663900812,75.32707868849107,61.0,8.0,440220.2399560845,87.72267382693802,55.0,7.0,337227.76617484086,112.22800168245251,33.0,2.0,-77533.60227771729,76.16470360704488,49.5,2.0,247650.47655191258,108.99543126176391
2,1,69343.2685093426,6811903.394847389,1146951.2675385475,1244678.6743658064,1.9812563350589257E8,926963.7369701882,960011.1375494809,0.0,0.05000000000000008,0.05,0.2444514848713994,0.05480701607604764,2.4540112600217143,183.80919631339142,41.10655912075016,13.766666666666667,69343.2685093426,565.900297228994,102.95360353286904,90.0,1.0873857448838003E7,1.711475161467875E7,33623.92725960701,33623.92725960701,-88323.67274046349,3187544.8790783403,6.592867165353584E8,2.6621671234938672E8,1.0,4.0,5014.895379006102,243.41843408823598,1.3333333333333333,3.0,-30581.897563269114,142.3059110327185,2.8125,16.0,35388.72569310482,137.64372945572197,11.0,4.0,69991.6266378187,106.83847975435692,3.625,16.0,12223.310940257223,119.09649650703612,3.75,16.0,23120.899268927496,386.65679854024916,44.285714285714285,7.0,324670.66828854283,166.59573966460087,36.2,5.0,148861.5737794544,212.24175160151322,35.25,8.0,178787.03430388955,120.4064402420305,28.285714285714285,7.0,29970.751585885282,128.28949626073873,1.0,2.0,10626.718784676988,60.64,25.5,2.0,111269.6380039853,105.29647813369783
3,1,42356.334923772636,5038752.439514683,1188748.9570986303,1252505.2764591475,1.9824451865560615E8,820100.4952197575,981996.0987283458,0.0,0.0,0.05,0.05,0.05,1.3144077833924992,342.8648984316843,51.221008950162116,11.177777777777777,42356.334923772636,572.5370555984788,149.01561811568993,90.0,1.1142190226988465E7,1.4954260370128065E7,-18337.414938714617,-18337.414938714617,-24481.164938714654,2584088.8711051256,6.544616983248227E8,2.6572733714923078E8,2.5,4.0,-31748.102578902406,494.7215351916575,5.333333333333333,3.0,-52942.40863819735,651.9414745696891,5.4375,16.0,7219.11813081179,370.6713301605402,12.25,4.0,67210.82876464378,220.53810814049092,5.9375,16.0,-4572.723830099752,433.14498924055704,1.25,16.0,-11448.363626848854,500.31543356802445,35.285714285714285,7.0,278284.3019072021,206.70940115850084,13.4,5.0,-10489.614960017056,249.76462267849288,29.375,8.0,169583.82090260004,150.84549023760445,13.571428571428571,7.0,23383.469179338117,133.36760794777342,1.0,2.0,-17234.259058625204,60.64,41.5,2.0,294224.80081005325,108.73185763537953
4,1,12900.601422410526,3864600.3389972136,1150520.222513504,1202525.342813221,1.9951748731769344E8,770459.6445269069,824304.3287463189,0.0,0.0,0.05,0.05,0.05,1.2130740103517272,521.8387548267239,67.13341446034623,9.122222222222222,14672.848373559298,734.8871102925901,247.4230776917431,75.0,1.1815793102055576E7,1.2976847230072662E7,-63628.091085649925,-67190.50309902336,-71092.00309902336,2125430.018078937,6.528136743667302E8,2.6532062491049606E8,0.5,1.0,-14664.112432263235,1136.0850413687338,3.3333333333333335,3.0,-82352.39375323242,1166.090750369859,5.3125,13.0,-28764.032641480575,865.1494440589387,15.5,4.0,60445.66988538296,715.3261696431457,2.75,13.0,-40148.73815033442,807.8084288491319,2.4375,12.0,-47384.61342247882,762.2086369881082,32.57142857142857,7.0,250094.82141620945,291.7584515163627,4.8,5.0,-46684.335668537315,376.0672497925083,19.0,8.0,106649.97898588653,334.31971549465464,13.142857142857142,7.0,2067.9103088722227,266.7070546123979,0.0,0.0,4038.5,NaN,41.5,2.0,346374.4756364447,55.35872793546948
5,1,47730.46922461763,2795329.8967319173,1101201.1289299536,1128348.227196259,2.0133477997558528E8,523053.65349370893,740247.0866794217,0.0,0.0,0.05,0.05,0.05,1.047255702903156,127.81752599827736,49.55455106325352,6.933333333333334,145336.8117934138,1104.358566552507,142.78472513685443,28.0,6575161.68093634,1.087090391115194E7,3646.0,-48127.703292416,-53083.25329243238,1654649.3603075787,6.540842439406608E8,2.652062033123714E8,0.0,0.0,3650.625,NaN,0.0,0.0,3647.8333333333335,NaN,3.5,4.0,33887.02293439756,434.1829211429987,10.25,1.0,97966.70295351674,97.66310136172547,0.625,4.0,-2299.6218626098,468.11630053466604,0.1875,1.0,2169.0085009329177,586.9135250074124,28.571428571428573,4.0,257981.51901771422,148.53581809355467,6.4,3.0,-38058.195599553284,571.9727002513183,17.25,6.0,121961.3733417237,464.04145183373384,8.142857142857142,3.0,16549.61770580308,368.5291829483651,0.0,0.0,3649.25,NaN,43.5,2.0,311905.19971867243,504.95309689474635
6,1,55706.286893242606,2190838.8353217416,1033947.8002402914,1060642.0570868705,2.033501185970504E8,409790.78601860773,648618.7710543068,0.0,0.0,0.05,0.05,0.05,0.9390690769991512,50.35974446816113,42.490288012391474,5.666666666666667,318576.0880261223,1444.6697924213101,86.53648331428593,15.0,4452150.225547179,9465716.045939019,3130.75,-13194.573667930905,-16135.073667930905,1373681.3182964895,6.574659494473742E8,2.6524949506655952E8,0.0,0.0,3126.75,NaN,0.0,0.0,3128.1666666666665,NaN,2.625,1.0,33880.99561990348,94.8943650605958,9.5,1.0,108803.76035908662,104.57523401578305,0.125,1.0,4200.416604398131,164.10903321037756,0.0,0.0,3131.8125,NaN,26.714285714285715,3.0,264574.8561484977,56.68175848884323,0.0,0.0,3170.3000000000293,NaN,16.125,4.0,171730.29316832783,374.9182136437259,5.428571428571429,3.0,12121.06828055707,475.90698927445845,0.0,0.0,3127.0,NaN,37.0,2.0,282114.18350832805,535.6796359914683
7,1,63959.765687190935,2267855.649038708,1091544.7370766692,1114751.5534270776,2.052943336192452E8,366752.11084790924,627172.4750961261,0.0,0.0,0.05,0.05,0.05,1.6482000002288482,11.368120632439917,38.73277901917407,5.711111111111111,500890.4465315622,1809.8771287141337,65.71816947209626,11.0,3980695.408992343,9737074.320839824,3119.25,702153.5545414165,774506.7545415596,1395210.8907450358,6.618992750406561E8,2.6537947448796955E8,0.0,0.0,3118.0,NaN,0.0,0.0,3119.1666666666665,NaN,2.625,1.0,35269.48175210433,92.28844879029278,10.25,1.0,143846.7809424497,105.71110236153895,0.25,1.0,4933.610090824113,95.36041378121932,0.0,0.0,3121.46875,NaN,29.142857142857142,3.0,313308.53844415833,56.54074301509055,0.0,0.0,3123.3,NaN,14.375,2.0,165015.36813453375,72.81329987406065,6.142857142857143,2.0,47380.14771325289,190.30764673773172,0.0,0.0,3125.0,NaN,32.5,1.0,299579.5352061908,33.906769717685044
1,2,196451.7450796839,2.2634144318264253E7,4715961.1197484275,4806013.6672969125,1.9446125223809814E8,2773227.944222988,3243885.909059931,6747.584622225219,NaN,NaN,NaN,NaN,NaN,140.07694599611983,52.29308468242494,44.7,196451.7450796839,2337.5008853043946,121.94681627951645,90.0,4.300294287997799E7,6.068359993714954E7,297892.1655292293,297892.1655292293,297892.1655292293,1.0681833248986399E7,6.43521162773748E8,2.6429349919220454E8,26.25,4.0,-48610.648921273896,217.8552101642423,38.333333333333336,3.0,258398.67085375846,125.21644422650972,33.125,16.0,35202.67168482145,152.2214210609103,33.75,4.0,161181.13689755436,169.24547501982886,35.6875,16.0,49657.6619326703,129.35671744564297,38.3125,16.0,121093.54379178357,164.54696639929688,65.71428571428571,7.0,462629.75016466965,74.07894413165545,58.2,5.0,396801.86536383134,143.4335595520428,67.0,8.0,509133.8428969154,81.2207236540699,54.285714285714285,7.0,266603.2849183477,181.11439922673975,73.0,2.0,490098.413315775,113.42684160153269,70.5,2.0,509004.455974797,82.36535701838162
2,2,91236.83649355306,7554296.4557219995,1171839.0978081112,1263104.999559006,1.9811134713186616E8,881039.7757394079,845507.9589440293,274.3498742550831,79.21184371807968,0.05,0.08637516775160263,0.08056228636628036,3.289915732132802,193.62791699591895,35.221438195423424,14.311111111111112,91236.83649355306,504.05791550783744,112.00913273190619,90.0,9685510.37982719,1.7896825664247215E7,44822.66142836564,44822.66142836564,-45202.438571644234,3382575.1884530443,6.585250484905407E8,2.6628764266106296E8,1.0,4.0,2266.21435426287,213.08130582284073,21.0,3.0,12174.443292475547,138.3947589779857,1.5625,16.0,22490.47556618612,141.98237402099184,1.0,4.0,14011.263013158887,148.4316561870279,4.4375,16.0,52879.09185462268,133.0544495231652,2.8125,16.0,23668.612610323016,325.3654310832477,37.285714285714285,7.0,249280.0500432241,177.58475057941206,19.6,5.0,128223.77020375873,268.85317751666145,34.375,8.0,196121.86183078078,180.51688212369493,31.142857142857142,7.0,192360.50590484362,190.31919245360842,37.5,2.0,152920.00073123572,216.65003367767844,74.5,2.0,458826.76290528337,80.90585873071487
