year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,754396.1444993038,4.963231565176795E7,6618807.95236387,6823072.8709381,1.9248823058998638E8,3651499.777795169,1880707.377148606,0.0,NaN,NaN,NaN,NaN,NaN,75.94811311684089,23.419602274760003,80.71111111111111,754396.1444993038,1890.222121376185,66.78691069590467,90.0,3.4774349913899E7,1.0267000291883633E8,779042.0296117461,779042.0296117461,779042.0296117461,1.9854620438926138E7,6.15929753550057E8,2.6331847574577725E8,28.0,4.0,218737.6057232729,255.34835669759045,83.33333333333333,3.0,675209.4728333341,55.43377224181459,55.125,16.0,589161.558208011,94.33722176535382,78.25,4.0,697638.7126583258,49.47344246835185,65.0625,16.0,642093.1100607276,80.46422124598762,92.3125,16.0,779177.7930176372,61.521540963292935,111.0,7.0,1050748.3024299934,45.78959626324684,95.4,5.0,905465.8935924772,53.718282364069545,110.875,8.0,1077066.8704661177,50.50653176909637,88.85714285714286,7.0,761793.422174805,64.54601052283867,102.0,2.0,854014.8408734789,84.60985072965063,111.0,2.0,1248956.8733285237,27.18065429864901
2,0,240596.4216342739,1.6871170454118453E7,1269801.1767454813,1405880.6195898617,1.9797794950635865E8,987155.225968217,523551.0907794204,0.0,0.0,0.4642742123492172,0.49956124848222394,0.0778058944712563,5.841078208966544,77.90744877890317,15.542548037423925,26.8,240596.4216342739,416.54028740296116,52.38707065338185,90.0,8003874.019056577,2.9657551966165766E7,-78440.57293070649,-78440.57293070649,91516.07706902514,6398110.74938025,6.486049344080051E8,2.661461547353449E8,1.0,4.0,169727.82362427472,244.4513777829857,17.333333333333332,3.0,63611.473278446276,54.31208249272034,2.5625,16.0,43797.05174460342,120.47888433053963,19.75,4.0,157511.183446934,55.39775800196991,2.4375,16.0,27072.516852295747,80.78435479575406,18.8125,16.0,97155.46136721777,51.72194249593943,105.28571428571429,7.0,969103.2707820093,47.27693240593153,9.0,5.0,378689.2393165027,46.89424986388815,110.0,8.0,846571.7724815932,52.4814888797238,4.142857142857143,7.0,249542.59718110572,56.48825289960771,30.5,2.0,581664.4207542608,85.06590237340686,72.0,2.0,-447191.6370734898,25.38171564237632
3,0,242408.00124515253,1.8226467299535587E7,1336855.2880402198,1501082.1365437135,1.9786455655796444E8,944171.22612317,657311.0582593322,0.0,0.0,0.5009261361550424,0.11790378733124902,0.05,5.684674644439301,97.46293723444845,17.61635613130631,29.0,242408.00124515253,510.87432780788305,61.272242124223574,90.0,9942212.825195277,3.175893293725264E7,108967.88401023246,108967.88401023246,167066.88401018258,6856511.32271352,6.307746346196101E8,2.655044623509009E8,1.0,4.0,5937.859998591855,244.4513777829857,18.0,3.0,182435.912669586,90.0728080805369,2.5,16.0,23489.242896468586,128.53190587402275,23.5,4.0,256421.74792047605,54.93259551910124,3.5625,16.0,9428.158115581802,118.04314025662121,24.375,16.0,164298.1094550564,100.63322400156515,64.0,7.0,830145.6344407592,56.34207910734808,36.8,5.0,161119.6370274035,44.354286476855535,99.0,8.0,896563.1262610218,58.53106027073389,26.142857142857142,7.0,165539.1492075447,56.57733288902121,101.0,2.0,313728.4251619114,85.11848996459574,81.0,2.0,744586.1219089234,48.94246654056515
4,0,225714.77034088186,1.820216311293152E7,1361918.8027145094,1493613.0025858344,1.9883298001791495E8,884024.3413024418,649359.4804181367,50.68666666666667,0.05000000000000001,0.3009009213550608,0.05,0.05,6.955227249079874,96.81346402766206,20.8063367968627,28.455555555555556,225714.77034088186,592.0558726307263,62.64463935448097,90.0,1.1423195371445268E7,3.173752470209894E7,152421.8621400508,152421.8621400508,304919.1121396096,6832411.005319849,6.159894740722425E8,2.6496108437163696E8,1.0,4.0,5971.508062395471,244.4513777829857,19.333333333333332,3.0,194038.3043401743,76.22400931008495,1.8125,16.0,20899.484832218903,126.68044827776545,18.0,4.0,211930.1274390474,68.37666798049122,1.875,16.0,19207.378818652116,119.26257622651221,27.75,16.0,162386.09917080254,93.58888011474966,46.285714285714285,7.0,459507.58803530823,48.70699760856666,45.2,5.0,351141.7559358979,44.37388834007929,81.75,8.0,722354.1899181037,57.82680135276233,46.142857142857146,7.0,255617.46869240262,68.63197569427058,98.0,2.0,737097.0211684855,77.62419551469009,100.5,2.0,803054.3660255152,69.80601046462512
5,0,181063.44496817145,1.382610767864745E7,1450765.7513361874,1581083.41445835,2.001420206220944E8,874087.5566630572,586416.6821284923,542.8423091644918,11.176770833333332,0.05,0.05,0.05,8.556298388519744,80.01849906535183,23.953915329246634,22.466666666666665,199541.95243377076,597.9607011819345,65.88504484053941,81.0,1.0299006659143027E7,2.6594716706277806E7,226580.50483452133,126272.9987839763,116482.59878397407,5404350.3161971085,6.083390644388853E8,2.6446310542183152E8,0.0,0.0,14426.424999999988,NaN,29.333333333333332,3.0,143778.93201753517,69.08287019582635,1.25,13.0,18075.841772301883,121.57891972335572,25.5,4.0,153525.59065869183,65.1327247694181,1.5625,14.0,27674.68971319274,113.94997472044307,25.1875,16.0,169839.92637745285,105.4439064039577,51.57142857142857,7.0,334673.0191694146,53.60870489328341,28.8,5.0,303168.18650028453,49.34180786495116,71.5,8.0,505636.217047813,60.21961726482917,12.428571428571429,7.0,241647.33008396276,67.3284718609834,15.0,2.0,332980.07595443353,79.54798608458547,95.0,2.0,740992.2985372314,68.41755718546784
6,0,156875.06936671014,1.0825276102228947E7,1462877.7485473745,1587057.1014673016,2.015560311982404E8,636735.1163723007,626659.7986706318,541.3249130318987,0.05000000000000004,0.05,0.05,0.05,7.599197009021412,65.13344403140769,25.156196046513873,18.27777777777778,196006.40201413963,582.8442605143003,63.33410577881324,71.0,8501915.326848527,2.2620671569851875E7,169034.993209003,47320.76681626006,32988.966816258326,4378280.845498935,6.057436944263978E8,2.6425027502290958E8,0.0,0.0,10647.174999999988,NaN,26.666666666666668,3.0,162116.41620588818,87.0273811399677,0.75,11.0,10547.3291798176,127.55491401718378,23.25,4.0,186250.40725005622,64.45690835817076,1.4375,10.0,25685.86099970554,113.44826732117988,22.375,12.0,141314.12979541256,69.82675533663486,42.714285714285715,7.0,386141.1031285676,55.084667856580815,16.6,5.0,224859.696821778,49.32408211870828,56.75,8.0,503332.027399213,58.85202607210712,7.571428571428571,7.0,95126.83099598966,74.50765122300147,3.0,2.0,41242.47355112061,95.8897497128864,92.0,2.0,700872.1782551592,75.61502119021014
7,0,150899.1507739251,9565997.792578466,1471921.3861874714,1606831.7356720618,2.0292579850456053E8,615111.3878090418,542533.4781061934,541.198830466295,7.72584012539185,0.05,0.05,0.05,7.375635721741243,62.30990090894375,24.91607946557547,16.42222222222222,196925.6245537244,541.5583154429492,61.52564115812238,68.0,7363251.609416086,2.0944175179069996E7,224857.40623930027,193461.06562999147,110048.0156299538,3946609.863792624,6.058373623864923E8,2.640978533678416E8,0.0,0.0,8632.424999999988,NaN,26.0,3.0,199472.14686856067,123.50109305182097,0.5,8.0,7776.233168406325,126.80941770379546,22.75,4.0,196316.70025882323,69.41918838130923,0.8125,10.0,18372.473499500622,117.15821320094062,13.625,12.0,165678.09493993258,76.41624262640902,46.0,7.0,382178.2150814221,47.38598001952392,13.0,5.0,165911.661930719,53.69250976259063,55.25,8.0,455112.82160824677,57.379402490323265,6.571428571428571,7.0,74071.76537902288,67.40819264488694,5.0,2.0,10529.809641000349,95.88974971288641,92.5,2.0,704105.7186310829,66.91109357768593
1,1,753666.5093390321,4.9734412459104925E7,6575034.420942307,6779086.289921192,1.9253229091463616E8,3658040.377251625,1876546.7058337284,0.0,NaN,NaN,NaN,NaN,NaN,75.76652213677694,23.359032574239453,80.87777777777778,753666.5093390321,1889.226645643211,66.5874381240481,90.0,3.475587072746549E7,1.0258585656797838E8,778877.6013882682,778877.6013882682,778877.6013882679,1.9874020692295432E7,6.158279285788572E8,2.6331188765257573E8,27.5,4.0,220004.3778870891,257.55986906340377,83.0,3.0,675527.4993901612,55.26132093226257,56.25,16.0,590039.0430098594,93.82277407703896,78.5,4.0,696158.2826750176,49.427462087287296,64.875,16.0,638527.1312037286,79.95577421764224,92.375,16.0,778905.5246922665,61.68301858554783,111.0,7.0,1049513.2064199583,45.86012594552671,95.8,5.0,902492.3047173837,53.66620049380308,110.875,8.0,1077184.8310747813,50.52584603896724,88.71428571428571,7.0,762550.7143718755,62.9452516326598,102.0,2.0,854014.832244758,84.60985072965065,111.0,2.0,1248394.1176913937,27.236759769674258
2,1,239690.74274958638,1.6855110113723166E7,1254472.0643272495,1353350.9252336426,1.9802853722577024E8,960093.202619421,560735.4019669467,0.0,0.0,0.48118110783146817,0.15206206134895722,0.07602366863333732,6.001364892223781,85.91460088204313,15.543533128045464,26.755555555555556,239690.74274958638,415.8758641370386,53.224415071353796,90.0,7991028.749663565,2.956319559711438E7,100341.81206712412,100341.81206712412,130249.21206663034,6382312.520552668,6.485736450081508E8,2.6617920788718548E8,1.75,4.0,159284.08347720926,250.0396840503523,5.0,3.0,-147894.11384572226,51.269519243026764,2.0,16.0,51976.32420576251,119.57632598336578,10.25,4.0,12099.589933244191,65.34023947182105,2.125,16.0,118401.6837831744,103.46300789622154,11.5625,16.0,103815.88209184911,71.68776240047788,106.85714285714286,7.0,839104.207563252,44.2578974561536,12.8,5.0,127679.19114023428,47.739953687697614,110.5,8.0,837508.9685024286,52.34504739442685,22.142857142857142,7.0,298305.1349889751,58.31959453461069,42.5,2.0,635895.7819497093,83.89588803081006,79.0,2.0,185543.7942899703,29.028959747096096
3,1,239408.90344932547,1.816538100010656E7,1334079.3850394867,1452941.8885099776,1.9796214708327454E8,915401.086574069,619306.7350379381,0.0,0.0,0.4793978969637765,0.05578736928678489,0.05,5.578757424268022,110.9136869369669,17.936833367911046,28.566666666666666,239408.90344932547,512.3955398766589,62.93109249806264,90.0,9971711.51765412,3.1518512828103114E7,15999.285595009802,15999.285595009802,2260.435595010006,6789719.896371651,6.30830150075897E8,2.6556766905402035E8,1.0,4.0,12041.809568997938,250.0396840503523,31.666666666666668,3.0,191961.2550508189,52.37317063229349,2.6875,16.0,18072.60359733283,129.54290418621932,15.0,4.0,248347.26194076822,50.184623307719995,4.625,16.0,37410.8041336435,103.18272857364084,7.9375,16.0,42688.73690862487,190.52829639476093,81.85714285714286,7.0,804523.9903020343,67.63826972636024,40.2,5.0,258036.4868479049,43.42098858165208,97.125,8.0,859469.5870117943,59.14425824754065,30.142857142857142,7.0,293590.4143202794,60.340634479733566,101.0,2.0,426609.243685456,83.48336925240872,102.0,2.0,826324.2474765831,49.53706984392642
