year,run,average_profits,sole,sablefish,sablefish_catches,sablefish_biomass,short_thornyheads,long_thornyheads,rockfish,yelloweye_price,doversole_price,short_price,long_price,sable_price,avg_distance,avg_duration,trips,actual_profits,actual_hours_out,weighted_distance,active_fishers,variable_costs,earnings,median_profit,actual_median_profit,actual_median_trip_profit,other_landings,sole_biomass,short_biomass,Seattle_trips,Seattle_fishers,Seattle_profits,Seattle_distance,SouthCentralWA_trips,SouthCentralWA_fishers,SouthCentralWA_profits,SouthCentralWA_distance,Astoria_trips,Astoria_fishers,Astoria_profits,Astoria_distance,Tilamook_trips,Tilamook_fishers,Tilamook_profits,Tilamook_distance,Newport_trips,Newport_fishers,Newport_profits,Newport_distance,Coo's Bay_trips,Coo's Bay_fishers,Coo's Bay_profits,Coo's Bay_distance,Brookings_trips,Brookings_fishers,Brookings_profits,Brookings_distance,Crescent City_trips,Crescent City_fishers,Crescent City_profits,Crescent City_distance,Eureka_trips,Eureka_fishers,Eureka_profits,Eureka_distance,Fort Bragg_trips,Fort Bragg_fishers,Fort Bragg_profits,Fort Bragg_distance,San Francisco_trips,San Francisco_fishers,San Francisco_profits,San Francisco_distance,Monterey_trips,Monterey_fishers,Monterey_profits,Monterey_distance
1,0,-532599.9874553888,0.0,0.0,0.0,1.994054044691879E8,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,105.1739452014463,24.77777777777778,-532599.9874553888,2605.976642213614,NaN,90.0,4.793399887098499E7,0.0,-532916.662108806,-532916.662108806,-532916.662108806,0.0,6.660815783328596E8,2.672221863088376E8,15.0,4.0,-558923.4930674369,NaN,18.0,3.0,-557388.3218306749,NaN,19.0625,16.0,-550865.7250174991,NaN,19.5,4.0,-549470.8376068778,NaN,22.0625,16.0,-536978.0196344168,NaN,25.5,16.0,-532242.7796221101,NaN,27.571428571428573,7.0,-522373.44287024083,NaN,28.8,5.0,-521723.6992977755,NaN,30.0,8.0,-516531.26521096705,NaN,34.285714285714285,7.0,-504320.7213107304,NaN,41.0,2.0,-487218.03876277,NaN,36.5,2.0,-502354.17472116934,NaN
2,0,-558410.3021124391,0.0,0.0,0.0,1.9940554716377828E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.86816844941869,24.944444444444443,-558410.3021124391,2615.8782018771662,NaN,90.0,5.025692719011951E7,0.0,-556405.4643210721,-556405.4643210721,-556405.464321072,0.0,6.66081538814671E8,2.672221863088376E8,14.75,4.0,-592734.8156425713,NaN,18.666666666666668,3.0,-577464.3524335875,NaN,20.25,16.0,-572553.060148163,NaN,20.5,4.0,-569643.8166177031,NaN,23.3125,16.0,-562985.8948293641,NaN,25.1875,16.0,-557911.7144590522,NaN,26.714285714285715,7.0,-553522.06423627,NaN,29.8,5.0,-543523.7442530759,NaN,29.5,8.0,-542874.7781942029,NaN,32.285714285714285,7.0,-537562.4156906733,NaN,35.5,2.0,-527415.4473967463,NaN,39.5,2.0,-513384.8458456438,NaN
3,0,-566307.6418390336,0.0,0.0,0.0,2.0085481362587214E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.48177578980771,24.833333333333332,-566307.6418390336,2619.464098780225,NaN,90.0,5.0967687765513025E7,0.0,-559519.9242570818,-559519.9242570818,-559519.9242570823,0.0,6.658970411170154E8,2.6762588970108098E8,15.0,4.0,-592655.6987932837,NaN,18.0,3.0,-588366.2664171433,NaN,19.4375,16.0,-583895.4784410838,NaN,21.75,4.0,-580578.7074892579,NaN,22.3125,16.0,-571306.5582653425,NaN,25.3125,16.0,-564908.6339320517,NaN,26.714285714285715,7.0,-562287.4454676153,NaN,28.4,5.0,-552753.3099884338,NaN,32.25,8.0,-545265.0601350921,NaN,32.285714285714285,7.0,-544494.6231648833,NaN,38.0,2.0,-527095.1516686842,NaN,36.0,2.0,-530164.3980640047,NaN
4,0,0.0,0.0,0.0,0.0,2.034566146791692E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,6.674387215244942E8,2.6808176475051853E8,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN
5,0,0.0,0.0,0.0,0.0,2.06556582383435E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,6.705970006421859E8,2.685893766734946E8,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN
6,0,0.0,0.0,0.0,0.0,2.0979803769755536E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,6.751067186610713E8,2.691463422809736E8,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN
7,0,0.0,0.0,0.0,0.0,2.1303440210840446E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,6.806367389342936E8,2.69750072572823E8,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN,0.0,0.0,0.0,NaN
1,1,-533155.6015257792,0.0,0.0,0.0,1.9940581448473778E8,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,0.0,104.76028577982979,24.9,-533155.6015257792,2608.5311159177613,NaN,90.0,4.798400413732013E7,0.0,-531926.5073147824,-531926.5073147824,-531926.5073147821,0.0,6.660814654017901E8,2.672221863088376E8,13.5,4.0,-563832.5187095418,NaN,19.0,3.0,-548862.3491693217,NaN,20.1875,16.0,-546199.375153959,NaN,22.25,4.0,-541923.3366309569,NaN,21.375,16.0,-541195.3164426821,NaN,25.125,16.0,-532592.5502131166,NaN,28.142857142857142,7.0,-526974.0267585528,NaN,27.0,5.0,-527455.374805439,NaN,29.625,8.0,-520668.35338090436,NaN,35.142857142857146,7.0,-503734.2020966914,NaN,38.5,2.0,-497160.4094257761,NaN,41.0,2.0,-491347.8387906803,NaN
2,1,-559051.9825562713,0.0,0.0,0.0,1.9940499077000976E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.3722507646386,24.855555555555554,-559051.9825562713,2619.085832894406,NaN,90.0,5.031467843006442E7,0.0,-558230.9891162713,-558230.9891162713,-558230.9891162709,0.0,6.660814450118505E8,2.672221863088376E8,15.0,4.0,-593505.8642429188,NaN,17.333333333333332,3.0,-575456.943098811,NaN,20.1875,16.0,-573472.3604824182,NaN,20.75,4.0,-568634.1103770626,NaN,21.8125,16.0,-566760.7305343236,NaN,25.375,16.0,-558288.7110609142,NaN,28.714285714285715,7.0,-543757.3119157479,NaN,27.6,5.0,-554104.0316792044,NaN,30.0,8.0,-545164.7437099935,NaN,32.857142857142854,7.0,-535437.984104972,NaN,42.5,2.0,-510258.65528752725,NaN,35.0,2.0,-528338.1891247493,NaN
3,1,-565678.7793993099,0.0,0.0,0.0,2.0085473751145524E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.03690565457892,24.91111111111111,-565678.7793993099,2616.5860275285104,NaN,90.0,5.091109014593789E7,0.0,-562193.9037250207,-562193.9037250207,-562193.9037250199,0.0,6.658968246930972E8,2.6762588970108098E8,13.75,4.0,-600728.0033450068,NaN,19.333333333333332,3.0,-585169.5979397326,NaN,20.375,16.0,-579465.2432323421,NaN,21.5,4.0,-576823.8368488837,NaN,22.4375,16.0,-572309.1240946328,NaN,24.8125,16.0,-564383.0338150414,NaN,27.857142857142858,7.0,-554551.2859683009,NaN,28.6,5.0,-556336.4107498766,NaN,30.0,8.0,-553297.3471764288,NaN,34.0,7.0,-538596.9920498969,NaN,38.5,2.0,-523564.59837190306,NaN,34.0,2.0,-539813.7995194306,NaN
